Nome: PARICACHOEIRA
Codigo Estacao: 82100
Latitude: 0.17
Longitude: -69.93
Altitude: 115
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1979-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;30;24,44;21,3;93,75;,666667;
1961-01-02;null;null;null;32,8;24,2;18,8;88;0;
1961-01-03;null;null;null;30;24,54;20;91;,666667;
1961-01-04;null;null;null;29,8;24,78;21,2;95,5;0;
1961-01-05;null;null;null;32,2;25,5;20,4;81,75;,333333;
1961-01-06;null;null;null;32,5;25,64;21;87;,333333;
1961-01-07;null;null;null;31,7;24,92;20,5;91,75;1;
1961-01-08;null;null;null;32,9;25,32;20,4;86,5;,333333;
1961-01-09;null;null;null;31,7;24,36;19,8;90,5;,333333;
1961-01-10;null;null;null;29,9;24,88;21,3;90,25;,666667;
1961-01-11;null;null;null;26,7;23,94;21,2;96,75;,333333;
1961-01-12;null;null;null;27,8;24,16;21,7;91,75;,666667;
1961-01-13;null;null;null;32;24,78;20;96,25;,666667;
1961-01-14;null;null;null;30,7;24,74;21,6;94,5;1,333333;
1961-01-15;null;null;null;31,4;24,5;20,7;91;,333333;
1961-01-16;null;null;null;26;23,3;20,4;91,5;,666667;
1961-01-17;null;null;null;32,3;24,5;19,6;89,5;,333333;
1961-01-18;null;null;null;32,8;25,26;20,1;88,5;,333333;
1961-01-19;null;null;null;31,4;25,52;21,6;87,25;,333333;
1961-01-20;null;null;null;30,3;24,38;21,1;91,75;1;
1961-01-21;null;null;null;30,5;24,54;20,5;89,5;,333333;
1961-01-22;null;null;null;29,3;24,9;21,2;92,5;,333333;
1961-01-23;null;null;null;28,8;24,9;21,2;92,75;,333333;
1961-01-24;null;null;null;28,9;24,28;21,6;93,75;,333333;
1961-01-25;null;null;null;28,8;24,52;20,8;93,5;,333333;
1961-01-26;null;null;null;32,5;25,68;21;86,75;,666667;
1961-01-27;null;null;null;30;25,24;21;90,75;,666667;
1961-01-28;null;null;null;31,5;25,5;22;92,25;,666667;
1961-01-29;null;null;null;31,2;25,64;21,5;89,5;,333333;
1961-01-30;null;null;null;32,5;25,34;21,3;88,75;,333333;
1961-01-31;null;null;null;33,2;25,94;21;83,25;1;
1961-02-01;null;null;null;33,6;25,6;20;82,5;1,666667;
1961-02-02;null;null;null;32,9;24,5;19,1;85,75;,666667;
1961-02-03;null;null;null;27;23,48;20,9;91,75;1;
1961-02-04;null;null;null;29,8;23,98;19,8;86,75;1;
1961-02-05;null;null;null;31,4;24,2;18,9;87;,333333;
1961-02-06;null;null;null;33,3;26,02;19,9;83,25;1;
1961-02-07;null;null;null;30,7;25,26;20,7;92,25;1;
1961-02-08;null;null;null;30,5;24,22;19,6;89,75;1,666667;
1961-02-09;null;null;null;24,7;22,18;20;95,75;1,333333;
1961-02-10;null;null;null;30,5;23,28;19,2;90,5;,666667;
1961-02-11;null;null;null;32,4;23,9;18,7;90,25;,333333;
1961-02-12;null;null;null;27,3;22,5;19,1;94,5;,666667;
1961-02-13;null;null;null;32,6;24,12;17;86;,333333;
1961-02-14;null;null;null;33,8;25,4;18,3;80,5;,333333;
