Nome: PIRIPIRI
Codigo Estacao: 82480
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 1976-03-08
Data Final: 2022-03-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-03-08;null;null;null;null;null;null;null;null;
1976-03-09;,8;8,2;null;31,6;25,3;21,8;80,5;1,466667;
1976-03-10;4,2;7,9;0;31,8;25,9;22,2;80,5;2,566667;
1976-03-11;3,6;3,9;0;31,8;25,16;22,5;90,75;1,933333;
1976-03-12;1,2;9,1;65,2;32,9;25,52;21,2;80,75;1,766667;
1976-03-13;,6;7,6;0;31;25,46;22,2;84;1,2;
1976-03-14;5,8;5,5;5;30,9;24,94;21,3;89,5;2,1;
1976-03-15;1,3;5,8;1;31,2;24,96;21,2;92;,866667;
1976-03-16;1,9;7,2;59,3;30,7;25,36;22,7;86,25;1,166667;
1976-03-17;1,2;5,6;,5;30,6;25,16;22,5;89,25;1,233333;
1976-03-18;1,7;9,6;11,5;32,2;27,08;25,3;81,5;1,566667;
1976-03-19;2,9;8,4;0;31,8;25,98;22;78,75;1,766667;
1976-03-20;2,8;8,4;,5;31,6;25,36;21,8;86,25;,966667;
1976-03-21;2,4;11,2;13;31,9;26;21,5;77,25;2,1;
1976-03-22;3,4;9,3;0;31,1;25,12;21,2;87;1,333333;
1976-03-23;3,6;7;1;31,8;25,3;21,4;83;1,133333;
1976-03-24;2,6;5,5;0;31,1;25,44;22,2;89,75;2,233333;
1976-03-25;1,6;7,6;0;31,8;25,46;22;87;2,633333;
1976-03-26;1,9;8,4;12,6;31,2;25,18;21,8;86,5;1,433333;
1976-03-27;2,8;5,9;13,5;29,8;24,94;22,5;89;1,9;
1976-03-28;1,5;3,6;3;29,8;24,48;22;92,5;,933333;
1976-03-29;,7;3,3;5,7;28,6;24;22,1;94;,6;
1976-03-30;1;,7;19,8;27,2;23,76;21,4;90,5;1,4;
1976-03-31;,9;9,1;3;null;null;21,4;null;1,033333;
1976-04-01;3,2;5,5;,2;31,1;25,04;21,4;85,75;3,033333;
1976-04-02;1,4;5,4;17;29,8;25;21,3;89,25;1,633333;
1976-04-03;1,7;7,4;0;30,7;25,18;21,3;84,5;2,233333;
1976-04-04;3,7;11,1;0;31,9;25,82;21,2;74;3,233333;
1976-04-05;5;9,7;0;32;25,36;22,1;79,5;1,966667;
1976-04-06;3;8,8;12;30,4;25,3;22,1;88,25;1,266667;
1976-04-07;2,3;5,5;11,3;30,3;25,66;21,9;89,25;1,366667;
1976-04-08;1,5;8;0;32;25,78;23;82;2,033333;
1976-04-09;2,5;9,8;0;31,4;25,54;22;83,5;2,233333;
1976-04-10;3,4;8,6;1,8;31,7;25;21,7;86,5;1,9;
1976-04-11;2,2;10,4;1,4;31,8;25,4;21,5;82,25;1,533333;
1976-04-12;2,7;8,1;0;31,6;25,16;21,4;80;1,8;
1976-04-13;2,3;8,1;8,8;31,1;25,16;22;79,75;4,233333;
1976-04-14;2;2,3;16,5;28,8;24,12;21,6;89,75;2,5;
1976-04-15;1,2;1,8;57,8;27,6;23,08;20,6;95,5;1,233333;
1976-04-16;,8;10,2;35,3;31,2;25,52;20,2;75,75;2,733333;
1976-04-17;4;6,1;0;30,4;24,74;22,4;87,5;1,133333;
1976-04-18;1,7;2,5;21;29,2;24,58;21,9;93,75;,7;
