Nome: ARACATI
Codigo Estacao: 82491
Latitude: -4.56999999
Longitude: -37.76999999
Altitude: 13
Situacao: Fechada
Data Inicial: 1960-01-01
Data Final: 1969-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;null;null;null;null;3,333333;
1961-01-02;null;null;0;null;null;null;null;4;
1961-01-03;null;null;0;null;null;null;null;4;
1961-01-04;null;null;0;null;null;null;null;4,333333;
1961-01-05;null;null;0;null;null;null;null;4;
1961-01-06;null;null;0;null;null;null;null;5,333333;
1961-01-07;null;null;0;null;null;null;null;5;
1961-01-08;null;null;0;null;null;null;null;5;
1961-01-09;null;null;5,2;null;null;null;null;4,666667;
1961-01-10;null;null;0;null;null;null;null;4;
1961-01-11;null;null;0;null;null;null;null;4;
1961-01-12;null;null;0;null;null;null;null;5;
1961-01-13;null;null;0;null;null;null;null;5,333333;
1961-01-14;null;null;0;null;null;null;null;4,666667;
1961-01-15;null;null;0;null;null;null;null;4;
1961-01-16;null;null;0;null;null;null;null;4;
1961-01-17;null;null;0;null;null;null;null;3,333333;
1961-01-18;null;null;79,3;null;null;null;null;2;
1961-01-19;null;null;0;null;null;null;null;3,333333;
1961-01-20;null;null;10,1;null;null;null;null;1,666667;
1961-01-21;null;null;14,2;null;null;null;null;3,333333;
1961-01-22;null;null;53,3;null;null;null;null;2;
1961-01-23;null;null;22;null;null;null;null;1,333333;
1961-01-24;null;null;0;null;null;null;null;2,666667;
1961-01-25;null;null;0;null;null;null;null;4;
1961-01-26;null;null;0;null;null;null;null;4,666667;
1961-01-27;null;null;0;null;null;null;null;4,333333;
1961-01-28;null;null;0;null;null;null;null;5;
1961-01-29;null;null;0;null;null;null;null;3,666667;
1961-01-30;null;null;0;null;null;null;null;4,333333;
1961-01-31;null;null;12,8;null;null;null;null;3,666667;
