Nome: GRAJAU
Codigo Estacao: 82568
Latitude: -5.8
Longitude: -46.45
Altitude: 163
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1995-11-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2;6,6;null;32,5;25,94;19,8;78,75;0;
1961-01-02;2,2;5,7;0;32,5;25,86;19,4;76,5;0;
1961-01-03;2,2;6,8;0;32,7;26,72;21,3;75;,333333;
1961-01-04;2,9;6,1;2,6;32,6;26,94;22,1;75,25;,333333;
1961-01-05;2;9,1;0;33,8;26,9;20,9;74;0;
1961-01-06;3,1;7,2;0;33,3;26,4;20,1;75,25;,333333;
1961-01-07;3;4;0;32,7;25,8;21,5;81,5;0;
1961-01-08;2,4;6,5;1,2;32,9;26,78;21,4;79,25;,666667;
1961-01-09;2,6;8;0;33,7;27,54;21;71,25;0;
1961-01-10;3,5;6,6;0;34,1;27,18;21,9;76,75;,333333;
1961-01-11;2,5;8,9;,5;34,3;27,56;21,3;70,75;0;
1961-01-12;3,5;8,6;0;34,3;27,52;21,1;70,75;,333333;
1961-01-13;3,3;0;13,1;28,2;24,4;20,5;89,5;0;
1961-01-14;,7;2,6;10,6;29,6;24,66;21,5;90,5;0;
1961-01-15;1,3;1,4;5,2;29;24,74;20,7;89,5;,333333;
1961-01-16;1,2;4,3;0;30,1;25,96;21,9;83,75;0;
1961-01-17;1,8;0;27,4;26,5;22,14;19,4;95;0;
1961-01-18;,5;4,5;3,2;30;24,54;19,3;85,25;0;
1961-01-19;1,7;4,4;0;31,4;25,18;21,1;83,25;,333333;
1961-01-20;1,8;6,3;16,6;30,4;25,26;19,9;83;0;
1961-01-21;1,9;8,9;0;32,4;26,74;21,3;77,25;0;
1961-01-22;2,7;0;49;27,4;23,38;19,9;95,75;0;
1961-01-23;,7;1,1;24,4;28;23,82;19,9;91;0;
1961-01-24;,9;null;0;31,2;25,86;20,9;74,5;0;
1961-01-25;1,6;null;0;31,5;26,24;21,1;84;0;
1961-01-26;,8;null;65,2;31,4;25,34;19,9;89,75;0;
1961-01-27;1,1;null;,5;29;25,62;22,1;88,25;0;
1961-01-28;,9;null;6,4;31;25,3;20,1;87;0;
1961-01-29;1,1;null;0;29;25,1;21,1;92,5;,333333;
1961-01-30;1,5;null;6,2;31;25,94;21,3;85,75;0;
1961-01-31;null;null;null;null;null;null;null;null;
1961-02-01;1,9;null;0;31,3;25,1;20,3;80,25;,333333;
1961-02-02;1,7;null;7,1;29,3;24,94;20,9;88,5;0;
1961-02-03;1,5;null;0;32,1;26,02;21,2;79,75;,333333;
1961-02-04;2,5;null;0;31,3;25,12;19,7;83;0;
1961-02-05;1,8;null;0;31,2;25,02;19,9;85,25;,333333;
1961-02-06;2,2;null;0;29,2;24,98;21,3;84,5;0;
1961-02-07;1,5;null;0;30,4;25,36;20,8;82,25;,333333;
1961-02-08;2,1;null;0;32,1;25,08;18,9;80,75;,333333;
1961-02-09;2,3;null;,8;32,3;26,12;20,3;82,25;0;
1961-02-10;2,6;null;,7;31,7;26,12;21,1;82,75;0;
1961-02-11;1,9;null;2;29,2;24,7;20,7;84,75;0;
1961-02-12;1,4;null;23,8;27,4;23,02;19,7;91,5;0;
1961-02-13;1;null;3,2;29,8;24,46;20,1;87,5;0;
1961-02-14;2,2;null;42;29;23,34;19,7;92,5;0;
1961-02-15;1;null;7,8;27,4;24,06;20,3;89,75;0;
1961-02-16;1,2;null;0;31;24,5;19,7;85,5;,666667;
1961-02-17;1,6;null;0;30,2;25,1;20,7;89,75;0;
1961-02-18;1,2;null;5,6;31,4;24,7;20,9;87,75;,333333;
1961-02-19;1,8;null;13,6;30,2;24,82;20,5;87,5;1;
1961-02-20;1,2;null;0;30;24,22;21,3;91;,666667;
1961-02-21;1;null;4,8;31,4;25,98;19,9;81,75;,333333;
1961-02-22;1,5;null;38,2;27,2;23,1;19,7;94,75;0;
1961-02-23;,6;null;13;32,6;25,46;18,9;84,25;,333333;
1961-02-24;2,1;null;0;32,4;25,86;20,5;78;,333333;
1961-02-25;2,5;null;1,8;32,7;26,52;20,7;82;0;
1961-02-26;2;null;0;32,5;26,72;20,9;81,25;0;
1961-02-27;2;null;8,5;29,6;24,26;19,5;87,25;0;
1961-02-28;1,3;null;1,6;31,9;26,12;20,9;83,5;0;
1961-03-01;1,7;null;1,7;30;25,42;20,9;92,75;0;
1961-03-02;1,1;null;10,7;30,8;25,38;20,5;89,5;,333333;
1961-03-03;1,2;null;0;32,1;25,72;21,9;83,25;0;
1961-03-04;2,2;null;0;32,7;26,68;20,9;82,75;0;
1961-03-05;2,3;null;0;31,7;26,08;21,5;89;0;
1961-03-06;1,4;null;0;32,3;26,26;20,4;82,75;,333333;
1961-03-07;2,3;null;0;31,7;26,14;20,7;82,5;,333333;
1961-03-08;2,3;null;0;33,3;25,52;19,5;84,5;0;
1961-03-09;2,2;null;0;32,6;25,46;20,5;84,5;,333333;
1961-03-10;1,8;null;0;32,9;26,72;19,7;79,25;0;
1961-03-11;2,2;null;0;32,3;26,28;21,4;81,75;0;
1961-03-12;2;4,3;0;31,3;24,64;19,9;87,5;0;
1961-03-13;1,8;3,9;3;29;23,66;19,9;92,75;0;
1961-03-14;,7;2,4;17,2;28,4;24,28;20,3;88,75;,333333;
1961-03-15;1;4,6;0;30;23,74;20,7;91,75;0;
1961-03-16;1;6,1;18,2;30,9;25,24;20,3;86,75;0;
1961-03-17;2;6,5;0;31,4;25,8;20,2;85;,333333;
1961-03-18;1,8;3,8;34;29;24,1;18,9;91;0;
1961-03-19;3;5,3;0;30;24,7;20,3;86,25;0;
1961-03-20;1,1;4,1;15,4;29,2;23,88;20,8;91;0;
1961-03-21;1,5;2,9;7,2;28;24,3;20,9;89,5;0;
1961-03-22;1;4,7;4,4;30,7;25,58;21,2;84;0;
1961-03-23;1,5;,9;0;29,5;24,4;20,1;93,25;0;
1961-03-24;,7;7,9;14,4;31;25,44;21,2;87,75;0;
1961-03-25;1,8;4,1;0;30,2;25,82;21,9;87;0;
1961-03-26;1,3;4,8;0;31,9;25,5;21,9;87,5;,333333;
1961-03-27;1,7;6,4;4,5;29,3;24,92;20,9;87;,333333;
1961-03-28;1,5;8,2;0;32,5;25;20,9;88,75;0;
1961-03-29;1,6;1,3;19,2;27,6;23,78;21,1;90,5;0;
1961-03-30;,7;,7;3;28,6;24,66;21,3;95,25;0;
1961-03-31;,6;4,9;17,6;30;25,46;20,9;89,25;0;
1961-04-01;1,6;1,4;3;29;24,6;21,7;97;0;
1961-04-02;,6;3,6;39,4;29,2;24,46;19,9;90,75;0;
1961-04-03;1,2;8,6;0;31,2;25,58;20,1;85,5;0;
1961-04-04;1,7;8;0;31,4;25,06;19,7;85,75;,333333;
1961-04-05;2;3,6;0;29,3;24,88;19,9;90,25;0;
1961-04-06;1,1;1,8;0;28;24,24;20,8;92,25;0;
1961-04-07;,7;6,4;16;31;24,94;19,5;87,75;0;
1961-04-08;1,5;5,3;0;31,5;25,48;20,9;88,25;,333333;
1961-04-09;1,4;4,9;,4;31,9;25,36;20,7;87,5;0;
1961-04-10;1,3;4,5;7,2;30;25,54;21,9;88;0;
1961-04-11;1,5;6,8;0;31,9;26,32;21,9;83,25;0;
1961-04-12;1,5;8,4;0;31,4;26,22;22,5;86,5;,333333;
1961-04-13;2,1;3,7;0;30,8;25,06;19,9;86;,333333;
1961-04-14;1,6;5,3;0;30,6;23,58;19,5;91;0;
1961-04-15;1,3;7;21,6;31;24,38;20,5;87,75;,333333;
1961-04-16;1,8;5,2;1,4;30;24,74;19,3;88,75;0;
1961-04-17;1,2;3,6;0;29;24,06;19,9;96,5;0;
1961-04-18;,5;4,8;32,4;29,7;24,8;20,5;94,5;0;
1961-04-19;1,1;4,6;1,2;30,8;25,54;20,9;87,75;0;
1961-04-20;1,3;6,6;0;31,6;26,06;21,7;85,75;0;
1961-04-21;1,7;3,6;0;29,4;24,02;20,7;90,5;0;
1961-04-22;,8;4,3;45,6;30;24,7;20,3;90,75;0;
1961-04-23;1,1;8,8;0;31,9;24,96;19,3;86,25;,333333;
