Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 1975-09-15
Data Final: 2022-03-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1975-09-15;null;null;null;null;null;null;null;null;
1975-09-16;null;null;null;null;null;null;null;null;
1975-09-17;null;null;null;null;null;null;null;null;
1975-09-18;null;null;null;null;null;null;null;null;
1975-09-19;null;null;null;null;null;null;null;null;
1975-09-20;null;null;null;null;null;null;null;null;
1975-09-21;null;null;null;null;null;null;null;null;
1975-09-22;null;null;null;null;null;null;null;null;
1975-09-23;null;null;null;null;null;null;null;null;
1975-09-24;null;null;null;null;null;null;null;null;
1975-09-25;null;null;null;null;null;null;null;null;
1975-09-26;null;null;null;null;null;null;null;null;
1975-09-27;null;null;null;null;null;null;null;null;
1975-09-28;null;null;null;null;null;null;null;null;
1975-09-29;null;null;null;null;null;null;null;null;
1975-09-30;null;null;null;null;null;null;null;null;
1975-10-01;11,4;10,4;null;32,9;26,02;18,5;39;4,533333;
1975-10-02;13,9;11,5;0;33,1;25,42;18,9;38,75;3,2;
1975-10-03;12,3;8,8;0;33;26,46;21,1;40;2,1;
1975-10-04;10;11,4;0;35,8;26,92;16,8;33;2,066667;
1975-10-05;11,5;6,5;0;34,9;26,8;19,9;52,75;2,066667;
1975-10-06;7,1;7,7;,3;34;27,22;21;45,5;3,2;
1975-10-07;9,8;10,7;0;34;27,12;20,6;41;2,966667;
1975-10-08;10,4;7,5;0;34,2;26,94;21,2;44,5;3,133333;
1975-10-09;11;10,8;0;33,6;27,28;20,9;46;1,633333;
1975-10-10;12;8,1;0;34,6;27,44;19,9;40,5;2,233333;
1975-10-11;11,2;10,9;0;35,4;27,46;18,7;34,75;2,5;
1975-10-12;13,2;11,2;0;35,8;28,38;20,3;30,25;3,4;
1975-10-13;14,6;8,4;0;33,1;28,06;21,8;39,75;3,2;
1975-10-14;7,8;11;0;35,4;27,3;20,2;35,75;2,866667;
1975-10-15;12,9;9,4;0;35,3;28,12;21,9;34,25;2,766667;
1975-10-16;15,8;11,2;0;35,9;29,18;22,7;32;2;
1975-10-17;11,7;6,9;0;34;27,98;21,9;42;1,766667;
1975-10-18;9,1;8,2;0;34,5;29,12;23,3;39,25;2;
1975-10-19;10,5;8,6;0;34,3;27,42;22,6;52;2,033333;
1975-10-20;8,7;5,5;,7;34,2;27,52;22,5;45;2,433333;
1975-10-21;8,2;9,3;0;35,3;27,96;21,6;49,25;2,4;
1975-10-22;7,8;9,9;0;34,8;27,24;21,1;55,75;2,5;
1975-10-23;7,8;11,1;11;34,4;27,62;22,9;43,75;2,7;
1975-10-24;9,3;10;0;35;27,34;20,8;38;1,9;
1975-10-25;10,3;9;0;33,5;26,82;23,1;47,25;1,633333;
1975-10-26;10,7;8,9;0;34,6;28,28;22;45,75;3,2;
1975-10-27;10;8,3;0;34,8;27,14;21,7;54,5;2,1;
1975-10-28;10,5;6,9;0;33,8;28,28;25,6;52;2,233333;
1975-10-29;9,5;7,8;0;33,8;27,32;22,9;46,25;3,433333;
1975-10-30;10,4;8,9;0;34,2;27,56;21,5;41,75;2;
1975-10-31;11,7;5,8;0;33,5;26,82;23,4;58;1,7;
1975-11-01;7,5;8,9;5,1;33,8;27,5;21,8;41,75;2,833333;
1975-11-02;10,4;10,8;0;34,9;28,14;20,9;32,5;2,933333;
1975-11-03;12,3;8,9;0;34,9;28,84;23,1;35;1,033333;
1975-11-04;9,2;11,8;0;35,8;29,64;23,7;29,75;3,1;
1975-11-05;17;11,1;0;34,9;27,42;22,9;47,5;2,633333;
1975-11-06;13,3;10;0;33,9;26,92;21,2;38,25;1,866667;
1975-11-07;9,3;10,3;null;35,7;28,84;21;33,75;3,1;
1975-11-08;10,8;11,6;0;36,1;29,16;21,1;31,75;2,8;
1975-11-09;10,6;11,3;0;35,9;28,92;22,3;34;2,5;
1975-11-10;12,6;11,7;0;35,4;28,62;22,9;33;2,166667;
1975-11-11;13;11,1;0;36,4;29,62;23,4;34,5;2,966667;
1975-11-12;13,4;11,6;0;36,7;28,96;22,7;35,25;2,1;
1975-11-13;11,9;11,8;0;36,5;29,86;22,8;29,25;3;
1975-11-14;14,5;10,3;0;34,6;29,62;24,5;36;1,033333;
1975-11-15;11,8;9,4;0;34,9;24,3;null;37,75;3,766667;
1975-11-16;12,8;8,5;0;34,6;28,66;23,4;40;1,866667;
1975-11-17;12,3;9,1;0;33,9;27,9;23,6;41,25;2,9;
