Nome: URUCUI
Codigo Estacao: 82771
Latitude: -7.22999999
Longitude: -44.55
Altitude: 190
Situacao: Desativada
Data Inicial: 1978-08-10
Data Final: 1985-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1978-08-10;7,7;10,5;0;35,4;26,5;18,1;52,5;1,933333;
1978-08-11;8,5;10,9;0;35,4;26,48;18,5;51,75;2,366667;
1978-08-12;9;10,8;0;35,7;27,18;22,6;48,75;2;
1978-08-13;8,2;10,7;0;35,6;26,18;18,4;45,25;2,133333;
1978-08-14;8,3;10,6;0;36,3;25,5;17;48,5;1,733333;
1978-08-15;7,9;10;0;34,6;26,04;18;56,25;1,666667;
1978-08-16;6,8;10,2;0;35,2;27;20,4;50,75;2,5;
1978-08-17;8;10,8;0;34,9;26,32;19;46;2,733333;
1978-08-18;8,8;9,4;0;34,2;27,16;21,3;50,75;2,866667;
1978-08-19;9,4;10;0;33,6;26,86;22,8;50,25;3,033333;
1978-08-20;9,4;9,4;0;33,1;26,64;21,7;45,25;2,9;
1978-08-21;9,9;10,9;0;34,2;25,64;19,9;47,75;1,766667;
1978-08-22;8,1;10,9;0;34,9;25,66;16,2;45,75;2,7;
1978-08-23;8;10,4;0;35,5;26,66;18,1;50,5;2,533333;
1978-08-24;8,3;10,7;0;35,5;26,54;18,6;50,5;2,433333;
1978-08-25;7,9;10,1;0;35,8;26,88;18,8;47,25;3,166667;
1978-08-26;9;10,9;0;34,6;26,52;18,8;43,75;3,2;
1978-08-27;9,8;10,8;0;36,1;25,82;17,4;45,25;1,9;
1978-08-28;8,1;10,9;0;35,8;26,48;16,8;48;2,066667;
1978-08-29;8,4;11;0;35,8;27,44;19,7;53,75;1,633333;
1978-08-30;7,7;10,9;0;35,7;28,44;21,1;51;1,266667;
1978-08-31;7,5;10,6;0;35,8;28,08;21,3;54,25;1,9;
1978-09-01;6,9;10;0;34,4;28,1;21,4;57,75;1,766667;
1978-09-02;6;9,7;0;35,2;27,44;20,3;51,5;1,866667;
1978-09-03;9,6;10,7;0;34,9;26,86;20,8;48;2,3;
1978-09-04;10;10,6;0;35,1;26,54;19,5;45,5;2,666667;
1978-09-05;8,7;10,7;0;35,9;27,24;19,2;46,25;3,166667;
1978-09-06;9,2;10,7;0;35,8;28,3;21,5;51,25;1,433333;
1978-09-07;7,9;10,5;0;35,3;28,64;23;52,75;2,233333;
1978-09-08;7,4;7,4;0;34,3;27,92;21,6;57,75;1,966667;
1978-09-09;6,4;8,2;0;34,9;27,68;22,2;58,75;2,3;
1978-09-10;7,5;5;0;33,4;27,7;23,1;59,75;1,466667;
1978-09-11;5;10;0;35,1;28,34;21,6;58;1,066667;
1978-09-12;6,8;9,7;0;36;28,68;26,1;46,25;1,933333;
1978-09-13;9,7;9,9;0;35,5;27,16;19,6;42,75;2,266667;
1978-09-14;10,3;10,3;0;36,1;27,3;18,3;43;2,633333;
1978-09-15;12,5;10,9;0;36,4;29,52;23,2;33,25;4;
1978-09-16;13,9;10,9;0;36;28,12;23,3;46,75;2,733333;
1978-09-17;11,6;10,8;0;34,8;28,02;22,4;46,5;3,1;
1978-09-18;11,1;10,2;0;35,8;28,62;22,7;47,75;3,133333;
1978-09-19;10,1;10,7;0;37,3;29,22;23,1;44,25;2,2;
1978-09-20;10,3;9,8;0;34,9;28,22;21,9;48,5;2,366667;
1978-09-21;10,4;9,9;0;35,7;28,34;22,6;46,25;2,766667;
1978-09-22;10,4;10,6;0;36,4;29,08;23,5;42,75;3,3;
1978-09-23;3,7;3,3;0;35,2;26,58;21,6;74,5;1,6;
1978-09-24;10,3;10,5;0;35,2;28,36;23,9;51,5;2,533333;
1978-09-25;10,5;10,8;0;34,6;28,2;22,3;51,5;3,166667;
1978-09-26;10,7;10,9;0;36;28,66;24;48,5;3;
1978-09-27;13,5;10,3;0;35,1;28,56;24,9;50,5;3,266667;
1978-09-28;11,2;10,5;0;36,2;27,62;16,8;42;2,6;
1978-09-29;11,1;10,6;0;36,1;28,38;20,5;47,5;3,133333;
1978-09-30;9,8;9,5;0;36,6;29,64;23;45,25;3,533333;
1978-10-01;13,4;8,9;0;36,5;30,38;26,6;40,25;2,933333;
1978-10-02;12,7;11;0;37,1;28,7;21,8;43,75;2,766667;
1978-10-03;13,1;10,8;0;36,3;29,24;24,4;43,75;2,466667;
1978-10-04;13,9;10,5;0;35,8;29,42;25,3;45,25;3,366667;
1978-10-05;14,8;10,7;0;37,3;29,64;25,4;41;2,9;
1978-10-06;13,7;10,7;0;36,4;29,16;23,8;43,25;2,866667;
1978-10-07;10,2;8,5;0;36,9;30,26;21,6;40,5;2,866667;
1978-10-08;10,4;4,3;3,3;33,6;27,98;22,9;62,5;1,7;
1978-10-09;5,4;,1;4,4;29;24,7;21,8;82;,7;
1978-10-10;2,2;5;0;33,4;27,16;22,1;60,5;1,233333;
1978-10-11;5,9;6,8;0;32,9;26,92;22,7;67,5;1,433333;
1978-10-12;5;5,7;0;34,2;28,14;22,4;60,25;1,566667;
1978-10-13;4,9;8,3;0;36,3;29,3;22,9;55,75;1,333333;
1978-10-14;7,3;7,1;0;35,1;29,46;24,5;56,25;1,5;
1978-10-15;5,9;,9;57;29,8;23,86;21,1;87,25;1,5;
1978-10-16;1,3;5,7;2,2;33,1;25,82;21,5;76,75;2,4;
1978-10-17;3,4;7,9;0;33,5;27,56;22,8;63;2,066667;
1978-10-18;4,5;6;0;33,4;27,16;23,2;65,75;1,866667;
1978-10-19;4,6;7,4;0;33,8;27,78;23,1;67;2,066667;
1978-10-20;4,6;0;0;29,2;25,78;24,1;83,75;1,966667;
1978-10-21;1,9;8,7;,1;32,9;27,14;22,2;69;1,1;
1978-10-22;3,7;3,9;0;32,3;26,98;22,4;70;1,3;
1978-10-23;3,6;null;0;34;28,28;22,6;61,25;3,2;
1978-10-24;7,3;null;0;31,8;26,86;24,2;69,75;1,366667;
1978-10-25;3,8;null;0;33,7;27,38;22,3;65,25;1,933333;
1978-10-26;6,7;null;0;35,3;28,1;23,3;52,5;2,566667;
1978-10-27;7,8;null;0;34,9;27,82;20,6;56,5;1,033333;
1978-10-28;7,5;null;0;32,6;27,56;24,6;68,5;2,766667;
1978-10-29;3,5;null;1,2;33,2;27,16;22,6;68,25;2,133333;
1978-10-30;4,9;null;0;33,9;28,08;22,8;63;2;
1978-10-31;5,2;null;0;34,7;28,02;21,6;60,25;1,633333;
1978-11-01;6,1;null;0;34;27,44;21,7;64,75;,866667;
1978-11-02;5,1;null;0;34,4;28,2;21,9;61,25;1,1;
1978-11-03;5,5;null;0;35;28,42;23;58,75;1,5;
1978-11-04;6,1;null;0;34,7;27,88;23,5;63,75;3,833333;
1978-11-05;5,1;null;0;34;27,74;21,9;61,25;1,533333;
1978-11-06;4,9;null;0;32,2;26,18;20,9;72,75;1,233333;
1978-11-07;3,8;null;0;32,6;27,04;22,7;70,75;2,233333;
1978-11-08;3,5;null;7,1;26,9;23,78;21,5;89;1,066667;
1978-11-09;1,2;null;,1;32;25,96;21,3;69,5;2;
1978-11-10;5,3;null;0;33,9;26,44;19,8;60,5;1,633333;
1978-11-11;5,9;null;0;31,7;26,36;21,7;70,25;1,433333;
1978-11-12;3,7;null;0;33,5;27,04;21,8;68,75;1,333333;
1978-11-13;4,3;null;0;34;26,2;22,1;76,5;1,2;
1978-11-14;3;null;26,1;28,2;24,78;22,7;91;1,5;
1978-11-15;1,1;null;34,9;24,7;22,02;20,7;96,5;,7;
1978-11-16;,4;null;14,6;28,3;23,9;20,4;87,25;1,766667;
1978-11-17;1;null;,7;32,4;25,58;20,8;81,5;,566667;
1978-11-18;3,9;null;0;33,6;27,26;20,9;71,75;2,8;
1978-11-19;6,5;null;0;32,8;26,74;21,8;77,25;3,366667;
1978-11-20;4,6;null;0;32,9;26,44;21,5;69,75;2,133333;
1978-11-21;5;null;0;33,4;26,66;21;62;2,566667;
1978-11-22;5,9;null;0;34,5;27,76;20,6;50;2,733333;
1978-11-23;8,5;null;0;33,7;26,52;19,5;59,25;2,233333;
1978-11-24;7;null;0;34;27,04;21;63,75;1,933333;
1978-11-25;5,4;null;0;33,8;26,86;20,9;68;,866667;
1978-11-26;4,3;null;0;33,5;27,68;22,2;60,25;2,2;
1978-11-27;5,1;null;0;32;25,74;23,4;79,75;1,033333;
1978-11-28;2,7;null;6;28,1;24,98;22,8;90,25;1,966667;
1978-11-29;1,5;null;10,2;24,5;22,48;21,4;97;1,766667;
1978-11-30;,2;null;160,7;23,5;21,6;20,4;95,25;1;
1978-12-01;,1;null;5,2;29,4;24,4;20,3;81,25;1,733333;
1978-12-02;3,5;null;0;29,5;25,46;21,9;76,25;2,1;
1978-12-03;3,7;null;0;31,7;26,62;22,7;66,5;3,1;
1978-12-04;5,2;null;0;31,9;26,38;22,6;75;2,366667;
1978-12-05;4,6;null;0;32,6;26,4;22,3;69;3,066667;
1978-12-06;5;null;4,8;29,1;24,66;21,5;81,25;1,333333;
1978-12-07;2,6;null;0;32,2;26,18;22,1;74;2,766667;
1978-12-08;3,7;null;0;31,8;25;21,8;81;,533333;
1978-12-09;2,2;null;1;31,2;26,08;20,9;76,75;,466667;
1978-12-10;2,3;null;0;30,7;26,02;22,4;81,5;1,8;
1978-12-11;2,9;null;0;33,2;26,78;21,6;71;1,2;
1978-12-12;4;null;0;30,9;25,28;22,2;89,25;1,5;
1978-12-13;1,4;null;11,4;31,8;25,64;22,3;84;,533333;
1978-12-14;1,8;null;34,5;29,9;24,68;22,3;88;1,8;
1978-12-15;1,3;null;9,8;31,3;25,9;21,8;84;,733333;
1978-12-16;2,4;5;0;32;26,5;23,6;84;,466667;
1978-12-17;1,5;4,8;0;32,4;27,3;23,2;80;2,033333;
1978-12-18;2,8;1,9;,2;30,1;26,44;23,5;84,75;,966667;
1978-12-19;2;,1;36;28,2;24,66;21,8;90;1,4;
1978-12-20;1,4;,8;0;30,4;25,32;23,4;89,25;1,2;
1978-12-21;1,4;1,4;,1;29,3;25,54;22,8;82,25;1,4;
1978-12-22;2,1;1,9;,1;28,9;24,74;22,4;93;1;
1978-12-23;,9;4,8;15,2;30,4;25,8;22,3;76;1,3;
1978-12-24;2,6;7,3;0;30,8;25,3;21,4;80,75;1,833333;
1978-12-25;3;11;3;31,8;26,04;22,1;74;2,366667;
1978-12-26;5,8;11,1;0;31,9;26,2;20,6;73;2,033333;
1978-12-27;3,7;10,4;0;32,6;26,56;21,7;73,75;1,566667;
1978-12-28;3,9;6,9;0;31,1;26,22;21,8;78;,7;
