Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 1977-03-03
Data Final: 2022-03-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1977-03-03;null;null;null;null;null;null;null;null;
1977-03-04;,1;2,9;null;29,6;24,52;22,8;94,5;0;
1977-03-05;1;4,4;1,8;29;24,68;22;92,25;0;
1977-03-06;1,2;7,7;5,9;30,2;25,64;22,6;87,25;0;
1977-03-07;,8;7,6;0;32,4;26,36;22,6;82;,666667;
1977-03-08;3,2;8,8;0;33;25,84;23,2;85;0;
1977-03-09;2,5;7;0;30,6;26,2;22,2;83,75;0;
1977-03-10;2;3,8;0;27;26;23;83;0;
1977-03-11;,5;4,7;14;29,6;25,2;22;88,5;0;
1977-03-12;1,5;6,5;0;31,8;25,72;22,8;89,5;0;
1977-03-13;1,7;6,5;14,6;30,2;25,68;22,4;86,25;0;
1977-03-14;1,8;6,9;0;29,6;24,96;23;88,5;,666667;
1977-03-15;2;7;3,5;30,2;24,88;22,2;88,25;0;
1977-03-16;1,5;9,5;0;31,6;26,12;21,2;83;0;
1977-03-17;2;7,2;2,9;31,4;27,32;23,2;82,5;0;
1977-03-18;1,8;6,6;0;31,6;25,16;22,4;84,75;0;
1977-03-19;2;5;2,2;31,6;24,84;21,4;90,25;0;
1977-03-20;2;4,8;18,3;30,4;24,72;22,4;89,25;0;
1977-03-21;1,2;3,5;28,2;30;24,76;22,6;91,5;,333333;
1977-03-22;1,2;7;0;28,8;24,64;21,6;88,5;0;
