Nome: BRASILEIA
Codigo Estacao: 83010
Latitude: -11.01999999
Longitude: -68.72999999
Altitude: 260
Situacao: Desativada
Data Inicial: 1970-04-30
Data Final: 1974-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1970-04-30;null;null;null;null;null;null;null;null;
1970-05-01;null;null;null;null;null;null;null;null;
1970-05-02;null;null;null;null;null;null;null;null;
1970-05-03;null;null;null;null;null;null;null;null;
1970-05-04;null;null;null;32,6;26,32;23,7;89,75;null;
1970-05-05;2,4;null;0;32,6;27,26;23;88,25;null;
1970-05-06;1,8;null;0;31;26,92;23,8;92;null;
1970-05-07;2;null;0;30,7;27,36;23;86,75;null;
1970-05-08;2;null;6,1;29,2;23,2;18,3;88;null;
1970-05-09;1,2;null;0;29,2;21,88;18,4;89,75;null;
1970-05-10;1,1;null;0;27,9;23,26;19;86,25;null;
1970-05-11;1,6;null;0;32,6;24,56;19,9;92,5;null;
1970-05-12;2,9;null;0;32;24,38;19;93;null;
1970-05-13;1,8;null;0;33,7;24,96;19,8;91,75;null;
1970-05-14;2,6;null;0;34;25,02;19,3;93,25;null;
1970-05-15;2,8;null;0;33,5;25,72;20,2;94,25;null;
1970-05-16;1;null;8,2;31,9;24,98;20,5;90;null;
1970-05-17;1,8;null;0;32,5;24,86;19,8;92,75;null;
1970-05-18;2,5;null;0;32,5;24,98;19,5;94;null;
1970-05-19;2,5;null;0;32;24,92;20,1;94;null;
1970-05-20;2;null;0;31,1;24,9;17,7;96,25;null;
1970-05-21;2;null;10;27,8;19,08;13,2;94,25;null;
1970-05-22;,7;null;7,9;27,3;18,12;13,4;92,25;null;
1970-05-23;1,9;null;0;28;22,58;14,5;91,25;null;
1970-05-24;2,7;null;0;29,1;22,44;15,6;88;null;
1970-05-25;2,9;null;0;30,1;22,88;17;91;null;
1970-05-26;2,6;null;0;32,5;23,56;17;89,25;null;
1970-05-27;2,6;null;0;32,8;23,88;17;91,75;null;
1970-05-28;2,6;null;0;32,2;24,5;17,6;88,25;null;
1970-05-29;2,5;null;0;31,7;25;19,5;92,75;null;
1970-05-30;1,6;null;0;33,8;24,84;18,3;87,5;null;
1970-05-31;2,2;null;16,6;32;23,86;18,3;88,25;null;
1970-06-01;2,3;null;0;32,7;23,54;16,9;89,5;null;
1970-06-02;1,5;null;0;32,8;24,08;17,7;88,75;null;
1970-06-03;2,8;null;0;32,2;23,42;16,6;93,75;null;
1970-06-04;2,7;null;0;33,6;24,32;17,2;91;null;
1970-06-05;2,5;null;0;32,6;24;16,9;90,25;null;
1970-06-06;2,7;null;0;32,3;24,64;18,1;91;null;
1970-06-07;1,5;null;2,4;32,5;25,1;20;89,25;null;
1970-06-08;2,4;null;0;32,2;25,4;20,4;95,5;null;
1970-06-09;1,9;null;0;32,8;24,22;18,2;86,25;null;
1970-06-10;2,1;null;0;33;24,58;18,3;86,75;null;
1970-06-11;2,4;null;0;33;24,64;18,1;87,75;null;
1970-06-12;2,5;null;0;33,2;24,96;18,9;90,5;null;
1970-06-13;2,9;null;0;33,3;25,22;18,2;87,75;null;
1970-06-14;2,1;null;0;33,1;25,08;18,2;82,25;null;
1970-06-15;3;null;0;33;24,82;18,4;90,75;null;
1970-06-16;2,9;null;11;32,8;24,1;17;94;null;
1970-06-17;,6;null;0;32;23,64;18;88;null;
1970-06-18;,5;null;0;32,1;22,68;16,5;90,5;null;
1970-06-19;3;null;0;32,2;24,02;17;87;null;
1970-06-20;2,4;null;,5;31,8;23,76;17,7;91,25;null;
1970-06-21;1,9;null;5,2;31,9;23,82;17;89,5;null;
1970-06-22;1,9;null;2,5;32;24,04;17,5;87,25;null;
1970-06-23;2,8;null;67,2;29;20,8;11;88,5;null;
1970-06-24;1,1;null;37,6;28,6;14,96;8,8;88,5;null;
1970-06-25;2;null;1,3;28,5;15,74;8,9;90;null;
1970-06-26;1,6;null;0;28;16,14;8,8;88,5;null;
1970-06-27;2,5;null;0;28,7;19,82;10,5;85,5;null;
1970-06-28;2,3;null;0;27,3;19,4;10,5;91,5;null;
1970-06-29;1,5;null;0;30,8;20,1;14;88,5;null;
1970-06-30;3;null;0;30,1;20,28;9,1;90,5;null;
1970-07-01;2,9;null;0;28,8;20,96;11;null;null;
1970-07-02;3,7;null;0;26;18,64;10;null;null;
1970-07-03;2,9;null;0;28,8;18,48;9,9;null;null;
1970-07-04;3,4;null;0;30,4;20,52;12,7;null;null;
1970-07-05;3,8;null;0;31,2;21,2;13,9;null;null;
1970-07-06;2,8;null;0;30;22,66;15,9;null;null;
1970-07-07;1,8;null;0;32,2;23,64;16,7;null;null;
1970-07-08;2,6;null;1;30,4;20,86;10,5;null;null;
1970-07-09;1,7;null;0;30,4;16,26;10;null;null;
1970-07-10;1,4;null;0;30,3;16,26;8;null;null;
1970-07-11;3;null;0;30,4;19,92;11,1;null;null;
1970-07-12;5,5;null;0;30,4;21,1;14,9;null;null;
1970-07-13;5,6;null;0;29;18,24;10;null;null;
1970-07-14;3,5;null;0;31;18,96;10,2;null;null;
1970-07-15;3;null;0;31,6;20,64;11,9;null;null;
1970-07-16;2,9;null;0;32,6;21,48;13,1;null;null;
1970-07-17;3,1;null;0;32,5;22,98;15,4;null;null;
1970-07-18;1,9;null;3;32,6;23,62;16,5;null;null;
1970-07-19;2,3;null;0;32,7;23,24;17,1;null;null;
1970-07-20;2,1;null;29,3;32,6;23,3;16,6;null;null;
1970-07-21;1,6;null;20;32,5;22,64;13,9;null;null;
1970-07-22;2,5;null;0;31,3;22,64;15;null;null;
1970-07-23;2,9;null;0;31,8;22,04;13,7;null;null;
1970-07-24;3,9;null;0;null;null;13;null;null;
1970-07-25;3,2;null;0;32,8;22,02;15,3;null;null;
1970-07-26;3,6;null;0;32,5;21,58;12,5;null;null;
1970-07-27;4,4;null;0;33;22,66;13;null;null;
1970-07-28;3,5;null;0;32,9;23,34;15,3;null;null;
1970-07-29;3;null;0;32,5;22,96;15,5;null;null;
1970-07-30;3,3;null;0;32,2;23,46;16,2;null;null;
1970-07-31;2;null;4,5;31;23,44;17,2;null;null;
1970-08-01;2,2;null;0;33,2;23,16;15,8;84,75;null;
1970-08-02;2,7;null;0;33,1;22,98;15;83,5;null;
1970-08-03;2,8;null;0;33,3;23,04;15;83,75;null;
1970-08-04;2,6;null;0;31,2;23,1;15,5;86,75;null;
1970-08-05;2,6;null;0;33,1;23,48;15,5;80;null;
1970-08-06;2,8;null;0;33;23,56;16,5;86;null;
1970-08-07;3,2;null;0;32;23,04;15,2;85;null;
1970-08-08;2,5;null;0;25,7;19,72;10,9;85,25;null;
1970-08-09;5;null;0;27;16,84;8;71,25;null;
1970-08-10;5;null;0;28;16,06;7;84,75;null;
1970-08-11;5;null;0;31;17,34;5,8;86,25;null;
1970-08-12;4,5;null;0;32,6;19;7,9;84;null;
1970-08-13;4;null;0;33,6;20,68;10,3;81,75;null;
1970-08-14;4;null;0;34,1;22,8;14;83,5;null;
1970-08-15;4,5;null;0;33,9;24,56;14,8;83,25;null;
1970-08-16;4,2;null;0;33;23,4;15;82,5;null;
1970-08-17;4,8;null;0;34;22,22;12,3;80,75;null;
1970-08-18;4,1;null;0;35;21,88;11,5;81,75;null;
1970-08-19;4,8;null;0;35;22,26;12,3;80,75;null;
1970-08-20;6,1;null;0;35,2;23,14;13,4;77,75;null;
1970-08-21;2,8;null;0;37;24,68;15,5;82;null;
1970-08-22;5,6;null;0;35,2;24,18;11,7;79,5;null;
1970-08-23;3,8;null;0;36,2;24,42;12,9;82,75;null;
1970-08-24;5,3;null;0;30,9;24,4;17;86,5;null;
1970-08-25;3,9;null;0;30,1;24,68;17,6;91;null;
1970-08-26;7;null;0;30,8;22,56;15,3;82,25;null;
1970-08-27;3,7;null;0;32,5;23,4;15,5;83,5;null;
1970-08-28;4;null;0;34,3;23,72;15;85,5;null;
1970-08-29;3,9;null;0;33;24,4;16;81,25;null;
1970-08-30;4;null;0;26;23,8;18;84,25;null;
1970-08-31;2,9;null;14;30,1;21,6;16,5;81,5;null;
