Nome: SAO JOAO DE PETROPOLIS
Codigo Estacao: 83036
Latitude: -19.81
Longitude: -40.67
Altitude: 174
Situacao: Desativada
Data Inicial: 1976-10-31
Data Final: 1999-03-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-10-31;null;null;null;null;null;null;null;null;
1976-11-01;null;null;null;null;null;null;null;null;
1976-11-02;null;null;null;null;null;null;null;null;
1976-11-03;null;null;null;null;null;null;null;null;
1976-11-04;null;null;null;null;null;null;null;null;
1976-11-05;null;null;null;null;null;null;null;null;
1976-11-06;null;null;null;null;null;null;null;null;
1976-11-07;null;null;null;null;null;null;null;null;
1976-11-08;null;null;null;null;null;null;null;null;
1976-11-09;null;null;null;null;null;null;null;null;
1976-11-10;null;null;null;null;null;null;null;null;
1976-11-11;null;null;null;null;null;null;null;null;
1976-11-12;null;null;null;null;null;null;null;null;
1976-11-13;null;null;null;null;null;null;null;null;
1976-11-14;null;null;null;null;null;null;null;null;
1976-11-15;null;null;null;null;null;null;null;null;
1976-11-16;null;null;null;null;null;null;null;null;
1976-11-17;null;null;null;null;null;null;null;null;
1976-11-18;null;null;null;null;null;null;null;null;
1976-11-19;null;null;null;null;null;null;null;null;
1976-11-20;null;null;null;null;null;null;null;null;
1976-11-21;null;null;null;null;null;null;null;null;
1976-11-22;null;null;null;null;null;null;null;null;
1976-11-23;null;null;null;null;null;null;null;null;
1976-11-24;null;null;null;null;null;null;null;null;
1976-11-25;null;null;null;null;null;null;null;null;
1976-11-26;null;null;null;null;null;null;null;null;
1976-11-27;null;null;null;null;null;null;null;null;
1976-11-28;null;null;null;null;null;null;null;null;
1976-11-29;null;null;null;null;null;null;null;null;
1976-11-30;null;null;null;null;null;null;null;null;
1976-12-01;null;null;null;null;null;null;null;null;
1976-12-02;null;null;null;null;null;null;null;null;
1976-12-03;null;null;null;null;null;null;null;null;
1976-12-04;null;null;null;null;null;null;null;null;
1976-12-05;null;null;null;null;null;null;null;null;
1976-12-06;null;null;null;null;null;null;null;null;
1976-12-07;null;null;null;null;null;null;null;null;
1976-12-08;null;null;null;null;null;null;null;null;
1976-12-09;null;null;null;null;null;null;null;null;
1976-12-10;null;null;null;null;null;null;null;null;
1976-12-11;null;null;null;null;null;null;null;null;
1976-12-12;null;null;null;null;null;null;null;null;
1976-12-13;null;null;null;null;null;null;null;null;
1976-12-14;null;null;null;null;null;null;null;null;
1976-12-15;null;null;null;null;null;null;null;null;
1976-12-16;null;null;null;null;null;null;null;null;
1976-12-17;null;null;null;null;null;null;null;null;
1976-12-18;null;null;null;null;null;null;null;null;
1976-12-19;null;null;null;null;null;null;null;null;
1976-12-20;null;null;null;null;null;null;null;null;
1976-12-21;null;null;null;null;null;null;null;null;
1976-12-22;null;null;null;null;null;null;null;null;
1976-12-23;null;null;null;null;null;null;null;null;
1976-12-24;null;null;null;null;null;null;null;null;
1976-12-25;null;null;null;null;null;null;null;null;
1976-12-26;null;null;null;null;null;null;null;null;
1976-12-27;null;null;null;null;null;null;null;null;
1976-12-28;null;null;null;null;null;null;null;null;
1976-12-29;null;null;null;null;null;null;null;null;
1976-12-30;null;null;null;null;null;null;null;null;
1976-12-31;null;null;null;null;null;null;null;null;
1977-01-01;null;null;null;null;null;null;null;null;
1977-01-02;null;null;null;null;null;null;null;null;
1977-01-03;null;null;null;null;null;null;null;null;
1977-01-04;null;null;null;null;null;null;null;null;
1977-01-05;null;null;null;null;null;null;null;null;
1977-01-06;null;null;null;null;null;null;null;null;
1977-01-07;null;null;null;null;null;null;null;null;
1977-01-08;null;null;null;null;null;null;null;null;
1977-01-09;null;null;null;null;null;null;null;null;
1977-01-10;null;null;null;null;null;null;null;null;
1977-01-11;null;null;null;null;null;null;null;null;
1977-01-12;null;null;null;null;null;null;null;null;
1977-01-13;null;null;null;null;null;null;null;null;
1977-01-14;null;null;null;null;null;null;null;null;
