Nome: SAO BENTO DO SUL
Codigo Estacao: 83046
Latitude: -26.4
Longitude: -49.38
Altitude: 861
Situacao: Desativada
Data Inicial: 1976-08-31
Data Final: 1988-10-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-08-31;null;null;null;null;null;null;null;null;
1976-09-01;2;null;null;24,8;13,92;5,4;78,75;null;
1976-09-02;3,2;null;0;25,4;17,12;11;73;null;
1976-09-03;3;null;0;25;16,32;8;65;null;
1976-09-04;2,4;null;3;16;13,8;8;90,25;null;
1976-09-05;,4;null;4,4;null;null;7;88;null;
1976-09-06;,7;null;15;12,2;10,8;7,2;90;null;
1976-09-07;,5;null;20,4;14,4;11,88;7;92,75;null;
1976-09-08;,3;null;4;14,4;10,68;8;67,75;null;
1976-09-09;1,7;null;0;null;null;5,2;81,75;null;
1976-09-10;,3;null;15;12,4;9,56;7;83,75;null;
1976-09-11;,9;null;0;11;8,24;7,2;91,5;null;
1976-09-12;,4;null;22;11;8,44;6;91,75;null;
1976-09-13;,5;null;8;16,2;12,84;6;93,75;null;
1976-09-14;,4;null;6;20;11,68;7;83,5;null;
1976-09-15;1,3;null;0;18;12,7;8;81,25;null;
1976-09-16;1;null;0;20,3;12,5;6;79,25;null;
1976-09-17;1,7;null;0;25;14,24;6;77,5;null;
1976-09-18;2,3;null;0;26;14,64;9;79;null;
1976-09-19;3;null;0;12;9,6;8,4;86,5;null;
1976-09-20;,6;null;0;21;12,8;5;82;null;
1976-09-21;1,4;null;0;24,4;14,16;6;83,75;null;
1976-09-22;1,7;null;0;25;14,12;6;85,5;null;
1976-09-23;2,7;null;0;21;12,76;7;75,75;null;
1976-09-24;2,3;null;0;21;13,3;8;82,75;null;
1976-09-25;1;null;0;15;12,24;7;88,75;null;
1976-09-26;,6;null;0;21;14;9;86,75;null;
1976-09-27;,6;null;0;19;12,56;7;89;null;
1976-09-28;1,3;null;0;22;13,76;8;84;null;
1976-09-29;1,4;null;0;26;15,36;7;82;null;
1976-09-30;1,7;null;0;25;15,44;7,1;80;null;
1976-10-01;1,9;null;0;15,2;null;null;70,25;null;
1976-10-02;1,6;null;0;19,1;10,98;6,2;79,25;null;
1976-10-03;,6;null;0;19;13,26;7,2;77;null;
1976-10-04;1,6;null;0;18,3;14,56;11;88,25;null;
1976-10-05;,8;null;21;21;14,74;10;81,75;null;
1976-10-06;1,9;null;0;19,4;14,46;10,1;71,75;null;
1976-10-07;2,3;null;0;19;13,04;6;65,75;null;
1976-10-08;2,2;null;0;19;14,26;9,8;92,5;null;
1976-10-09;,7;null;8;24;15,94;12;85,5;null;
1976-10-10;1,8;null;4;21;15,6;11;78;null;
1976-10-11;1,3;null;0;22;14,8;11;84,75;null;
1976-10-12;2,2;null;0;23;15,34;11,2;80;null;
1976-10-13;2,9;null;0;22;16,66;12,1;77,75;null;
1976-10-14;1,8;null;0;27;18,2;12;82,5;null;
1976-10-15;2,2;null;0;23;16,84;12,8;89;null;
1976-10-16;1,2;null;6;20;16;13;88,25;null;
1976-10-17;1,1;null;21;23;19,16;12,2;74,25;null;
1976-10-18;1,8;null;27,4;22;17,6;15;88,75;null;
1976-10-19;,9;null;4,6;null;null;11;93;null;
1976-10-20;1;null;0;13;10,28;9;87,5;null;
1976-10-21;2,3;null;0;15;10,48;7;85,25;null;
1976-10-22;1,2;null;0;20;12,38;8;84;null;
1976-10-23;2,2;null;0;25,4;16,14;9;80,25;null;
1976-10-24;2,7;null;0;29;19,94;10,4;72;null;
1976-10-25;3,5;null;0;29;18,52;11;81,75;null;
1976-10-26;3,7;null;4;16;13,8;11;93,5;null;
1976-10-27;2;null;15;24;15,9;11;86,75;null;
1976-10-28;1,7;null;4;21;15,2;11;87,5;null;
1976-10-29;,8;null;4,2;21;15,42;11;87,25;null;
1976-10-30;1,7;null;0;27;18,48;13;72,75;null;
1976-10-31;1,1;null;0;19,2;15,06;13;90;null;
1976-11-01;1,1;null;0;25,4;18,94;12;81,25;null;
