Nome: SANTA MONICA (VALENCA)
Codigo Estacao: 83052
Latitude: -22.361064
Longitude: -43.698029
Altitude: 368.17
Situacao: Desativada
Data Inicial: 1982-06-30
Data Final: 2007-12-09
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1982-06-30;null;null;null;null;null;null;null;null;
1982-07-01;3,4;null;0;27,7;21,36;17,7;72;1,666667;
1982-07-02;3,1;null;0;20,7;18;16,9;87,5;1,666667;
1982-07-03;1,1;null;0;25,7;19,16;16,5;78,25;2,666667;
1982-07-04;2,3;null;0;28,3;20,12;15,1;73,75;1,333333;
1982-07-05;1,7;null;0;28,5;21,82;13,1;72;,333333;
1982-07-06;2,1;null;0;28,9;21,74;16,9;73,5;1;
1982-07-07;3,5;null;0;30,5;19,7;13,2;74,5;1;
1982-07-08;1,6;null;0;28,9;19,84;12,1;78,25;2,333333;
1982-07-09;3,5;null;0;28,1;19,32;12,1;80;1;
1982-07-10;2;null;0;24,3;17,86;13,6;84,25;,666667;
1982-07-11;1,9;null;0;26,8;19,9;11,9;73;3;
1982-07-12;2,6;null;0;26,9;21,16;16,1;67,75;3,666667;
1982-07-13;6;null;0;27,7;20,24;12,9;70,75;1;
1982-07-14;null;null;0;19,9;16,48;12,5;79;null;
1982-07-15;2;null;0;23,3;17,72;13,9;74,25;0;
1982-07-16;2;null;0;24,7;18,24;12,1;70;2,666667;
1982-07-17;4,1;null;0;23,9;18,4;10,3;68;2,666667;
1982-07-18;4,3;null;0;27,6;19,54;15,9;70,5;1;
1982-07-19;null;null;0;21,1;17;13,3;80,25;null;
1982-07-20;,4;null;0;25,2;17,9;14,1;74,5;0;
1982-07-21;2;null;0;26,6;18,14;13,5;79,5;1;
1982-07-22;2,4;null;0;27,6;18,1;11,1;76;1,333333;
1982-07-23;3,8;null;0;26,4;18,26;12,1;79,25;1,666667;
1982-07-24;2,4;null;0;28,1;17,88;11,7;79;1,333333;
1982-07-25;2,2;null;0;26,5;17,72;12,1;80,5;1,333333;
1982-07-26;3;null;0;27,8;17,58;10,9;76,25;1;
1982-07-27;2,8;null;0;27,6;17,14;11,1;76,75;1,666667;
1982-07-28;2,8;null;23,9;28,9;17,72;9,9;69,25;1,666667;
1982-07-29;5;null;0;29,3;19,28;10,9;71,25;2;
1982-07-30;2,2;0;2,5;22,1;15,42;12;86,75;1,666667;
1982-07-31;2,2;null;0;21,5;15,34;11;75,5;0;
1982-08-01;1,3;null;0;24,5;15,6;8,9;79;2;
1982-08-02;2,9;null;0;29,9;19,36;12,5;71,5;1;
1982-08-03;null;null;0;20,9;null;12,1;null;null;
1982-08-04;2;null;0;18,5;16,06;13,6;82,75;,766667;
1982-08-05;2,2;null;0;22,9;17,44;14,9;86,75;,333333;
1982-08-06;1,8;null;0;26,9;19,94;12,4;73;1,666667;
1982-08-07;null;null;0;25,5;null;15;null;null;
1982-08-08;2,3;null;0;29,4;19,92;14,8;66,75;2;
1982-08-09;2,8;null;0;30,9;21,24;14,3;63;1;
1982-08-10;2,7;null;0;28,3;20,76;13,7;73,25;2;
1982-08-11;null;null;0;24,9;null;14,9;null;null;
1982-08-12;null;null;8,8;20,9;null;10,7;null;null;
1982-08-13;null;null;0;24,7;null;12,2;null;null;
1982-08-14;3,3;null;0;24,9;18,52;12,3;69;1,333333;
1982-08-15;3,2;null;0;27,1;20,08;12,9;68;2;
1982-08-16;3,3;null;0;29,9;21,28;15,1;62,5;2,666667;
1982-08-17;null;null;0;30,9;null;9,9;null;null;
1982-08-18;2,5;null;0;28,9;20,72;14,9;78,75;3;
1982-08-19;null;null;2;21,1;null;14;null;null;
1982-08-20;1,7;null;0;23,9;17,22;13;72;1;
1982-08-21;3,5;null;0;27,8;19,7;12,9;66;1,333333;
1982-08-22;4,2;null;0;30,3;20,82;14;66,75;3;
1982-08-23;null;null;0;29,7;null;15,3;null;null;
1982-08-24;1,7;null;0;29,5;21,48;16,5;66,5;2;
1982-08-25;5;null;0;30,1;22,04;16,7;71,25;1,666667;
1982-08-26;4,6;null;0;30,9;23,12;15,9;62,25;1,666667;
1982-08-27;6,2;null;0;31,6;24,74;19,5;61,5;2;
1982-08-28;4,2;null;0;29,9;23,68;18,7;64,5;2,666667;
1982-08-29;null;null;0;29,1;null;13,5;null;null;
1982-08-30;2,1;null;0;30,3;21,8;15,9;65;3;
1982-08-31;3,1;null;9,9;31,1;22,46;16,3;65,75;1;
1982-09-01;null;null;0;26,9;20,58;17,2;83;null;
1982-09-02;3;null;,1;27,3;20,28;16,7;78;1;
1982-09-03;2,5;null;0;27,7;20,68;17,5;79,75;1,666667;
1982-09-04;3,4;null;0;26,3;19,92;16,1;73,5;2;
1982-09-05;4,3;null;0;31,3;21,32;15,7;65,75;2,333333;
1982-09-06;3;null;0;20,7;17,58;12,2;84,25;1,666667;
1982-09-07;null;null;1,8;22,3;16,24;13,7;90,5;null;
1982-09-08;2,3;null;0;22,1;15,44;11,7;74,5;1,666667;
1982-09-09;3;null;0;25,9;16,18;9,1;77,75;1,666667;
1982-09-10;3,1;null;0;28,1;18,4;12,1;72,75;0;
1982-09-11;4;null;0;29,5;19,92;13,9;71,75;2;
1982-09-12;3,5;null;0;30,7;22,04;15,7;65,25;2;
1982-09-13;3,5;null;0;32,1;23,12;16,7;59,25;,666667;
1982-09-14;4;null;0;32,7;23,16;15,9;61,5;1;
1982-09-15;4,9;null;0;31,3;22,36;16,7;75,5;2;
1982-09-16;5;null;0;29,3;22,84;17,5;58,75;2,666667;
1982-09-17;5,8;null;0;30,1;23;17,1;58,75;2,666667;
1982-09-18;4,4;null;0;34,1;24,68;17,9;71,5;1;
1982-09-19;4;null;0;29,1;20,8;14,1;78,25;1;
1982-09-20;null;null;,3;21,7;17;14,7;82;null;
1982-09-21;2,6;null;0;23,3;18,28;14,7;74,75;2;
1982-09-22;null;null;0;21,1;17,44;15,1;83,25;null;
1982-09-23;1,5;null;0;24,3;19,04;15,3;80,5;1,666667;
1982-09-24;null;null;0;25,5;19,18;15,4;68,75;null;
1982-09-25;4;null;0;27,1;20,22;15,1;61,25;1,333333;
1982-09-26;6,9;null;0;32,1;22,24;16,1;64;1,333333;
1982-09-27;6,6;null;0;32,3;24,66;18,4;54,5;1,666667;
1982-09-28;3,2;null;5,2;28,5;20,58;15,9;81,75;2,333333;
1982-09-29;2,9;null;0;22,5;17,56;14,3;79,5;1,333333;
1982-09-30;2,7;null;0;22,3;17,42;13,9;74,5;1,666667;
1982-10-01;3,2;null;0;25,4;18,9;13,9;67,75;2,666667;
1982-10-02;3,9;null;0;23,7;19,64;16,5;81,5;2,333333;
1982-10-03;3;null;4,1;26,7;20,28;16,9;87,75;1,333333;
1982-10-04;2,5;null;0;30,9;21,4;14,9;72;,666667;
1982-10-05;3,1;null;0;34,3;23,74;16,3;67,5;2,666667;
1982-10-06;4,9;null;0;23,1;19,08;15,9;80,25;3;
1982-10-07;3,5;null;0;28,5;22,98;16,9;72,25;2;
1982-10-08;5;null;0;26,7;22,04;18,9;79;1,666667;
1982-10-09;3,4;null;11;21,1;19,82;18,8;92,25;1,666667;
