Nome: CAMPO TENENTE
Codigo Estacao: 83077
Latitude: -25.98
Longitude: -49.68
Altitude: 0
Situacao: Desativada
Data Inicial: 1981-04-30
Data Final: 2002-09-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1981-04-30;null;null;null;null;null;null;null;null;
1981-05-01;2,3;6,6;0;20,3;null;13,2;null;7;
1981-05-02;3,7;4;0;20;null;13;null;6;
1981-05-03;null;3;0;null;null;15,4;null;null;
1981-05-04;null;5,7;4,8;null;null;15;null;null;
1981-05-05;null;6,9;0;null;null;15,2;null;null;
1981-05-06;3,4;6,7;0;20;null;15;null;2;
1981-05-07;null;7,1;0;null;null;14;null;null;
1981-05-08;2,8;4,9;0;23,7;null;12,8;null;3;
1981-05-09;1,8;5,1;0;23,3;null;14,4;null;1;
1981-05-10;2,7;8,7;0;23,3;null;13,6;null;1;
1981-05-11;null;9,1;0;null;null;12,9;null;null;
1981-05-12;4,9;9,3;0;25,7;null;14,6;null;1;
1981-05-13;5;6,9;0;26,9;null;10,4;null;1;
1981-05-14;6,4;5,7;0;25,8;null;16;null;5;
1981-05-15;5,5;8;,1;25,4;null;9,8;null;1;
1981-05-16;4,8;2;0;21,6;null;8;null;3;
1981-05-17;null;2;1,3;null;null;13;null;null;
1981-05-18;1,5;7,1;1,6;19,7;null;14,4;null;5;
1981-05-19;2,4;6,6;0;22,8;null;15,4;null;5;
1981-05-20;null;5,8;12;null;null;15,2;null;null;
1981-05-21;2,3;,1;0;25,2;null;13,6;null;5;
1981-05-22;1,4;2,3;6,2;18,8;null;14;null;4;
1981-05-23;1,4;6;0;21,1;null;12,7;null;5;
1981-05-24;null;7,9;0;null;null;13;null;null;
1981-05-25;null;5,2;0;null;null;12,4;null;null;
1981-05-26;null;4,5;0;null;null;8,5;null;null;
1981-05-27;null;0;0;null;null;11,3;null;null;
1981-05-28;,1;,4;7,6;15,4;null;11,4;null;3;
1981-05-29;,9;3,6;,5;16;null;10,3;null;5;
1981-05-30;1,1;3,1;0;18,3;null;8;null;0;
1981-05-31;,8;6;0;17,4;null;8,7;null;3;
1981-06-01;null;null;null;null;null;null;null;null;
1981-06-02;null;null;null;null;null;null;null;null;
1981-06-03;null;null;null;null;null;null;null;null;
1981-06-04;null;null;null;null;null;null;null;null;
1981-06-05;null;null;null;null;null;null;null;null;
1981-06-06;null;null;null;null;null;null;null;null;
1981-06-07;null;null;null;null;null;null;null;null;
1981-06-08;null;null;null;null;null;null;null;null;
1981-06-09;null;null;null;null;null;null;null;null;
1981-06-10;null;null;null;null;null;null;null;null;
1981-06-11;null;null;null;null;null;null;null;null;
1981-06-12;null;null;null;null;null;null;null;null;
1981-06-13;null;null;null;null;null;null;null;null;
1981-06-14;null;null;null;null;null;null;null;null;
1981-06-15;null;null;null;null;null;null;null;null;
1981-06-16;null;null;null;null;null;null;null;null;
1981-06-17;null;null;null;null;null;null;null;null;
1981-06-18;null;null;null;null;null;null;null;null;
1981-06-19;null;null;null;null;null;null;null;null;
1981-06-20;null;null;null;null;null;null;null;null;
1981-06-21;null;null;null;null;null;null;null;null;
1981-06-22;null;null;null;null;null;null;null;null;
1981-06-23;null;null;null;null;null;null;null;null;
1981-06-24;null;null;null;null;null;null;null;null;
1981-06-25;null;null;null;null;null;null;null;null;
1981-06-26;null;null;null;null;null;null;null;null;
1981-06-27;null;null;null;null;null;null;null;null;
1981-06-28;null;null;null;null;null;null;null;null;
1981-06-29;null;null;null;null;null;null;null;null;
1981-06-30;null;null;null;null;null;null;null;null;
1981-07-01;null;null;null;null;null;null;null;null;
1981-07-02;null;null;null;null;null;null;null;null;
1981-07-03;null;null;null;null;null;null;null;null;
1981-07-04;null;null;null;null;null;null;null;null;
1981-07-05;null;null;null;null;null;null;null;null;
1981-07-06;null;null;null;null;null;null;null;null;
1981-07-07;null;null;null;null;null;null;null;null;
1981-07-08;null;null;null;null;null;null;null;null;
1981-07-09;null;null;null;null;null;null;null;null;
1981-07-10;null;null;null;null;null;null;null;null;
1981-07-11;null;null;null;null;null;null;null;null;
1981-07-12;null;null;null;null;null;null;null;null;
1981-07-13;null;null;null;null;null;null;null;null;
1981-07-14;null;null;null;null;null;null;null;null;
1981-07-15;null;null;null;null;null;null;null;null;
1981-07-16;null;null;null;null;null;null;null;null;
1981-07-17;null;null;null;null;null;null;null;null;
1981-07-18;null;null;null;null;null;null;null;null;
1981-07-19;null;null;null;null;null;null;null;null;
1981-07-20;null;null;null;null;null;null;null;null;
1981-07-21;null;null;null;null;null;null;null;null;
1981-07-22;null;null;null;null;null;null;null;null;
1981-07-23;null;null;null;null;null;null;null;null;
1981-07-24;null;null;null;null;null;null;null;null;
1981-07-25;null;null;null;null;null;null;null;null;
1981-07-26;null;null;null;null;null;null;null;null;
1981-07-27;null;null;null;null;null;null;null;null;
1981-07-28;null;null;null;null;null;null;null;null;
1981-07-29;null;null;null;null;null;null;null;null;
1981-07-30;null;null;null;null;null;null;null;null;
1981-07-31;null;null;null;null;null;null;null;null;
1981-08-01;null;null;null;null;null;null;null;null;
1981-08-02;null;null;null;null;null;null;null;null;
1981-08-03;null;null;null;null;null;null;null;null;
1981-08-04;null;null;null;null;null;null;null;null;
1981-08-05;null;null;null;null;null;null;null;null;
1981-08-06;null;null;null;null;null;null;null;null;
1981-08-07;null;null;null;null;null;null;null;null;
1981-08-08;null;null;null;null;null;null;null;null;
1981-08-09;null;null;null;null;null;null;null;null;
1981-08-10;null;null;null;null;null;null;null;null;
1981-08-11;null;null;null;null;null;null;null;null;
1981-08-12;null;null;null;null;null;null;null;null;
