Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Fechada
Data Inicial: 1986-12-14
Data Final: 2021-03-14
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1986-12-14;null;null;null;null;null;null;null;null;
1986-12-15;null;8,7;null;null;null;21,4;null;null;
1986-12-16;null;1,8;0;38,4;27,32;21,3;88;null;
1986-12-17;null;5,3;39,2;38,6;26,02;21,5;88,5;null;
1986-12-18;null;9,8;0;null;28,16;22,4;80;null;
1986-12-19;null;8,7;0;null;27,06;22,5;77,75;null;
1986-12-20;null;9,8;9;38,7;26,98;20,5;80,75;null;
1986-12-21;null;7;0;null;25,82;19,8;79;null;
1986-12-22;null;10,7;0;38,6;26,84;20,5;78,75;null;
1986-12-23;null;6;3,2;null;26,22;20,3;86,25;null;
1986-12-24;null;1,3;6,2;38,6;25,8;22;91,75;null;
1986-12-25;null;0;4;38,6;25,92;21,7;94;null;
1986-12-26;null;1,4;26,8;38,6;26,16;21,3;87,5;null;
1986-12-27;null;,4;7,6;null;25,18;21,4;92,5;null;
1986-12-28;null;4,3;20,3;38,6;25,76;20;84,25;null;
1986-12-29;null;1,4;0;null;26,22;22,6;88,25;null;
1986-12-30;null;4,1;3,1;null;25,88;21,4;87,5;null;
1986-12-31;null;6,9;0;null;26,36;20,7;90;null;
1987-01-01;1,7;4;4;38,5;25,96;20,2;null;null;
1987-01-02;1,1;,9;1,3;38,6;25,98;21,3;null;null;
1987-01-03;2,9;6,4;0;38,6;26,68;21,2;null;null;
1987-01-04;2,5;7,3;0;38,7;26,52;22;null;null;
