Nome: UTIARITI
Codigo Estacao: 83262
Latitude: -13.03
Longitude: -58.28
Altitude: 385
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1965-12-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2,3;2,9;null;30,5;24,5;20,9;88,25;,333333;
1961-01-02;1,5;5,4;0;30,2;24,64;21;84;1,666667;
1961-01-03;2;3,5;10,2;29,8;24,42;21,1;83,5;3,333333;
1961-01-04;1,8;3,9;33;28;24;21;85,25;1,666667;
1961-01-05;1,7;7,4;0;31,3;25,08;20,7;85,75;1,666667;
1961-01-06;1,6;4,1;17,4;30;24,5;21,9;87;3;
1961-01-07;1,2;5;5;31,6;25,02;21,1;84,25;1,666667;
1961-01-08;1,3;4,5;0;31,7;25,34;21,6;86,75;,666667;
1961-01-09;1,8;4,2;49,4;30,4;24,7;21,2;89,75;1,333333;
1961-01-10;1,2;4,1;6,2;29,6;24,68;22,2;86,25;2,333333;
1961-01-11;1,2;0;1,8;27,6;23,32;21,4;94;1;
1961-01-12;,5;3,5;23,3;30,3;24,56;20,9;88,75;1,666667;
1961-01-13;1;,2;12,4;27,2;22,78;20,9;96,75;,666667;
1961-01-14;1;3,4;18,8;26,3;22,58;19,9;95,5;1,666667;
1961-01-15;1,4;6,7;2,2;30,4;24,66;20,9;83,25;,666667;
1961-01-16;1,2;1,5;,5;29;24,42;21,8;89,25;1;
1961-01-17;1,1;,9;14;28,2;23,44;21,1;96,75;0;
1961-01-18;,5;2,1;35,2;28,2;24,06;21,1;93,25;1,666667;
1961-01-19;,8;7,1;26;30,3;24,34;20,7;86,75;2,666667;
1961-01-20;1,8;10,2;1,2;32,2;25,36;20,1;79,75;1,666667;
1961-01-21;2,3;11,5;0;34,4;26,82;20,5;74,75;1,666667;
1961-01-22;3,2;4,3;1;32,2;25;22,2;87,75;,333333;
