Nome: MANGA
Codigo Estacao: 83337
Latitude: -14.73
Longitude: -43.97
Altitude: 415
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1965-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;30,4;null;18,4;null;1,333333;
1961-01-02;null;null;7,9;27,2;null;20;null;,666667;
1961-01-03;null;null;0;29,2;null;20;null;2;
1961-01-04;null;null;0;29,2;null;19,8;null;,666667;
1961-01-05;null;null;0;29,6;null;20;null;2;
1961-01-06;null;null;0;30,4;null;20,3;null;1,666667;
1961-01-07;null;null;1,5;27,2;null;19,8;null;1,333333;
1961-01-08;null;null;0;28,2;null;20;null;1,666667;
1961-01-09;null;null;null;31,2;null;20,5;null;1,666667;
1961-01-10;null;null;0;32,6;null;20;null;1;
1961-01-11;null;null;0;30,4;null;20;null;3,333333;
1961-01-12;null;null;0;26,4;null;18,4;null;3,333333;
1961-01-13;null;null;null;27;null;16,8;null;3;
1961-01-14;null;null;1,5;28,3;null;19;null;3,666667;
1961-01-15;null;null;0;29,8;null;19,8;null;1;
1961-01-16;null;null;0;32,4;null;19,6;null;2,666667;
1961-01-17;null;null;0;30,3;null;19,5;null;2,666667;
1961-01-18;null;null;0;31,2;null;17,8;null;,666667;
1961-01-19;null;null;0;33;null;17,3;null;3,333333;
1961-01-20;null;null;0;30,6;null;19,3;null;2,333333;
1961-01-21;null;null;5,3;26,4;null;20;null;3;
1961-01-22;null;null;5,3;26,4;null;18,8;null;3;
1961-01-23;null;null;2,3;27,6;null;18,4;null;2,333333;
1961-01-24;null;null;0;27,3;null;20,4;null;0;
1961-01-25;null;null;0;27,6;null;20;null;1;
1961-01-26;null;null;10,5;29;null;19,7;null;1,333333;
1961-01-27;null;null;6,4;27,8;null;20,1;null;3;
1961-01-28;null;null;0;29,2;null;20,3;null;,666667;
1961-01-29;null;null;,7;29,8;null;20,3;null;2,333333;
1961-01-30;null;null;1,7;30;null;21,7;null;3,333333;
1961-01-31;null;null;0;31,2;null;18,7;null;1,666667;
1961-02-01;null;null;0;32,6;null;17,1;null;1,666667;
1961-02-02;null;null;0;32,6;null;18,1;null;1,666667;
1961-02-03;null;null;0;30,2;null;15,5;null;2,666667;
1961-02-04;null;null;0;31,2;null;17,5;null;3,333333;
1961-02-05;null;null;0;34,2;null;17,1;null;1,666667;
1961-02-06;null;null;0;31,6;null;20,3;null;3,333333;
1961-02-07;null;null;0;34;null;19,7;null;1,666667;
1961-02-08;null;null;0;32,5;null;18,5;null;2;
1961-02-09;null;null;0;33,4;null;17;null;0;
1961-02-10;null;null;0;33;null;18;null;1,333333;
1961-02-11;null;null;0;31,3;null;20;null;2,666667;
1961-02-12;null;null;0;29,2;null;20;null;3,666667;
1961-02-13;null;null;1,8;29,6;null;18,2;null;2;
1961-02-14;null;null;0;31,2;null;20,2;null;2;
1961-02-15;null;null;44,7;26,3;null;17,6;null;1,666667;
1961-02-16;null;null;0;31,6;null;19,2;null;3,333333;
1961-02-17;null;null;0;32;null;16,2;null;2,666667;
1961-02-18;null;null;0;32,8;null;17;null;2,333333;
1961-02-19;null;null;0;31,3;null;17,8;null;1,333333;
1961-02-20;null;null;0;31,2;null;19,2;null;0;
1961-02-21;null;null;0;30,6;null;20,3;null;1;
1961-02-22;null;null;0;32,2;null;18,1;null;2;
1961-02-23;null;null;0;33;null;16,7;null;1;
1961-02-24;null;null;0;33,4;null;20,1;null;1;
1961-02-25;null;null;0;33,3;null;20,2;null;2,333333;
1961-02-26;null;null;0;33,4;null;18,8;null;2;
1961-02-27;null;null;0;32,6;null;19,6;null;1;
1961-02-28;null;null;0;33,4;null;17,2;null;1;
1961-03-01;null;null;0;31,4;null;19,3;null;,666667;
1961-03-02;null;null;0;33,8;null;18,8;null;1,333333;
1961-03-03;null;null;0;33;null;21;null;2;
1961-03-04;null;null;0;28,4;null;20,7;null;0;
1961-03-05;null;null;0;33,3;null;19,6;null;1;
1961-03-06;null;null;0;33,4;null;20,2;null;2,666667;
1961-03-07;null;null;0;33,4;null;20,4;null;4;
1961-03-08;null;null;0;32,8;null;23,4;null;3;
1961-03-09;null;null;0;33,2;null;18,4;null;2,333333;
1961-03-10;null;null;0;34,8;null;21,1;null;2,666667;
1961-03-11;null;null;0;34,2;null;21;null;2,666667;
1961-03-12;null;null;0;35,4;null;18;null;3,333333;
1961-03-13;null;null;0;34,8;null;20;null;2,666667;
1961-03-14;null;null;0;29;null;19,4;null;1;
1961-03-15;null;null;0;33,4;null;18;null;,666667;
1961-03-16;null;null;0;33,2;null;17,1;null;2,666667;
1961-03-17;null;null;39;29,2;null;19,5;null;1,333333;
1961-03-18;null;null;0;32;null;18,3;null;0;
1961-03-19;null;null;3;32,4;null;19,2;null;2;
1961-03-20;null;null;0;32,4;null;20,1;null;2,666667;
1961-03-21;null;null;0;33,4;null;19;null;2;
1961-03-22;null;null;0;32,2;null;17,2;null;2;
1961-03-23;null;null;0;31,6;null;18;null;1,666667;
1961-03-24;null;null;0;32,4;null;17,6;null;3,333333;
1961-03-25;null;null;0;29,6;null;17,8;null;3,333333;
1961-03-26;null;null;0;32,6;null;18,3;null;3;
1961-03-27;null;null;0;32,4;null;18,2;null;2;
1961-03-28;null;null;0;30,6;null;18,8;null;3;
1961-03-29;null;null;0;29,8;null;18;null;4,333333;
1961-03-30;null;null;0;29,4;null;16,2;null;3,333333;
1961-03-31;null;null;0;24,5;null;16;null;3,333333;
1961-04-01;null;null;0;31,6;null;16,8;null;3,666667;
1961-04-02;null;null;0;31,4;null;16,4;null;1;
1961-04-03;null;null;0;34,1;null;18;null;1,666667;
1961-04-04;null;null;0;35,6;null;19,9;null;2;
1961-04-05;null;null;0;35,4;null;18,8;null;2,666667;
1961-04-06;null;null;0;35,3;null;19;null;2;
1961-04-07;null;null;0;33,8;null;19,7;null;2;
1961-04-08;null;null;0;33,6;null;18,2;null;2;
1961-04-09;null;null;0;33,2;null;16,8;null;3,333333;
1961-04-10;null;null;0;35;null;20;null;2,666667;
1961-04-11;null;null;0;34,6;null;17,3;null;2,666667;
1961-04-12;null;null;0;33;null;19;null;2,333333;
1961-04-13;null;null;0;34;null;18,4;null;1,666667;
1961-04-14;null;null;0;35,4;null;19,3;null;2,666667;
1961-04-15;null;null;0;34,4;null;21;null;3,333333;
1961-04-16;null;null;0;33,6;null;18,2;null;3,666667;
1961-04-17;null;null;0;33,8;null;18,8;null;3,666667;
1961-04-18;null;null;0;33,6;null;19,3;null;1,333333;
1961-04-19;null;null;0;35,4;null;17,2;null;2,333333;
1961-04-20;null;null;0;34,4;null;18,8;null;1,666667;
1961-04-21;null;null;0;34,8;null;20,4;null;3,666667;
1961-04-22;null;null;0;33,6;null;19,4;null;1,666667;
1961-04-23;null;null;0;31,6;null;19,8;null;2,333333;
1961-04-24;null;null;0;33,4;null;19,2;null;1,666667;
1961-04-25;null;null;0;34,4;null;19,5;null;2,333333;
1961-04-26;null;null;0;33,4;null;19,8;null;1,333333;
1961-04-27;null;null;0;30,4;null;21,5;null;1,333333;
1961-04-28;null;null;41,1;28,4;null;18,8;null;1,333333;
1961-04-29;null;null;0;30,6;null;19,3;null;1,333333;
1961-04-30;null;null;0;25,8;null;19,3;null;2,666667;
1961-05-01;null;null;3,8;26,6;null;19,4;null;2,666667;
1961-05-02;null;null;6,8;31,4;null;19,5;null;2;
1961-05-03;null;null;0;32,2;null;18,4;null;1,333333;
1961-05-04;null;null;0;31;null;19,2;null;1,333333;
1961-05-05;null;null;0;32,5;null;19,4;null;,666667;
1961-05-06;null;null;0;31,6;null;20;null;,666667;
1961-05-07;null;null;0;32,4;null;20,2;null;2,333333;
1961-05-08;null;null;0;33,8;null;19,9;null;2,666667;
