Nome: ENG. DOLABELA (BOCAIUVA)
Codigo Estacao: 83438
Latitude: -17.1
Longitude: -43.8
Altitude: 633
Situacao: Desativada
Data Inicial: 1979-05-07
Data Final: 1997-10-09
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1979-05-07;null;null;null;null;null;null;null;null;
1979-05-08;null;null;null;null;null;null;null;null;
1979-05-09;null;null;null;null;null;null;null;null;
1979-05-10;null;null;null;null;null;null;null;null;
1979-05-11;null;null;null;null;null;null;null;null;
1979-05-12;null;null;null;null;null;null;null;null;
1979-05-13;null;null;null;null;null;null;null;null;
1979-05-14;null;null;null;null;null;null;null;null;
1979-05-15;null;null;null;null;null;null;null;null;
1979-05-16;null;null;null;null;null;null;null;null;
1979-05-17;null;null;null;null;null;null;null;null;
1979-05-18;null;null;null;null;null;null;null;null;
1979-05-19;null;null;null;null;null;null;null;null;
1979-05-20;null;null;null;null;null;null;null;null;
1979-05-21;null;null;null;null;null;null;null;null;
1979-05-22;null;null;null;null;null;null;null;null;
1979-05-23;null;null;null;null;null;null;null;null;
1979-05-24;null;null;null;null;null;null;null;null;
1979-05-25;null;null;null;null;null;null;null;null;
1979-05-26;null;null;null;null;null;null;null;null;
1979-05-27;null;null;null;null;null;null;null;null;
1979-05-28;null;null;null;null;null;null;null;null;
1979-05-29;null;null;null;null;null;null;null;null;
1979-05-30;null;null;null;null;null;null;null;null;
1979-05-31;null;null;null;null;null;null;null;null;
1979-06-01;null;9,5;0;25,2;14,02;3,5;77,5;,333333;
1979-06-02;null;9,8;0;24,4;16,42;8,7;73;1;
1979-06-03;null;6,6;0;25,6;17,6;10,5;70,25;1,666667;
1979-06-04;null;10,1;0;25,8;17,96;11,2;77;2;
1979-06-05;null;8,4;0;27,8;20,08;13;67,25;2;
1979-06-06;null;7,9;0;27,6;19,32;12,2;70;2;
1979-06-07;null;9,9;0;25,4;18,14;12,9;65,25;3,333333;
1979-06-08;null;9;0;26,6;19,7;9,7;67,5;0;
1979-06-09;null;9;0;25,5;19,58;12,2;68,25;2;
1979-06-10;null;9,7;0;28,1;19,56;11,9;62,75;1;
1979-06-11;null;5,3;0;25,1;17,48;12,4;70,25;2;
1979-06-12;null;3,2;0;26,8;18,18;9,6;74;,333333;
1979-06-13;null;2,7;0;27;19,44;13,1;68,5;0;
1979-06-14;null;0;0;28,5;19,8;10,4;68,25;,666667;
1979-06-15;null;0;0;23,7;18,06;15,4;71,75;4,666667;
1979-06-16;null;null;0;22,7;15,58;10;84;3;
1979-06-17;null;8;0;24,8;16,96;9,8;70;4;
1979-06-18;null;9,6;0;26,1;18,22;9;72;1;
1979-06-19;null;9,7;0;24,8;17,22;10,4;77,25;4,666667;
1979-06-20;null;10;0;25,2;16,92;10,7;70,5;2;
1979-06-21;null;10,1;0;24,6;16,12;8,4;71,75;3;
1979-06-22;null;1,7;0;23,5;16,44;9,2;80;1,333333;
1979-06-23;null;8,5;0;24;16,62;10,4;79;3,666667;
1979-06-24;null;7,1;0;26,2;19,14;12,1;68,75;2,666667;
1979-06-25;null;3,9;0;25,1;19,26;12,8;69,25;,333333;
1979-06-26;null;6,8;0;25,9;20,78;17,5;63,25;3;
1979-06-27;null;2;0;22,6;17,46;9,2;75,5;3,333333;
1979-06-28;null;3,7;0;24,1;17,3;9,1;67,75;2,666667;
1979-06-29;null;8,9;0;24,3;16,88;8,9;66,75;3,333333;
