Nome: MINAS NOVAS
Codigo Estacao: 83440
Latitude: -17.23
Longitude: -42.58
Altitude: 920
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1986-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2;null;null;28,3;23,06;20,6;92,75;1,666667;
1961-01-02;1,1;null;15,4;28,5;23,48;21;93,25;,666667;
1961-01-03;2,5;null;14,5;29,4;23,44;20;92,25;1,333333;
1961-01-04;,4;null;21,6;27,5;22,9;20;85,75;1;
1961-01-05;1,3;null;0;28,7;24,14;21,2;85;1,333333;
1961-01-06;1,9;null;0;29,5;23,4;21,1;92;,333333;
1961-01-07;1,1;null;5,5;29,7;24,2;20,6;83,75;2,333333;
1961-01-08;1,9;null;36,2;29,5;23,68;20,1;85,75;1;
1961-01-09;2,2;null;0;31,2;24,68;20;80;1,666667;
1961-01-10;2,1;null;0;28,2;21,56;18,6;87,5;2;
1961-01-11;1,5;null;44,6;29,3;22,42;18,6;91,5;1,333333;
1961-01-12;1,5;null;36;22,4;20,3;19,3;94,75;,333333;
1961-01-13;,5;null;3,2;26,7;22,86;19,1;83;1;
1961-01-14;1,8;null;1,2;27,7;21,62;19,2;95,5;1;
1961-01-15;,9;null;9,6;25,6;21,96;19,2;88,5;,666667;
1961-01-16;1;null;0;30,5;23,64;19,2;70;2;
1961-01-17;3,9;null;0;32;23,92;18,8;77;1,333333;
1961-01-18;4,4;null;0;32;23,66;20;84;1;
1961-01-19;2,5;null;2,4;31;24,04;19,1;75;1,666667;
1961-01-20;3,3;null;0;27,7;22,96;18,3;82,5;1,333333;
1961-01-21;1,4;null;37,5;22,1;19,96;19,4;95;1,666667;
1961-01-22;,7;null;29,4;27,5;22,26;19,2;87,25;2;
1961-01-23;1,7;null;2,5;31,9;24,62;20;75,5;1,666667;
1961-01-24;3,4;null;0;28,8;23,6;21,4;86;,666667;
1961-01-25;1,3;null;3,9;27,1;23,02;20,2;90;,333333;
1961-01-26;1;null;2;29,2;23,8;21,5;88,75;1;
1961-01-27;1,2;null;9,5;28,1;22,56;20,7;95,75;1,666667;
1961-01-28;,8;null;78;29;23,04;20,2;93,5;1,666667;
1961-01-29;1,3;null;32,5;32;24,38;20,7;91,5;,666667;
