Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 1960-01-01
Data Final: 2022-03-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2;null;null;31,6;26,72;20;56,75;1;
1961-01-02;2,6;null;5;31,6;25,36;20,2;72,75;,666667;
1961-01-03;2;null;25;30,6;25,48;18,6;72;,666667;
1961-01-04;1,4;null;0;30,4;25,4;21,8;73,25;1;
1961-01-05;2;null;63;32,4;25,4;20;72,5;1;
1961-01-06;3,4;null;0;33,4;26;20,2;68,75;,666667;
1961-01-07;4,6;null;11;31,8;24,96;19,4;72;2,666667;
1961-01-08;1;null;0;33,6;25,52;19,8;72,5;1,333333;
1961-01-09;4;null;45;34;27,64;23;70,5;2;
1961-01-10;2,6;null;0;31,8;25,64;23;73,25;1,666667;
1961-01-11;1,4;null;0;35,2;27,16;23;73,5;2,333333;
1961-01-12;2;null;79;35;24,68;19,8;81;1,666667;
1961-01-13;1,6;null;0;30;25,44;19;74,25;1,666667;
1961-01-14;1,4;null;8;32,4;25,92;19,2;65,25;1;
1961-01-15;2,2;null;31;30,4;24,6;19;76,75;1,333333;
1961-01-16;2,6;null;3;33;26,28;21;69,5;1;
1961-01-17;1,6;null;6;31,8;26,16;21,2;72,5;2;
1961-01-18;3,2;null;0;28,2;25,6;21;63,25;2,666667;
1961-01-19;3,2;null;22,5;33,2;27,88;22,4;71;1;
1961-01-20;4,2;null;0;32,2;27,12;21;63,5;1,666667;
1961-01-21;2,4;null;0;32,2;26,32;21,8;62,75;1,666667;
1961-01-22;3;null;68,1;33,6;25,08;19;61,25;,666667;
1961-01-23;4,2;null;25;31;27,04;20,6;57,75;3,666667;
