Nome: MINEIROS
Codigo Estacao: 83467
Latitude: -17.57
Longitude: -52.55
Altitude: 800
Situacao: Desativada
Data Inicial: 1975-07-09
Data Final: 1987-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1975-07-09;null;null;null;null;null;null;null;null;
1975-07-10;0;10,3;null;28,4;19,86;15,5;53,75;1;
1975-07-11;4,2;10,2;0;28;17,4;9,4;76;1,666667;
1975-07-12;4,4;10,3;0;29,6;18,84;10,7;60,75;,333333;
1975-07-13;4,6;10,6;0;30,4;20,12;11,3;57,5;1,333333;
1975-07-14;5,6;10,2;0;29,4;21,74;13,4;49,75;4;
1975-07-15;5,6;10,2;0;30,3;22,14;14,2;49,5;2;
1975-07-16;5,6;9,6;0;30,2;20,62;14,3;61,25;4,333333;
1975-07-17;5,6;,4;0;19,5;8;3;53,25;5,666667;
1975-07-18;4,3;10,1;0;15;7,26;1,3;48,5;3,333333;
1975-07-19;4,2;10,3;0;26,5;14,5;2,3;48,25;1,333333;
1975-07-20;4,1;10,4;0;27,8;16,82;6,8;52,5;,666667;
1975-07-21;4,3;10,4;0;28,2;17,88;9,4;59,75;1;
1975-07-22;4,6;9,1;0;28;18,94;10,5;56,5;1,333333;
1975-07-23;4,2;9,5;0;29,2;19,74;11,7;54,25;1,666667;
1975-07-24;4,3;9,1;0;29,4;19,78;11,4;52,75;1,333333;
1975-07-25;5,3;6,7;0;28,7;19,62;13,5;57,25;,333333;
1975-07-26;4,8;10,2;0;28,6;19,42;11,4;50,75;1,333333;
1975-07-27;6,1;10,4;0;29,7;20,78;10,9;49;1,333333;
1975-07-28;5,7;10;0;29,4;20,68;12,7;50,5;1,333333;
1975-07-29;5,1;10,2;0;29,7;19,5;11,6;59,25;1;
1975-07-30;4,8;10,3;0;30,4;19,74;10,9;50,75;2;
1975-07-31;4,8;10,5;0;30,2;19,92;11,3;58;1;
1975-08-01;5,3;9,9;0;29,4;21,2;12,4;49;2;
1975-08-02;7,1;9,4;0;30,2;22,26;17,6;55,75;3;
1975-08-03;6;10,7;0;31,4;23,74;15;43,5;2,333333;
1975-08-04;6,4;10,1;0;32,4;24,08;14,1;41;2,333333;
1975-08-05;7,6;10,3;0;31,8;23,3;14,9;43,75;2,666667;
1975-08-06;7,7;10,1;0;31,8;24,54;16,9;43;2,666667;
1975-08-07;7;7,1;0;32,4;23,14;15,5;57;2;
1975-08-08;5,2;8,4;0;32,6;22,88;16,2;57,25;1,333333;
1975-08-09;5,6;10,4;null;33;21,94;13,5;43,5;1,666667;
1975-08-10;6,7;9,1;0;30,9;19,9;12,3;66,25;2;
1975-08-11;5;7,8;0;29,8;19,9;13,1;65,5;1,333333;
1975-08-12;3,3;10,7;0;32;23,88;14,7;44,25;2;
1975-08-13;6,4;10,6;0;31,7;22,6;13,8;49,25;1;
1975-08-14;5,2;10,6;0;32,2;22,38;15,6;49;1,333333;
1975-08-15;6,9;10,9;0;30,7;22,44;16,3;44,75;3,333333;
1975-08-16;6,5;10,6;0;31,4;22,32;14,7;43;1;
1975-08-17;4,3;9,8;0;30,6;21,82;12,6;44;,666667;
1975-08-18;5,3;9,4;0;31;22,34;14,6;51;,666667;
1975-08-19;7,8;9,7;0;31,4;22,26;13,3;46,25;1,666667;
1975-08-20;3,8;9,4;0;32,3;23,36;14,4;49;,333333;
1975-08-21;5,6;9;,6;31,5;22,56;15,8;49,25;2,666667;
1975-08-22;7;10,3;0;32;23,7;13,6;38,25;3,333333;
1975-08-23;8,6;8,5;0;32;23,84;17,4;45,75;2,333333;
1975-08-24;6;9;0;32,4;23,22;15;50,25;,666667;
1975-08-25;6,1;9,6;0;32,3;23,28;15,2;48,75;2;
1975-08-26;5,6;8,6;0;32,4;24,24;16,9;55,75;2,333333;
1975-08-27;4,8;9,8;0;33,3;24,98;17,1;45,5;2,333333;
1975-08-28;6,2;8,8;0;34,4;24,28;14,3;41;1,666667;
1975-08-29;6,6;9,4;0;33,6;24,74;15,8;44,25;,666667;
1975-08-30;6,6;8,2;0;33,9;23,6;15,6;44,25;,666667;
1975-08-31;6,2;10,4;0;34,4;24;14,3;41,75;1,666667;
1975-09-01;7,1;9,9;0;34;23,7;15;43,75;1,666667;
1975-09-02;7,1;8,9;0;33,4;23,98;15;43,5;1;
1975-09-03;7,3;9,3;0;34;23,98;16,2;45,5;2,333333;
1975-09-04;6,5;8,6;0;33,8;24,74;16,1;50;1,333333;
1975-09-05;6,5;7,7;0;33,2;25,3;18,7;45,75;2;
1975-09-06;5,4;8,5;0;33;24,38;16,1;45,5;1,666667;
1975-09-07;7,6;6,8;0;33,4;25,66;19,4;47,5;2;
1975-09-08;6;5,8;0;34,2;26,26;17,4;39,5;2;
1975-09-09;6,5;8,5;0;34;25,38;17,4;45,5;1,333333;
1975-09-10;7,2;5,2;0;32;25,08;19;54;2,333333;
