Nome: ITAMBACURI
Codigo Estacao: 83490
Latitude: -18.02
Longitude: -41.02
Altitude: 285
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1975-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;null;null;null;null;null;
1961-01-02;null;null;null;null;null;null;null;null;
1961-01-03;null;null;null;null;null;null;null;null;
1961-01-04;null;null;null;null;null;null;null;null;
1961-01-05;null;null;null;null;null;null;null;null;
1961-01-06;null;null;null;null;null;null;null;null;
1961-01-07;null;null;null;null;null;null;null;null;
1961-01-08;null;null;null;null;null;null;null;null;
1961-01-09;null;null;null;null;null;null;null;null;
1961-01-10;null;null;null;null;null;null;null;null;
1961-01-11;null;null;null;null;null;null;null;null;
1961-01-12;null;null;null;null;null;null;null;null;
1961-01-13;null;null;null;null;null;null;null;null;
1961-01-14;null;null;null;null;null;null;null;null;
1961-01-15;null;null;null;null;null;null;null;null;
1961-01-16;null;null;null;null;null;null;null;null;
1961-01-17;null;null;null;null;null;null;null;null;
1961-01-18;null;null;null;null;null;null;null;null;
1961-01-19;null;null;null;null;null;null;null;null;
1961-01-20;null;null;null;null;null;null;null;null;
1961-01-21;null;null;null;null;null;null;null;null;
1961-01-22;null;null;null;null;null;null;null;null;
1961-01-23;null;null;null;null;null;null;null;null;
1961-01-24;null;null;null;null;null;null;null;null;
1961-01-25;null;null;null;null;null;null;null;null;
1961-01-26;null;null;null;null;null;null;null;null;
1961-01-27;null;null;null;null;null;null;null;null;
1961-01-28;null;null;null;null;null;null;null;null;
1961-01-29;null;null;null;null;null;null;null;null;
1961-01-30;null;null;null;null;null;null;null;null;
1961-01-31;null;null;null;null;null;null;null;null;
1961-02-01;null;null;null;null;null;19,6;null;1;
1961-02-02;3,2;null;0;null;null;18,6;72,5;1,333333;
1961-02-03;3,3;null;0;null;null;16,8;68,75;,666667;
1961-02-04;3,1;null;0;null;null;17,2;71,25;,666667;
1961-02-05;3,4;null;0;null;null;17,8;75;0;
1961-02-06;3,6;null;0;null;null;19,2;72,25;,666667;
1961-02-07;3;null;0;null;null;18,6;76,5;0;
1961-02-08;3;null;0;null;null;19,6;72;,666667;
1961-02-09;3;null;0;null;null;19,8;73;,666667;
1961-02-10;3,2;null;0;null;null;19,2;69;0;
1961-02-11;3;null;0;null;null;20,2;73,25;,666667;
1961-02-12;2,8;null;0;null;null;20,8;75,5;,666667;
1961-02-13;2,4;null;0;null;null;20,6;77,25;0;
1961-02-14;2;null;0;null;null;19,6;83,25;0;
1961-02-15;1,8;null;2,2;null;null;19,8;82,75;0;
1961-02-16;2;null;3,8;null;null;19,2;79,25;0;
1961-02-17;2,2;null;0;null;null;17,6;68,5;0;
1961-02-18;3,8;null;0;null;null;17,6;70,25;0;
1961-02-19;3,7;null;0;null;null;19,2;68,25;,666667;
1961-02-20;3,5;null;0;null;null;19,8;71,5;0;
1961-02-21;2,6;null;0;null;null;19,6;70,75;0;
1961-02-22;3,8;null;0;null;null;19,6;69;0;
1961-02-23;3,4;null;0;null;null;19,6;73;0;
1961-02-24;3,3;null;0;null;null;19,8;71;0;
1961-02-25;3,7;null;0;null;null;19,6;75;,666667;
1961-02-26;4;null;0;null;null;19,2;68,5;,666667;
1961-02-27;4;null;0;null;null;18,6;67,25;1,333333;
1961-02-28;4;null;0;null;null;18,8;68,75;0;
1961-03-01;4;null;0;null;null;18,8;67,5;0;
1961-03-02;3;null;0;null;null;19,2;70,5;0;
1961-03-03;3;null;37,6;null;null;19,2;89;,666667;
1961-03-04;2,6;null;0;null;null;20,2;78,75;0;
1961-03-05;3,4;null;0;null;null;19,8;79;0;
1961-03-06;2;null;0;null;null;20;77,25;0;
1961-03-07;3;null;0;null;null;20,2;77,25;,666667;
1961-03-08;3,5;null;0;null;null;19,8;74,5;1,333333;
1961-03-09;3,3;null;0;null;null;20,6;71,25;1,333333;
1961-03-10;3,7;null;0;null;null;21,2;76;0;
1961-03-11;4,5;null;0;null;null;20,4;74,25;0;
1961-03-12;4;null;0;null;null;20,2;68,75;,666667;
1961-03-13;3,5;null;0;null;null;20,4;69,25;,666667;
1961-03-14;3,5;null;0;null;null;20,2;72,75;0;
1961-03-15;4;null;0;null;null;20,2;71,5;0;
1961-03-16;3,8;null;0;null;null;20,2;74,25;0;
1961-03-17;4;null;0;null;null;19,8;72,25;1,333333;
1961-03-18;3,2;null;0;null;null;20,2;69,75;0;
1961-03-19;3,6;null;0;null;null;21;71,5;1,333333;
1961-03-20;null;null;null;null;null;null;null;null;
1961-03-21;null;null;null;null;null;null;null;null;
1961-03-22;null;null;null;null;null;null;null;null;
1961-03-23;null;null;null;30,4;null;20,7;null;1;
1961-03-24;2,4;null;0;31,6;24,02;17,1;69,25;,666667;
1961-03-25;2,6;null;0;32;23,78;16,1;69,25;,666667;
1961-03-26;2,1;null;0;32,2;23,42;17,7;84,75;1,333333;
1961-03-27;2,5;null;0;30,4;22,74;17,9;90,75;,666667;
1961-03-28;1,9;null;5,5;31;22,14;15,7;90,25;0;
1961-03-29;2,3;null;0;25,2;20,26;15,1;93,25;0;
1961-03-30;2,2;null;0;29,4;21,3;14,7;93;0;
1961-03-31;3;null;0;29,2;20,8;12;93,25;0;
1961-04-01;3;null;0;29,8;20,9;12,1;77,75;,666667;
1961-04-02;3;null;0;31,8;22,58;14,7;75,5;0;
1961-04-03;3;null;0;32;24,78;19,1;73;0;
1961-04-04;4;null;0;33,2;25,66;20,1;79;0;
1961-04-05;3;null;0;35;26,42;20,5;76,75;0;
1961-04-06;3,4;null;0;34,4;24,58;17,1;80,75;0;
1961-04-07;3,2;null;0;33;25,66;18,9;81,25;0;
1961-04-08;2,4;null;0;32;23,74;15,1;87,5;0;
1961-04-09;3,6;null;0;30;22,9;18,1;82,5;0;
1961-04-10;2,4;null;0;31,4;23,26;16,5;76,75;0;
