Nome: SAO JOAO EVANGELISTA
Codigo Estacao: 83541
Latitude: -18.42
Longitude: -42.78
Altitude: 662
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1965-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;26,5;22,02;19,5;94;,333333;
1961-01-02;null;null;41,2;25,5;22,14;20,5;91;1,333333;
1961-01-03;null;null;4,6;28;23,1;21;87,5;1,333333;
1961-01-04;null;null;8,4;22,5;21,26;20,5;93;,333333;
1961-01-05;null;null;14,8;27,5;22,64;20;89,25;,333333;
1961-01-06;null;null;25,6;29;22,58;20;87,25;,333333;
1961-01-07;null;null;3,2;28,5;23,1;20,5;88,75;,666667;
1961-01-08;null;null;6,6;28,5;23,46;21,5;87,25;,333333;
1961-01-09;null;null;1,8;31;23,42;21;86,25;,666667;
1961-01-10;null;null;20,2;24,5;22,68;19;78,25;,333333;
1961-01-11;null;null;10,2;28,5;21,74;18,5;88,75;1,333333;
1961-01-12;null;null;68,4;31;21,24;18,5;95,5;,333333;
1961-01-13;null;null;21,2;22;20,06;19;95,75;,333333;
1961-01-14;null;null;6,8;25;21,46;20;92,75;,333333;
1961-01-15;null;null;3;25,5;21,7;19,5;86,75;,666667;
1961-01-16;null;null;0;29;21,36;18,5;86,5;,333333;
1961-01-17;null;null;,2;29,5;22,2;19;85,75;,666667;
1961-01-18;null;null;0;30,5;23,62;19,5;80,75;,333333;
1961-01-19;null;null;0;30;23,28;18,5;81;,666667;
1961-01-20;null;null;0;26;21,86;20;86,5;,666667;
1961-01-21;null;null;10,8;26;20,3;18;92,5;,333333;
1961-01-22;null;null;0;28;22,56;18,5;88;0;
1961-01-23;null;null;0;30;23,6;20,5;87,75;,333333;
1961-01-24;null;null;14,4;26,5;23,1;21,5;93;0;
1961-01-25;null;null;2,2;27,6;22,26;20;89;,333333;
1961-01-26;null;null;9,2;26,5;22,4;21;93,5;,333333;
1961-01-27;null;null;16,4;25,5;21,86;20,5;95,25;0;
1961-01-28;null;null;53,2;29;23,28;20,5;87;,666667;
1961-01-29;null;null;5,4;29,5;22,84;20;90;0;
1961-01-30;null;null;4,6;28,5;23,36;21;87,75;,333333;
1961-01-31;null;null;0;29,5;23,28;20;84,25;,666667;
1961-02-01;null;null;20;29,5;22,68;20;88;,666667;
1961-02-02;null;null;0;30;23,18;20;85,25;,666667;
1961-02-03;null;null;0;29,5;21,28;16;82,75;,666667;
1961-02-04;null;null;0;29,5;21,44;16;85,5;,666667;
1961-02-05;null;null;0;30,5;22,38;17,5;83,5;,666667;
1961-02-06;null;null;0;30;22,28;17,5;83,5;,666667;
1961-02-07;null;null;0;30;21,56;16,5;88,5;,333333;
1961-02-08;null;null;0;31,5;21,54;15,5;85;,333333;
1961-02-09;null;null;0;30,5;22,52;17;81,25;,666667;
1961-02-10;null;null;0;30;22,94;19;82,5;,333333;
1961-02-11;null;null;0;32;24,24;19,5;80,25;,666667;
1961-02-12;null;null;6,6;26,5;22;20;89,75;,333333;
1961-02-13;null;null;7;29;23,18;20;85,5;,666667;
1961-02-14;null;null;4;29,5;22,46;18,5;93,25;0;
1961-02-15;null;null;18,6;22;19,76;18,5;93,25;1,333333;
