Nome: UBERABA
Codigo Estacao: 83577
Latitude: -19.73722221
Longitude: -47.94972221
Altitude: 753.41
Situacao: Fechada
Data Inicial: 1960-01-01
Data Final: 2018-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,4;2,8;null;27,4;21,68;18,6;82,75;,666667;
1961-01-02;1,8;1,1;14,9;25,5;20,78;18,8;94,75;,333333;
1961-01-03;,6;1,1;39,8;26;21,7;18,8;94;1,333333;
1961-01-04;1,1;,7;5,2;25,1;21,42;19,2;95;,333333;
1961-01-05;1,2;2;7,4;28;22,64;19,1;85,25;,333333;
1961-01-06;1,7;,5;2,5;25,6;21,56;19,4;92,5;1;
1961-01-07;1,3;2,7;30,8;28;22,4;18,8;85,5;0;
1961-01-08;1,4;3,3;9;29,4;23,44;18,8;81,25;,333333;
1961-01-09;1,9;3,3;9,3;29,8;23,4;19,6;96,25;,333333;
1961-01-10;1,6;7,7;40,6;29;24,12;19,2;80,25;,666667;
1961-01-11;3;6,4;0;30,4;23,24;19,8;88,75;,666667;
1961-01-12;1,8;2,3;17,1;27,6;21,44;18,4;89,75;1,333333;
1961-01-13;1,4;6,4;1,5;25,4;21,68;18,6;80,5;1;
1961-01-14;3;8,4;,6;27,6;22,36;17,4;81,25;,666667;
1961-01-15;2,8;6,6;3,8;28,8;23,24;18,6;85;,333333;
1961-01-16;2,1;10,2;2,8;30;23,96;17,8;69;1;
1961-01-17;4,7;7,8;0;31,4;23,88;19;76,25;,666667;
1961-01-18;3,8;9,8;,8;32,6;25,04;18,4;70;,666667;
1961-01-19;4,6;9,3;0;32,6;24,96;19,2;73,5;,333333;
1961-01-20;4,2;6;4,9;31,2;23,92;18,8;75,75;,666667;
1961-01-21;3,6;5,4;14,6;26,4;22,28;18,6;89,25;,333333;
1961-01-22;2,6;6,8;2;31,2;24,32;18,8;82,25;,333333;
1961-01-23;3;7,9;0;30,2;23,44;19,8;85,75;,666667;
1961-01-24;3;2,9;34,6;29;22,76;19;90,25;,666667;
1961-01-25;1,8;,7;1,1;26,4;22,52;19,8;90,75;,666667;
1961-01-26;,8;,2;7,9;25,2;21,64;19,6;90,75;,333333;
1961-01-27;1,2;0;16,6;22,4;19,72;18;93,25;,666667;
1961-01-28;,8;,2;5,3;25,4;20,8;17,4;92,25;,666667;
1961-01-29;1,2;,8;8,4;25,1;21,06;18,8;92,25;,666667;
1961-01-30;1;2,5;1,1;26,4;21,44;18,2;93;,666667;
1961-01-31;2;6,3;3,7;28;22,56;18;81,5;1,666667;
1961-02-01;3;4,9;0;26,5;22,86;18,6;84,75;,666667;
1961-02-02;2,4;3,7;23;29,8;23,08;18,6;83,25;,333333;
1961-02-03;1,6;10,8;7;32,2;24,56;16,6;69,25;,333333;
1961-02-04;3,8;8;0;32,4;25,44;19,8;70,25;,333333;
1961-02-05;3,8;10,3;0;31,6;24,4;18,2;69,25;,333333;
1961-02-06;4,3;11,1;0;32,6;25,12;18,4;67;1;
1961-02-07;4,4;7,7;5,8;33,2;24,96;19;74;1,333333;
1961-02-08;3,2;6,2;1,8;31;24,44;19;76,25;,333333;
1961-02-09;2,8;5,6;0;31,6;23,96;20;77,75;0;
1961-02-10;3,2;4;0;31,6;22,96;19,8;80;,333333;
1961-02-11;,6;4,2;32,4;28,6;22,52;12,4;84,5;,333333;
1961-02-12;1,8;6;19;29,2;23,56;19,8;81;,666667;
1961-02-13;2,6;,3;3;25,8;21,44;19,4;89,75;,666667;
1961-02-14;1,6;2,3;41,9;24,2;19,62;16,4;89,75;1;
1961-02-15;1,8;4,1;30,5;28,7;21;17,1;94,75;2;
1961-02-16;1,4;2,7;22,2;27,2;21,26;18,4;86,75;1,333333;
1961-02-17;1,8;2;34,8;27,2;21,44;18;86,75;1;
1961-02-18;2,2;1;57,2;27,4;21,46;17,8;87,5;0;
1961-02-19;1,3;3,4;8;28,6;22,04;18,6;87,75;,333333;
1961-02-20;2,1;3;42,6;25,1;20,7;18;92,5;,666667;
1961-02-21;1,6;5,5;35,9;28,8;23;19,6;81;,666667;
1961-02-22;2,6;4,7;4,2;27,8;23,56;19,6;76,75;,666667;
1961-02-23;3,6;2,2;0;27,6;22,8;19,8;83,5;,666667;
1961-02-24;2;,1;9,7;25,4;22,04;18,8;90;,333333;
1961-02-25;1,6;4,3;0;29,4;23,48;18,6;76;,666667;
1961-02-26;2,8;6,9;0;29,6;24,68;20,4;77,25;,666667;
1961-02-27;3,4;,2;0;26,2;22,28;20,2;91,25;,333333;
1961-02-28;,4;4,6;38,6;30,6;22,28;18,6;85,25;,666667;
1961-03-01;1,8;1,6;8,6;30,2;22,4;18,2;85,5;,666667;
1961-03-02;2,4;6,9;0;30,6;23,48;18,4;84,75;1,333333;
1961-03-03;2,4;8,3;0;30,4;23,68;19,2;75,25;,666667;
1961-03-04;2,2;10,5;7,6;31,4;23,88;19,8;79,25;1;
1961-03-05;3,6;4,4;8,5;30,4;22,84;19,4;94;,333333;
1961-03-06;1,6;1,9;3,4;28,6;22;19,2;90;0;
1961-03-07;1,2;2,9;23,3;28;21,72;19,2;89,75;0;
1961-03-08;1;1,3;55,7;27,4;21,88;18,9;84,5;1;
1961-03-09;1,6;5,4;3;29,2;22,94;19,3;80,75;,333333;
1961-03-10;3;8,3;0;32,4;23,4;19,6;79,5;,666667;
1961-03-11;3;6,2;,5;31,8;24,48;19,4;75;,666667;
1961-03-12;3,8;9,2;0;32,4;25,44;20,4;71,75;,333333;
1961-03-13;3,8;2,6;12,2;27,6;22,16;18,8;86;,666667;
1961-03-14;2,4;5,2;0;29,4;23,64;20,4;83;0;
