Nome: SANTA TERESA
Codigo Estacao: 83647
Latitude: -19.936468
Longitude: -40.592526
Altitude: 644.5
Situacao: Desativada
Data Inicial: 1976-10-31
Data Final: 2005-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1976-10-31;null;null;null;null;null;null;null;null;
1976-11-01;null;null;null;24,8;null;16,6;null;null;
1976-11-02;null;null;0;25,2;null;15;null;null;
1976-11-03;null;null;8,5;26,2;null;14,3;null;null;
1976-11-04;null;null;0;27,8;null;15;null;null;
1976-11-05;null;null;0;29,4;null;16,8;null;null;
1976-11-06;null;null;43,2;28,5;null;20,3;null;null;
1976-11-07;null;null;6,3;21,6;null;16,8;null;null;
1976-11-08;null;null;,3;19,6;null;16,7;null;null;
1976-11-09;null;null;0;21,4;null;16,8;null;null;
1976-11-10;null;null;0;22,3;null;16,5;null;null;
1976-11-11;null;null;,5;24,8;null;15,9;null;null;
1976-11-12;null;null;0;22,3;null;17,9;null;null;
1976-11-13;null;null;6,1;21,4;null;15,8;null;null;
1976-11-14;null;null;41,2;22;null;16,6;null;null;
1976-11-15;null;null;1;26,4;null;16,6;null;null;
1976-11-16;null;null;0;25,6;null;17,3;null;null;
1976-11-17;null;null;49,1;20,8;null;14,8;null;null;
1976-11-18;null;null;28,6;23,8;null;19;null;null;
1976-11-19;null;null;38,9;25,4;null;19;null;null;
1976-11-20;null;null;2;26,9;null;19;null;null;
1976-11-21;null;null;0;28,6;null;19,4;null;null;
1976-11-22;null;null;8,9;24,6;null;18;null;null;
1976-11-23;null;null;38,5;24,9;null;16,3;null;null;
1976-11-24;null;null;11,6;26,6;null;17,6;null;null;
1976-11-25;null;null;,3;26,2;null;17;null;null;
1976-11-26;null;null;0;27,4;null;18,8;null;null;
1976-11-27;null;null;0;26;null;18,1;null;null;
1976-11-28;null;null;0;24,8;null;15,6;null;null;
1976-11-29;null;null;1,5;26,8;null;14,4;null;null;
