Nome: TAMOIO
Codigo Estacao: 83666
Latitude: -21.78
Longitude: -48.17
Altitude: 780
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1970-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;,5;null;null;null;null;18,8;92;1,333333;
1961-01-02;,4;null;17;null;null;20;91,5;3,333333;
1961-01-03;,5;null;1;null;null;19,8;81,5;2;
1961-01-04;,7;null;11,5;null;null;20;86;2;
1961-01-05;,4;null;1,3;null;null;19,6;82,25;0;
1961-01-06;,9;null;6,7;null;null;19,8;95,75;2,666667;
1961-01-07;,4;null;23;null;null;19;91,75;1,333333;
1961-01-08;,3;null;7,5;null;null;18,8;84,75;,666667;
1961-01-09;,7;null;0;null;null;19,8;84,5;3,333333;
1961-01-10;,6;null;9;null;null;19,8;87,75;2;
1961-01-11;,8;null;4;null;null;19,4;86,25;2;
1961-01-12;,7;null;0;null;null;18;73,5;2;
1961-01-13;1;null;,5;null;null;19,4;90,25;2;
1961-01-14;,7;null;9,5;null;null;18,4;78,75;2;
1961-01-15;,7;null;0;null;null;19,4;73,25;1,333333;
1961-01-16;1,1;null;1,5;null;null;19;71,75;3,333333;
1961-01-17;1,1;null;0;null;null;19;84,75;2,666667;
1961-01-18;,7;null;12,5;null;null;18,8;73,75;2;
1961-01-19;,6;null;0;null;null;18,6;78,75;3,333333;
1961-01-20;1;null;20;null;null;19;81,25;1,333333;
1961-01-21;,7;null;14,5;null;null;18,8;83,75;2,666667;
1961-01-22;,7;null;4;null;null;18,6;77,5;3,333333;
1961-01-23;1,4;null;0;null;null;20,4;79,75;2,666667;
1961-01-24;1,5;null;6,5;null;null;19,4;75,25;2,666667;
1961-01-25;1;null;0;null;null;19,8;71,25;3,333333;
1961-01-26;,7;null;0;null;null;19;65,5;6;
1961-01-27;1,3;null;0;null;null;17,4;78,75;8;
1961-01-28;,6;null;,5;null;null;16,6;85,5;4,666667;
1961-01-29;,4;null;0;null;null;17,4;83,5;1,333333;
1961-01-30;,3;null;0;null;null;18;79,5;1,333333;
1961-01-31;,2;null;0;null;null;17,2;74,75;3,333333;
1961-02-01;,7;null;0;null;null;18,8;76,5;2;
1961-02-02;,8;null;0;null;null;18,4;73;1,333333;
1961-02-03;,4;null;22;null;null;18,2;81,25;1,333333;
1961-02-04;,6;null;5;null;null;19,4;79;2;
1961-02-05;,4;null;31;null;null;17,6;85,25;2;
1961-02-06;,5;null;4;null;null;18,8;73,75;4;
1961-02-07;,8;null;0;null;null;17,8;68,75;,666667;
1961-02-08;1,2;null;0;null;null;20,6;74,75;1,333333;
1961-02-09;3;null;0;null;null;20,2;74,75;2;
1961-02-10;3,1;null;23,5;null;null;19,4;79,5;3,333333;
1961-02-11;2,6;null;2;null;null;20,2;81,5;3,333333;
1961-02-12;1,3;null;23;null;null;18,6;92;1,333333;
1961-02-13;1,3;null;21,5;null;null;18;88,75;2;
1961-02-14;2;null;3;null;null;17;67,5;4,666667;
1961-02-15;5,1;null;0;null;null;15,6;77;2,666667;
1961-02-16;3,5;null;0;null;null;17,4;90,25;3,333333;
1961-02-17;1,4;null;25;null;null;18,6;84,75;5,333333;
1961-02-18;2;null;0;null;null;18,6;86,75;3,333333;
1961-02-19;2,1;null;1,5;null;null;18;85;4;
1961-02-20;1,8;null;30,5;null;null;16,4;80;,666667;
1961-02-21;2,2;null;0;null;null;17,6;80,25;2,666667;
1961-02-22;1,4;null;1,5;null;null;19,8;81,25;2,666667;
1961-02-23;1,6;null;19,5;null;null;19;90,5;2;
1961-02-24;1;null;4,5;null;null;18,8;84,75;2,666667;
1961-02-25;2,6;null;3;null;null;18,8;78,25;2,666667;
1961-02-26;3,8;null;0;null;null;19;81,25;1,333333;
1961-02-27;2,4;null;29,5;null;null;19,6;91,5;,666667;
1961-02-28;1;null;0;null;null;19,6;83,75;2,666667;
1961-03-01;1,7;null;1;null;null;19;84,5;4;
1961-03-02;2,6;null;0;null;null;17;72,75;4,666667;
1961-03-03;3,7;null;0;null;null;15,4;63;2,666667;
1961-03-04;3,5;null;0;null;null;18;65,75;4;
1961-03-05;3,2;null;0;null;null;16,8;74;1,333333;
1961-03-06;5,5;null;13,5;null;null;15,6;75,75;3,333333;
1961-03-07;4,7;null;4;null;null;19;85,5;2;
1961-03-08;3,5;null;2,8;null;null;19;89,25;1,333333;
1961-03-09;1;null;26,5;null;null;18,4;87;1,333333;
1961-03-10;2,7;null;3,5;null;null;19,8;75,5;1,333333;
1961-03-11;3,3;null;0;null;null;20;80;,666667;
1961-03-12;2;null;2,5;null;null;20,4;79,75;4;
1961-03-13;3,1;null;,5;null;null;19;79,25;1,333333;
1961-03-14;3,2;null;0;null;null;19,4;75,25;2,666667;
1961-03-15;3,2;null;0;null;null;19,6;82,5;1,333333;
1961-03-16;2,9;null;1;null;null;19,2;75,25;3,333333;
1961-03-17;3,3;null;0;null;null;19,8;80,5;3,333333;
1961-03-18;2,3;null;8,5;null;null;19,2;85,5;2;
1961-03-19;1,9;null;15,5;null;null;19,4;83,75;2;
1961-03-20;1,1;null;28;null;null;18,4;78,75;0;
1961-03-21;1,9;null;13,5;null;null;18,6;86,75;2;
1961-03-22;1,4;null;0;null;null;16,6;81;2;
1961-03-23;2,5;null;0;null;null;20,2;74,75;2,666667;
1961-03-24;3,1;null;0;null;null;19;73,25;1,333333;
1961-03-25;2,6;null;0;null;null;17,2;63,75;3,333333;
1961-03-26;2,6;null;0;null;null;16;61,25;2,666667;
1961-03-27;3,1;null;0;null;null;17;65,75;11,333333;
1961-03-28;3,7;null;0;null;null;14,6;63,25;7,333333;
1961-03-29;2,2;null;0;null;null;12,4;54,25;4;
1961-03-30;2,3;null;0;null;null;10,4;79;3,333333;
1961-03-31;2,7;null;0;null;null;12,2;64,75;4;
1961-04-01;2,3;null;0;null;null;12,6;62;2,666667;
1961-04-02;2,2;null;0;null;null;11,8;69,5;2;
1961-04-03;1,6;null;0;null;null;18,6;82,75;2,666667;
1961-04-04;1,2;null;1,8;null;null;17,8;91,5;2;
1961-04-05;,4;null;39,5;null;null;17,4;81;4,666667;
1961-04-06;,9;null;1,5;null;null;17;88,75;2;
1961-04-07;1,4;null;0;null;null;17,2;77,75;4;
1961-04-08;1,7;null;0;null;null;18;74,5;3,333333;
1961-04-09;1,6;null;0;null;null;17,6;76;2,666667;
1961-04-10;1,8;null;0;null;null;18,8;76,5;1,333333;
1961-04-11;1,7;null;0;null;null;18,4;75;2;
1961-04-12;1,8;null;0;null;null;17;74,75;1,333333;
1961-04-13;4;null;0;null;null;17,4;71,25;2,666667;
1961-04-14;5,5;null;0;null;null;18,6;72,5;3,333333;
1961-04-15;6;null;0;null;null;18,8;66,75;4,666667;
1961-04-16;4,9;null;0;null;null;18,6;69,5;3,333333;
1961-04-17;3,9;null;0;null;null;16,2;67,75;2,666667;
1961-04-18;2,8;null;0;null;null;14,2;69,25;2;
1961-04-19;2,6;null;0;null;null;16,2;73;6;
1961-04-20;2,3;null;0;null;null;15;62;4,666667;
1961-04-21;2,4;null;0;null;null;17;82;3,333333;
1961-04-22;1,7;null;0;null;null;15,6;74,25;4,666667;
1961-04-23;2,4;null;,5;null;null;17,8;89;2;
1961-04-24;1,2;null;0;null;null;15,6;81,5;1,333333;
1961-04-25;1,9;null;0;null;null;18;86,75;0;
1961-04-26;1,2;null;24;null;null;17;89,25;1,333333;
1961-04-27;,9;null;0;null;null;13;84,25;2;
1961-04-28;1,8;null;0;null;null;9,6;74,5;1,333333;
1961-04-29;2,4;null;0;null;null;10,4;66,25;2;
1961-04-30;3,7;null;0;null;null;11,6;75;3,333333;
1961-05-01;3,7;null;0;null;null;14,2;67;3,333333;
1961-05-02;4,1;null;0;null;null;15,6;73,25;5,333333;
1961-05-03;2,5;null;14,5;null;null;17;85,25;2,666667;
1961-05-04;1,6;null;34;null;null;15,4;94,5;4,666667;
1961-05-05;,8;null;8,5;null;null;13,6;85,5;2,666667;
1961-05-06;1,6;null;0;null;null;12,6;79,25;1,333333;
1961-05-07;2,7;null;0;null;null;12,6;76,25;,666667;
1961-05-08;2,5;null;0;null;null;14,2;87,5;0;
1961-05-09;,9;null;0;null;null;16,8;90;0;
1961-05-10;,9;null;0;null;null;16,4;76,75;6;
1961-05-11;3,6;null;0;null;null;14,8;69,25;5,333333;
1961-05-12;3,7;null;0;null;null;14;69,75;2;
1961-05-13;4,2;null;0;null;null;15;71,75;2;
1961-05-14;3,3;null;0;null;null;12,4;73,5;2;
1961-05-15;3;null;0;null;null;12,8;74,75;2,666667;
1961-05-16;3,6;null;0;null;null;13;56,5;2;
1961-05-17;2,2;null;0;null;null;12,8;61;4;
1961-05-18;3,1;null;0;null;null;12,6;75,5;2,666667;
1961-05-19;3,2;null;0;null;null;14;76,75;1,333333;
1961-05-20;2,3;null;0;null;null;10,2;72,5;5,333333;
1961-05-21;2,8;null;0;null;null;9,8;68,25;2,666667;
1961-05-22;3,4;null;0;null;null;11,8;68,25;4,666667;
1961-05-23;3;null;0;null;null;15;79,5;,666667;
1961-05-24;3;null;3,5;null;null;12,8;74,25;3,333333;
1961-05-25;3;null;0;null;null;12,4;69,75;3,333333;
1961-05-26;2,3;null;0;null;null;11,2;74,25;,666667;
1961-05-27;2,6;null;0;null;null;9,8;69,75;2,666667;
1961-05-28;3,1;null;0;null;null;9,2;75;1,333333;
1961-05-29;2,7;null;0;null;null;8,2;68;0;
1961-05-30;4;null;0;null;null;9;74,75;,666667;
1961-05-31;3,7;null;0;null;null;8,4;61,25;2,666667;
1961-06-01;2;null;0;null;null;8,6;70,75;4;
1961-06-02;3,5;null;0;null;null;8,2;64,75;3,333333;
1961-06-03;4,5;null;0;null;null;11,6;48;5,333333;
1961-06-04;4,6;null;0;null;null;16;76,75;2,666667;
1961-06-05;2,5;null;0;null;null;13,4;69;3,333333;
1961-06-06;4;null;0;null;null;15,8;59;3,333333;
1961-06-07;3,5;null;0;null;null;14,4;72;4,666667;
1961-06-08;4,6;null;0;null;null;12,8;74;3,333333;
1961-06-09;4;null;0;null;null;15,4;66,25;3,333333;
1961-06-10;3,8;null;0;null;null;14,8;73;2,666667;
1961-06-11;3,9;null;0;null;null;13,8;68;2,666667;
1961-06-12;3,3;null;0;null;null;12,6;72,75;1,333333;
1961-06-13;2,7;null;0;null;null;15;83,5;2;
1961-06-14;1,7;null;0;null;null;12;87,5;1,333333;
1961-06-15;1;null;,2;null;null;11,4;88,5;2;
1961-06-16;,4;null;,3;null;null;10,6;79,25;4;
1961-06-17;1,7;null;0;null;null;9,6;77,5;2;
1961-06-18;2,6;null;0;null;null;10;74,75;2,666667;
1961-06-19;3,6;null;0;null;null;13,6;73;2,666667;
1961-06-20;3,3;null;0;null;null;11,6;73,25;1,333333;
1961-06-21;3,2;null;0;null;null;9,4;62,25;3,333333;
1961-06-22;3;null;0;null;null;12;79;2;
1961-06-23;3,2;null;0;null;null;8,4;72,25;4;
1961-06-24;4;null;0;null;null;10;63,5;5,333333;
1961-06-25;4,3;null;0;null;null;13,4;57,75;7,333333;
1961-06-26;6,5;null;0;null;null;16,4;53,75;6,666667;
1961-06-27;6;null;0;null;null;14,6;60,25;6,666667;
1961-06-28;6,5;null;0;null;null;14,8;64,5;5,333333;
1961-06-29;7;null;0;null;null;13;62,25;4;
1961-06-30;5,5;null;0;null;null;11,6;60,75;2;
1961-07-01;5,5;null;0;null;null;8,6;56,75;3,333333;
1961-07-02;5,7;null;0;null;null;11,6;61,75;4;
1961-07-03;6;null;0;null;null;11,8;57,75;4;
1961-07-04;6,1;null;0;null;null;13;47,5;4;
1961-07-05;6,7;null;0;null;null;10,6;60,5;4;
1961-07-06;6,5;null;0;null;null;10;57,75;2,666667;
1961-07-07;6,2;null;0;null;null;8;60,75;2;
1961-07-08;5;null;0;null;null;8,6;79,75;1,333333;
1961-07-09;4,4;null;0;null;null;12;64,25;2,666667;
1961-07-10;2,8;null;0;null;null;10,2;57,75;,666667;
1961-07-11;4,2;null;0;null;null;9,8;56,5;2,666667;
1961-07-12;4,3;null;0;null;null;11;61;4,666667;
1961-07-13;6;null;0;null;null;14,2;60,5;2;
1961-07-14;6,4;null;0;null;null;13;64,25;5,333333;
1961-07-15;7;null;0;null;null;11;58,75;3,333333;
1961-07-16;5,6;null;0;null;null;7,6;59;1,333333;
1961-07-17;5,4;null;0;null;null;9;55;2,666667;
1961-07-18;7;null;0;null;null;8,8;55;1,333333;
1961-07-19;3,1;null;0;null;null;11,4;47,25;1,333333;
1961-07-20;8,4;null;0;null;null;11,8;53,5;3,333333;
1961-07-21;3,3;null;0;null;null;10;56,5;4,666667;
