Nome: CALDAS(P. DE CALDAS)
Codigo Estacao: 83681
Latitude: -21.918139
Longitude: -46.382977
Altitude: 1077.08
Situacao: Desativada
Data Inicial: 1988-11-09
Data Final: 2015-09-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1988-11-09;null;null;null;null;null;null;null;null;
1988-11-10;null;null;null;null;null;null;null;null;
1988-11-11;null;null;null;null;null;null;null;null;
1988-11-12;null;null;null;null;null;null;null;null;
1988-11-13;null;null;null;null;null;null;null;null;
1988-11-14;null;null;null;null;null;null;null;null;
1988-11-15;null;null;null;null;null;null;null;null;
1988-11-16;null;null;null;null;null;null;null;null;
1988-11-17;null;null;null;null;null;null;null;null;
1988-11-18;null;null;null;null;null;null;null;null;
1988-11-19;null;null;null;null;null;null;null;null;
1988-11-20;null;null;null;null;null;null;null;null;
1988-11-21;null;null;null;null;null;null;null;null;
1988-11-22;null;null;null;null;null;null;null;null;
1988-11-23;null;null;null;null;null;null;null;null;
1988-11-24;null;null;null;null;null;null;null;null;
1988-11-25;null;null;null;null;null;null;null;null;
1988-11-26;null;null;null;null;null;null;null;null;
1988-11-27;null;null;null;null;null;null;null;null;
1988-11-28;null;null;null;null;null;null;null;null;
1988-11-29;null;null;null;null;null;null;null;null;
1988-11-30;null;null;null;null;null;null;null;null;
1988-12-01;null;0;0;20;null;14,4;91,5;null;
1988-12-02;null;1,1;4,3;23,5;null;16,4;79;null;
1988-12-03;null;9,8;4;26,4;null;11,8;76;null;
1988-12-04;null;10,4;0;25,8;null;12,6;73;null;
1988-12-05;null;9,6;0;26,4;null;12,4;71;null;
1988-12-06;null;10,5;0;28,1;null;12,8;49,75;null;
1988-12-07;null;8,5;0;27,4;null;11;75;null;
1988-12-08;null;8,7;0;26,8;null;14,2;73,25;null;
1988-12-09;null;8,5;0;27,4;null;13,8;82,5;null;
1988-12-10;null;2,7;11;25,4;null;16;89,5;null;
1988-12-11;null;5,5;6;26,4;null;14,2;85,75;null;
1988-12-12;null;7,8;3,7;27,8;null;16;76;null;
1988-12-13;null;4,3;0;25,8;null;15,6;89,5;null;
1988-12-14;null;2,9;6;25,8;null;18,4;88,25;null;
1988-12-15;null;8,2;39,8;28;null;18,4;60,75;null;
1988-12-16;null;9,5;0;29,1;null;17,4;68,25;null;
1988-12-17;null;7,5;0;26,2;null;18;79;null;
1988-12-18;null;2;0;24;null;17,8;86;null;
1988-12-19;null;3,6;1,8;25,2;null;18,8;82,25;null;
1988-12-20;null;3,2;23,4;26,8;null;17,4;87,5;null;
1988-12-21;null;0;16,8;null;null;18,2;92,25;null;
1988-12-22;null;,7;15,2;22,6;null;17,2;92,5;null;
1988-12-23;null;3;10;24,4;null;17,6;87,5;null;
1988-12-24;null;,4;26,3;23,2;null;17;87,25;null;
