Nome: UBA
Codigo Estacao: 83691
Latitude: -21.12
Longitude: -42.95
Altitude: 349
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1965-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2,9;null;null;29,6;24,6;22;86,75;0;
1961-01-02;1,5;null;27,9;28,6;24;21,4;92,75;0;
1961-01-03;1;null;31,7;29,6;25,34;21,3;87,25;,666667;
1961-01-04;1,6;null;35,3;30;24,6;21,2;89,25;0;
1961-01-05;1,4;null;3,3;27,8;23,96;21,6;94,5;0;
1961-01-06;,8;null;15;32,4;26,04;21,2;82,5;0;
1961-01-07;2,8;null;,5;31,2;25,32;22;90,25;0;
1961-01-08;1;null;69,5;28,4;24,32;21,2;91,75;0;
1961-01-09;1;null;5;30,6;25,16;22;86,25;,666667;
1961-01-10;1,4;null;13,5;30,4;24,44;21,4;92,5;,666667;
1961-01-11;1;null;40,2;29;24,4;20;85;,333333;
1961-01-12;1,5;null;,7;25,6;22,72;21;93,75;0;
1961-01-13;,6;null;12,1;26,6;23,2;19,6;87;0;
1961-01-14;1,5;null;2,9;29;21,96;18;89,25;1;
1961-01-15;1,3;null;95,6;29;23,06;17,5;89;0;
1961-01-16;1,1;null;5,4;30,6;24,3;19,7;84,75;,666667;
1961-01-17;2,2;null;1,2;34;25,28;19,8;81;,666667;
1961-01-18;2,6;null;0;34;26,08;19,4;79;,666667;
1961-01-19;1,7;null;0;33,4;24,96;20,6;84;,666667;
1961-01-20;,7;null;16,4;32,2;24,12;19,8;85,75;0;
1961-01-21;1,1;null;16,3;31;25,54;20,5;77,25;0;
1961-01-22;,9;null;0;31;25,24;19,4;79;0;
1961-01-23;1,2;null;0;31,6;24,72;20,4;91;0;
1961-01-24;,5;null;10;30,4;25,08;21,8;86,75;0;
1961-01-25;,3;null;46,6;29,6;24,4;21;90,5;0;
1961-01-26;,2;null;29,9;23;20,88;19,8;95,5;0;
1961-01-27;,2;null;14,2;25;21,3;18,9;90,75;0;
1961-01-28;,2;null;20;25,8;22,24;19,8;93,25;0;
1961-01-29;,2;null;4;29,6;24,64;21,2;92;0;
1961-01-30;,2;null;16,9;30;25;20,8;87;,333333;
1961-01-31;,3;null;13,8;28,6;23,64;20,8;89,75;,666667;
1961-02-01;,2;null;8,1;33;24,74;20,1;82,5;,666667;
1961-02-02;,5;null;0;34;25,72;20,2;78,25;0;
1961-02-03;1,2;null;0;34,4;26,6;20,4;78;2;
1961-02-04;1,1;null;,5;33;25,24;21,4;79,5;1,333333;
1961-02-05;,7;null;0;33;25;19,6;80,5;1,333333;
1961-02-06;,8;null;0;34;26;19;73,75;2;
1961-02-07;,9;null;0;35;26,6;19,4;74,25;0;
1961-02-08;1,1;null;0;34;26,94;20,3;75,75;,666667;
1961-02-09;1;null;0;34,4;25,76;21,4;79,75;,333333;
1961-02-10;1;null;4,5;34;26,72;21,4;77;,666667;
1961-02-11;,9;null;,5;33,6;27,08;21,8;76,25;,666667;
1961-02-12;1,1;null;3,4;29,4;23,2;20,2;91,25;0;
1961-02-13;1,7;null;23,5;31;24,2;20,4;91,25;0;
1961-02-14;,8;null;49,9;23;19,44;17,4;97;,666667;
1961-02-15;,2;null;66,8;22,4;20,08;17,2;94,25;0;
1961-02-16;,4;null;5,4;29,8;23,16;18,8;89;,333333;
1961-02-17;,9;null;1,4;31,8;24,36;19,2;81,25;0;
1961-02-18;1,1;null;0;28;23,6;20,4;85;0;
1961-02-19;,8;null;0;32,4;25,04;20,2;79,75;,333333;
1961-02-20;1,2;null;0;29,6;24,52;20;76,75;,333333;
1961-02-21;2,2;null;0;31,6;24,78;20,7;81;,333333;
1961-02-22;2,8;null;0;32,6;25,5;19,9;76,5;,333333;
1961-02-23;3,4;null;0;32,6;24,16;20,4;82,5;,666667;
1961-02-24;2,8;null;29,4;31,4;24,14;19,5;84,25;0;
1961-02-25;2;null;0;33,6;24,48;20,4;84,25;,666667;
1961-02-26;2,5;null;4,4;33,4;25,28;18,8;81,5;0;
1961-02-27;3,3;null;0;33,8;26,76;21;75,5;1;
1961-02-28;3,3;null;6,8;32,4;24,64;20,8;86;0;
1961-03-01;2;null;15,4;31,2;23,82;19,7;91;,333333;
1961-03-02;1,2;null;19,2;28,8;23,46;20,5;85,75;0;
1961-03-03;2,5;null;0;31;23,02;15,9;79,25;1;
1961-03-04;2,7;null;0;32,4;25,8;20,2;75,75;0;
1961-03-05;3,2;null;1,2;32;25,84;22;80,5;,666667;
1961-03-06;3,1;null;null;32;25,34;21,5;87;,666667;
1961-03-07;1,6;null;2;28,8;24,02;21,5;92,75;,666667;
1961-03-08;1;null;9,6;28,6;23,84;21;88,75;0;
1961-03-09;1,7;null;,7;32;25,64;21,2;81,75;1;
1961-03-10;2,2;null;19,6;34;26,24;19,8;81;0;
1961-03-11;2,5;null;0;34;26,68;21,8;81;,333333;
1961-03-12;2,8;null;null;33,4;26,76;21,4;75,75;,333333;
1961-03-13;3,4;null;0;33,4;25,44;20,6;79,5;1,333333;
1961-03-14;3,3;null;0;32,6;25,7;19,9;79;1,666667;
1961-03-15;3;null;0;33,2;26,12;20,8;79,5;1,333333;
1961-03-16;3,4;null;,4;32,8;25,94;21,3;78,5;,666667;
1961-03-17;3;null;0;33;24,88;21;82,75;,666667;
1961-03-18;2;null;27,5;32;25,26;20,5;86,25;1,333333;
1961-03-19;2;null;0;32,4;25,7;22,3;83,75;,666667;
1961-03-20;2;null;null;32,4;25,16;20;82,75;1,333333;
1961-03-21;2,2;null;0;33;25,84;21,6;84,25;,333333;
1961-03-22;2,2;null;0;32,6;25,6;21;81,25;,333333;
1961-03-23;null;null;null;null;null;null;null;null;
1961-03-24;null;null;null;null;null;null;null;null;
1961-03-25;null;null;null;null;null;null;null;null;
1961-03-26;null;null;null;null;null;null;null;null;
1961-03-27;null;null;null;null;null;null;null;null;
1961-03-28;null;null;null;null;null;null;null;null;
1961-03-29;null;null;null;null;null;null;null;null;
1961-03-30;null;null;null;null;null;null;null;null;
1961-03-31;null;null;null;null;null;null;null;null;
1961-04-01;null;null;null;null;null;null;null;null;
1961-04-02;null;null;null;null;null;null;null;null;
1961-04-03;null;null;null;null;null;null;null;null;
1961-04-04;null;null;null;null;null;null;null;null;
1961-04-05;,4;null;null;34;25,6;20,6;86,5;,666667;
1961-04-06;3,2;null;2,3;32,4;24,16;20,4;86;1;
1961-04-07;1,8;null;7,1;29,6;23,52;20,4;87,75;,333333;
1961-04-08;1,6;null;,3;30;23,68;20;85;0;
1961-04-09;1,8;null;,4;32,8;24,86;20,7;84,25;0;
1961-04-10;2,5;null;0;32,4;24,88;20,8;84;,666667;
1961-04-11;2,3;null;2,5;31,8;23,88;19;82;,333333;
1961-04-12;2,8;null;0;31,6;23,4;17,2;80,25;,666667;
1961-04-13;2,6;null;0;32,6;23,58;16,7;78,75;0;
1961-04-14;3,2;null;0;32,6;23,46;16,3;77;,333333;
1961-04-15;3,2;null;0;32;23,2;18;79,75;0;
1961-04-16;3,1;null;0;31;23;17,6;80;0;
1961-04-17;3;null;0;32,2;23,2;18,4;77,5;,666667;
1961-04-18;3,5;null;0;30,8;22,56;15;78,25;,666667;
1961-04-19;3,6;null;0;32,4;24,32;16,2;70;,666667;
1961-04-20;3,6;null;12,6;24,8;20,58;18,9;90,5;0;
1961-04-21;1,2;null;0;23,4;20,16;17,2;88;0;
1961-04-22;1,2;null;0;26,6;21,6;18,4;87;0;
1961-04-23;1,4;null;0;30;21,76;16,6;83,25;2;
1961-04-24;2,2;null;0;32;23,18;16,5;81;0;
1961-04-25;2,4;null;0;31,8;24,04;18,4;80,75;,666667;
1961-04-26;3;null;0;28,4;22,2;18,6;84,5;0;
1961-04-27;2;null;15,4;28,2;22;17,8;83,25;,666667;
1961-04-28;2;null;0;24,8;21,96;18,8;89,75;0;
1961-04-29;1,4;null;0;29;22,64;19;94;0;
1961-04-30;1,2;null;28,7;28,6;22,24;19,4;86,75;0;
1961-05-01;1,4;null;0;29;21,44;17;81,75;0;
1961-05-02;2,8;null;0;29;21,28;16;83,75;0;
1961-05-03;2,1;null;0;29;21;15,6;85,5;0;
1961-05-04;2,4;null;9,5;28,4;21,96;17,4;87,25;0;
1961-05-05;1,9;null;1,2;26,4;21,52;18,4;91,25;0;
1961-05-06;1,2;null;,2;31,8;22,94;17,5;83,5;0;
1961-05-07;2,8;null;0;31,6;22,28;16;80;0;
1961-05-08;2,6;null;0;32,4;23,04;15,6;80;,333333;
1961-05-09;3;null;0;28,4;23,28;18,2;84,5;0;
1961-05-10;2;null;0;27,6;23,12;20,6;86,75;,666667;
1961-05-11;1,6;null;1,6;26,6;21,7;19,1;86;0;
1961-05-12;1,7;null;1,3;25,4;21,1;18,3;86;0;
1961-05-13;1,2;null;0;25,8;20,68;16,2;86;,333333;
1961-05-14;1,7;null;0;26;20,36;16,6;83;0;
1961-05-15;1,8;null;0;26,8;20,66;16,3;82,25;0;
1961-05-16;2;null;0;27,6;19,96;16,4;85;,333333;
1961-05-17;2,2;null;0;29,6;20,08;12,6;80;,333333;
1961-05-18;2,6;null;0;30,8;21,32;12,6;77,5;,666667;
1961-05-19;3,7;null;0;32;22,84;15,2;80,75;,666667;
1961-05-20;3,1;null;11,2;25,6;21,44;19,8;87,5;1,333333;
1961-05-21;1,8;null;0;20,4;18,16;16;86,25;0;
1961-05-22;1,4;null;0;23,4;18,92;16,8;86;0;
1961-05-23;2;null;0;26,4;18,2;13,2;83,75;0;
1961-05-24;2,8;null;0;26,8;18,72;12,6;81;0;
1961-05-25;2,7;null;0;26,6;17,06;10,5;80,75;,333333;
1961-05-26;2;null;0;27;17,56;10,8;81,75;0;
1961-05-27;2,2;null;0;25,4;17,44;11,8;85,25;,333333;
1961-05-28;1,6;null;0;28;17,04;11,2;84,25;,333333;
1961-05-29;1,8;null;0;28,4;17,64;11,2;82,25;0;
1961-05-30;2,4;null;0;28,6;17,74;11,7;76,75;0;
1961-05-31;3;null;0;27;17,12;9;78,25;0;
1961-06-01;null;null;null;null;null;null;null;null;
1961-06-02;null;null;null;null;null;null;null;null;
1961-06-03;null;null;null;null;null;null;null;null;
1961-06-04;null;null;null;null;null;null;null;null;
1961-06-05;null;null;null;null;null;null;null;null;
1961-06-06;null;null;null;null;null;null;null;null;
1961-06-07;null;null;null;null;null;null;null;null;
1961-06-08;null;null;null;null;null;null;null;null;
1961-06-09;null;null;null;null;null;null;null;null;
1961-06-10;null;null;null;null;null;null;null;null;
1961-06-11;null;null;null;null;null;null;null;null;
1961-06-12;null;null;null;null;null;null;null;null;
1961-06-13;null;null;null;null;null;null;null;null;
1961-06-14;null;null;null;null;null;null;null;null;
1961-06-15;null;null;null;null;null;null;null;null;
1961-06-16;null;null;null;null;null;null;null;null;
1961-06-17;null;null;null;null;null;null;null;null;
1961-06-18;null;null;null;null;null;null;null;null;
1961-06-19;null;null;null;null;null;null;null;null;
1961-06-20;null;null;null;null;null;null;null;null;
1961-06-21;null;null;null;null;null;null;null;null;
1961-06-22;null;null;null;null;null;null;null;null;
1961-06-23;null;null;null;null;null;null;null;null;
1961-06-24;null;null;null;null;null;null;null;null;
1961-06-25;null;null;null;null;null;null;null;null;
1961-06-26;null;null;null;null;null;null;null;null;
1961-06-27;null;null;null;null;null;null;null;null;
1961-06-28;null;null;null;null;null;null;null;null;
1961-06-29;null;null;null;null;null;null;null;null;
1961-06-30;null;null;null;null;null;null;null;null;
1961-07-01;0;null;null;26,6;18,72;12,8;85,25;,666667;
1961-07-02;2,8;null;0;26;19,42;12,3;80,25;0;
1961-07-03;2,6;null;0;28,4;18,24;11,2;81,25;0;
1961-07-04;3;null;0;26,8;18,54;12,7;83;,666667;
1961-07-05;2,6;null;0;26,8;19,2;12,2;80;,666667;
1961-07-06;2,5;null;0;25,2;18,12;14,4;84,5;0;
1961-07-07;2;null;0;28,8;18,32;11,2;82,25;0;
1961-07-08;3,7;null;0;30,6;22,12;13;66;,666667;
1961-07-09;4;null;0;26,6;20,36;16,8;73,5;1,333333;
1961-07-10;3,4;null;0;22,2;17,12;13,6;83,75;0;
1961-07-11;2,1;null;0;23,6;16,82;13,9;88,75;,666667;
1961-07-12;1,5;null;0;25,2;16,64;11;83;1;
1961-07-13;2,6;null;0;26,6;16,64;9,2;77,5;1;
1961-07-14;3,8;null;0;27;16,22;8,5;78,25;,333333;
1961-07-15;2,8;null;null;26,2;15,52;8;79,5;,333333;
1961-07-16;2,8;null;0;27;17,28;9,4;76;,666667;
1961-07-17;3,4;null;0;28,4;16,5;8,5;76,25;,333333;
1961-07-18;3,3;null;0;29,4;17,7;8,7;75,25;0;
1961-07-19;3,5;null;null;29,8;17,86;10,3;76,75;,333333;
1961-07-20;3,8;null;0;28;17,6;10;77,75;,666667;
1961-07-21;3;null;0;27;17,24;10;79,75;,333333;
1961-07-22;3,6;null;0;29,8;19,96;12,2;71,5;,666667;
1961-07-23;4,8;null;0;29,6;19,74;13,3;72,75;,666667;
1961-07-24;4,6;null;0;30;18,2;10,8;73,5;,333333;
1961-07-25;3,8;null;0;29,6;17,84;9,2;73,75;,333333;
1961-07-26;3,6;null;0;30,4;18,36;9,2;71;,666667;
1961-07-27;4,8;null;0;25,4;18,86;12,3;76;,333333;
1961-07-28;3,2;null;0;28,2;20,04;13,2;80,5;,666667;
1961-07-29;2,6;null;,6;23,6;18;15;83,5;,666667;
1961-07-30;2,3;null;0;23,6;17,48;13,8;82,25;,333333;
1961-07-31;3,1;null;0;24,8;16,76;11,6;84,5;1;
1961-08-01;2;null;0;27;16,58;10,1;79,5;,666667;
1961-08-02;2,1;null;0;25,4;17,92;12,4;77,25;,666667;
1961-08-03;2,6;null;0;27,4;18,68;14;80,25;0;
1961-08-04;2,5;null;0;29,6;17,62;10,3;80;,333333;
1961-08-05;3,2;null;0;29,6;17,76;9,8;75,25;,333333;
1961-08-06;3,6;null;0;28,4;17,74;9,5;74,75;1;
1961-08-07;3,5;null;0;29;17,12;8;73,5;,666667;
1961-08-08;4,2;null;0;29;17,34;8,1;71,25;,333333;
1961-08-09;4,6;null;0;27,4;16,98;7,9;69,5;,666667;
1961-08-10;4,9;null;0;27,6;18,56;10;75;,666667;
1961-08-11;3,7;null;0;29,6;19,04;10,4;71;0;
1961-08-12;4;null;0;28,4;17,8;10,4;72,75;1,333333;
1961-08-13;5;null;0;29,8;18,14;9,9;70,5;,666667;
1961-08-14;5,2;null;0;29,6;18,44;9,2;68;,666667;
1961-08-15;5,6;null;0;31,4;18,6;8,8;72,5;,333333;
1961-08-16;5;null;0;29,6;19,52;10,4;67,5;,333333;
1961-08-17;6;null;0;32,4;20,78;11,3;69;0;
1961-08-18;5,6;null;0;30;20,14;12,9;74;0;
1961-08-19;3,5;null;0;32,8;21,48;12,4;72,25;,333333;
1961-08-20;4,9;null;0;30,6;19,98;12,9;66;1,666667;
1961-08-21;7;null;0;32,2;22,56;12,4;63;1,666667;
1961-08-22;6,2;null;0;25,6;20,96;19;76,25;,666667;
1961-08-23;3,2;null;0;28;20,56;16,6;74,5;,666667;
1961-08-24;3,9;null;0;32,4;22,04;12,6;69;0;
1961-08-25;5;null;0;32;23,52;15,2;63;1,333333;
1961-08-26;7,6;null;0;28,8;22,84;19,8;76,75;2;
1961-08-27;3,6;null;1,5;32;21,84;15,8;80;0;
1961-08-28;3,8;null;0;32,2;22,32;14,6;68,75;2;
1961-08-29;4,6;null;0;31,6;22,64;13,8;66,75;1,666667;
1961-08-30;5,2;null;0;32,8;22,4;15;67,5;1,333333;
1961-08-31;5;null;0;33,2;22,36;14,2;68;,333333;
1961-09-01;4,8;null;0;33,4;22,42;14,1;66,5;,333333;
1961-09-02;4,4;null;0;30;21,34;13,9;74,75;1;
1961-09-03;3,7;null;0;31,4;21,92;13;62,5;1;
1961-09-04;6;null;0;33,4;24,16;16,6;63,75;1,666667;
1961-09-05;5,6;null;0;35,6;23,8;14,8;63;0;
1961-09-06;5,4;null;0;34,4;23,76;14,6;67;0;
1961-09-07;5,2;null;0;30,6;24,24;17,2;69,25;1,333333;
1961-09-08;3,9;null;0;25,4;22,36;20,4;81,5;2;
1961-09-09;1,1;null;0;32,4;24,24;19;70,25;,666667;
1961-09-10;4,2;null;0;34;25,48;20,4;64;1,333333;
1961-09-11;5;null;0;34,8;25,22;18,3;69,25;0;
1961-09-12;4;null;0;37,4;24,92;17,8;72,5;,666667;
1961-09-13;4,5;null;2,8;33,4;24,44;17,6;71,5;,666667;
1961-09-14;3,5;null;0;31,6;23,32;17,4;78,25;,333333;
1961-09-15;2,7;null;0;33,4;24,12;16,6;74,25;,333333;
1961-09-16;3,5;null;0;34,2;24,24;17,2;68,25;,666667;
1961-09-17;4;null;0;34;23,24;14,4;66,5;,666667;
1961-09-18;3,3;null;0;36;24,48;14,2;64,5;,333333;
1961-09-19;3,1;null;0;35,4;25,04;15,8;64,75;,333333;
1961-09-20;4,4;null;0;35;24,58;17,5;63,75;,666667;
1961-09-21;5,6;null;0;36;24,2;14;60;,333333;
1961-09-22;6,2;null;0;33,4;25,16;17,4;67,25;,666667;
1961-09-23;4,8;null;0;27,8;23,08;20,6;74,5;,666667;
1961-09-24;3,2;null;0;33,6;23,56;17,4;73;,333333;
1961-09-25;5,4;null;0;35,2;24,78;15,9;65;1,333333;
1961-09-26;5,2;null;0;34,6;24,98;16,7;62,25;1,333333;
1961-09-27;6;null;0;35,2;25,26;20,1;60;1,333333;
1961-09-28;4,2;null;0;37,4;26,52;18,4;56;,333333;
1961-09-29;3;null;0;31,8;23,24;16,4;71,75;0;
1961-09-30;2,8;null;0;25,2;21,26;18,5;82;,333333;
