Nome: BANDEIRANTES
Codigo Estacao: 83711
Latitude: -22.6
Longitude: -44.47
Altitude: 544
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1967-10-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;27,8;23,52;21,1;85;1,333333;
1961-01-02;null;null;25;26,9;23,16;20,9;90,5;,666667;
1961-01-03;null;null;7,7;30,5;24,14;20,8;81,5;,666667;
1961-01-04;null;null;9;29,5;23,64;19,4;90,5;1,333333;
1961-01-05;null;null;46,5;28,4;23,28;20,6;88,25;,666667;
1961-01-06;null;null;4;29,9;24,32;20,7;78,5;,333333;
1961-01-07;null;null;0;29,2;23,14;20,6;84,75;1;
1961-01-08;null;null;78,9;28,2;23,08;20,4;90,25;0;
1961-01-09;null;null;50;30,2;23,84;20,6;84,75;1,666667;
1961-01-10;null;null;2,2;30,1;24;19,6;79,75;1,666667;
1961-01-11;null;null;0;29,2;23,08;17,9;80,25;1,666667;
1961-01-12;null;null;0;30,2;23,2;20,4;86,5;1,333333;
1961-01-13;null;null;,4;30,1;22,52;17,1;81,75;2,333333;
1961-01-14;null;null;19,2;28,4;23,4;20,1;77,25;1;
1961-01-15;null;null;4,6;29,2;23,14;17,6;76,75;,666667;
1961-01-16;null;null;0;31,2;23,28;17;75;1;
1961-01-17;null;null;27,3;32,2;24,64;18,1;67;1,333333;
1961-01-18;null;null;0;33,4;25,74;20,6;70,75;,666667;
1961-01-19;null;null;0;30,6;23,58;19,8;79,25;1,333333;
1961-01-20;null;null;8,2;27,2;22,32;19,1;91,5;1;
1961-01-21;null;null;6,7;30,5;24,12;20,4;76,5;1,666667;
1961-01-22;null;null;0;30,1;24,52;19,4;74,5;1;
