Nome: BOTUCATU
Codigo Estacao: 83724
Latitude: -22.87
Longitude: -48.45
Altitude: 825
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1968-02-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,8;null;null;22,2;19,74;19;92,75;1,666667;
1961-01-02;,2;null;21,7;26,2;20,94;18,8;96,25;2;
1961-01-03;,8;null;10,3;28,5;23,06;19;84,25;0;
1961-01-04;1,3;null;47,3;27;21,1;17,5;94,75;0;
1961-01-05;,6;null;7,6;27,6;22,9;18,5;82,25;,333333;
1961-01-06;1,8;null;20,8;22,6;20,08;18,6;98,5;1,333333;
1961-01-07;,9;null;6,6;24,2;20,66;18,6;81,75;1,333333;
1961-01-08;2;null;,2;22,5;20,04;17,5;84,25;3;
1961-01-09;1,2;null;0;28;22,1;18;81,5;,333333;
1961-01-10;2,2;null;0;30;22,88;19,4;88;1;
1961-01-11;1,5;null;5,8;28;21,7;19;78,25;2,333333;
1961-01-12;3;null;0;30;22,5;17,5;74,75;1,333333;
1961-01-13;4;null;0;27,5;23,08;18,5;79,5;1,333333;
1961-01-14;2;null;4,2;30;23,48;19,4;79,75;0;
1961-01-15;2,8;null;0;30;24,4;19,5;77;0;
1961-01-16;2,6;null;0;30,8;24,66;19,5;73,25;0;
1961-01-17;2,7;null;3;31;22,74;18,5;86;,333333;
1961-01-18;1,8;null;55,4;28,8;22,84;19,2;78,75;,333333;
1961-01-19;2,1;null;0;28,2;23,44;20;77,5;1;
1961-01-20;2,1;null;,2;27,5;22,5;19,5;88,75;0;
1961-01-21;7,2;null;2,3;30,4;24,18;19,5;75,25;0;
1961-01-22;2,6;null;0;30,6;23,86;19,5;76,75;2;
1961-01-23;3,5;null;0;28;22,18;19,5;77,75;3;
1961-01-24;3;null;0;29,8;23,06;18;72;2;
1961-01-25;3,6;null;0;29,5;22,62;18;72,75;1;
1961-01-26;3,7;null;0;26;20,22;17,6;75,5;3;
1961-01-27;3,4;null;0;21,6;18,4;15,6;78,75;2,333333;
1961-01-28;2,6;null;3;20,5;17,9;15,4;90,25;2,333333;
1961-01-29;,9;null;2;27;20,32;16,5;86,25;0;
1961-01-30;,6;null;5,7;30;22,1;18,5;77;0;
1961-01-31;3,2;null;0;30;22,8;18;72,75;0;
1961-02-01;3,2;null;0;30,2;23,08;18,5;78;0;
1961-02-02;2,7;null;0;32;23,44;19;82,75;,666667;
1961-02-03;,3;null;47;32;21,5;16,5;91;,333333;
1961-02-04;1,5;null;16,5;28,3;23,22;18,2;77,25;1,333333;
1961-02-05;,3;null;16,4;24;20,9;17;89,5;,333333;
1961-02-06;1;null;,5;29;22,3;19;78,75;0;
1961-02-07;1,5;null;3,6;31;24,82;18,5;68,5;0;
1961-02-08;4,1;null;0;30;23,92;19;88,75;1,333333;
1961-02-09;1,4;null;12,5;29,4;23,24;19,8;78,25;2;
1961-02-10;3;null;0;29,5;23,64;19,5;77,5;1,333333;
1961-02-11;2,3;null;0;30;23,66;19,8;81,25;,333333;
1961-02-12;2,2;null;,5;27;21,44;18,5;90;0;
1961-02-13;,2;null;18,2;25;19,78;17,5;87,5;,333333;
1961-02-14;1,6;null;8,8;26;20,7;16;69,75;2;
1961-02-15;4,5;null;0;24,6;19,92;16,5;79,25;2;
1961-02-16;2;null;2,7;24,6;19,82;17;97,5;1,666667;
1961-02-17;,7;null;3,3;23,5;19,8;18;95,25;,333333;
1961-02-18;,1;null;18,7;26;20,66;17,8;92;1;
1961-02-19;,9;null;,4;21,5;19,3;17,5;96;1,333333;
1961-02-20;,9;null;43,2;27,4;22,12;17;82;,333333;
1961-02-21;1;null;2,6;26;21,8;19;89,75;,333333;
