Nome: CRUZEIRO
Codigo Estacao: 83734
Latitude: -22.57
Longitude: -44.95
Altitude: 514
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1963-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2,6;1,5;null;29,8;23,66;20;87,75;1,666667;
1961-01-02;2,5;0;13,8;26,8;23,38;21,5;91,5;2;
1961-01-03;1,5;7,4;4,7;30,9;24,68;21,1;77,75;1;
1961-01-04;4,2;5,2;0;29,4;22,74;19,4;92,25;,333333;
1961-01-05;2,3;2,1;55,4;29,3;22,88;19,4;85,75;0;
1961-01-06;2,4;1,9;21,3;29,4;24,56;20,7;79;2,333333;
1961-01-07;3,1;3;4,3;29,3;23,1;20,8;87;1;
1961-01-08;3,1;1;6,8;27,8;23;20,8;87,25;,333333;
1961-01-09;1,1;3,1;15,5;32,1;24,48;20,8;83,5;0;
1961-01-10;3,6;9,5;17;32,7;25,3;20,2;76,25;1,333333;
1961-01-11;3,7;5,8;3,6;30,3;24,64;19,1;70,75;2,666667;
1961-01-12;3,5;4,6;0;29,7;23,56;19,9;76,25;2;
1961-01-13;3,5;1;0;31,6;23,74;19,4;74,5;2,666667;
1961-01-14;5;6,9;17,3;31,8;24,38;20,3;74,75;2;
1961-01-15;4,3;,8;0;30,7;22,56;16,8;75,25;3,666667;
1961-01-16;4,4;9,3;0;32,3;23,2;16,8;75,25;2;
1961-01-17;5,8;11,3;,6;33,2;24,54;19,5;72,5;2,666667;
1961-01-18;6;9,8;0;34,3;25,26;18,1;73;2;
1961-01-19;5,5;2,2;,4;32;23,72;20,8;84;1,666667;
1961-01-20;2,6;6,7;3,2;32;22,36;18,4;87;2,666667;
1961-01-21;3,3;8,8;6,6;31;23,38;16,8;79,75;2,666667;
1961-01-22;0;8,5;0;33;24,54;18,9;77,75;2,666667;
1961-01-23;4,9;1,3;28,5;27,8;23,34;20,7;88,75;1,333333;
1961-01-24;1,9;8,4;0;31,9;24,44;21,3;80,25;1,333333;
1961-01-25;3;1;47,5;28,5;23,4;21,2;91,5;1;
1961-01-26;1,6;0;49,9;25,2;21,32;19,8;80,5;,333333;
1961-01-27;2,4;,2;,6;23,8;19,88;17,1;91,5;,666667;
1961-01-28;1,4;0;43,6;26,3;20,86;18,3;90,5;0;
1961-01-29;1,3;,2;9,4;25,5;22,36;19,3;88;0;
1961-01-30;1,2;6,7;1,2;32,1;23,56;19,5;77,75;0;
1961-01-31;3,1;,2;9,5;27,6;22,26;18,6;87,5;,333333;
1961-02-01;1,6;1,7;,4;29,7;23,36;20,4;86,5;1;
1961-02-02;2,5;5;1;30,7;23,36;17,1;83,5;1;
1961-02-03;3;6,8;0;32,1;23,92;18,6;81,25;1,333333;
1961-02-04;3,1;4,4;1,2;29,8;22,74;19,5;86;,333333;
1961-02-05;2,6;,9;25,3;27,8;23,08;19,8;80,75;2;
1961-02-06;2,5;7,1;0;32,8;24,14;18,4;80,5;,333333;
1961-02-07;3,5;6,6;,8;33,1;24,18;18,3;80,5;1;
1961-02-08;3,7;7,9;3,7;34,1;24,86;20,8;77,5;1,333333;
1961-02-09;3,9;6,6;,6;33,8;25,36;20,9;78,25;1,333333;
1961-02-10;4,1;6,5;0;30,8;24,6;20,2;73;2;
1961-02-11;4,2;1,1;0;32,4;26,16;20,6;72,75;1,333333;
1961-02-12;5,3;,8;17,2;27,2;22,42;20,5;90;1;
1961-02-13;1,4;0;65,4;22,4;20,96;19,9;94,5;,333333;
1961-02-14;0;0;17,4;22;19,08;17,9;88,75;3;
1961-02-15;2,9;,9;9,2;23,2;20,58;17,3;78,75;2,333333;
1961-02-16;2,3;,3;,4;25,3;21,74;19;84,5;3;
1961-02-17;1,8;0;71,1;24,1;21,04;18,7;84,75;,666667;
1961-02-18;1,5;,1;,3;27,7;22,6;19,5;81,25;1;
1961-02-19;2,9;1,6;0;29;22,58;18,1;79,75;1,333333;
1961-02-20;3,3;2,6;8,7;29,7;22,44;18,1;85,25;2,666667;
1961-02-21;2,7;7,3;51,8;31,4;24,36;19,2;74;4,333333;
1961-02-22;3,9;7,1;0;31,8;24,52;20,2;72,75;3;
1961-02-23;4,3;,3;,3;28;22,5;20,2;88;,333333;
1961-02-24;1,7;1,8;4,6;30,7;22,7;19,8;82,75;2;
1961-02-25;3,6;8,8;5,2;33;24,92;19;75,25;1,333333;
1961-02-26;3,7;8,1;4,3;33,5;25,22;19,8;74;2,333333;
1961-02-27;6,6;6,1;0;32,8;25,36;21,2;75,75;1;
1961-02-28;5,5;0;10,6;27,2;22,72;21,2;92;0;
1961-03-01;1,7;0;5,7;23;20,84;19,6;95;1,333333;
1961-03-02;,8;3;18;28;21,48;18,1;80,75;0;
1961-03-03;2,6;8,8;,2;30,2;21,74;14,1;72;2;
1961-03-04;3,7;7,9;0;31,7;21,32;14,8;80;2;
1961-03-05;3,9;3,5;0;31,8;24,16;16,5;73,5;2,666667;
1961-03-06;3,6;2;66,5;27,3;22,1;17,8;81,5;2;
1961-03-07;2,4;0;4;23,4;21,16;19,7;93;0;
1961-03-08;,8;,2;16,4;26,6;22,72;20,2;93;,333333;
1961-03-09;1,3;6,4;4,7;32,2;24,46;20,3;80,75;2;
1961-03-10;3,6;,8;22,1;32,3;24,54;18,4;76,5;1,333333;
1961-03-11;3,6;7,5;0;32,4;25,1;19,6;78,5;,666667;
1961-03-12;3,7;,4;0;31,2;23,96;21,1;87,25;1;
1961-03-13;2;8;30,5;34,2;25,26;18,9;69;2;
1961-03-14;4,7;3,9;0;33,8;24,34;20,5;79,75;1;
1961-03-15;3;3,9;20,8;31,7;23,06;19,2;90,5;0;
1961-03-16;2,1;6,5;9,1;33,7;24,28;19,6;79,25;,666667;
1961-03-17;4,2;6,6;5,1;33,4;25,94;20,5;72,25;2,666667;
1961-03-18;6,2;4,3;0;32,5;24,08;20,1;85,25;0;
1961-03-19;2,6;1,7;24,8;28,2;23,46;20,5;86,75;,333333;
1961-03-20;1,9;4,7;3,6;29,5;23,54;20,3;86,75;1,333333;
1961-03-21;2,1;4,2;6,8;31,5;23,34;19,3;85;1,333333;
1961-03-22;3,2;7,5;4;31,6;24,5;18,5;81,25;2,666667;
1961-03-23;3,6;8,6;0;30,5;23,8;20,6;77,75;2;
1961-03-24;3,7;8,3;0;29,5;23,72;19,5;76;3,333333;
1961-03-25;4,2;8,8;0;29,8;23,44;19,6;75,25;2;
1961-03-26;4;7,1;0;33,2;22,58;17,4;81;,666667;
1961-03-27;3;1,6;12;25,2;20,42;18,3;86,25;1,666667;
1961-03-28;2,1;1,5;8,8;23,3;18,46;16;81,5;2;
1961-03-29;1,8;4,9;,1;25,4;19,2;14,4;66,75;3;
1961-03-30;3,4;2,4;0;23,8;17,74;11,1;76,75;1;
1961-03-31;2,3;8,6;0;26,1;18,6;12;75;2;
1961-04-01;3,5;8,1;0;27,4;19,22;13,7;75,75;2;
1961-04-02;4,2;9;0;31;21,78;14,6;66,5;3,666667;
1961-04-03;5,1;6,5;0;30,7;23,46;15,5;67;1,666667;
1961-04-04;5,7;1,3;0;29,3;23,04;20,3;77;2,666667;
1961-04-05;5,3;4,2;2,5;31,7;23,16;18,3;81,25;1;
1961-04-06;3,1;1,9;9,2;28,2;22,24;18,6;83,75;,666667;
1961-04-07;2,2;,2;0;25,3;21,32;19,5;87,75;2,333333;
1961-04-08;1,5;7,7;9,5;27,5;21,48;17,5;85;2;
1961-04-09;2,6;6,2;0;30,8;23,56;19,1;81,5;1;
1961-04-10;3;3;,2;28,2;23,22;20,7;89;1;
1961-04-11;2;6,9;,2;28,9;22,96;18,2;82,25;2;
1961-04-12;3;8,1;0;33,3;23,36;16,7;78,5;1,333333;
1961-04-13;3,3;8,6;0;33;23,4;16,3;78,5;,333333;
1961-04-14;3,7;9,1;0;32,3;23,68;16,7;75,25;,333333;
1961-04-15;4,2;8,7;0;30,4;24,1;18,1;71,75;2,333333;
1961-04-16;3,9;8,5;0;29,4;23,2;19,3;76;1;
1961-04-17;3,9;9,1;0;30,7;21,4;14,7;77,25;2;
