Nome: ITAJUBA
Codigo Estacao: 83735
Latitude: -22.42
Longitude: -45.45
Altitude: 840
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1968-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,3;null;null;25,4;21,4;18,8;92;,333333;
1961-01-02;,8;null;13,6;23,9;21,34;19,2;95;0;
1961-01-03;,9;null;12,5;30,2;22,72;19;83,25;,333333;
1961-01-04;1,3;null;11,6;28,4;22,04;18;89;0;
1961-01-05;2;null;8,8;29,2;23,24;17,4;73,75;,333333;
1961-01-06;2;null;,1;25,8;22,76;19,8;87,25;0;
1961-01-07;,6;null;8,8;30;23,04;18,6;77;,333333;
1961-01-08;2,5;null;0;29,8;24;19,6;74;,333333;
1961-01-09;2,3;null;0;29,4;24,38;19,3;73,25;,333333;
1961-01-10;1,9;null;0;31,4;24,52;20;72;,333333;
1961-01-11;2,7;null;0;30,4;23,94;16,6;63,25;1,666667;
1961-01-12;4,1;null;0;30,4;22,96;18,4;83,75;1;
1961-01-13;1,7;null;17,1;27,8;22,12;16,2;79,75;,666667;
1961-01-14;1,4;null;42;28;20,96;17,2;85,5;,333333;
1961-01-15;1,9;null;3,6;29,4;21,82;16,8;76;0;
1961-01-16;2,1;null;1,4;27,8;22,86;16,8;74;1,333333;
1961-01-17;2,5;null;1,9;29,8;22,98;16,9;70;,333333;
1961-01-18;2,4;null;0;31,6;23,6;16,6;67,25;0;
1961-01-19;3;null;1;30,2;21,84;18,2;83,75;,666667;
1961-01-20;1,6;null;4,7;28,2;21,44;18;87,5;,666667;
1961-01-21;,8;null;6,4;30;22,16;17,2;83,75;0;
1961-01-22;2;null;3;30,2;23,22;19;80,5;,666667;
1961-01-23;1,6;null;45,6;24,2;20,68;18,6;95,25;0;
1961-01-24;,6;null;5,7;30,6;23,24;18;77,5;,333333;
1961-01-25;2;null;7,9;28,4;22,48;18,8;90,75;,666667;
1961-01-26;1,7;null;13,4;25,8;21,12;18,4;64,5;1,333333;
1961-01-27;3,7;null;0;24,6;20;17,2;83,25;1,333333;
1961-01-28;2,1;null;5,1;26,6;20,72;16,6;91,25;0;
1961-01-29;1,2;null;3,1;24,4;20,48;17,6;92,5;0;
1961-01-30;,7;null;2,2;29,4;22,72;18,4;79,75;0;
1961-01-31;1,5;null;0;30,1;22,62;18,2;77,75;0;
1961-02-01;2,4;null;,4;30,3;22,6;17,8;78,5;0;
1961-02-02;2,6;null;0;31,2;23,12;16,4;73;,333333;
1961-02-03;2,2;null;0;31,6;23,8;17,6;76,75;,666667;
1961-02-04;2,6;null;0;30,8;22,32;17,2;80,5;,333333;
1961-02-05;1,8;null;10,8;27,4;20,86;17,9;86;,333333;
1961-02-06;1,5;null;1,1;29,6;22,66;17;83,25;,333333;
1961-02-07;1,9;null;0;31,2;23,16;18,2;79,75;1;
1961-02-08;2;null;20,2;31,5;23,42;18,2;77,25;,333333;
1961-02-09;2,3;null;,3;30,4;23,52;17,8;76,5;,666667;
1961-02-10;2,3;null;0;30,4;23,88;18;70;,666667;
1961-02-11;2,5;null;7;29,4;22,88;18,8;81,75;0;
1961-02-12;2;null;19,8;25;20,56;18,2;91,5;0;
1961-02-13;,5;null;29,7;26;20,46;18;94,25;0;
1961-02-14;,5;null;25,3;22,3;18,9;16,8;80;1,333333;
1961-02-15;2,4;null;4;24,4;20,24;17;81,75;0;
1961-02-16;1,3;null;0;26;20,52;17;87,25;,333333;
1961-02-17;1;null;,5;22,2;18,88;17;94;0;
1961-02-18;,4;null;5,1;24,2;19,68;16,4;92,25;0;
1961-02-19;1;null;0;25,4;20,32;15,4;86;,333333;
1961-02-20;1,3;null;6,5;27,8;21,7;17,5;82;,666667;
1961-02-21;1,6;null;2,9;26,8;21,26;18,2;84,75;0;
1961-02-22;1,4;null;3,6;29,6;23,4;17,6;76,75;,666667;
1961-02-23;1,7;null;62,3;25,4;20,04;17,4;92;0;
1961-02-24;1;null;11;27;20,8;17,2;90,25;,333333;
1961-02-25;1;null;,8;29,6;22,8;17,2;78,75;,666667;
1961-02-26;2,1;null;0;30;23,64;18,2;81,75;0;
1961-02-27;2,2;null;2,6;29;22,6;18,6;85,5;0;
