Nome: VOLTA REDONDA
Codigo Estacao: 83753
Latitude: -22.52
Longitude: -44.1
Altitude: 417
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1968-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,9;1,9;null;29,3;24,44;21,8;83;1,666667;
1961-01-02;1,4;0;4;27,4;23,72;21,6;88,75;0;
1961-01-03;1,4;5,6;4,8;31,5;24,34;21,2;83,25;2;
1961-01-04;2,2;5,4;11;29,4;24,02;20,8;82;1,333333;
1961-01-05;2;2,8;30,5;28;23,54;21,2;84,25;1;
1961-01-06;2;4,7;0;31,9;25,44;21,5;76,5;0;
1961-01-07;2,7;,7;0;31,6;24,74;22,6;83,25;3;
1961-01-08;2,7;,8;4,6;31,8;24,88;21,8;82,75;2;
1961-01-09;2;4,4;,2;30,6;24,64;21,2;79;0;
1961-01-10;2,7;7,7;4,7;29;24,56;21,4;73;1,666667;
1961-01-11;2,9;4,7;0;30,4;24,02;20;79;1,333333;
1961-01-12;3;2,6;0;29;23,12;20,8;80,25;2;
1961-01-13;2,4;7,8;5,9;30,6;23,7;19,7;77,75;0;
1961-01-14;3,1;8,3;6,9;30,4;23,24;19,8;85,25;,666667;
1961-01-15;2,5;8,5;22,2;31,3;22,24;17,1;77,75;0;
1961-01-16;3,2;9,7;22,6;33;24,12;17,8;74,5;1,666667;
1961-01-17;4,3;11,3;,3;34,4;26,5;19,5;64;1,333333;
1961-01-18;5;9,9;0;35,5;26,66;21,6;67,75;1;
1961-01-19;4,7;3;0;31,4;23,8;20,6;82,5;0;
1961-01-20;2,1;5,2;48,9;30,4;23,58;20,3;80;,666667;
1961-01-21;2,5;9;3,4;32,1;24,88;20;72,5;,333333;
1961-01-22;3,1;8,2;,9;32,4;24,72;20,4;77,25;0;
1961-01-23;2,6;,6;27,3;27,9;23,54;21,4;85;,666667;
1961-01-24;1,7;7;5,7;30,8;24,88;21,4;77,5;2;
1961-01-25;3;,9;12,9;28;23,4;21,4;88,25;,666667;
1961-01-26;1;0;23;24,5;21,84;20,5;78;,333333;
1961-01-27;2,6;0;,4;22,4;20,24;19;91,75;0;
1961-01-28;,6;0;23,8;24,8;21,34;19,3;90;1;
1961-01-29;1,2;,9;3,4;28,4;22,8;20;83,75;0;
1961-01-30;1,6;6,3;7,3;30,4;24,08;21;81,25;1,333333;
1961-01-31;2,5;0;1,2;28,2;23,96;20,8;81,25;0;
1961-02-01;1,5;2,2;0;29,2;23,52;21;83;0;
1961-02-02;2;7,4;8,6;32;25,6;19,8;70,5;0;
1961-02-03;2,8;7,7;0;33,5;25;21,5;80,5;2;
1961-02-04;2,5;3;16,4;30,6;23,46;20,5;85,25;1,333333;
1961-02-05;2;,2;21,2;28,2;23,54;19,9;80,75;0;
1961-02-06;1,4;6,7;0;34,5;25,22;20,4;75;1,666667;
1961-02-07;3,2;7,1;3,2;33,6;25,02;20,1;73;0;
1961-02-08;2,9;8,2;0;33,6;25,52;20,8;68,5;1;
1961-02-09;3,1;4,1;0;31,2;24,92;21,4;70,5;,666667;
1961-02-10;2,6;8,1;0;30,3;25,06;22;71,75;1,333333;
1961-02-11;3;8,5;0;34,2;25,6;20,6;73,75;0;
1961-02-12;3,4;1;32;27,4;23,24;21,4;88,25;0;
1961-02-13;1,1;0;19,4;24,2;21,36;20,2;90,75;0;
1961-02-14;1;0;15,2;20,6;19,34;18,5;88;0;
1961-02-15;1,1;0;5,7;22,2;20,14;17,7;81,75;0;
1961-02-16;,9;,3;1,1;26,4;21,94;19;85,75;,333333;
1961-02-17;1,5;,4;27,2;27,4;23,38;20,3;82,5;1,333333;
1961-02-18;1,8;5,1;9,8;29;23,3;19,9;74;1,333333;
1961-02-19;3,1;4,2;0;30,8;23,98;19,6;87;2;
1961-02-20;2,2;2,6;33,8;28,8;23,06;20,1;82,5;1,333333;
1961-02-21;2,8;6,4;32,1;30,1;23,94;19,8;81,75;2;
1961-02-22;2,5;7,5;5;31,6;24,76;20,4;76,75;1;
1961-02-23;2,9;0;2,9;29,9;23,16;20,7;84;,666667;
1961-02-24;1,6;4,5;2,5;31,2;23,28;19,8;81,5;0;
1961-02-25;2;7,7;29;32,9;24,1;19,9;79;0;
1961-02-26;3;6;5,7;33,4;24,7;20,4;77,25;2;
1961-02-27;2,2;8,2;18,3;33;24,4;20,4;77,25;,666667;
1961-02-28;3,3;1;2,6;29;24,24;21,4;85;0;
1961-03-01;4,9;0;47,1;24,6;22,64;21,8;89;,666667;
1961-03-02;,9;3,3;10,6;24,5;21;19,7;73,75;1,333333;
1961-03-03;2,5;9,2;0;28,5;20,92;14,7;73,5;2,333333;
1961-03-04;3,4;8;0;31,2;22,54;16,5;74,5;0;
1961-03-05;4,3;7,9;0;31,4;23,9;18,5;75,5;2,333333;
1961-03-06;3,4;1,4;15,5;27;21,7;17,1;83;,666667;
1961-03-07;1,6;0;0;22,6;21,88;21;92;0;
1961-03-08;,5;,6;16,8;28,4;23,6;20,6;79,25;,666667;
1961-03-09;1,7;7,8;0;32,4;24,56;20,3;80;1,333333;
1961-03-10;2,7;7,8;0;31,3;24,42;20,4;79,25;2,333333;
1961-03-11;2,7;6,4;0;32,4;25,92;22,6;78,75;1,666667;
1961-03-12;2,8;4,3;0;32,5;24,98;22,4;82,25;1,666667;
1961-03-13;2;8,4;30,6;33,8;24,24;20,4;80,25;,666667;
1961-03-14;2,3;3,6;38,4;32;24,72;20,4;76;0;
1961-03-15;2,5;6;,9;32;23,88;20,6;83,75;2,666667;
1961-03-16;1,6;6,9;56;32,2;23,56;20,2;83,75;,333333;
1961-03-17;2,4;6,6;31,4;34;25,84;21;74,25;0;
1961-03-18;3;6,2;0;32,4;24,54;21,1;79,75;1,333333;
1961-03-19;2,2;5,6;42,8;31,2;23,88;20,6;80,75;,666667;
1961-03-20;1,8;4,9;54;29,9;24,34;20,8;80,5;,666667;
1961-03-21;2,3;6,8;,6;31,8;25,26;21,6;79,75;,666667;
1961-03-22;2,3;6,2;1,3;31,8;24,72;20,8;79,25;1;
1961-03-23;2,6;9,1;0;30;25;21,7;69,5;1,666667;
1961-03-24;3,6;9,3;0;30,3;24,62;19,8;68,5;1;
1961-03-25;2,1;8,8;0;31,6;25,04;19,2;66;1,333333;
1961-03-26;1,6;5,5;0;30,6;23,28;19,6;82,75;1,333333;
1961-03-27;2,3;2,5;8,2;24,8;21,26;19,7;80,75;1,333333;
1961-03-28;2,5;1,9;0;22;19,18;16,7;79,25;2;
1961-03-29;2,2;3;3,2;23,2;18,24;15,2;79,5;2,666667;
1961-03-30;2,2;4,7;0;25;18,08;14,2;79,75;0;
1961-03-31;1,9;6,5;0;25,6;18,86;13,7;79,25;0;
1961-04-01;2,9;8,8;0;28,6;21,94;15,7;68,5;2,333333;
1961-04-02;3,5;9,5;0;30,5;22,92;15,5;63,25;0;
1961-04-03;4;8;0;31,6;23,78;15,6;64;1;
1961-04-04;4,7;5,2;0;31,2;25;19,8;69,25;3;
1961-04-05;3,6;4,6;0;32,6;23,72;20;76,25;0;
1961-04-06;2,4;3,7;4,9;28,7;22,46;20;87,75;1,333333;
1961-04-07;3,2;0;11,3;23,2;21,46;20,1;87,75;,666667;
1961-04-08;,7;3,2;1,6;27,9;22,36;19,3;82;0;
1961-04-09;1,8;6,5;0;31,2;24,28;20,4;76,25;1,333333;
1961-04-10;2,8;5,7;0;30;24,3;21,5;78,75;2,333333;
1961-04-11;2,6;7,2;0;30,6;24,88;21,2;75,75;1;
1961-04-12;2,4;8;0;32,1;25,54;19,8;69,75;,666667;
1961-04-13;2,7;8,9;0;33;25,26;19,2;69,25;1,333333;
1961-04-14;3,2;7,7;0;30,9;23,66;19,6;79,75;2,333333;
1961-04-15;2,8;5,6;0;29,6;23,76;20,4;77;2,333333;
1961-04-16;2,6;9;0;29,4;23,42;20,3;71,5;1,666667;
1961-04-17;3,8;9,4;0;31,4;23,06;16,9;67,5;2,333333;
1961-04-18;3,5;8,4;0;32,4;23,32;17;71;1,666667;
1961-04-19;3,2;1,9;0;24,4;21,14;18,9;84,5;1,666667;
1961-04-20;1,5;0;,3;20,4;18,9;17,3;84;,666667;
1961-04-21;1,5;0;2,4;20,6;18,66;17,5;93;,666667;
1961-04-22;,5;5,4;3,9;26;20,5;17,1;80,25;2,333333;
1961-04-23;2,5;6,3;0;29,4;21,88;16,4;80,25;2;
1961-04-24;2;5,1;1;29,3;22,08;18,9;82;2,333333;
1961-04-25;2,1;,9;0;25,4;21,98;19,9;87,25;1,666667;
1961-04-26;1,3;0;18,4;22,6;20,88;20,2;89,75;0;
1961-04-27;1,1;9,3;16;26,2;19,64;14,3;78,5;,333333;
1961-04-28;1,8;6,1;0;27,6;20,82;17,1;79,25;1,333333;
1961-04-29;2,3;2,6;0;25,2;20,5;18,5;79,75;1,333333;
1961-04-30;2;6,8;0;27,8;21,3;17,1;77,5;,666667;
1961-05-01;2,6;6;0;25,9;21,02;19;80;1,333333;
1961-05-02;2,1;6,3;0;26,4;21,22;17,5;73,25;2;
1961-05-03;1,9;6,9;0;27,6;21,36;17,4;79,25;3;
1961-05-04;2,3;0;25,4;21,8;19,42;18,1;90;0;
1961-05-05;,6;2,6;,4;24,7;20,6;17,8;85;,333333;
1961-05-06;1,2;6,7;0;29,4;21,44;17,8;77,5;1,333333;
1961-05-07;2,3;7;0;28,4;21,32;18,4;76,5;0;
1961-05-08;2,4;7,5;0;31,6;21,98;15,5;73,25;0;
1961-05-09;3;0;1;21,6;19,32;17,9;88;0;
1961-05-10;1,1;0;9,4;20,6;18,22;17,1;94,5;0;
1961-05-11;,6;1,2;11,7;23,6;19,48;16,8;89,75;1;
1961-05-12;1,1;1,5;,8;23,2;19,54;17,7;83,25;,666667;
