Nome: PINHEIRAL
Codigo Estacao: 83754
Latitude: -22.52
Longitude: -44
Altitude: 385
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1977-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,3;1;null;30;24,82;21,7;85,25;1,833333;
1961-01-02;,8;,1;9,3;27,8;23,94;21,6;89,75;1,666667;
1961-01-03;,7;6,3;4,8;31;24,42;20,9;85,25;1;
1961-01-04;1,5;5,6;1;30,2;24,42;20,5;84;1,3;
1961-01-05;1,5;2,9;5;28,8;23,64;21;87,25;0;
1961-01-06;1,6;6,5;,5;32,8;26,14;21,7;75,75;0;
1961-01-07;1,9;1,1;0;30,4;25,02;21,7;84,75;1,6;
1961-01-08;1;,5;,8;27,4;24,28;21,6;81,5;1;
1961-01-09;1;6,9;,3;31,6;24,9;21,1;83,5;,833333;
1961-01-10;2;6,1;1;29,2;24,54;21,3;81,75;1;
1961-01-11;1,5;4,2;0;31,4;24,46;20,1;81,5;1,266667;
1961-01-12;1,5;4,9;0;29,3;24,32;21,1;85,5;,933333;
1961-01-13;1,5;7,2;19,4;31,8;24,1;19,3;77,25;,733333;
1961-01-14;2,5;8,8;9,5;32,5;24,16;19,7;72,75;0;
1961-01-15;2;10;25;33,2;23,06;16,7;77,75;,733333;
1961-01-16;2;10;26,1;33,4;24,58;17,5;78;0;
1961-01-17;2,5;11,7;6,5;35;26,62;19,3;71,5;,733333;
1961-01-18;2,5;10,8;0;35,4;25,98;20,5;73,5;1,166667;
1961-01-19;3;4,4;0;32,2;24,62;20,3;81;0;
1961-01-20;1,5;6,1;66;32,2;23,82;20,3;82,5;0;
1961-01-21;1,7;10,6;19,6;34;26,18;19,7;74;0;
1961-01-22;2,2;8,9;0;34,6;26,42;20,1;74,5;0;
1961-01-23;2,1;,4;28,9;28,6;23,86;21,7;86,25;0;
1961-01-24;,8;8,3;0;32;25,38;21,3;78,5;,6;
