Nome: SERVICO GEOGRAFICO RIO (M. CONCEICAO)
Codigo Estacao: 83756
Latitude: -22.9
Longitude: -48.18
Altitude: 48
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1966-04-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,8;0;null;32,8;27,84;23,8;78;0;
1961-01-02;2,1;0;3,4;31,4;27,1;24,7;80,75;0;
1961-01-03;2;0;0;31,4;26,96;24,8;81,75;,866667;
1961-01-04;2,2;0;0;31,2;26,56;23,4;78,75;1,033333;
1961-01-05;2;0;,3;30,3;26,16;24,4;83,5;,866667;
1961-01-06;2,1;5,5;0;35,4;28,48;24;73;2,6;
1961-01-07;4;0;17,9;31,3;27,34;25,8;76,25;2,233333;
1961-01-08;2,5;0;0;31,4;26,66;24,5;81,5;,866667;
1961-01-09;1,6;,8;0;31;26,44;23,8;88;2,2;
1961-01-10;2,3;3,3;0;31,8;27;24;81,75;1,733333;
1961-01-11;2;2,2;12,3;31,6;27,02;24,1;81;2,566667;
1961-01-12;2,5;2,7;0;32,4;26,84;24,3;84,75;,166667;
1961-01-13;1;0;11,2;32,5;26,52;22,7;74;2,566667;
1961-01-14;3,5;7,1;0;34;26,84;22,2;71,5;,866667;
1961-01-15;3,6;9,6;0;35,7;28,42;22,8;68;,666667;
1961-01-16;4;10,6;0;36,4;30;24,4;55,5;1,733333;
1961-01-17;5,1;10;0;37,5;30,8;24,3;57,25;,833333;
1961-01-18;5,6;7,3;0;37,6;31,4;26,8;59,75;1,9;
1961-01-19;4,4;1,1;0;32,6;28,1;25,3;77;2,6;
1961-01-20;2,7;2,8;0;33,4;28;23;68,75;1,2;
1961-01-21;3,3;9;0;34,3;28,78;24;64,25;2,566667;
1961-01-22;4,8;8,3;0;36,8;29,08;24,8;65,75;3,433333;
1961-01-23;3,9;1,3;0;30,4;26,56;24,8;82;1,733333;
1961-01-24;1,7;0;1;32;27,62;24,5;73,25;1,033333;
1961-01-25;2,4;,4;0;31,6;26,36;24;85,75;1,7;
1961-01-26;1,4;0;8,1;25,4;24,28;23,2;85,25;2,4;
1961-01-27;1,5;0;12,2;24,3;22,92;21,8;91,5;2,933333;
1961-01-28;1,2;0;55,1;27,9;23,88;21,8;92;1,2;
1961-01-29;,6;,3;5,5;29,6;25,32;22,2;86,75;,866667;
1961-01-30;1,3;2,2;2,7;30,4;25,84;23,1;90,75;,866667;
1961-01-31;1,4;0;2,6;28,7;25,54;23,4;86,5;,866667;
1961-02-01;1,3;5;0;31,8;27,16;24;85,75;1,033333;
1961-02-02;1,8;10,4;,3;33;28,18;23,8;77,75;1,033333;
1961-02-03;2,4;6;0;33,4;28,04;25,2;82,5;0;
1961-02-04;1,8;4,4;2,7;32;27,36;24,8;79,5;1,533333;
1961-02-05;2,3;1,5;0;30,8;26,88;24;82,5;0;
1961-02-06;1,6;8,9;0;34,2;28,28;24,2;75,75;1,7;
1961-02-07;3,2;9,3;0;34,2;28,04;25,2;72,75;1,733333;
1961-02-08;3;6,6;1,5;34,1;28,06;24,2;77;2,033333;
1961-02-09;2,8;10,4;0;31,4;27,56;25,2;77,75;2,566667;
1961-02-10;2,1;6,2;26;30,8;26,56;23,6;80,75;1,866667;
1961-02-11;2,1;9,5;0;35;28,92;23,6;73,25;0;
1961-02-12;2,6;,8;6,9;31;25,96;22,8;81;,833333;
1961-02-13;1,8;0;9,9;25,9;23,9;22,8;88,75;,866667;
1961-02-14;1,1;0;13,8;31;23,16;20,4;76,5;0;
1961-02-15;,9;,2;12,1;24,3;22,28;20,3;90,5;0;
1961-02-16;,8;1,8;2;29,2;24,2;21,4;86,5;1,033333;
1961-02-17;2,3;0;0;30,6;25,6;22,8;83,5;1,566667;
1961-02-18;1,7;2,2;0;35,2;26,92;23,2;79,25;0;
