Nome: ILHA GUAIBA
Codigo Estacao: 83758
Latitude: -23
Longitude: -44.03
Altitude: 64
Situacao: Desativada
Data Inicial: 1971-12-05
Data Final: 1994-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1971-12-05;null;null;null;null;null;null;null;null;
1971-12-06;null;null;null;null;null;null;null;null;
1971-12-07;2,9;null;null;27,3;23,04;21;74,25;4,666667;
1971-12-08;3,1;3,1;0;25,5;22,6;21,2;88,75;3,333333;
1971-12-09;,8;1,7;4,4;26,1;22,78;21,2;90;1,666667;
1971-12-10;,8;4,1;2,1;26,3;21,7;12,4;88,25;0;
1971-12-11;1,3;1,6;0;26,1;23,8;22,3;89;1,666667;
1971-12-12;1,3;11,6;0;28,8;24,92;23;85,25;2,666667;
1971-12-13;2,4;8,9;0;31,7;27,14;24;77,25;5,333333;
1971-12-14;2,3;0;3,8;27,3;23,54;21;92;4,666667;
1971-12-15;,3;0;42,8;22,4;20,92;20;85,5;4;
1971-12-16;,9;4,8;,5;24,8;22,2;20,4;83,75;2;
1971-12-17;3;12,2;0;27,7;23,9;21,2;79;1,333333;
1971-12-18;3,5;11,9;0;29,6;26,16;23,4;80;2,333333;
1971-12-19;3,5;11,2;0;30,4;25,88;23,6;88,25;2;
1971-12-20;2;8,8;0;28,6;25,52;23,4;87,25;6,666667;
1971-12-21;1,5;9,5;,2;27,3;24,76;23,1;90,25;3;
1971-12-22;3;7,1;0;33,2;27,08;23,4;82;7;
1971-12-23;,2;,8;16,1;25,4;22,3;20,2;91,5;9;
1971-12-24;1,8;0;22,9;21,2;20;19,2;95,5;5;
1971-12-25;null;0;38,6;22,9;20,94;19,7;92;3,666667;
1971-12-26;,8;0;3,2;21,9;21,24;20,6;96,75;0;
1971-12-27;,2;0;12,4;25,3;23,4;21,2;93;2,666667;
1971-12-28;1;7;0;27;24,08;22,8;89,75;1;
1971-12-29;1,2;2,3;0;28,3;24,28;22,2;89,25;3,666667;
1971-12-30;2,1;3,8;,8;29;24,92;22;81,25;5,666667;
1971-12-31;2,1;12;0;28,2;24,8;23,2;80,25;3,333333;
1972-01-01;1,9;11,5;0;28,7;25,66;22,8;81,75;2,666667;
1972-01-02;4,1;10,9;0;33;25,96;21,4;74,5;1,666667;
1972-01-03;4,6;11,6;0;31,4;26,98;23,3;70,5;2,333333;
1972-01-04;4,3;10,4;0;33;27,56;23,2;67,5;,333333;
1972-01-05;5,3;8,2;0;32,8;26,8;22,7;73,75;0;
1972-01-06;4,8;5,4;3,3;32,7;26,54;24;81,5;2,333333;
1972-01-07;2,8;6,6;44;28,4;23,44;20;90;2;
1972-01-08;2,4;4,4;32,2;27,6;24,34;20,9;88;1;
1972-01-09;1,8;6,4;3;28;24,14;20,9;83,75;2,333333;
1972-01-10;2,6;4,1;19,6;27,4;23,34;21,6;83,75;4,333333;
1972-01-11;2,5;10;5,6;30,5;25,78;21,9;79;6,666667;
1972-01-12;4,1;9,9;0;30,7;25,94;21,3;79;6,333333;
1972-01-13;5,6;12,2;0;30;26,4;24,4;71;8,666667;
1972-01-14;6,4;12,4;0;31,7;25,88;23;78,25;6;
1972-01-15;6;12,2;0;31,2;25,6;22,4;74,5;6,666667;
1972-01-16;5,4;12,3;0;30,9;25,7;23,1;76,25;6,666667;
1972-01-17;6,4;12,4;0;30,5;25,28;22,5;77,5;5;
1972-01-18;3,3;12,5;0;27,3;24,42;22,6;80;3;
1972-01-19;4;11,5;0;29;25,18;21,4;75,5;2,333333;
1972-01-20;2,8;11,8;0;30,2;27,78;23,8;57;7,666667;
1972-01-21;5,4;,2;0;27,6;23,96;19,5;80,5;3;
1972-01-22;2,8;0;4,5;24,1;21,7;17,9;94;,333333;
1972-01-23;,2;0;10,8;23,5;21,4;17,7;93,25;,666667;
1972-01-24;,6;0;6,2;24,1;21,24;17,7;92,75;1;
1972-01-25;,8;0;4,4;25,5;22,52;19;88,75;,333333;
1972-01-26;1,2;1,5;,4;26,4;23,16;18,7;90,25;,333333;
1972-01-27;1,8;9,3;0;29,6;25,28;21,3;82,5;2,333333;
1972-01-28;2,5;10,9;0;32,2;26,3;22,1;81;,333333;
1972-01-29;2,5;6,6;0;29,2;24,88;21,9;88,25;3,666667;
1972-01-30;2;4,8;17;28,6;24,38;22,1;89,75;,333333;
1972-01-31;1,2;,3;17;26,4;23,7;22;91,5;,333333;
1972-02-01;1,3;6,7;11,6;28,1;24,22;22,2;87,5;2,333333;
1972-02-02;2,8;11,2;,3;32,6;26;22,7;76,5;3,666667;
1972-02-03;3,7;,1;8,7;25,2;23,7;22,3;83,25;3,666667;
1972-02-04;2,4;0;4,8;25,8;22,58;21,1;84,5;2,666667;
1972-02-05;1,2;0;,1;25,9;23,18;21;82;1,333333;
1972-02-06;1,7;2,3;0;27,7;24,5;21,7;83,25;0;
1972-02-07;2;11,7;0;29,4;25,7;22,7;83,25;1,666667;
1972-02-08;2,5;11,7;0;30,8;26,78;23,5;76,25;6,333333;
1972-02-09;4,8;7,4;0;33,3;27,72;24,7;71,5;4,333333;
1972-02-10;4,7;10;0;35;28,76;25,3;62,5;5;
1972-02-11;6,8;12,1;0;33,3;28,3;25,6;66,75;3;
1972-02-12;7;9,4;0;33,4;27,86;24,8;68,5;5,666667;
1972-02-13;5,8;10,4;0;34;28,16;24,6;68;5;
1972-02-14;2,3;9,5;0;32,8;28,38;25,8;79,25;5,333333;
1972-02-15;3,2;8,3;0;30,3;26,66;24,1;75,5;2,666667;
1972-02-16;3,2;10,2;0;31,9;26,66;23,4;80;7,333333;
1972-02-17;4,8;11,3;0;33,6;28,46;24,6;65,75;5,666667;
1972-02-18;6,8;10;0;35,9;28,98;25,4;71,75;4,333333;
1972-02-19;6,4;8,1;0;36;27,76;23,7;80,5;8,666667;
1972-02-20;4,1;0;56,7;24,6;22,74;21,8;95,75;1,666667;
1972-02-21;,5;2,1;30,5;26,8;23,48;21,1;87,75;2;
1972-02-22;1;2,9;27,8;27,3;24,28;22;92,75;0;
1972-02-23;1;4,3;18,2;27,7;25,08;22,8;87,5;1,333333;
1972-02-24;2,3;3,2;6,6;27,6;25,04;22,8;84;,666667;
1972-02-25;1,5;9,7;3;28,9;25,68;22,2;80,25;2,666667;
1972-02-26;2,2;4,4;0;29,6;25,96;23,8;83,5;0;
1972-02-27;1,6;5,1;19,9;29,5;24,68;22,3;87,5;5,333333;
1972-02-28;2,1;,2;10,5;24,5;22,56;20,8;85,25;,666667;
1972-02-29;1,6;1,3;2,9;26,1;23,32;20,7;77,25;,666667;
1972-03-01;2,3;1,9;0;27,5;24;21,8;85,5;,333333;
1972-03-02;1,6;1,6;8,5;28,3;24,62;22,6;86,75;3,333333;
1972-03-03;1,4;1,6;37;27,6;24,96;21,7;81,5;1,333333;
1972-03-04;2,1;4,3;,2;28,2;25,58;23,6;87;1,333333;
1972-03-05;1,8;7,9;0;28,9;25,8;23;84,5;2,666667;
1972-03-06;1,9;9,6;1,5;30,2;26,44;23,2;82;,666667;
1972-03-07;2,3;7,6;0;30,2;26,44;23,9;87,25;2;
1972-03-08;1,8;6,9;0;29,9;26,64;24;87,25;2,666667;
1972-03-09;1,8;8,5;4,5;30,8;25,22;22,3;83,25;1,666667;
1972-03-10;2,6;6,5;23,3;33;26,78;22,8;78,5;5,666667;
1972-03-11;2,9;,2;2,7;26,3;23,78;22,3;93,5;4;
1972-03-12;,5;0;150,7;24,5;23,12;21,8;90,25;4,333333;
1972-03-13;,6;5,2;21,8;28,3;24,34;21,6;84,25;4;
1972-03-14;1,8;8,6;0;28,2;25,72;22,8;84,25;2,666667;
1972-03-15;2,2;7;0;29,7;26,3;24,1;80,75;,333333;
1972-03-16;2;9;0;30,7;26,54;22,8;82,25;,666667;
1972-03-17;2,1;7,5;0;30,9;27,2;25,5;84,5;1,666667;
1972-03-18;1,9;7,6;0;31,4;26,16;22,7;80,25;,666667;
1972-03-19;2,6;9;12,6;29,7;26,58;24;76,5;1,666667;
1972-03-20;3,2;5;0;27,7;25,32;23,5;71,5;8;
1972-03-21;4,4;5;0;28;24,8;21,7;76,75;1,333333;
1972-03-22;2,7;3;0;28,3;25,26;23,4;85;,333333;
1972-03-23;2,2;8,6;1,6;29,3;26,6;24,2;84,75;1;
1972-03-24;2,5;10;0;31,7;27,4;23,8;78,75;,666667;
1972-03-25;3,2;10,8;0;30,6;27,52;24,9;82,5;1,333333;
1972-03-26;2,9;8,9;0;31,1;25,56;22;76,75;3;
1972-03-27;3,3;11,1;2,1;31;26,5;22,3;75;2,333333;
1972-03-28;4;10,7;0;31,3;27,24;24,2;71,25;5;
1972-03-29;5,1;10,7;0;31;27,62;25,6;75,25;1;
1972-03-30;2,8;9,9;0;30,6;26,88;24,4;78;1,333333;
1972-03-31;2,5;4,4;0;28,5;26,16;24,4;78,75;5,333333;
1972-04-01;3,8;4,2;0;28,8;24,72;22,4;80;3;
1972-04-02;2,6;7;11,1;27,8;24,54;22,9;87,75;1,666667;
1972-04-03;2,3;5,5;16,5;31,5;26,76;23,8;77,5;5,666667;
1972-04-04;4,1;1,7;,1;29,5;24,6;22,1;88,25;3;
1972-04-05;,9;3,9;61,6;26,7;22,72;20,7;89,5;0;
1972-04-06;1,5;,8;30,4;24,1;21,68;19,9;85;1,333333;
1972-04-07;1,6;5,6;3,5;27,4;23,58;20,2;79,25;,333333;
1972-04-08;2,7;,5;0;25,9;23,74;22,2;82,25;2;
1972-04-09;2,2;9,7;5,7;26,3;23,8;20,7;74;6,666667;
1972-04-10;5;7,2;0;25,9;23,5;21;78;3,666667;
1972-04-11;3,3;9,9;0;27,3;24,04;21,5;79,25;,333333;
1972-04-12;2,5;8,3;0;28;24,74;21,2;75;3,666667;
1972-04-13;3,2;9,4;0;29,2;25,82;22,9;76,5;1;
1972-04-14;3,8;10,6;0;31,9;28,14;24,7;60,75;6;
1972-04-15;7,5;5;0;33,2;24,86;20,8;72;7,666667;
1972-04-16;4,5;0;12,2;22,2;19,88;17,5;85,25;6;
1972-04-17;1,4;3;18,8;24;19,92;17,9;85,25;2;
1972-04-18;2,2;7,5;18,4;24,8;20,64;18,3;82;1;
1972-04-19;2,4;9,9;5,3;24,7;20,84;17,9;75,25;1;
1972-04-20;3,3;4,3;0;25,5;21,16;18,8;77,5;,333333;
1972-04-21;3,2;10;,6;25,4;22,2;20;66,25;,666667;
1972-04-22;4,8;10,7;0;25,5;22,02;19,2;67,25;1;
1972-04-23;4,1;10,7;0;26;22,26;19,3;74,5;3,666667;
1972-04-24;4,2;10,6;0;28,1;23,96;21,1;71;2;
1972-04-25;4,6;10,7;0;28,1;23,88;21,5;78,5;5;
1972-04-26;5,2;10,2;0;30,8;26,06;22,5;60,75;4;
1972-04-27;6,8;6,7;0;29,6;23,82;20,8;77;3,666667;
1972-04-28;3,2;,5;5,9;23,1;20,6;19,5;81,5;3,666667;
1972-04-29;3;4;,3;23,6;21,16;19;71,25;3;
1972-04-30;3,8;6,9;0;24,6;21,5;18,9;71,25;2,333333;
1972-05-01;3,3;7,1;0;25,2;21,86;19,5;69,25;,666667;
1972-05-02;3,4;9,6;2,4;26,4;22,24;18,9;69,5;2,333333;
1972-05-03;3,6;8,1;0;26,2;21,6;19;74,25;2,333333;
1972-05-04;3;9,4;4,5;24,7;21,24;18,7;72;1,666667;
1972-05-05;3,4;9,6;0;26;21,42;18,5;76,25;4;
1972-05-06;4,1;8,5;0;28,4;23,62;20;51,25;5,666667;
1972-05-07;8,8;2;0;27;23,82;22,5;63;1,666667;
1972-05-08;3,4;5,6;0;26,5;23,54;22;81,5;0;
1972-05-09;3;8,2;0;30,2;25,42;22,5;75,25;0;
1972-05-10;2,6;10,5;0;29;25,14;22,8;80,25;0;
1972-05-11;2,5;8,8;0;27,6;24,18;21,9;86,25;2;
1972-05-12;1,3;9,6;0;27,9;24,68;22,9;82,5;,666667;
1972-05-13;2;10,3;0;28,4;24,12;21,4;81;,333333;
1972-05-14;2,1;9,8;0;26,7;23,4;20,4;84,5;0;
1972-05-15;1,8;9,8;0;26,8;23,72;21;79,25;,333333;
1972-05-16;3,1;10,5;0;28;23,96;21,7;79,25;5;
1972-05-17;4,5;10,1;0;28,9;24,86;22,4;68,5;0;
1972-05-18;3,6;9,8;0;30,6;25,8;22,7;74,75;,333333;
1972-05-19;5,4;7,9;0;28,4;23,78;21,9;82;5;
1972-05-20;2,3;3,8;59,9;24,1;21,46;19,8;89,25;,333333;
1972-05-21;1,4;5,8;3,7;25,2;22,56;20,2;80,75;5,333333;
1972-05-22;6,1;8,3;0;28,4;25,44;22,5;59,25;8;
1972-05-23;8,1;7,9;0;27,7;23,76;21,5;77,5;2,666667;
1972-05-24;2,6;,7;,4;23,4;21,84;20,7;88,75;0;
1972-05-25;1,4;,8;10,9;23,5;20,78;19;86,25;0;
1972-05-26;1,7;9,6;0;25,2;22,3;18,8;79;,666667;
1972-05-27;2,5;9,6;0;25,4;21,8;19,1;77,5;1,666667;
1972-05-28;3,5;9,1;0;25;22,24;19,2;75;,666667;
1972-05-29;2,7;10,3;0;26,2;22,28;19,6;73;0;
1972-05-30;2,6;10,2;0;26,4;22,22;19,5;79,5;,666667;
1972-05-31;2,8;10,3;0;26,4;22,68;19,5;71;4;
1972-06-01;7,5;10,3;0;28,8;24,3;21,5;56,75;7;
1972-06-02;8;10,1;0;28,3;23,96;22,2;61,75;3;
1972-06-03;7;10,1;0;28,9;24,88;22,1;62;,333333;
1972-06-04;4,2;10;0;28,2;24,34;22,3;81;,666667;
1972-06-05;2,4;10,2;0;27,6;24,62;22,3;76;0;
1972-06-06;2,7;10,2;0;27,7;24,28;22,2;82;2,333333;
1972-06-07;2,8;10,1;0;27,1;23,94;22;80;,666667;
1972-06-08;3,2;10,1;0;29,9;24,82;21,9;79,5;2,333333;
1972-06-09;4,2;10;0;27,3;24,18;22,1;79,75;,666667;
1972-06-10;2,6;9,8;0;27,2;23,66;21,3;81,5;1,333333;
1972-06-11;2,9;9,9;0;28,5;24,08;21,6;77,75;,666667;
1972-06-12;2,6;6,4;0;26,9;23,48;22;85;0;
1972-06-13;1,7;9,2;0;25,7;23,1;21;85,75;1;
1972-06-14;1,9;1;,6;23,3;21,76;20,3;85,75;,666667;
1972-06-15;1,3;6,3;6,9;24,5;21,72;20,2;81,25;3,333333;
1972-06-16;3,5;10;0;27;22,34;19,4;75,5;1;
1972-06-17;4;7;0;27,9;22,96;20,5;70,75;1;
1972-06-18;3,5;,4;0;26,2;23,06;21,1;79,25;2,333333;
1972-06-19;2,5;7,9;0;24,3;21,8;20,3;72,25;7;
1972-06-20;3;8,3;0;24,4;20,78;18,4;79;,333333;
1972-06-21;2,5;9,7;0;25,5;20,38;17,3;71,5;1,666667;
1972-06-22;4;9,9;0;24,3;20,42;17,4;67,25;0;
1972-06-23;3,4;10;0;26,4;21,66;17,5;52,75;0;
1972-06-24;4,2;9,5;0;25,4;20,84;18,8;70,75;,333333;
1972-06-25;2,8;9,9;0;25,7;21,94;18,1;77,5;0;
1972-06-26;6;9,9;0;32;26,26;21,3;53,25;1,666667;
1972-06-27;4,5;9,7;0;28,8;25,02;23,1;64,25;0;
1972-06-28;7;10,1;0;28,6;25,86;23;60;2,666667;
1972-06-29;7,3;9,8;0;29,8;25,3;23,4;69,5;0;
1972-06-30;3,7;9,5;0;26,6;23,4;21,7;82,5;1,333333;
1972-07-01;2,6;9,2;0;25,4;22,2;20,3;82,5;,666667;
1972-07-02;2,1;7,2;0;25,5;22,2;20,3;85,75;1,666667;
1972-07-03;2,8;9,5;0;27,7;23,24;20,7;74,75;4,666667;
1972-07-04;6,7;7;0;29,5;24,82;22;61;2,333333;
1972-07-05;6,8;4,2;0;26,9;22,94;20,2;75,25;3,666667;
1972-07-06;3,3;3,4;,2;24,9;21,96;19,9;80,5;,666667;
1972-07-07;2,9;5,4;0;28,7;24,38;20,6;61,5;11,333333;
1972-07-08;9,6;,7;0;27,9;22,02;18,7;67,75;5;
1972-07-09;5,6;4,6;0;21,7;18,44;17,4;67,5;3,333333;
1972-07-10;3,2;0;5,8;17,6;16,28;15,6;90;1,333333;
1972-07-11;1,8;0;,9;19,6;18,02;16,2;79,75;,333333;
1972-07-12;3;0;1,2;21,6;20,34;17,7;80,5;1;
1972-07-13;1,4;1,2;7,3;24,2;20,96;18,4;72,25;3,333333;
1972-07-14;2,2;1;,5;21,7;19,42;17,3;78,25;2,333333;
1972-07-15;3,4;7,2;,6;25,2;22,08;19;69;7,333333;
1972-07-16;7,8;8;0;28,7;23,82;21,6;78,75;2,333333;
1972-07-17;3,1;8,4;0;25,6;21,88;19,5;85,75;1;
1972-07-18;1,6;7,8;0;25,5;21,78;20;88;0;
1972-07-19;3,5;9,8;0;25,4;22,38;20,3;81,25;3,333333;
1972-07-20;4,1;8,6;0;28,8;23,94;21;73,5;3,333333;
1972-07-21;5,4;7,5;0;29,5;24,48;21,9;66,5;3;
1972-07-22;11,2;9,1;0;30,8;26,82;23,1;43,25;3,333333;
1972-07-23;10;0;0;28,3;20,38;17,8;83,75;5;
1972-07-24;2,9;2,6;,4;23,2;19,78;17,3;75,25;,333333;
1972-07-25;3,1;9,7;0;24,1;20,86;18,7;78,75;2;
1972-07-26;2,9;4,5;0;23,8;19,24;17,3;82,25;4,666667;
1972-07-27;3;3,3;14,5;22,2;19;16,8;83,5;3;
1972-07-28;2,1;10,1;4,7;22,7;19,94;17,2;74,5;,666667;
1972-07-29;2,7;10,3;0;24,2;20,2;17,6;77,25;2;
1972-07-30;3,3;6,5;0;23,6;20,26;18,1;81,5;1,333333;
1972-07-31;2,3;9,6;0;24,8;21,04;19;81;1,666667;
1972-08-01;4,2;8,3;0;26,6;22,22;18,4;64,25;5,333333;
1972-08-02;8,1;10,3;0;28,4;25,22;22,1;51,5;7,333333;
1972-08-03;11,6;10;0;33,9;28,14;23,8;47,25;9;
1972-08-04;11,1;0;3,2;28,8;20,46;17,7;93,75;9;
1972-08-05;,9;0;18,2;19,2;17,6;16,4;93,25;,333333;
1972-08-06;,9;0;11,6;21,4;19,8;17,8;81,25;6,333333;
1972-08-07;1,6;3,8;13,9;22,4;19,6;17,6;86;0;
1972-08-08;1,5;7,5;0;23,7;20,88;18;87,75;0;
1972-08-09;1,6;1,1;,2;23,8;20,48;18,8;85,5;1;
1972-08-10;1,8;9,2;0;24,7;21,52;18,9;83,25;2;
1972-08-11;2,8;9;0;26,4;22,74;20,3;84;2;
1972-08-12;3,8;8,2;0;32,8;27,48;21,2;50;4;
1972-08-13;12;2,1;0;28,3;23,12;20,2;78,75;1;
1972-08-14;3,6;7,4;4,7;23,2;19,84;18,5;76,5;11;
1972-08-15;5,4;2,8;,7;21,8;18,1;16,9;88,25;,666667;
1972-08-16;2,2;7,5;,7;23;20,64;21,6;74,25;2,666667;
1972-08-17;5,1;10,4;0;24,7;20,8;18,4;74,25;5,666667;
1972-08-18;5,6;10,6;0;25,5;21,66;19,4;72;3,333333;
1972-08-19;5,2;9,8;0;25,8;22,36;19,2;67,25;2;
1972-08-20;3,7;8,8;0;26,2;22,42;20,3;76,5;3,666667;
1972-08-21;3;9,9;0;26;23,26;20,5;75,25;2;
1972-08-22;8,1;10,1;0;31,9;25,64;21,9;61,5;8,666667;
1972-08-23;7,1;0;2,2;23,8;19,14;17,7;91,75;1,333333;
1972-08-24;,6;0;16,8;21,1;19,12;16,6;88;2,333333;
1972-08-25;3,8;3;0;24,6;23,24;19,8;null;9;
1972-08-26;8,6;4,9;null;29,7;24,46;22;78;5;
1972-08-27;2,7;6,9;0;29,2;24,94;22;76,5;,333333;
1972-08-28;3,1;9,8;0;32,2;26,02;21,4;72,5;4;
1972-08-29;3,8;0;0;24,1;20,78;19,1;82,75;3;
1972-08-30;2,3;1;0;25,9;20,48;17,8;77,75;2,5;
1972-08-31;3,1;0;4;18,6;16,74;16,2;83,25;,333333;
1972-09-01;2;0;,9;17,5;16,62;16;82;1;
1972-09-02;2,2;7,5;0;23,4;18,52;13,6;71,75;1;
1972-09-03;3,3;1,1;0;23;18,6;16,1;74,25;,333333;
1972-09-04;3;1,6;0;22,7;19,56;16,1;85,25;0;
1972-09-05;1,4;6,4;2,6;25,3;21,68;17,8;86,5;,666667;
1972-09-06;3,3;8,4;0;31,1;24,7;21,6;74,5;3,333333;
1972-09-07;6,5;9,9;0;31,6;26,9;21,1;49,75;7;
1972-09-08;10,8;10,2;0;32,9;28,34;25,2;45;3;
1972-09-09;2,2;10,6;0;35,5;27,7;24,1;50;2;
1972-09-10;17,9;9,1;0;35,9;27,84;24,5;49,5;1,5;
1972-09-11;9,8;1,5;0;27,8;23,58;21,3;78,75;1,666667;
1972-09-12;2,5;4,2;,4;28,8;23,08;19,9;80,75;,333333;
1972-09-13;2,3;0;17;21,8;20,24;19;93;1,333333;
1972-09-14;1,5;1,8;7,4;25,2;21;18,8;82,25;2;
1972-09-15;3;1,2;1,9;23,8;20,96;18,3;78;3;
