Nome: COOP.AGRI. DE COTIA
Codigo Estacao: 83760
Latitude: -23.57999999
Longitude: -46.87999999
Altitude: 838
Situacao: Desativada
Data Inicial: 1960-12-31
Data Final: 1972-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;,8;,7;null;24,4;20,34;17,4;94,25;,266667;
1961-01-02;1;0;13,9;22,1;20,08;18,5;97,25;,266667;
1961-01-03;,3;9,8;65,9;28;21,06;17;85,25;,1;
1961-01-04;1,9;2,5;0;26;20,72;17,3;91,5;,366667;
1961-01-05;1;4,8;5,8;26,1;20,34;16,5;91;,566667;
1961-01-06;1,5;3,9;,1;26,6;21,88;18,6;88,75;,2;
1961-01-07;1,4;,2;1,2;21,8;19,28;17,9;93,5;,1;
1961-01-08;,9;0;1,9;21;19;17,2;95,75;,4;
1961-01-09;,6;,8;,6;26;21;17,3;93;,3;
1961-01-10;1,2;5,7;2;28,8;22,84;19,2;null;,55;
1961-01-11;1,1;8,4;1,8;26,3;20,8;18,2;86,25;,933333;
1961-01-12;2,3;10,3;0;26,5;21,38;17,3;84,25;,466667;
1961-01-13;2;9,2;,2;29,5;22,18;18;81,75;,1;
1961-01-14;2,6;8,6;,1;28,9;21,84;16,1;86,25;,366667;
1961-01-15;1,9;8,1;1,9;29,3;22,06;16,4;83,25;,666667;
1961-01-16;2,1;11,1;,3;30,1;23,24;16,4;72,75;,833333;
1961-01-17;3,2;10,8;0;30;23,26;18,2;71,75;,3;
1961-01-18;3,1;9,3;,4;31,5;23,08;18,5;77;,466667;
1961-01-19;2,9;3,5;11,5;28,6;21,88;18,7;86,75;,2;
1961-01-20;1,6;7,4;16,3;28,1;22,44;17;88;,4;
1961-01-21;1,4;8,3;,5;30,2;22,78;18,9;83,25;,2;
1961-01-22;2;4,6;,1;29,5;22;17,4;91;,266667;
1961-01-23;1,5;2,7;,3;26,2;21,14;18,5;90,5;1;
1961-01-24;1,4;7,4;2;26,3;21,02;18;88,25;,233333;
1961-01-25;1,5;4,9;0;26,9;21,22;18,5;88,75;,633333;
1961-01-26;1,9;4,5;0;23,2;19,54;17,5;87;,933333;
1961-01-27;1,9;0;11,9;17,9;16,2;14,9;95,75;,766667;
1961-01-28;,6;0;2,1;19,5;17,36;15,5;94,25;,3;
1961-01-29;,5;1,7;4,5;24,8;19,94;16,7;91,75;,266667;
1961-01-30;,9;6,8;18,5;26,9;20,92;16,9;85,25;1,4;
1961-01-31;1,9;6;,1;27,6;20,78;16;90,75;,266667;
1961-02-01;1,6;9,9;2,8;30,6;21,9;17,2;78,25;,466667;
1961-02-02;2,4;10,3;,1;31,3;22,38;15,9;80,5;,266667;
1961-02-03;3;5;0;28,8;22,52;18,3;88,25;,1;
1961-02-04;1,2;1,8;14,4;26,6;21,52;19;90,25;0;
1961-02-05;1,1;3,9;15,9;26,2;21,38;17,7;86;,4;
1961-02-06;1,7;7,1;,2;29,6;22,84;18,3;78,75;,3;
1961-02-07;2,5;8,9;0;30,7;23,2;18,3;77;,366667;
1961-02-08;2,8;4,6;0;29,6;22,58;17;85,5;,566667;
1961-02-09;1,6;3,3;0;26,6;21,64;19,2;91,25;,766667;
1961-02-10;1,3;6,1;7,3;27,5;21,8;18,5;87,75;,566667;
1961-02-11;1,7;7,8;0;29,6;22,82;18,2;82,75;1,033333;
