Nome: RIO DOURO
Codigo Estacao: 83762
Latitude: -22.62
Longitude: -43.47
Altitude: 127
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1966-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,4;null;null;31,4;25,18;20,9;80;5,333333;
1961-01-02;2,6;null;3,4;31,4;25,56;21,5;80,5;2,666667;
1961-01-03;3,1;null;2,4;29;24,06;21,1;91,75;0;
1961-01-04;,8;null;6,4;30;24,58;19,5;85,25;0;
1961-01-05;1,1;null;1,2;25,6;23,18;20,5;95;0;
1961-01-06;,1;null;7,2;34;26,84;20,5;71;,666667;
1961-01-07;5,5;null;2;27,8;24,18;21,9;95,25;0;
1961-01-08;,6;null;8;26,1;23,5;21,6;93;0;
1961-01-09;,2;null;,4;30;24,34;20,3;89,75;0;
1961-01-10;1,2;null;17,8;28,2;24,5;20,7;89,25;,666667;
1961-01-11;,9;null;,8;30;24,38;20,1;91,75;0;
1961-01-12;,2;null;26,2;27,4;22,94;19,7;96,25;0;
1961-01-13;,6;null;25,4;31,8;24,3;19,5;83,25;,333333;
1961-01-14;2,4;null;7;32,2;24,94;19,7;77,5;2;
1961-01-15;2,6;null;,6;33,4;26,42;17,7;56,25;1;
1961-01-16;7;null;0;33,8;28,22;20,5;48,25;1;
1961-01-17;9,7;null;0;35;26,96;20,6;64,25;1;
1961-01-18;5,9;null;5,2;38;28,3;21,9;65,25;1,333333;
1961-01-19;4,2;null;0;32,6;26,42;21,5;79,75;0;
1961-01-20;2;null;0;32,8;25;19,3;80,75;,333333;
1961-01-21;2,1;null;8;35;26,1;19,9;70,75;,333333;
1961-01-22;4,5;null;0;35,2;26,94;21,3;70;3,333333;
1961-01-23;3,5;null;5,2;26,6;23,4;21,7;94,5;0;
1961-01-24;,4;null;3,9;33,2;24,94;20,5;81,75;0;
1961-01-25;1,6;null;4,2;27,2;23,38;20,7;96;0;
1961-01-26;,4;null;107,6;24,2;21,76;20,1;95,5;0;
1961-01-27;,2;null;7,1;22;20,92;19,2;97;0;
