Nome: ARARAS
Codigo Estacao: 83765
Latitude: -22.52
Longitude: -43.18
Altitude: 820
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1976-07-03
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;21,7;20,54;19,2;95,5;1,666667;
1961-01-02;null;null;30,4;23,5;20,98;19,2;94;2;
1961-01-03;null;null;48,3;23,7;19,98;14,2;93;,666667;
1961-01-04;null;null;27,3;28,1;21,28;16,2;89,75;,666667;
1961-01-05;null;null;24,4;26,5;21,22;18,6;95,5;0;
1961-01-06;null;null;32,8;27,1;22,58;19,4;83;3,666667;
1961-01-07;null;null;,6;26,7;22,14;19,4;91,5;,666667;
1961-01-08;null;null;19,4;25,3;20,94;16,6;89;,666667;
1961-01-09;null;null;6,4;27,7;22,46;18,6;87,25;,666667;
1961-01-10;null;null;6,8;26,3;22,38;19;73;,333333;
1961-01-11;null;null;4,4;27,3;21,82;16,6;83,25;,666667;
1961-01-12;null;null;0;24,4;20,82;17,5;91,5;0;
1961-01-13;null;null;7,4;27,1;21,42;17,6;83,75;,666667;
1961-01-14;null;null;0;29,1;20,22;16;80,25;2;
1961-01-15;null;null;48,2;28,1;20,54;14;75,5;2,666667;
1961-01-16;null;null;0;27,3;21,66;17,4;75,25;3;
1961-01-17;null;null;0;30,1;22,22;17,2;78,25;2;
1961-01-18;null;null;0;31,1;23,1;18;82,25;0;
1961-01-19;null;null;2,1;30,1;22,56;16,9;86,75;3;
1961-01-20;null;null;37,8;27,1;20,58;15,8;81,75;1,333333;
1961-01-21;null;null;14,2;30,3;23,22;17;71;3;
1961-01-22;null;null;0;30,5;22,86;18,6;80,25;1,333333;
1961-01-23;null;null;6,4;26,1;21,5;19,4;89,5;0;
1961-01-24;null;null;11,2;30,1;23,22;18,4;82,5;1,333333;
1961-01-25;null;null;0;27,5;21,98;18,8;88,75;1;
1961-01-26;null;null;147,8;23,5;20,58;17;84;4,666667;
1961-01-27;null;null;14,2;22,4;19,92;17;89;1,333333;
1961-01-28;null;null;29,6;24,4;20,6;18;94,75;0;
1961-01-29;null;null;16,8;25,3;21,26;18;89;1,333333;
1961-01-30;null;null;20,2;27,7;21,58;17,8;86;1;
1961-01-31;null;null;14,2;25,3;21,78;18,2;87,25;1;
1961-02-01;null;null;0;28,7;22,18;18,2;87,5;,666667;
1961-02-02;null;null;4,2;31,2;23,48;16;76;2;
1961-02-03;null;null;0;30,7;22,48;17,2;89;1,333333;
1961-02-04;null;null;0;26,5;21,5;18;90,25;2;
1961-02-05;null;null;18;26;20,36;16,8;88,5;1,333333;
1961-02-06;null;null;0;31,5;23,7;18,4;74;2;
