Nome: ITAPETININGA
Codigo Estacao: 83776
Latitude: -23.58
Longitude: -48.05
Altitude: 644
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1970-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;29,4;22,64;18,4;87,75;2,666667;
1961-01-02;1,2;null;19,5;27,4;22,04;19,8;92,5;2;
1961-01-03;,6;null;35,2;32,7;23,16;16,8;82;1;
1961-01-04;2,3;null;0;31,8;23,62;17,6;77,5;,333333;
1961-01-05;2,1;null;0;30,7;22,9;17;75,5;2;
1961-01-06;2,6;null;0;29,6;23,74;17,4;86,25;2,666667;
1961-01-07;1,6;null;5,4;24,8;20,4;18,3;85;3,666667;
1961-01-08;1,6;null;0;25;20,36;17,4;84,25;3,666667;
1961-01-09;1,6;null;0;28;22,62;17;80,75;2;
1961-01-10;2,2;null;0;32,4;24,8;18,5;78,75;0;
1961-01-11;1,9;null;,7;29,8;23,58;20,5;75;3,666667;
1961-01-12;3,2;null;0;30,1;22,72;16,6;74,5;3,333333;
1961-01-13;3,1;null;0;32,2;24,18;17,6;71,5;2,666667;
1961-01-14;3,3;null;0;34,2;24,88;19,2;72;1;
1961-01-15;2,7;null;25,4;32,6;25,64;20,2;78;2,666667;
1961-01-16;2,4;null;,1;34,2;25,24;17,9;68,25;0;
1961-01-17;3;null;0;34,8;26,04;19,3;69;2,666667;
1961-01-18;3;null;0;34,6;25,28;20;81,25;0;
1961-01-19;1,9;null;,8;32,1;24,8;19,3;80;1;
1961-01-20;1,8;null;21,7;30,7;24,62;19;84;0;
1961-01-21;1,4;null;41,9;34,8;25,48;19,7;73,75;1;
1961-01-22;2,9;null;0;34,6;24,62;18,6;72,25;2;
1961-01-23;2,7;null;0;25,7;21,84;19,6;80,5;5;
1961-01-24;2,1;null;0;30,1;22,88;18,6;77,75;2;
1961-01-25;2,7;null;0;29,4;22,56;17;77;3,333333;
1961-01-26;2,7;null;0;26;20,12;16,8;82;5,666667;
1961-01-27;1,9;null;,9;24;18,52;15,8;81,5;5,666667;
1961-01-28;1,6;null;0;22,1;18,26;15,5;87,75;2;
1961-01-29;1;null;2,1;27,1;20,88;15,7;83,5;0;
1961-01-30;1,3;null;3,8;30,7;23;18,2;79;1;
1961-01-31;2,1;null;0;33,2;24,52;16,7;72,75;0;
1961-02-01;2,6;null;9,2;32,9;24,16;17,5;72,25;1,666667;
1961-02-02;2,6;null;0;32,8;25,2;17,9;78;2;
1961-02-03;2,1;null;13,8;33,3;23,66;18,6;78,75;0;
1961-02-04;1,9;null;35,4;28,4;22,5;18,6;84;1;
1961-02-05;1,7;null;9,1;27,8;22,24;17,8;86;1;
1961-02-06;1;null;,9;31,5;23,62;19,8;82;1;
1961-02-07;1,7;null;5,2;32,8;25,54;18,5;71,5;2;
1961-02-08;2,6;null;,6;33,9;24,92;19,4;68,5;2;
1961-02-09;2,8;null;0;29,9;23,62;20,1;78,5;3,666667;
1961-02-10;2,2;null;,2;30;23,58;19,6;78,25;2;
1961-02-11;2,3;null;0;31,8;23,4;18,4;79,25;0;
1961-02-12;1,8;null;1,7;28,8;22,24;19,3;84,5;0;
1961-02-13;1,1;null;5,6;29,4;21,9;17,1;65,25;1;
1961-02-14;2,7;null;3;27,1;20,28;14,5;69;7,333333;
1961-02-15;3,8;null;0;26,1;20,38;15,8;76,25;5,666667;
1961-02-16;2,7;null;0;26,2;20,62;15,8;82;2;
1961-02-17;1,8;null;0;26,3;21,4;17,5;86;2;
1961-02-18;1;null;2,1;26,8;21,7;18,8;89;2;
1961-02-19;1;null;5,3;24,9;21,92;18,5;87,75;1;
1961-02-20;,9;null;5,3;30,1;22,72;18,2;81;0;
1961-02-21;1,9;null;0;31,5;23,66;18;79,5;3;
1961-02-22;2;null;0;31,9;24,38;19,8;77,25;1,333333;
1961-02-23;1,9;null;2,3;23,6;21,46;20;91,5;2;
1961-02-24;,7;null;4,9;28,4;22,74;19;84,5;3,333333;
1961-02-25;1,3;null;0;30;23,68;18,8;79;3,333333;
