Nome: IGUAPE
Codigo Estacao: 83821
Latitude: -24.671656
Longitude: -47.545896
Altitude: 2.7
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 2009-12-18
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;,6;2,6;null;31,9;25,68;22,1;92,5;1,333333;
1961-01-02;2,1;4,6;21,9;26,8;23,98;21,8;91;2,333333;
1961-01-03;1,5;9;0;29,5;25,26;20,8;92;1,666667;
1961-01-04;2,4;4,5;,8;28,1;24,18;21,5;94,75;,333333;
1961-01-05;1,1;5,8;13,1;28,5;25,02;20,3;94;1;
1961-01-06;2,9;4,8;0;30,9;26,16;22,5;92,5;1,666667;
1961-01-07;3,5;,5;2,5;25,7;23,92;22,6;89,5;4,333333;
1961-01-08;3,4;0;3,7;25,6;23,6;22,1;93,75;1,333333;
1961-01-09;2,5;3,2;9,2;27,5;24,16;21,2;89,25;2;
1961-01-10;,9;3;17,4;29,3;25,12;22,6;85,75;2,666667;
1961-01-11;2,1;8,4;0;28,8;25,76;23,3;88;2,333333;
1961-01-12;3,1;9;0;28,6;25,24;21,4;93,75;3;
1961-01-13;3,2;8,8;6,8;29,5;26,14;23,2;85,5;4,333333;
1961-01-14;2,4;8,2;0;30,5;25,98;21,6;86,5;2,666667;
1961-01-15;2,9;10,4;0;31,1;26,92;22,5;78,75;3,333333;
1961-01-16;2,9;1,1;0;35,1;27,96;23,2;79,25;3,666667;
1961-01-17;4,6;10;0;39,1;29,62;23,5;71,75;4;
1961-01-18;5,9;8,1;0;31,1;26,86;24,1;78,25;5,666667;
1961-01-19;3;4,4;0;31,7;26,32;22,4;82,75;1;
1961-01-20;2,7;7,3;10;30,7;27,02;22,5;81;1,333333;
1961-01-21;1,9;9,9;5,7;31,5;27,44;22,8;80,75;2,333333;
1961-01-22;2,9;3,9;0;30,5;26,04;22,5;86,25;2,333333;
1961-01-23;3,1;0;34,2;27,4;24,94;23;81,5;4;
1961-01-24;3,3;6,5;1,2;29,3;24,94;21,5;82,25;1,666667;
1961-01-25;3;6,4;0;29,5;24,86;20,7;85,25;2;
1961-01-26;3,3;,3;10,9;24,1;22,66;21,1;90;7,333333;
1961-01-27;3,5;1,2;107;26;22,44;20,3;83;5;
1961-01-28;3,7;0;22,1;24,5;21,84;19,8;90,5;1,666667;
1961-01-29;,6;1,4;32,2;25,5;21,98;18,5;90;3;
1961-01-30;,8;7,8;5;29;24;20,5;85,75;2,333333;
1961-01-31;1,9;11,1;16,3;29,3;24,06;17,7;86;2,333333;
1961-02-01;2,5;8,1;0;30,7;24,6;21;89,25;3,666667;
1961-02-02;2,4;9,9;0;31,9;25,96;21,8;81,75;3;
1961-02-03;2,9;3,5;10,4;28,9;25,34;21,9;87;1,333333;
1961-02-04;1,9;2,4;6,2;28,3;24,38;22,5;90;,333333;
1961-02-05;1,5;3,6;2,5;29,3;24,86;22,1;88;1;
1961-02-06;2,1;3;0;31,5;24,92;22,3;90;1,333333;
1961-02-07;,7;10,2;21,8;34;26,56;22,1;86;5,666667;
1961-02-08;5;5,2;2,3;30,3;25,9;22,1;84,75;2,333333;
1961-02-09;1,9;0;56,8;25,5;23,5;22,4;97,75;1;
1961-02-10;1,2;1,3;87,8;27,4;24,72;22,3;89,5;3;
1961-02-11;1,4;8,2;16,7;32,5;25,78;22,3;84,25;2;
1961-02-12;2,5;4,3;31,3;27,5;24,06;22,3;93,25;1;
1961-02-13;1,4;10,8;20,1;29,3;24,38;20,1;80,75;2,333333;
1961-02-14;2,8;9;0;28,9;24,44;20;80,25;3;
1961-02-15;4,4;,6;24,2;24,8;23,04;21,5;87,25;5;
1961-02-16;,5;1,9;98,2;25,4;22,68;19,5;93,25;1;
1961-02-17;1,1;1,6;25,9;26,6;23,94;21,8;88;2;
1961-02-18;1,2;2,9;11,2;30,3;23,96;20,8;90;,666667;
1961-02-19;1,3;2,7;9,3;29,7;24,18;21,5;91,75;,666667;
1961-02-20;1;10,2;11,3;29,7;24,58;20,7;85;1,666667;
1961-02-21;2;8,8;0;31,7;26,06;21,8;85,75;2,333333;
1961-02-22;2;4,9;0;32,3;26,3;23,3;87,5;1,666667;
1961-02-23;null;1,4;null;null;null;null;null;null;
1961-02-24;4,2;9,5;null;33,1;27,26;22,5;78,5;1,666667;
