Nome: SAO PAULO - HORTO FLORESTAL
Codigo Estacao: 83856
Latitude: -23.45
Longitude: -46.65
Altitude: 775
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1982-08-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;1,2;null;null;25,7;21,1;16,8;88,5;1,333333;
1961-01-02;1,8;null;5,1;22,6;20,5;18,6;96,5;1,666667;
1961-01-03;,5;null;38,3;28,8;21,24;15,7;80;1,333333;
1961-01-04;2,2;null;0;27,3;21,14;17,1;87,75;,666667;
1961-01-05;1,2;null;17,2;26,7;21,26;17,5;87,25;1;
1961-01-06;1,9;null;0;26,6;22,3;17,3;82,75;2,333333;
1961-01-07;2,3;null;2,9;22,1;19,5;17,8;94,5;0;
1961-01-08;,6;null;4,3;21,8;19,42;17,3;93,25;1;
1961-01-09;1;null;0;25,6;20,98;18,1;94;2,333333;
1961-01-10;1;null;3,2;30,9;23,28;19,1;84,5;1,666667;
1961-01-11;2;null;,1;25,8;21,2;18,1;79,5;2,333333;
1961-01-12;2,7;null;0;27,5;22,06;17,1;79,75;4,666667;
1961-01-13;2,8;null;0;29;22,72;18,3;76,25;1,333333;
1961-01-14;3,3;null;0;30,3;21,96;16;80;3,333333;
1961-01-15;2,5;null;10,1;30,4;22,12;16,1;80;,666667;
1961-01-16;2,6;null;16,1;29,3;22,48;15,9;78;2;
1961-01-17;4;null;0;31;23,52;18;69,25;2,666667;
1961-01-18;4;null;2,3;31,4;23,08;18,6;78,75;1;
1961-01-19;3;null;84,3;29,2;21,32;17;88,75;0;
1961-01-20;1,7;null;35,7;29;22,88;16,1;78,5;2,666667;
1961-01-21;2,8;null;0;30,1;22,74;17,8;83,5;1,333333;
1961-01-22;2,5;null;28,7;29,8;22,32;18,4;92;2;
1961-01-23;1,6;null;50,6;26;21,12;18;90,5;1;
1961-01-24;2;null;3,2;26,4;21,54;18,7;84,25;,666667;
1961-01-25;2;null;0;26,3;21,08;18,2;82;1;
1961-01-26;2,3;null;,6;27,5;20,38;17,4;85,75;2;
1961-01-27;2,6;null;15,4;18,6;16,46;14,8;94,75;2;
1961-01-28;,7;null;3,3;19,6;17,06;14,8;96,25;2,666667;
1961-01-29;,6;null;7,5;25;19,7;16;95,25;,333333;
1961-01-30;1;null;11,5;26,8;21,32;17;81,25;1,666667;
1961-01-31;2,3;null;2,8;29,3;21,46;16,1;86;,666667;
1961-02-01;2,5;null;2,3;30;21,26;16,5;79,25;1,333333;
1961-02-02;2,7;null;31,2;32;22;15,3;82,75;,666667;
1961-02-03;2,7;null;11,4;31;22,48;17;83,5;1,333333;
1961-02-04;2,3;null;0;27,2;21,8;18,8;86,5;2;
1961-02-05;1,8;null;6,7;27,3;21,12;17,6;80;2,666667;
1961-02-06;3,1;null;,5;29,3;22,1;18,7;79;3,333333;
1961-02-07;3,1;null;7,5;31,7;23,44;17,6;71,5;2;
1961-02-08;4;null;,1;30,4;22,98;16,8;88,75;,666667;
1961-02-09;1,1;null;1,8;27,6;22,1;17,5;85;,333333;
1961-02-10;3,2;null;12,4;28,6;22,34;18,6;86,75;2,666667;
1961-02-11;2,6;null;0;30,2;22,74;17,7;79,75;2;
1961-02-12;2,9;null;5,6;25,3;20,36;17,8;96,75;,666667;
