Nome: XANXERE
Codigo Estacao: 83858
Latitude: -26.85
Longitude: -52.4
Altitude: 841
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1985-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;28,4;20,8;17,6;92;3,333333;
1961-01-02;null;null;48,2;29,2;21,92;16,8;82,5;2;
1961-01-03;null;null;0;31,2;22,28;15;88;3,333333;
1961-01-04;null;null;36,2;27,4;21,12;16,2;86,25;1;
1961-01-05;null;null;0;31;22,88;15,8;81,75;2,666667;
1961-01-06;null;null;22,8;24;17,4;14,6;92,5;3;
1961-01-07;null;null;15;27,8;20,2;13,6;84,5;2,666667;
1961-01-08;null;null;0;30,4;22;17;84,75;3,766667;
1961-01-09;null;null;0;30;22,88;18,6;78,5;2,666667;
1961-01-10;null;null;0;26,4;19,88;15,6;92,75;3;
1961-01-11;null;null;32,8;29;20,96;13,8;84,25;1,666667;
1961-01-12;null;null;0;31,2;23,68;18,2;81;3,333333;
1961-01-13;null;null;0;31;23,36;18,8;77,5;4,333333;
1961-01-14;null;null;0;30;22,6;19;79;2,666667;
1961-01-15;null;null;0;31;22,76;18;87,5;2,666667;
1961-01-16;null;null;0;29,2;23,76;20;83,5;3;
1961-01-17;null;null;9,6;30,2;24,72;19,6;81;3,333333;
1961-01-18;null;null;6,8;28,4;21,08;17,4;91;4;
1961-01-19;null;null;21,6;29,4;22,28;18,8;89,25;3,666667;
1961-01-20;null;null;0;31,4;23,64;19;82,25;2,666667;
1961-01-21;null;null;0;31,8;24,64;18,8;75,5;4,333333;
1961-01-22;null;null;18,8;29,8;23,24;19,8;82,25;2,666667;
1961-01-23;null;null;0;31,2;23,2;17;78;3,666667;
1961-01-24;null;null;0;30,4;22,04;15;86,25;2,666667;
1961-01-25;null;null;0;29,2;21,48;15;83,5;5;
1961-01-26;null;null;10,4;23;17,12;15;92,75;5;
1961-01-27;null;null;0;23,4;16,56;12,6;86,25;2,666667;
1961-01-28;null;null;0;22,2;16,88;13;77,5;2,666667;
1961-01-29;null;null;18;25;18,52;13,8;89,75;4,333333;
1961-01-30;null;null;0;29,6;19,52;13,8;81,5;2,666667;
1961-01-31;null;null;0;30,6;21,84;14;83,75;4,333333;
1961-02-01;null;null;0;31,8;22,2;15;83,25;2;
1961-02-02;null;null;0;28,6;21,76;17,4;84;3,666667;
1961-02-03;null;null;56,6;28;20,44;15;87,5;4,333333;
1961-02-04;null;null;0;28;20,84;16,2;80;3,333333;
1961-02-05;null;null;6;26;19,6;16;81,75;4,333333;
1961-02-06;null;null;5,8;27;20,84;18;85,25;2,666667;
1961-02-07;null;null;2,8;28,6;20,48;15,8;85,75;5;
1961-02-08;null;null;42,8;26,8;19,84;14,8;85,25;2,666667;
1961-02-09;null;null;0;27,6;22,32;17;86,25;2,666667;
1961-02-10;null;null;28,6;28,4;22,8;18;82,75;3;
1961-02-11;null;null;81,2;25;19,52;17;93;3,666667;
1961-02-12;null;null;12,6;26,2;18,64;11;82,75;2,666667;
1961-02-13;null;null;0;27,8;18,88;10,2;89,25;4;
1961-02-14;null;null;14,2;28,6;20,48;16;81,5;2;
1961-02-15;null;null;16,6;26,2;19;13,2;91,75;3,666667;
1961-02-16;null;null;0;24;18,24;13,2;95,25;3,666667;
1961-02-17;null;null;20,2;27,4;19,56;15;82,5;2,666667;
1961-02-18;null;null;10;26,8;20,2;15,8;82,75;3,666667;
1961-02-19;null;null;25,4;26,2;19,28;13,8;82,75;3;
1961-02-20;null;null;18,6;28;19,72;14,6;93,5;2;
1961-02-21;null;null;22;29,8;21,44;17,4;90,75;2,666667;
1961-02-22;null;null;30,4;28;21,2;18,2;88,75;3,666667;
1961-02-23;null;null;40,8;26,4;20,2;17,4;93;2,666667;
1961-02-24;null;null;0;27,6;20,92;16,4;85,5;3,666667;
1961-02-25;null;null;10,6;28,8;21,68;18,6;81,5;3,333333;
1961-02-26;null;null;15,6;26;20,8;18,6;90,5;4,333333;
1961-02-27;null;null;52;23,8;18,36;16;94,25;3;
1961-02-28;null;null;80;21,4;17,2;13,6;80,25;3,666667;
1961-03-01;null;null;15,8;24,2;19,04;15,4;87,75;2;
1961-03-02;null;null;27,4;28,2;19,8;16,2;84;2,666667;
1961-03-03;null;null;0;28;20,6;16;84,5;3,666667;
1961-03-04;null;null;0;28,6;21,6;16;90,25;4,333333;
1961-03-05;null;null;12,2;24,8;17,56;14;90,5;3;
1961-03-06;null;null;19,6;19,8;16,52;14,6;92,25;3,666667;
1961-03-07;null;null;10,2;24;18,76;15;95;2,666667;
1961-03-08;null;null;0;28,4;20,4;16;88;3,333333;
1961-03-09;null;null;0;30,6;22,6;17,4;87;3;
