Nome: PORTO UNIAO
Codigo Estacao: 83864
Latitude: -26.23
Longitude: -51.07
Altitude: 778
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1991-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;26;20,56;17,2;93,75;0;
1961-01-02;null;null;,5;29,6;22,64;16,8;78,5;0;
1961-01-03;null;null;0;32,6;24;17;68;0;
1961-01-04;null;null;25,6;31;22,88;15,6;72,25;0;
1961-01-05;null;null;0;30;23,28;18;75,5;0;
1961-01-06;null;null;,7;26,4;21,2;18;82,75;0;
1961-01-07;null;null;3,1;28;21,44;15;74,5;0;
1961-01-08;null;null;0;29,4;22,12;14,4;73,5;0;
1961-01-09;null;null;0;29,1;21,96;14,9;77,25;0;
1961-01-10;null;null;0;30;21,64;18,2;81,75;1;
1961-01-11;null;null;7,2;30;21,86;13,7;76,25;0;
1961-01-12;null;null;0;31;24,02;17,5;63;0;
1961-01-13;null;null;0;31,5;24,1;17,6;68,25;0;
1961-01-14;null;null;0;32,6;24,78;18,7;63,25;0;
1961-01-15;null;null;,4;33,3;25,92;19,5;65;0;
1961-01-16;null;null;0;32,8;25,1;18,1;61,25;0;
1961-01-17;null;null;2,9;30;21,44;17;85,5;1;
1961-01-18;null;null;12,2;29,5;22,46;18;83,75;0;
1961-01-19;null;null;,4;30,6;22,92;19;85,75;0;
1961-01-20;null;null;26;30;23,44;19,4;82;0;
1961-01-21;null;null;1,5;32,4;24,12;19,2;82,5;0;
1961-01-22;null;null;4,6;30;23,02;19,6;82;0;
1961-01-23;null;null;5,2;27,5;21,58;17,4;75,75;0;
1961-01-24;null;null;0;31,4;23,26;16,3;80,5;0;
1961-01-25;null;null;0;32,4;22,08;17,2;77;0;
1961-01-26;null;null;3,6;21;17,58;15,5;81,5;,666667;
1961-01-27;null;null;0;19,3;16,36;12,5;82;,666667;
1961-01-28;null;null;0;20,4;16,12;13,2;89,75;0;
1961-01-29;null;null;0;23,3;19,06;14;84;0;
1961-01-30;null;null;0;30;20,38;15,3;77,5;0;
1961-01-31;null;null;0;32,5;21,88;13,1;72,75;1,333333;
1961-02-01;null;null;0;32;22,82;13,5;68,75;0;
1961-02-02;null;null;0;33,3;22,12;15,3;76,5;,666667;
1961-02-03;null;null;20,6;29,7;20,72;15,3;88,25;0;
1961-02-04;null;null;10,8;26,3;21,78;18;83,75;0;
1961-02-05;null;null;0;29,5;21,76;17,3;76,5;0;
1961-02-06;null;null;0;28,6;23,24;18;80,75;0;
1961-02-07;null;null;0;30,2;21,68;17,6;86;0;
1961-02-08;null;null;3;30,4;21,04;16;92;0;
1961-02-09;null;null;4;25;20,88;17;88;0;
1961-02-10;null;null;0;29;22,8;17,4;80,75;0;
1961-02-11;null;null;13,1;27,5;21,76;17,3;82;0;
1961-02-12;null;null;0;30,3;22,74;17;75,75;0;
1961-02-13;null;null;0;31,5;23,08;15,1;72,25;0;
1961-02-14;null;null;0;26;20,04;15,6;80,75;1,333333;
1961-02-15;null;null;0;24,6;19,48;16,6;81,25;1,333333;
1961-02-16;null;null;0;21,5;18,36;14,1;86,25;1,333333;
1961-02-17;null;null;0;26;20,8;16;79,25;2;
1961-02-18;null;null;0;29,8;20,96;17;82,5;0;
1961-02-19;null;null;4,6;29,5;21,52;15,5;79,25;0;
1961-02-20;null;null;0;30;22,58;16,1;76,25;0;
1961-02-21;null;null;0;29,5;22,28;19,1;85,75;0;
1961-02-22;null;null;4;30,6;22,14;17,3;92,75;0;
1961-02-23;null;null;2,6;28,7;22,72;18,1;83,75;0;
1961-02-24;null;null;0;31,7;23,14;19;86;0;
1961-02-25;null;null;22,1;31,6;24,32;19,8;82,25;0;
1961-02-26;null;null;4,1;31;23,78;19,9;83,75;0;
1961-02-27;null;null;6,8;28,4;21,68;19;89,5;0;
1961-02-28;null;null;4,8;20;17,12;15;87,5;,666667;
1961-03-01;null;null;0;24;19,04;14,6;81,75;0;
1961-03-02;null;null;0;28,6;21,42;15,1;71,5;0;
1961-03-03;null;null;0;28,9;21,84;15,5;73;0;
1961-03-04;null;null;0;31;20,9;14,7;80,25;0;
1961-03-05;null;null;2,7;20,6;18,32;15,5;97,75;,666667;
1961-03-06;null;null;11,6;18,6;15,58;13,1;87,75;,666667;
1961-03-07;null;null;0;22,7;17,58;12,8;80,5;1,333333;
1961-03-08;null;null;0;27,5;20,94;16;80,75;0;
1961-03-09;null;null;0;31,4;22,86;17,5;79,25;0;
1961-03-10;null;null;0;32;23,12;16;78,25;0;
1961-03-11;null;null;,7;21,2;19,56;18;97,25;0;
1961-03-12;null;null;19,9;28,6;21,54;16,5;82,75;,666667;
1961-03-13;null;null;,4;21,2;18,64;16,4;94,5;,666667;
1961-03-14;null;null;10,6;22;18,24;13,4;92,25;0;
1961-03-15;null;null;,3;29,6;21,1;17,9;89;0;
1961-03-16;null;null;7;28,6;21,56;16;91,25;,666667;
1961-03-17;null;null;21,5;25;19,78;16,7;86,25;0;
1961-03-18;null;null;2,6;19,5;15,14;13;98,5;0;
1961-03-19;null;null;20,3;19;15,64;12;86,5;0;
1961-03-20;null;null;,9;19;16,54;13,7;98,25;0;
1961-03-21;null;null;1,4;25,5;17,48;13,7;78,75;0;
1961-03-22;null;null;0;28;19,76;11;81,5;0;
1961-03-23;null;null;,2;28,5;21,64;15,5;81,5;0;
1961-03-24;null;null;0;30;22,56;16,6;79,25;0;
1961-03-25;null;null;0;30,3;21,06;16;84,25;0;
1961-03-26;null;null;,4;29;20,84;14;72,75;0;
1961-03-27;null;null;0;21,1;16,04;12,9;81,5;,666667;
1961-03-28;null;null;0;22,4;14,8;8,4;76,75;,666667;
1961-03-29;null;null;0;24,6;16,96;10,2;73,75;0;
1961-03-30;null;null;0;25,8;17,6;11;71,75;0;
1961-03-31;null;null;0;26,2;18,74;13,3;73;0;
1961-04-01;null;null;0;27;18,44;10,2;77,5;0;
1961-04-02;null;null;,4;23,3;18,18;14;89,75;0;
1961-04-03;null;null;0;21,6;17,7;15,3;91;1,666667;
1961-04-04;null;null;10,3;26,4;19,46;14,1;79,25;1;
1961-04-05;null;null;0;26;19,46;14,7;80;0;
1961-04-06;null;null;0;26,6;18,66;11,1;75,25;0;
1961-04-07;null;null;0;23;18,2;14,2;79;0;
1961-04-08;null;null;0;27,5;20,14;15,1;80,5;0;
1961-04-09;null;null;0;28,6;21,52;17;77,5;0;
1961-04-10;null;null;0;25,8;20,26;16,5;82,5;0;
1961-04-11;null;null;0;26,6;19,74;16,7;82,75;0;
1961-04-12;null;null;,7;27,5;19,56;13,1;87,25;0;
1961-04-13;null;null;0;20,8;17,84;15;96,5;0;
1961-04-14;null;null;1,8;23,8;18,9;15,9;95,5;0;
1961-04-15;null;null;7,3;27,8;20,78;16,5;94;,333333;
1961-04-16;null;null;25,8;22,4;18,78;15,4;98;0;
1961-04-17;null;null;0;25,9;19,84;16,8;91,75;,333333;
1961-04-18;null;null;5,8;26,4;20,5;17,5;80,75;1;
1961-04-19;null;null;0;19,6;15,38;11,4;87,5;0;
1961-04-20;null;null;,2;19,9;14,82;11,5;90,25;,666667;
1961-04-21;null;null;,6;21,2;15,68;12,3;87;0;
1961-04-22;null;null;0;16,6;15;13;94,25;1,333333;
1961-04-23;null;null;14,4;25;16,3;9,7;85,75;1,333333;
1961-04-24;null;null;0;25,4;16,54;11,1;72,25;0;
1961-04-25;null;null;0;16,4;13,68;9,5;97,5;1;
1961-04-26;null;null;5,6;22,4;15,84;12,5;89,75;1,666667;
1961-04-27;null;null;0;22,3;13,34;8,2;75,25;2;
1961-04-28;null;null;0;23,4;12,48;4,7;76,75;2;
1961-04-29;null;null;0;20,9;12,38;5,8;89,75;0;
1961-04-30;null;null;0;24;13,58;5,8;80,25;,666667;
1961-05-01;null;null;0;22,4;12,86;6,1;79,75;,333333;
1961-05-02;null;null;0;16,6;14,2;10,7;94,75;0;
1961-05-03;null;null;2,1;15,7;14,16;12,7;94,75;1,666667;
1961-05-04;null;null;3;17,4;14,34;11,6;97,75;0;
1961-05-05;null;null;1,5;22,8;15,3;10,3;89,5;1;
1961-05-06;null;null;0;24,2;16,34;11,7;86,75;,333333;
1961-05-07;null;null;null;null;null;null;null;null;
1961-05-08;null;null;null;null;null;null;null;null;
1961-05-09;null;null;null;null;null;null;null;null;
1961-05-10;null;null;null;null;null;null;null;null;
1961-05-11;null;null;null;null;null;null;null;null;
1961-05-12;null;null;null;null;null;null;null;null;
1961-05-13;null;null;null;null;null;null;null;null;
1961-05-14;null;null;null;null;null;null;null;null;
1961-05-15;null;null;null;22;16,22;11,7;91;,333333;
1961-05-16;null;null;0;21,2;16,22;12,6;93;,333333;
1961-05-17;null;null;0;25,8;18,44;12,9;83,5;0;
1961-05-18;null;null;25,9;23,4;17,92;15,5;92,25;1,666667;
1961-05-19;null;null;0;20,6;13,78;9,9;94;5;
1961-05-20;null;null;0;19,8;9,24;2,4;95,75;0;
1961-05-21;null;null;0;19,2;9,16;,8;85,25;1;
1961-05-22;null;null;0;19;11,9;5,7;87;0;
1961-05-23;null;null;0;16,8;11,68;7,4;96,75;0;
1961-05-24;null;null;0;18,4;12,74;9,9;92;0;
1961-05-25;null;null;,3;18,6;11,28;7,4;92,25;,666667;
1961-05-26;null;null;,4;19;11,56;6,6;91,75;0;
1961-05-27;null;null;0;18,9;11,64;5,7;90,75;0;
1961-05-28;null;null;,4;22;12,58;6,7;87,5;1;
1961-05-29;null;null;0;22,4;12,14;5,1;87;,333333;
1961-05-30;null;null;0;24;12,38;4,7;87;1,666667;
1961-05-31;null;null;0;22,5;13;6,3;88,5;0;
1961-06-01;null;null;0;23;13,96;6,6;84,25;0;
1961-06-02;null;null;0;20;15,1;12,7;88,5;,666667;
1961-06-03;null;null;0;23;14,94;7,8;87,75;,333333;
1961-06-04;null;null;0;24;15,46;8,1;91,75;0;
1961-06-05;null;null;15,8;17,1;14,68;11,4;99,25;,666667;
1961-06-06;null;null;11,7;18,9;16,08;13,1;95;,333333;
1961-06-07;null;null;0;19,8;15,86;13,7;94,5;,666667;
1961-06-08;null;null;0;25,4;16,68;11,4;87,75;0;
1961-06-09;null;null;0;20,6;13,9;8,8;93,75;0;
1961-06-10;null;null;0;17,4;14,86;8,7;96,25;0;
1961-06-11;null;null;15,3;16,2;13,58;11,7;94,75;0;
1961-06-12;null;null;6;13,4;11,38;9,5;99,5;0;
1961-06-13;null;null;20,6;13,5;11,9;10,4;98;0;
1961-06-14;null;null;5,9;14,2;9,56;7,3;83,5;1;
1961-06-15;null;null;0;14,4;4,48;-1,8;81,75;0;
1961-06-16;null;null;0;14,2;4,22;-2,1;84,25;0;
1961-06-17;null;null;0;12,8;6,18;,3;89,25;1;
1961-06-18;null;null;0;14,4;10,8;4,4;93,25;,333333;
