Nome: SAO BORJA
Codigo Estacao: 83901
Latitude: -28.65
Longitude: -56
Altitude: 96
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1966-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;35,7;28,06;20,4;71,5;1;
1961-01-02;null;null;0;36,3;27,94;23,8;70;,666667;
1961-01-03;null;null;1;35,4;25,12;20,3;76,25;3,666667;
1961-01-04;null;null;6,5;34,5;25,3;17,5;62,5;,333333;
1961-01-05;null;null;0;32,8;23,44;19,1;76,5;,333333;
1961-01-06;null;null;25;30,9;23,7;18,9;74,25;,333333;
1961-01-07;null;null;0;32;24,98;18,2;68,25;1,333333;
1961-01-08;null;null;0;36,5;28,02;19,5;62;,333333;
1961-01-09;null;null;0;36,2;29,8;24,5;68,5;2;
1961-01-10;null;null;13,5;33,4;26,5;23,3;72,75;,666667;
1961-01-11;null;null;0;33,2;25,7;17,2;67;1,666667;
1961-01-12;null;null;0;37,2;28,08;19,5;62,5;,333333;
1961-01-13;null;null;0;37,3;30,56;24,5;64,5;1;
1961-01-14;null;null;0;35;29,42;24,8;69,75;1,333333;
1961-01-15;null;null;0;35,4;29,9;24,7;68,25;1,333333;
1961-01-16;null;null;0;37,2;30,78;25,5;67,25;1,333333;
1961-01-17;null;null;0;35,7;26,34;21,8;88;1,333333;
1961-01-18;null;null;21,3;33,8;26,9;20,3;77,25;,333333;
1961-01-19;null;null;0;36,5;29,44;22,3;73,5;,333333;
1961-01-20;null;null;0;37,3;30,86;25;68,25;1;
1961-01-21;null;null;0;38,2;30,3;26;67,5;,333333;
1961-01-22;null;null;0;33,3;25,7;19;75,5;1,333333;
1961-01-23;null;null;0;37,1;27,12;18,5;61,5;,666667;
1961-01-24;null;null;0;37;28,3;20;58,75;0;
1961-01-25;null;null;0;32,7;24,64;19;63,75;2,333333;
1961-01-26;null;null;0;30;22,4;15,5;59;4,333333;
1961-01-27;null;null;0;32;23,84;16,6;55,75;2;
1961-01-28;null;null;0;33,4;24,98;17,2;59,25;,666667;
1961-01-29;null;null;0;36,1;27,4;18,9;57,5;,333333;
