Nome: ARARANGUA
Codigo Estacao: 83921
Latitude: -28.88
Longitude: -49.52
Altitude: 12
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1980-02-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;4;null;null;29;23,48;18;85;1;
1961-01-02;2;null;0;33;24,48;20;76,5;1;
1961-01-03;1;null;0;31,2;25,44;22;86,25;1;
1961-01-04;,8;null;61,3;26,6;22,18;18,8;86;1;
1961-01-05;2,2;null;0;28;24,28;20;82,75;2;
1961-01-06;1;null;0;25,5;23,3;22,2;91,25;1,333333;
1961-01-07;1,8;null;3,5;28;22,3;17,8;77,75;1;
1961-01-08;2,2;null;0;29,2;22,9;18,2;84,25;1;
1961-01-09;2,6;null;0;30,2;24,44;20;80;1,333333;
1961-01-10;2,4;null;0;30,8;27,2;22;79;1;
1961-01-11;,6;null;0;28,5;24,78;22,2;89;1;
1961-01-12;3,6;null;2,8;31,2;25,52;20,4;78,25;1,333333;
1961-01-13;2,2;null;0;33,5;28,98;21,8;72;3;
1961-01-14;3;null;0;34,8;29,16;23;70,75;1;
1961-01-15;2,8;null;0;35,5;29,98;23,6;68,25;1;
1961-01-16;3,2;null;0;35;28,56;23,8;75;1;
1961-01-17;1,8;null;0;36;30,2;24;68;1,666667;
1961-01-18;3,2;null;9,5;32;26,26;23,5;89,5;1,333333;
1961-01-19;1,4;null;8,4;29,2;24,8;20,8;91;1;
1961-01-20;1,2;null;10,3;29,8;24,52;21;87;1;
1961-01-21;1,4;null;0;32,2;26,38;21,5;81,5;1,333333;
1961-01-22;3,2;null;6,1;28,2;24,2;20,8;89,75;1,666667;
1961-01-23;3,8;null;0;28,8;24,3;20,2;77,25;1,333333;
1961-01-24;2;null;0;32,4;25,66;19,5;74,25;1;
1961-01-25;2,8;null;0;28;23,6;20,5;87,75;1;
1961-01-26;1,4;null;7,5;24,8;21,72;18,6;79,25;1;
1961-01-27;1,6;null;8,2;27,6;22,8;18,4;76;1;
1961-01-28;2,2;null;0;26,5;22,24;18,2;82;1;
1961-01-29;1,8;null;0;29;24,3;19;77,25;1;
1961-01-30;1,4;null;0;31,5;25,54;19,2;75,25;1;
1961-01-31;3,8;null;0;32,2;25,2;19,8;79,75;1;
1961-02-01;3;null;0;35;28,26;20,8;68,5;1;
1961-02-02;1,2;null;1,4;30,5;26,1;23;86,75;1;
1961-02-03;2,8;null;12,2;27,4;24,54;22,8;85,25;1;
1961-02-04;1,8;null;0;29,6;25,28;21,8;85,25;1;
1961-02-05;1,4;null;0;29,5;25,06;22,5;88,75;1;
1961-02-06;3,8;null;3,3;31,5;26;22;85;,666667;
1961-02-07;1,2;null;2,2;32;26,6;23,5;87;1;
1961-02-08;2,4;null;16,7;30;25,6;22,4;86,5;1;
1961-02-09;1,6;null;11,2;27;24,3;22;86,25;1;
1961-02-10;1,2;null;0;30,2;24,8;21,4;87;1;
1961-02-11;2,2;null;9,2;29,4;25,4;23;90,5;1;
1961-02-12;2;null;0;28,8;24,12;21;87,5;1;
1961-02-13;2,2;null;0;30;25;20,8;87,25;1;
1961-02-14;2,4;null;0;31;25,72;22,2;85,25;1,333333;
1961-02-15;,6;null;0;31,8;26,36;22,6;86,25;1;
1961-02-16;2;null;0;27,8;24,84;20,4;87,75;2,333333;
1961-02-17;3,8;null;2,4;26,6;23,92;21;88;1;
1961-02-18;1;null;14,1;28;24,7;21,5;90,25;1;
1961-02-19;2;null;14,8;30,2;25,56;21,6;86,25;1;
1961-02-20;,8;null;0;32,2;25,92;22;89,75;1;
1961-02-21;1,4;null;4,5;33,5;26,84;22,2;87,25;1;
1961-02-22;2,8;null;0;34;27,54;22,5;82,5;1;
1961-02-23;2;null;0;32,2;28,26;23,6;80,5;1,333333;
1961-02-24;,2;null;0;29,5;25,46;22,6;86,25;1;
1961-02-25;2,6;null;0;31;26,16;22,8;86,5;1;
1961-02-26;1,2;null;0;30,9;26,58;23;88;1;
1961-02-27;1,2;null;5,5;31,8;26,02;21,9;81,5;1;
1961-02-28;1;null;0;26,8;24,24;22,6;92,25;1;
1961-03-01;1,6;null;37,8;26,5;21,52;17,5;76,25;1;
1961-03-02;2;null;0;28;22,2;16,8;78;2;
1961-03-03;2;null;0;30,5;23,22;18;84;1;
1961-03-04;5,6;null;0;29,2;24,64;19,8;86;1,333333;
1961-03-05;2,2;null;24,2;24,8;20,28;18;93,75;2;
1961-03-06;1;null;21,1;23,5;20,94;17,4;84,5;1,666667;
1961-03-07;3;null;1,4;24,8;20,76;17,5;85,5;1;
1961-03-08;1,8;null;2,4;27,4;22,68;19;89,75;1;
1961-03-09;1,2;null;5,2;31;24,44;18,2;85,5;1;
1961-03-10;1,8;null;0;33;25,68;20,5;83;1;
1961-03-11;3,4;null;0;26,8;24,7;22,5;89;1;
1961-03-12;,8;null;0;28;23,96;20,2;89,5;1,333333;
1961-03-13;1,4;null;0;27,2;23,32;19,4;85,5;,666667;
1961-03-14;2,3;null;0;31,2;23,76;18;86,25;1;
1961-03-15;1,3;null;0;31;23,54;16,5;84,25;1;
1961-03-16;4,8;null;0;32,5;24,6;21;87,25;1;
1961-03-17;2;null;45,4;30;22,98;19,5;97;2;
1961-03-18;,2;null;19,4;22;17,66;15,8;93,5;1,333333;
1961-03-19;,8;null;7,2;24,8;19,68;16;90,5;1;
1961-03-20;2;null;0;21,5;19,54;18;95,75;,666667;
1961-03-21;,4;null;47,3;28;21,42;16,5;86,25;1,333333;
1961-03-22;1,4;null;0;28,4;22,18;17,5;85,25;1;
1961-03-23;3;null;0;31,6;23,7;18,5;88,5;1;
1961-03-24;2;null;0;32,5;24,66;19;83,75;1,333333;
1961-03-25;3,2;null;0;32,2;23,72;20;88;1;
1961-03-26;3;null;11,4;24,8;20,46;17,5;81,25;3;
1961-03-27;2,2;null;11,3;23,8;19,42;16;82,75;1,333333;
1961-03-28;5,8;null;0;25,4;19,44;15,8;82,5;1;
1961-03-29;3;null;0;26,5;21,18;15;71;2,333333;
1961-03-30;3,2;null;0;26,8;21,4;16,2;82;1,666667;
1961-03-31;3,8;null;0;27,5;20,3;14;78,25;1;
1961-04-01;3;null;0;30;23,44;15;77;,666667;
1961-04-02;3;null;0;28,2;23,36;20,2;93;1;
1961-04-03;2,6;null;1,7;29,8;23,2;18,8;87,75;1;
1961-04-04;1,4;null;0;32,2;24,24;20;84,25;1;
1961-04-05;4,4;null;0;26,4;21,36;16,8;87,25;1;
1961-04-06;,2;null;0;24;21,82;20;86,5;2;
1961-04-07;1,4;null;0;25,4;20,12;15;78,5;1,333333;
1961-04-08;3,8;null;0;27,5;21,3;14,4;83;,666667;
1961-04-09;2;null;0;25,4;22,68;20,4;84,5;2;
1961-04-10;3;null;0;24,5;21,62;19,8;93,25;,666667;
1961-04-11;1,2;null;1,1;26,5;22,42;19,6;93,25;1,333333;
1961-04-12;1;null;2,4;26;22,16;18,8;89;1;
1961-04-13;1,6;null;7,2;24;21,68;20,5;95,5;1;
1961-04-14;1,2;null;0;24,8;21,64;19,5;92,25;1;
1961-04-15;,2;null;53,4;21,5;19,1;17,4;98;,333333;
1961-04-16;,6;null;12,9;21;19,16;17;98;1,333333;
1961-04-17;,6;null;18,1;25;21,88;19;94,5;1;
1961-04-18;2,4;null;11,4;24,8;21,08;19,6;94,5;1,666667;
1961-04-19;1;null;0;22,4;18,96;15,8;80,5;1,333333;
1961-04-20;,4;null;0;22,8;16,98;11,4;84,25;1;
1961-04-21;2,8;null;0;25,6;19,12;13;83,5;1;
1961-04-22;3,9;null;0;23;18,48;13,4;89;1;
1961-04-23;,8;null;0;28,4;21,56;15,4;78,5;1;
1961-04-24;3,1;null;0;24,4;18,82;16,5;66,75;2;
1961-04-25;4,9;null;0;22;17,48;13,4;80;1;
1961-04-26;2,9;null;0;23,2;18,34;16;85,5;1;
1961-04-27;1,8;null;0;26;17,18;11,4;82,5;1;
1961-04-28;3;null;0;24,2;17,52;11,8;86,25;2;
1961-04-29;2,3;null;5,2;21,5;16,54;11,6;84,25;1;
1961-04-30;3,6;null;0;27;18,42;10,5;81;1;
1961-05-01;3,2;null;0;25;19,28;15;85,25;1;
1961-05-02;1,2;null;0;24,2;18,68;12,4;82,5;1;
1961-05-03;2,2;null;0;26;17,52;11,2;80,75;1;
1961-05-04;,9;null;0;24;17,76;13;87;1;
1961-05-05;1,4;null;1,8;21,5;19,36;16,5;99;1,666667;
1961-05-06;1,9;null;10,3;26,2;20,74;17,5;93,25;1,333333;
1961-05-07;1,5;null;0;25,5;21,62;18,8;90,25;,666667;
1961-05-08;1,7;null;16,8;23,5;18,9;16,5;91;1;
1961-05-09;1,6;null;0;23,6;17,3;12,5;88,75;1;
1961-05-10;2,6;null;0;22,8;17,26;11,9;90,25;1;
1961-05-11;2,5;null;0;24,5;18,78;14,4;85;1;
1961-05-12;1,4;null;0;26,2;18,96;13;82,25;1;
1961-05-13;4,2;null;0;26,8;19,32;12,4;81,75;1;
1961-05-14;2,4;null;0;24,8;18,64;15;86,75;1;
1961-05-15;1,5;null;0;24;16,56;12,2;87,5;1;
1961-05-16;1,4;null;0;25,2;16,46;10,9;84,25;,666667;
1961-05-17;,7;null;0;24,8;17,42;11,7;96;,666667;
1961-05-18;1,6;null;18,3;25,5;19,18;14,4;87;1;
1961-05-19;3,6;null;0;22;15,6;12;61,5;2,333333;
1961-05-20;4,3;null;0;19,8;12,44;7,8;86,75;1,333333;
1961-05-21;3,6;null;0;22,4;14;6,6;84,25;1;
1961-05-22;1,6;null;0;23;16,1;9;86;1;
1961-05-23;1,1;null;0;25,5;16,1;10,5;91;1;
1961-05-24;,7;null;0;23;16,88;10,9;86,75;1;
1961-05-25;1,3;null;0;24;16,48;11;88,75;1;
1961-05-26;1,5;null;0;24,5;16,8;12;86;1;
1961-05-27;1,4;null;0;25,4;17,26;11,4;87,75;1;
1961-05-28;1,4;null;0;25,8;16,98;11,5;84,5;1;
1961-05-29;1,7;null;0;27,4;17,78;10,5;85;1;
1961-05-30;2,2;null;0;26,2;18,04;11,6;87;1;
1961-05-31;3;null;0;26,8;17,4;10,5;88;1;
1961-06-01;2,7;null;0;27,8;18,64;10,4;80;1,666667;
1961-06-02;3,2;null;0;22,6;18,28;15,8;94,5;1,333333;
1961-06-03;6,9;null;1,4;24,2;15,82;12,5;93,75;1;
1961-06-04;1,9;null;0;21,5;13,46;8,8;89,5;1;
1961-06-05;1,3;null;13,7;20,9;13,26;10;95,25;1,333333;
1961-06-06;3,1;null;42,7;24,8;15,62;11,7;91;1;
1961-06-07;,6;null;0;28,5;20,2;16;82,5;1;
1961-06-08;,2;null;0;31;20,52;14;80,5;1;
1961-06-09;1,1;null;0;31,2;20,76;14,4;78,25;1;
1961-06-10;2,9;null;0;21,8;18,4;13,8;89,25;1,333333;
1961-06-11;1;null;4,4;20;15,6;12,5;82,25;1,666667;
1961-06-12;1,9;null;0;21;15,7;13;95,75;1,333333;
1961-06-13;,7;null;30,6;20,9;14,56;10,9;97;1;
1961-06-14;,7;null;66,4;15,5;13,34;10,2;87,5;2;
1961-06-15;2,6;null;0;15;7,68;3,5;74,5;1,333333;
1961-06-16;5,2;null;0;14,2;6,1;,6;75,75;1;
1961-06-17;1,7;null;0;16,5;8,08;,9;81,5;,666667;
1961-06-18;1,8;null;0;20,2;11,64;3;86,75;0;
1961-06-19;1,4;null;4,2;19;15,5;12,5;93;1;
1961-06-20;,5;null;26,4;17,2;15,74;14;96,25;1,333333;
1961-06-21;,5;null;4,2;18,6;15,98;14,5;97,75;1,333333;
1961-06-22;,3;null;1,4;22,5;16,42;11;85,25;,666667;
1961-06-23;1,2;null;0;20,5;15,3;11,4;89,25;1;
1961-06-24;1,3;null;0;23,4;14,38;8,5;85,75;1;
1961-06-25;2,8;null;0;25,5;15,9;8,4;84,75;1;
1961-06-26;2,7;null;0;27,5;18,62;11,5;88,25;1;
1961-06-27;4,4;null;0;28,5;20,12;15,5;82,75;1;
1961-06-28;1,6;null;0;30,5;19,66;11,6;79,25;1;
1961-06-29;2,4;null;0;27,2;20,12;14,4;84;1,666667;
1961-06-30;4,3;null;0;25,6;18,64;13,4;89,75;1;
1961-07-01;,1;null;0;26;19,26;15,8;93,25;1;
1961-07-02;3;null;0;21,2;18,22;16,2;93;1;
1961-07-03;1,1;null;2,2;17,6;15,68;14,9;96,25;1;
1961-07-04;,7;null;0;24;17,4;14;92;1;
1961-07-05;1;null;0;27,5;18,4;11;79,25;1;
1961-07-06;3,4;null;0;29,5;21,7;16,6;75;2;
1961-07-07;4,9;null;4,4;21,2;13,36;10,2;97,25;1,333333;
1961-07-08;,6;null;61,8;14,5;12,46;11,4;94;1;
1961-07-09;,3;null;2,1;15,5;12,7;11;91,25;1,666667;
1961-07-10;1,4;null;2,2;18,6;14,3;10,9;87,5;,666667;
1961-07-11;1,5;null;0;21,2;15,56;10,6;89,25;1;
1961-07-12;3,5;null;0;27;18,56;10,8;70,75;1,333333;
1961-07-13;3,1;null;0;25,5;18,4;14,5;90,5;1;
1961-07-14;1,7;null;0;19;17,44;15,9;94;1;
1961-07-15;2,4;null;7,9;24;18,38;15;93,25;1;
1961-07-16;3,3;null;0;21,8;18,4;15,5;94,5;1;
1961-07-17;,8;null;16,1;20;17,92;16;94,5;1;
1961-07-18;,6;null;14,4;22;17,4;14;85,25;1;
1961-07-19;1,2;null;0;27;18,28;12,4;91,5;,666667;
1961-07-20;1,1;null;0;28;17,3;12;88,75;1;
1961-07-21;4;null;0;26,5;18,18;13,2;87,5;,666667;
1961-07-22;1,9;null;1,4;20,5;14,56;10,8;76,25;1,333333;
1961-07-23;2,2;null;0;21,5;13,64;7,5;82,5;,666667;
1961-07-24;1,6;null;0;24,4;17,68;8,5;75,25;1;
1961-07-25;1,2;null;0;30,8;21,06;11;69;2;
1961-07-26;3,3;null;4,2;22,5;15,14;11,6;82,25;2,333333;
1961-07-27;7,7;null;0;16;10,98;4,5;74,75;1;
1961-07-28;5,9;null;0;15;10,28;4,4;76,25;1;
1961-07-29;2,6;null;0;17;11,5;3;80,25;1;
1961-07-30;1,5;null;0;21,5;14,6;7;81,25;,666667;
1961-07-31;1,7;null;0;17,5;13,12;6,6;87,75;,666667;
1961-08-01;,8;null;0;21;15,26;10,5;89;1;
1961-08-02;1,5;null;0;19;16,6;14,8;87,5;1,666667;
1961-08-03;2,3;null;0;20,3;15,36;10,5;89,75;,666667;
1961-08-04;4,5;null;0;25,4;15,9;12,2;91,5;,333333;
1961-08-05;1,1;null;0;23,4;15,96;9;87,25;,333333;
1961-08-06;1,7;null;0;31,5;20,8;9,5;66;,333333;
1961-08-07;4,8;null;0;25;18,84;13;83;1,666667;
1961-08-08;1,3;null;0;21,4;18,6;16,6;87,75;1,333333;
1961-08-09;1,9;null;0;22,7;18,24;14;92,25;,666667;
1961-08-10;1;null;0;29,9;21,74;14,8;71,75;,333333;
1961-08-11;3,2;null;0;24;18;14;90,5;1;
1961-08-12;1,1;null;0;26,5;20;13,9;82,5;1;
1961-08-13;2,6;null;0;30;22,04;14;72;,666667;
1961-08-14;6,2;null;0;23,6;17,74;15,4;83,25;1;
1961-08-15;2,3;null;0;19,4;17;14,2;87,5;,333333;
1961-08-16;1,4;null;26,6;19,2;17,02;15,4;84,25;2;
1961-08-17;1,5;null;0;20,4;15,28;10;78,25;1;
1961-08-18;2;null;0;27,4;17,68;9,5;80,75;,333333;
1961-08-19;1,6;null;0;22;15,88;9,4;92;1;
1961-08-20;1,5;null;19,2;20;17,02;15,5;96,5;1;
1961-08-21;,5;null;10,6;21;17,52;15;88,25;1,333333;
1961-08-22;1,2;null;0;24,4;18,52;14;86,25;1;
1961-08-23;2,1;null;0;22,2;17,02;14,9;85,75;1;
1961-08-24;1,6;null;0;24;19,2;14;78,75;1,333333;
1961-08-25;2,6;null;0;28,5;23,14;18,4;79,75;1,666667;
1961-08-26;1;null;0;22,4;17,46;13,5;78,25;1,333333;
1961-08-27;4,5;null;0;34,4;22,72;13;74,75;1,333333;
1961-08-28;3,1;null;0;36,5;27,84;22;75,5;1,666667;
1961-08-29;4,9;null;2,2;31,5;25,82;20;67,25;1,666667;
1961-08-30;10,5;null;16,9;27,2;21;17,8;80,25;2;
1961-08-31;2,5;null;0;20,2;16,54;14,5;88,25;1,666667;
1961-09-01;3,5;null;10,6;17,2;15,58;13;95,75;,333333;
1961-09-02;,5;null;,8;29,5;21,9;14,4;76,5;1,666667;
1961-09-03;4,3;null;0;33;24,6;19;75,25;1,666667;
1961-09-04;3,5;null;0;22,5;18,52;15,5;87,75;1,333333;
1961-09-05;1;null;29,8;20;14,92;13;96,75;1;
1961-09-06;,4;null;60,8;17;13,02;10,5;95,75;1;
1961-09-07;,3;null;11,2;17,5;14,78;12,4;89;1,333333;
1961-09-08;,7;null;4,1;17,6;15,48;13;92,25;1,666667;
1961-09-09;,8;null;22,2;22,5;19,64;15,5;83;1,333333;
1961-09-10;1;null;3,1;20,8;15,96;11,5;88;1;
1961-09-11;,5;null;1,4;16,8;15,66;13,5;92,5;1;
1961-09-12;,5;null;14,8;23,5;19,1;15,5;86;1;
1961-09-13;,5;null;0;23,4;18,22;12,5;88,5;,333333;
1961-09-14;,5;null;0;21,9;17,3;14;86,5;1;
1961-09-15;1,2;null;0;20,8;16,68;13,4;87;1,333333;
1961-09-16;1,2;null;0;26,6;19,96;12,8;84,5;1;
1961-09-17;1,1;null;2,3;22;19,72;17;94,5;,666667;
1961-09-18;,7;null;0;21,5;19,48;18;94,75;,666667;
1961-09-19;,8;null;0;22,2;18,64;16,6;98;1;
1961-09-20;1,3;null;11,7;20,9;18,86;17,2;90,25;1;
1961-09-21;,5;null;0;21,5;17,38;12;96;2,333333;
1961-09-22;,4;null;32,4;18,8;16,64;15,5;92,5;1,333333;
1961-09-23;,6;null;0;21,6;18,46;14,9;84,25;3;
1961-09-24;2,7;null;6,2;20;17,26;15,8;97,25;1;
1961-09-25;1,1;null;48,4;27,4;21,52;15;78;1;
1961-09-26;1,5;null;0;23,5;20,14;18;89,75;2;
1961-09-27;1,7;null;0;21,6;19,22;16,5;90,25;2;
1961-09-28;2;null;32,2;21,8;17,28;15;95,25;3,333333;
1961-09-29;1,1;null;38,1;16,2;13,74;12,4;89,75;1,333333;
1961-09-30;1,6;null;4,2;20;14,52;9,8;78;1;
1961-10-01;2,8;null;0;23,8;17,3;10,2;86,25;1;
1961-10-02;2,9;null;0;30,4;20,26;11,9;82,25;1;
1961-10-03;4,3;null;0;25,5;20,12;14,5;83,75;2;
1961-10-04;3;null;0;30,2;21,82;16,4;74,5;2;
1961-10-05;1,5;null;0;30,4;22,08;17;78,75;1;
1961-10-06;6;null;0;30;21,9;17,5;89,25;2,666667;
1961-10-07;2,1;null;18,8;25;21,16;18;91;1;
1961-10-08;,8;null;0;26,7;21,66;14,2;88,25;1;
1961-10-09;,5;null;0;28,2;23,2;16;83,5;,666667;
1961-10-10;1,7;null;0;24,9;20,06;17;96,75;1;
1961-10-11;,9;null;22,3;28;21,24;18;90,5;1;
1961-10-12;2;null;11,2;28,5;22,6;19;83,5;1;
1961-10-13;3,1;null;0;25,5;21,38;17,2;88,5;1,666667;
1961-10-14;2,2;null;10,3;29,5;21,26;17,6;89,5;2;
1961-10-15;4,4;null;0;22,8;19,22;15,9;69;2;
1961-10-16;2,1;null;0;22,2;18,98;16,5;82,5;2,333333;
1961-10-17;5,5;null;3,4;21,5;19,3;17;98;1;
1961-10-18;,5;null;5,2;23,8;20,72;18;81,75;1,666667;
1961-10-19;3,2;null;0;26;21,3;17;82;2;
1961-10-20;4;null;0;26,6;23,1;19,5;87,25;2;
1961-10-21;1,2;null;17,4;25;22,16;19,8;87,75;1;
1961-10-22;1,1;null;0;27,2;22,08;15,2;88,25;1;
1961-10-23;4,4;null;0;29;23,56;17,4;86,75;1;
1961-10-24;3;null;0;27;21,76;19;95,75;2;
1961-10-25;,6;null;33,1;27,2;21,64;19,4;93,25;2;
1961-10-26;4,6;null;2,9;27,5;21,74;17;80,5;1,333333;
1961-10-27;5,2;null;0;30,2;21,5;14,5;77;1;
1961-10-28;7,2;null;0;27,5;20,6;15,5;79,25;1;
1961-10-29;3;null;0;27;21,58;16;80;2;
1961-10-30;4,2;null;0;28;23,08;20;84;2,666667;
1961-10-31;4,6;null;18,8;21,8;20,28;18,6;97,25;2;
1961-11-01;1,3;null;20,5;25;22,24;20,2;94,75;2;
1961-11-02;1,3;null;22,7;23,2;21,68;20;96,25;,666667;
1961-11-03;3,1;null;44,7;24,5;21,18;19,8;98;1;
1961-11-04;2,9;null;24,4;25;21,88;18,8;98;,666667;
1961-11-05;1,8;null;15,1;25,8;22,28;17,4;94,25;1;
1961-11-06;3,8;null;0;24,6;20,3;16,5;87,25;,666667;
1961-11-07;2;null;0;23,5;18,1;13,5;79,75;1;
1961-11-08;4,4;null;0;29;20,72;12;73,75;1;
