Nome: SANTA CRUZ DO SUL
Codigo Estacao: 83939
Latitude: -29.72
Longitude: -52.42
Altitude: 52
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1968-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;2,1;null;null;34,9;26,92;18,6;61,5;2;
1961-01-02;4,2;null;0;36,5;27,98;21;48,25;1;
1961-01-03;4;null;0;30,2;23,28;20,2;72,5;2;
1961-01-04;3,2;null;1,6;31,6;24,02;17,8;51,5;2,333333;
1961-01-05;6,8;null;0;33,3;24,86;16,8;54;1,666667;
1961-01-06;4,7;null;8,1;28;23,24;20,2;75,5;2,333333;
1961-01-07;2,7;null;0;29,6;22,08;14,6;56;3,333333;
1961-01-08;5;null;0;34,6;25,2;15,7;56;2;
1961-01-09;5,1;null;0;36,5;27,82;19;54,75;2,333333;
1961-01-10;6,9;null;28;27,5;23,14;19,7;87,25;,666667;
1961-01-11;1,5;null;9,7;29,5;23,1;17,8;63,25;2;
1961-01-12;5,2;null;0;33,5;25,7;16,8;65,25;1,666667;
1961-01-13;4,8;null;0;37;29,28;21,8;54;1,333333;
1961-01-14;3,6;null;0;36,5;29,54;24,4;59,75;1,666667;
1961-01-15;5,5;null;0;36,9;29,02;23,5;66;1;
1961-01-16;4,6;null;0;35,7;28,08;23;73,5;1,333333;
1961-01-17;3,7;null;1;35,1;25,98;21,3;84;,666667;
1961-01-18;1,7;null;11,5;27,8;23,64;20,5;79,25;2;
1961-01-19;2,8;null;0;34,2;27;21,3;73,5;2;
1961-01-20;4,2;null;0;37,5;28,64;21,8;74,5;1,333333;
1961-01-21;3,7;null;,4;32,6;25,9;22,7;82,5;1;
1961-01-22;2,6;null;3,1;28,3;22,68;20,5;71,25;2,333333;
1961-01-23;4;null;0;30,7;23;15,7;66;2;
1961-01-24;4,7;null;0;34;24,56;15,7;64;1;
1961-01-25;4,8;null;0;24;21,3;19,9;69,75;1,666667;
1961-01-26;2,7;null;0;28;21,24;16,5;62,25;3,333333;
1961-01-27;3,9;null;0;28,5;21,72;15;59,75;2,666667;
1961-01-28;5,3;null;0;30,1;22,56;14,5;58,25;2;
1961-01-29;6,7;null;0;31,6;23,62;16,8;71;1,333333;
1961-01-30;3,7;null;0;35;26,52;18,8;51,5;1,666667;
1961-01-31;7;null;0;36,3;27,76;19,6;52,25;1,333333;
1961-02-01;8,5;null;0;36,8;26,62;21,4;64,75;1,333333;
1961-02-02;4,3;null;30;32;24,22;19,7;78;2;
1961-02-03;4;null;1,2;31;24,92;21,2;71,75;2;
1961-02-04;4,1;null;0;31,3;24,28;18,5;64;1,666667;
1961-02-05;4,1;null;0;32,5;25,26;19,4;74,25;2;
1961-02-06;2,6;null;,2;31,2;25,34;20,7;76;1;
1961-02-07;2,6;null;26,3;28,7;23,96;20,5;83,5;2;
1961-02-08;1,4;null;0;30,6;24,2;20,4;77,25;1,333333;
1961-02-09;2,8;null;0;31;23,9;17,8;67,25;1,666667;
1961-02-10;3,8;null;0;34,5;24,84;18,5;76;1,666667;
1961-02-11;2,1;null;33,6;30,3;24,56;21,2;77,75;1,666667;
1961-02-12;2,3;null;0;32,4;24,22;17,1;65;1,333333;
1961-02-13;4,5;null;0;28,3;23,1;20,7;65,5;1,666667;
1961-02-14;3;null;0;29,4;21,86;15,5;62,5;2,666667;
1961-02-15;5,6;null;0;31,2;23,7;15,3;58,5;1,666667;
1961-02-16;5,4;null;0;32,7;24,68;17;59,75;2;
1961-02-17;5,7;null;0;33,3;25,26;19,8;66;1,333333;
1961-02-18;4,2;null;0;32,7;26,08;21,1;70,5;1;
1961-02-19;3,1;null;0;34,5;25,9;18,8;67;1,333333;
1961-02-20;4,7;null;0;34,7;27,2;21,1;65,75;1;
1961-02-21;4;null;0;36,5;26,82;22,4;70,25;2,666667;
1961-02-22;3,9;null;2,3;35,6;25,28;20,8;77;1,333333;
1961-02-23;1,7;null;12,6;30,1;24,8;20,5;87,5;,333333;
1961-02-24;1,3;null;11,9;31,9;26,48;22,9;76,5;1,666667;
1961-02-25;2,9;null;0;33,5;27,5;22,4;83,75;,666667;
1961-02-26;2,3;null;40;27,9;23,16;21,3;92,5;1;
1961-02-27;,6;null;24,2;24;20,14;17,9;85,25;1,333333;
1961-02-28;1,6;null;5,6;26,9;20,86;14,8;70,5;2,666667;
1961-03-01;3,5;null;0;29,6;22,38;15,5;73;1;
1961-03-02;3,1;null;0;32;24,88;17,2;63,25;1;
1961-03-03;3,6;null;0;35,2;24,78;19,7;72,25;,666667;
1961-03-04;3,7;null;,1;28,4;23,86;20,4;75,25;1,666667;
1961-03-05;3,3;null;3;24,4;19,92;17,8;85,25;1,666667;
1961-03-06;1,1;null;4,1;25,7;20,12;16,5;65,25;2,333333;
1961-03-07;4,7;null;0;27;21,4;15,4;72,75;1;
1961-03-08;3,7;null;,1;27,5;22;18,6;89,5;,666667;
1961-03-09;,9;null;1;31,9;24,44;17,6;80,5;,333333;
1961-03-10;1,7;null;0;36,4;25,94;20,9;76;1,333333;
1961-03-11;2,2;null;31,7;25,7;22,42;20,3;89,5;,666667;
1961-03-12;,7;null;,6;26,9;23,1;20,2;92,75;1,333333;
1961-03-13;,6;null;4,7;23,5;20,72;18,9;93,5;1;
1961-03-14;,3;null;3,5;29;21,26;15,1;73,75;1,333333;
1961-03-15;2,3;null;0;32;23,16;15,7;76,75;1;
1961-03-16;2,2;null;19,4;25,3;20,72;17,8;96,25;,666667;
1961-03-17;,3;null;101,4;20,5;16;14,1;94,5;1;
1961-03-18;,1;null;10,5;21,5;15,78;11;83;,666667;
1961-03-19;1,9;null;0;25,1;18,72;13,2;82,75;1,333333;
1961-03-20;1,9;null;0;21,7;19,42;17,9;86,5;1,333333;
1961-03-21;,9;null;6,2;28,7;20,52;14,4;78,75;1;
1961-03-22;1,9;null;0;31;22,2;14,6;73,25;,666667;
1961-03-23;3;null;0;33,2;23,84;16,3;70,25;,666667;
1961-03-24;2,9;null;0;34,9;26,92;19,3;67;1,333333;
1961-03-25;3,4;null;14,6;28,6;22,26;19,3;87;1,333333;
