Nome: TAQUARA
Codigo Estacao: 83943
Latitude: -29.75
Longitude: -50.75
Altitude: 35
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1965-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;35;25,32;21,6;70,75;0;
1961-01-02;null;null;0;36;27,1;19;63,5;0;
1961-01-03;null;null;0;30;24,8;22,2;71,75;2;
1961-01-04;null;null;2;30,8;22,72;17,8;69,25;1,666667;
1961-01-05;null;null;0;33,5;24,84;15,2;66;,333333;
1961-01-06;null;null;0;26,8;22,84;21;87,25;,666667;
1961-01-07;null;null;7,5;27,5;20,8;15;67,5;1,333333;
1961-01-08;null;null;0;32,3;22,72;14,5;66,5;0;
1961-01-09;null;null;0;35;26,7;18;67,5;0;
1961-01-10;null;null;0;28,5;24,72;21,8;76,25;2;
1961-01-11;null;null;13,6;27,8;22,86;20,3;71,5;,666667;
1961-01-12;null;null;0;34,5;25,18;15,5;65,5;0;
1961-01-13;null;null;0;37;28,82;22,8;66;0;
1961-01-14;null;null;0;37,6;29,18;23,5;62,25;,666667;
1961-01-15;null;null;6;37,5;28,28;23,2;67;0;
1961-01-16;null;null;8,5;37,5;29,1;22,5;67,25;,333333;
1961-01-17;null;null;0;33,5;27,06;22,3;75,75;,333333;
1961-01-18;null;null;18;28,3;24,06;22;83;1,666667;
1961-01-19;null;null;0;34,5;26,58;20,5;73,25;0;
1961-01-20;null;null;0;38;28,8;20,5;66,5;0;
1961-01-21;null;null;0;30,6;26,62;24;82,5;,333333;
1961-01-22;null;null;0;27,6;23,02;20,5;72,5;,333333;
1961-01-23;null;null;0;32;23,22;15,3;64,5;0;
1961-01-24;null;null;0;34;25,04;16,2;68;0;
1961-01-25;null;null;3,2;25;21,28;19,8;75,5;1,333333;
1961-01-26;null;null;0;26;20,64;13,8;70;1,666667;
1961-01-27;null;null;0;28,3;21,16;15;66;,666667;
1961-01-28;null;null;0;30;22,52;14,5;63,25;,333333;
1961-01-29;null;null;0;31,7;23,18;17,5;69;0;
1961-01-30;null;null;0;35,2;24,84;17,2;64,5;0;
1961-01-31;null;null;0;36,5;26,46;17,8;59,75;0;
1961-02-01;null;null;0;37,8;29,04;19,6;58;1;
1961-02-02;null;null;2,9;34;26,08;21,8;74,25;,666667;
1961-02-03;null;null;,3;31,8;25,4;22,5;71,75;,666667;
1961-02-04;null;null;0;31,5;23,58;16,6;70,5;,333333;
1961-02-05;null;null;0;33,3;24,52;18,3;70,5;0;
1961-02-06;null;null;0;33;26,34;22,2;74,75;,666667;
1961-02-07;null;null;2,1;30,5;25,04;21;76,25;,333333;
1961-02-08;null;null;0;29;22,84;19,5;79,75;,333333;
1961-02-09;null;null;0;32;22,8;16,5;69,75;,333333;
1961-02-10;null;null;0;34,7;27,02;17,4;66;0;
1961-02-11;null;null;24,5;31;24,78;21,6;78,75;,666667;
1961-02-12;null;null;0;33,5;23,14;18,2;70;0;
1961-02-13;null;null;0;25,5;22,04;18,2;70,75;1;
1961-02-14;null;null;9,6;29;20,8;14,5;71;,333333;
1961-02-15;null;null;0;31,5;23,7;15;56;,333333;
1961-02-16;null;null;0;32,5;24,58;16,8;60,25;,666667;
1961-02-17;null;null;0;33,2;24,5;17,8;70;,333333;
1961-02-18;null;null;15,8;31,5;25,3;19,5;77;,333333;
1961-02-19;null;null;,5;34,8;26,42;19,3;67,25;0;
1961-02-20;null;null;0;34;27,4;21;69;1;
1961-02-21;null;null;0;36,8;28,1;24;69,5;0;
1961-02-22;null;null;,5;36,5;28,56;21;60,25;1;
1961-02-23;null;null;0;33,8;26,62;23;61,5;0;
1961-02-24;null;null;2,8;31,5;26,3;23,6;82;0;
1961-02-25;null;null;0;36,8;28;21;80,75;0;
1961-02-26;null;null;43,5;28;24,2;21,5;84;,333333;
1961-02-27;null;null;21,9;25,5;21,7;20;78,75;,666667;
1961-02-28;null;null;0;26,5;19,9;15,5;78,75;,666667;
1961-03-01;null;null;0;29,8;22,12;15,5;70,25;0;
1961-03-02;null;null;0;32,3;23,6;16,2;72,75;0;
1961-03-03;null;null;0;35,8;26,5;19,5;64,5;0;
1961-03-04;null;null;0;31,4;25,38;21,5;74,5;0;
1961-03-05;null;null;8;24,7;20,04;18,2;88,25;,666667;
1961-03-06;null;null;2,9;25,2;20,86;18,3;70,25;1,333333;
1961-03-07;null;null;0;29,5;21,56;14,8;71,75;,333333;
1961-03-08;null;null;0;28,8;22,8;18;87,25;,333333;
1961-03-09;null;null;1,1;34;25,14;18;77;0;
1961-03-10;null;null;0;37;26,42;20;73,25;0;
1961-03-11;null;null;4,8;25,5;22,6;21;91,75;0;
1961-03-12;null;null;5,9;30,5;24,24;20,2;81;,333333;
1961-03-13;null;null;24;25,6;22,82;21;89,5;0;
1961-03-14;null;null;4,3;29,8;21,52;15,5;72,25;0;
1961-03-15;null;null;0;32,7;23,82;16;76,5;,333333;
1961-03-16;null;null;0;26;22,5;20,5;91;,333333;
1961-03-17;null;null;56;21;17,22;15,3;93;0;
1961-03-18;null;null;18,8;21,5;17,94;14,2;77,75;0;
1961-03-19;null;null;0;25,5;19,92;16;81;0;
1961-03-20;null;null;0;21,5;19,4;16;90,75;0;
1961-03-21;null;null;25,5;29;21,08;15,5;82;0;
1961-03-22;null;null;0;32;22,1;14,5;78,25;0;
1961-03-23;null;null;0;34,5;24,9;16;71,5;0;
1961-03-24;null;null;0;36,3;26,14;18,5;71,5;,333333;
1961-03-25;null;null;0;30;23,68;21,5;87,5;2,333333;
1961-03-26;null;null;13,1;25;19,3;16;74,75;,333333;
1961-03-27;null;null;0;25;17,9;14,5;78;1;
1961-03-28;null;null;0;26,5;18,04;12,8;78;,333333;
1961-03-29;null;null;0;28,8;19,68;12,5;72,75;0;
1961-03-30;null;null;0;30;21,2;14;65,75;,333333;
1961-03-31;null;null;0;29,8;21,82;16;70,5;1;
1961-04-01;null;null;0;30;22,72;15,5;71,5;0;
1961-04-02;null;null;0;26;21,04;19;79,5;0;
1961-04-03;null;null;0;29;22,08;15,3;68,75;1;
1961-04-04;null;null;12,4;27,5;21,18;18,4;86,75;0;
1961-04-05;null;null;0;29;20,72;16,6;86,25;0;
1961-04-06;null;null;0;24;17,72;14,5;72,75;,333333;
1961-04-07;null;null;0;28;18,72;10,2;73,75;0;
1961-04-08;null;null;0;33;24,3;16;71,75;,333333;
1961-04-09;null;null;2,8;28,8;22,02;19,5;78,25;0;
1961-04-10;null;null;0;25,6;21,8;18,5;85,25;0;
1961-04-11;null;null;0;23,2;20,44;18,4;88,25;,333333;
1961-04-12;null;null;8,6;25;20,72;18,2;88,5;,333333;
1961-04-13;null;null;7,9;22,5;20,2;18,3;88,25;0;
1961-04-14;null;null;0;26;20,92;17,6;90,25;,666667;
1961-04-15;null;null;22,3;20;18,5;17,5;93,75;,666667;
1961-04-16;null;null;3,6;26,5;20,9;17,7;86;0;
1961-04-17;null;null;0;26;22,14;19,5;92,5;,333333;
1961-04-18;null;null;11,3;24;20,3;18,5;84,25;,333333;
1961-04-19;null;null;,7;22,6;17,22;14,5;77,5;,666667;
1961-04-20;null;null;0;23;15,04;9,5;81,25;,333333;
1961-04-21;null;null;0;27;17,98;10,5;73,75;0;
1961-04-22;null;null;0;24,5;19,02;14,8;81,75;,333333;
1961-04-23;null;null;0;26,2;19,68;15;78,25;0;
1961-04-24;null;null;0;22;18,48;15;76,25;,333333;
1961-04-25;null;null;0;21;13,54;6,8;80;,333333;
1961-04-26;null;null;0;23;13,66;8,2;86;0;
1961-04-27;null;null;0;24;15,82;9;80,25;,333333;
1961-04-28;null;null;0;24;16;12,5;78,25;,666667;
1961-04-29;null;null;2,4;22;15,76;12,6;84,5;,333333;
1961-04-30;null;null;0;27,5;16,86;11,3;81,25;0;
1961-05-01;null;null;0;22,8;15,82;10,3;80,5;,666667;
1961-05-02;null;null;0;24,5;16,38;11;91,25;0;
1961-05-03;null;null;0;24;17,7;14,5;86,75;,333333;
1961-05-04;null;null;0;26,5;17,06;10,6;77,75;0;
1961-05-05;null;null;0;28;19,52;12,6;78;0;
1961-05-06;null;null;0;27,4;20,54;14,6;80,25;0;
1961-05-07;null;null;0;28,5;22,02;17,8;79,25;0;
1961-05-08;null;null;15,5;21;17,6;16;88;1,333333;
1961-05-09;null;null;0;25;16,4;13,5;81;,233333;
1961-05-10;null;null;0;23,2;16,24;10,5;87,25;,333333;
1961-05-11;null;null;0;25,6;17,66;13,8;81,5;0;
1961-05-12;null;null;0;28,2;18,12;12;76,5;0;
1961-05-13;null;null;0;27,5;19,48;11,8;76;0;
1961-05-14;null;null;0;23,3;17;14,3;85,25;0;
1961-05-15;null;null;0;25,5;19,1;12,3;87;0;
1961-05-16;null;null;1,6;20,5;19,06;17,8;94,5;,333333;
1961-05-17;null;null;26,5;21;19,44;17,8;84,5;3;
1961-05-18;null;null;23,5;20,3;17,88;16,5;90;,666667;
1961-05-19;null;null;2,3;18;12,86;10;74,75;2;
1961-05-20;null;null;0;17,6;10,12;5;89,75;0;
1961-05-21;null;null;0;21;11,1;4;80,75;0;
1961-05-22;null;null;0;24,5;14,56;6,8;80,75;0;
1961-05-23;null;null;0;26;15,4;8,5;83,5;0;
1961-05-24;null;null;0;24;14,3;8,5;84,75;0;
1961-05-25;null;null;0;23;14,62;10,5;89,75;0;
1961-05-26;null;null;0;25;14,44;9;85,5;,333333;
1961-05-27;null;null;0;26,7;15,74;9,5;77,75;0;
1961-05-28;null;null;0;25,3;16,28;9,6;80,5;0;
1961-05-29;null;null;0;28;16,8;10,5;80,25;0;
1961-05-30;null;null;0;27,8;16,72;10,4;80,25;0;
1961-05-31;null;null;0;28,3;15,9;7,7;78;0;
1961-06-01;null;null;0;24;18,4;13,4;78,25;0;
1961-06-02;null;null;2,8;23,5;16,9;14,5;88,25;1;
1961-06-03;null;null;0;30,5;19,12;11,5;76,75;0;
1961-06-04;null;null;0;31;21,54;16,8;82,5;3,666667;
1961-06-05;null;null;52,8;17,2;15,5;13,8;88,75;1,666667;
1961-06-06;null;null;0;26,2;17,3;9;84,75;,333333;
1961-06-07;null;null;0;31;22,36;14,8;69;,333333;
1961-06-08;null;null;0;31;23,54;19,3;64,25;,666667;
1961-06-09;null;null;0;30;22,42;17,6;70,5;0;
1961-06-10;null;null;5,1;20,3;16,88;14,8;89;1,333333;
1961-06-11;null;null;29,5;15,5;13,14;11,8;93,75;0;
1961-06-12;null;null;4,1;13,8;12,44;11,4;94;0;
1961-06-13;null;null;6,4;12,5;9,64;7,8;90,25;3;
1961-06-14;null;null;9,5;11,3;6,5;4,2;79,25;1;
1961-06-15;null;null;0;12,5;5,3;,6;77;,333333;
1961-06-16;null;null;0;13,8;4,56;-,4;82;0;
1961-06-17;null;null;0;17;6,24;-,3;81,5;0;
1961-06-18;null;null;0;16;9,44;1,2;80;0;
1961-06-19;null;null;6,3;17,7;14,04;11,5;93;0;
1961-06-20;null;null;26;15;14,24;13,2;97;0;
1961-06-21;null;null;4,9;18,5;15,7;13,8;91;,333333;
1961-06-22;null;null;0;22,6;15,1;11,7;87;0;
1961-06-23;null;null;0;21;14;10,5;90;0;
1961-06-24;null;null;0;23,5;12,32;6,5;82,5;0;
1961-06-25;null;null;0;29,2;16,12;8;73,75;0;
1961-06-26;null;null;0;29,7;21,2;12,8;59;1,333333;
1961-06-27;null;null;0;31;21,56;16,4;63,75;0;
1961-06-28;null;null;0;31,2;22,86;18,4;65;0;
1961-06-29;null;null;0;21,6;16,82;14,3;91,75;0;
1961-06-30;null;null;36,8;22,6;18,28;16;95;0;
1961-07-01;null;null;1,2;30,2;19,84;14;81;0;
1961-07-02;null;null;0;19;16,24;14,8;90,25;,666667;
1961-07-03;null;null;0;15,4;13,56;12;91,75;,333333;
1961-07-04;null;null;0;25,8;17,54;10,8;71,75;1;
1961-07-05;null;null;0;29,5;18,86;14,5;75,25;0;
1961-07-06;null;null;0;29;18,86;14,3;75;0;
1961-07-07;null;null;3,8;23;13,2;9,6;95,75;0;
1961-07-08;null;null;20,3;15,5;12,3;10,8;87,5;0;
1961-07-09;null;null;,7;13,7;11,94;10;88,5;0;
1961-07-10;null;null;0;21;13,56;7;83;0;
1961-07-11;null;null;0;23,7;15,82;10,4;83,5;0;
1961-07-12;null;null;0;27,3;19,26;13,5;80;,333333;
1961-07-13;null;null;0;24,2;18,18;14,3;83,75;,333333;
1961-07-14;null;null;1,2;17,6;15,4;14,5;91,75;,333333;
1961-07-15;null;null;5,4;22;17,48;13,8;86,25;0;
1961-07-16;null;null;0;22;17,4;14;91;0;
1961-07-17;null;null;3,8;21,5;17,12;13,5;83,75;0;
1961-07-18;null;null;0;25,3;17,44;12;79,5;0;
1961-07-19;null;null;0;31,5;18,58;11,5;80;0;
1961-07-20;null;null;0;31,6;21,66;12,8;60;0;
1961-07-21;null;null;0;26,8;19,2;15,2;84,75;,333333;
1961-07-22;null;null;6;20;13,04;10;67,75;0;
1961-07-23;null;null;0;23;13,18;5,5;71,5;0;
1961-07-24;null;null;0;26,4;15,62;7;75;0;
1961-07-25;null;null;0;29,5;19,6;12,3;66,75;1;
1961-07-26;null;null;5;16,8;9,98;7,5;69,25;,333333;
1961-07-27;null;null;0;15,5;7,74;4,8;84,5;0;
1961-07-28;null;null;0;14,8;5,98;,7;83,25;0;
1961-07-29;null;null;0;15,5;6,94;,4;85;,333333;
1961-07-30;null;null;0;21,8;11,36;4,5;81,5;0;
1961-07-31;null;null;0;14;11,98;8,5;88,25;0;
1961-08-01;null;null;0;21,4;13,68;9;74;0;
1961-08-02;null;null;0;22,8;14,82;10,3;83,25;,333333;
1961-08-03;null;null;0;25,2;14,12;7,8;82;0;
1961-08-04;null;null;0;25,2;14,94;8,5;82;0;
1961-08-05;null;null;0;29,5;15,82;8,2;75,75;0;
1961-08-06;null;null;0;31,8;19;11;66,75;,666667;
1961-08-07;null;null;0;22,8;17,32;11,4;78,75;,666667;
1961-08-08;null;null;0;25;16,82;12,5;84,75;,333333;
