Nome: SAO GABRIEL
Codigo Estacao: 83957
Latitude: -30.33
Longitude: -54.32
Altitude: 124
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1976-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;35,6;27,12;19,8;68,75;1;
1961-01-02;null;null;0;33,5;27,2;21;70,25;3;
1961-01-03;null;null;0;33,4;25,3;18,6;61;3,666667;
1961-01-04;null;null;0;32,4;24,34;16;47;3;
1961-01-05;null;null;0;31,9;24,3;17,6;61,5;3;
1961-01-06;null;null;3,1;30;22,84;16,2;58;3,666667;
1961-01-07;null;null;0;30;22,16;15,6;56;3;
1961-01-08;null;null;0;35,2;26,16;17;60,75;3;
1961-01-09;null;null;0;38,5;28,22;20;63,25;3;
1961-01-10;null;null;32,3;30,2;23,16;18;68,5;5;
1961-01-11;null;null;0;30;22,92;15,8;66,25;3;
1961-01-12;null;null;0;34,5;26,26;18;68,5;2,333333;
1961-01-13;null;null;0;37,2;28,2;20;68,25;1;
1961-01-14;null;null;0;34,6;28,12;22,6;73,25;1;
1961-01-15;null;null;0;35;27,64;22,2;74,75;1;
1961-01-16;null;null;0;35,4;28;22;73,75;1,666667;
1961-01-17;null;null;0;28,2;23,36;20;93;2,333333;
1961-01-18;null;null;33,3;30;24,1;18,8;76,25;3,666667;
1961-01-19;null;null;0;33,8;26,62;18,8;74,75;3;
1961-01-20;null;null;0;38;30,08;21,8;72;2,333333;
1961-01-21;null;null;1,5;32,4;26,42;22;71,25;3,666667;
1961-01-22;null;null;0;29;23,04;17,5;63,75;3,666667;
1961-01-23;null;null;0;31,2;23,92;16,8;56,5;4,333333;
1961-01-24;null;null;0;32,5;24,86;18,2;62,5;2,333333;
1961-01-25;null;null;0;26;20,76;15,8;59,5;6,333333;
1961-01-26;null;null;0;26,2;20,48;14,2;53,5;6,333333;
1961-01-27;null;null;0;28,4;21,48;13;55;5;
1961-01-28;null;null;0;30,6;22,96;15,8;59,25;5,666667;
1961-01-29;null;null;0;32,4;24,86;17;55,5;1;
1961-01-30;null;null;0;35,5;26,8;18,5;58;1;
1961-01-31;null;null;0;37,8;28,28;18,4;53,25;1;
1961-02-01;null;null;0;30,6;24,08;18,8;69,75;3;
1961-02-02;null;null;2;30;23,08;15;63;2,333333;
1961-02-03;null;null;0;32,2;25,32;19;60,5;3,666667;
1961-02-04;null;null;0;33,4;24,76;16,8;51,25;6,333333;
1961-02-05;null;null;0;33,2;25,28;17;61,25;4,333333;
1961-02-06;null;null;0;28;23,2;16,8;84,5;1;
1961-02-07;null;null;2,6;32,8;25,92;20;74,5;1;
1961-02-08;null;null;0;33,2;24,38;16,8;55;1,666667;
1961-02-09;null;null;0;33,7;25,16;17;53,5;3;
1961-02-10;null;null;0;32,8;23,36;18,2;80;1,666667;
1961-02-11;null;null;40,5;30,7;22,88;17,5;67,5;1,666667;
1961-02-12;null;null;0;32,7;25,14;15;57,25;1;
1961-02-13;null;null;0;30;24,54;19,5;72;3,666667;
1961-02-14;null;null;0;29,6;null;null;52,5;7,666667;
1961-02-15;null;null;0;31,4;null;null;58,75;7;
1961-02-16;null;null;0;31,4;null;null;57;1,666667;
1961-02-17;null;null;0;32,4;null;null;63,75;2,333333;
1961-02-18;null;null;0;32,4;null;null;71;1,666667;
1961-02-19;null;null;0;35,5;null;null;70,75;1;
