Nome: CACAPAVA DO SUL
Codigo Estacao: 83959
Latitude: -30.52
Longitude: -53.48
Altitude: 450
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1975-09-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;31,9;25,26;17,8;65;1;
1961-01-02;null;null;0;32,2;25,14;20;75;2;
1961-01-03;null;null;0;29,7;22,02;16,8;55;3,666667;
1961-01-04;null;null;0;30,4;22,26;15,4;55,5;1,666667;
1961-01-05;null;null;0;29,4;22,7;15,4;64;2,666667;
1961-01-06;null;null;12;30,6;22,34;17,5;69,75;3,333333;
1961-01-07;null;null;0;26,4;19,06;10,5;61,75;3,666667;
1961-01-08;null;null;0;32,2;23,7;14;65,5;,666667;
1961-01-09;null;null;0;34,8;26,88;18,8;63;2;
1961-01-10;null;null;46,7;28,8;21,26;17;78;2,666667;
1961-01-11;null;null;,1;26,8;20;14,7;71;3;
1961-01-12;null;null;0;30,7;23,42;13,4;73,25;2,333333;
1961-01-13;null;null;0;34,8;27,24;20;60;2,333333;
1961-01-14;null;null;0;32,7;27,68;23,2;67,5;2,666667;
1961-01-15;null;null;0;33,8;26,6;23;66,25;1,333333;
1961-01-16;null;null;0;34,2;27,94;22,5;68,5;2,666667;
1961-01-17;null;null;0;28,2;22,76;18,8;82,5;2,666667;
1961-01-18;null;null;26,9;30,4;21,48;16;80,5;2,666667;
1961-01-19;null;null;0;29,6;23,88;17,9;79,75;3,666667;
1961-01-20;null;null;0;34,8;27,66;19,5;71;2,666667;
1961-01-21;null;null;0;29;23,2;20;85;3;
1961-01-22;null;null;0;25,9;19,78;16,6;77,75;3,666667;
1961-01-23;null;null;0;27,6;21,2;13,8;71;3,333333;
1961-01-24;null;null;0;30,5;22,02;16,1;75,5;2,333333;
1961-01-25;null;null;0;22,2;17,56;13;74,25;4;
1961-01-26;null;null;0;23,4;17,06;11,4;75;3,333333;
1961-01-27;null;null;0;25;19,86;17,5;74,5;3,333333;
1961-01-28;null;null;0;26,7;20,38;14;70;2,666667;
1961-01-29;null;null;0;29,8;22,7;15,2;66,25;3,333333;
1961-01-30;null;null;0;32,2;25,22;17,4;58,25;2,666667;
1961-01-31;null;null;0;34,4;26,36;19,4;59,5;2,333333;
1961-02-01;null;null;0;31,8;22,06;17,4;81,25;2,666667;
1961-02-02;null;null;1,7;28,8;22,62;17,4;81;1,666667;
1961-02-03;null;null;0;28,7;22,32;17,4;76;2,666667;
1961-02-04;null;null;0;29;21,72;15,8;63,25;2,333333;
1961-02-05;null;null;0;29,6;22,08;15,8;72;2,666667;
1961-02-06;null;null;0;26,9;17,14;12,1;72,75;2;
1961-02-07;null;null;,4;29,6;24,06;19,2;72;2;
1961-02-08;null;null;0;30,4;22,18;18;59,75;2,333333;
1961-02-09;null;null;0;29,4;21,36;14;71,25;2,666667;
1961-02-10;null;null;0;32,2;21,7;13,5;81,75;2,333333;
1961-02-11;null;null;19,7;27,5;21,42;17,8;69,5;2,333333;
1961-02-12;null;null;0;30,7;24,48;16,7;61;1,333333;
1961-02-13;null;null;0;26,2;19,58;16,5;71,25;2,666667;
1961-02-14;null;null;0;26,4;18,96;12,4;70,75;4,333333;
1961-02-15;null;null;0;27,7;20,9;14,8;69,25;3,333333;
1961-02-16;null;null;0;28,6;22,1;16,4;68,75;2,333333;
1961-02-17;null;null;0;31;23,74;17;70,75;2,333333;
1961-02-18;null;null;0;30,2;23,02;18,5;78;2,333333;
1961-02-19;null;null;0;30,5;24,3;18,5;74,5;2,333333;
1961-02-20;null;null;0;32,2;23,52;19,2;79,25;2,333333;
1961-02-21;null;null;4,5;31,2;24,7;19,5;77;2;
1961-02-22;null;null;0;32,6;23,34;18,4;87,75;2;
1961-02-23;null;null;16,9;26,4;21,16;18,4;89;2,333333;
1961-02-24;null;null;0;28;22,66;18,5;82;2,666667;
1961-02-25;null;null;0;30,8;25,2;19;82,75;1,333333;
1961-02-26;null;null;40;26,7;20,2;16,9;98;2,666667;
1961-02-27;null;null;6;21,8;16,8;13,8;69;4;
1961-02-28;null;null;0;24;18;11,8;72,5;3,333333;
1961-03-01;null;null;0;26,9;20,4;14,4;74,75;2,666667;
1961-03-02;null;null;0;30,2;22,86;12,8;73,75;2,333333;
1961-03-03;null;null;0;31,2;20,88;15;80,25;3,666667;
1961-03-04;null;null;24,8;20,2;18,12;15,2;89,75;3;
1961-03-05;null;null;12,5;20;15,76;13,4;78,75;4;
1961-03-06;null;null;0;21,7;15,78;10;71,75;3,333333;
1961-03-07;null;null;0;22,8;18,72;12,8;76;4;
1961-03-08;null;null;0;22;18,96;16,4;88;2,333333;
1961-03-09;null;null;8,5;29,4;23,52;16,7;81,25;2,333333;
1961-03-10;null;null;0;31,8;23,24;18,6;78,75;1,333333;
1961-03-11;null;null;20,9;24,9;20,74;17,8;91,75;2,666667;
1961-03-12;null;null;0;23,4;20,8;17,7;95,5;2,666667;
