Nome: MORRO DE SANTA TEREZA
Codigo Estacao: 83960
Latitude: -30.06999999
Longitude: -51.21999999
Altitude: 72
Situacao: Desativada
Data Inicial: 1966-10-31
Data Final: 1971-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1966-10-31;null;null;null;null;null;null;null;null;
1966-11-01;null;null;null;24,8;null;11,1;null;,333333;
1966-11-02;null;null;0;26,3;null;15,4;null;0;
1966-11-03;null;null;0;28,3;null;16,9;null;2,333333;
1966-11-04;null;null;0;29;null;16,4;null;,333333;
1966-11-05;null;null;0;30;null;16,2;null;,333333;
1966-11-06;null;null;0;34,3;null;19,1;null;0;
1966-11-07;null;null;1,2;28,2;null;20,4;null;4;
1966-11-08;null;null;1,9;24,8;null;19,7;null;2,333333;
1966-11-09;null;null;,5;23,7;null;19,1;null;5;
1966-11-10;null;null;2,7;24,3;null;18,4;null;3;
1966-11-11;null;null;0;23,6;null;19,1;null;0;
1966-11-12;null;null;19,1;21,9;17,96;16;83;3;
1966-11-13;null;null;,2;22,3;19,42;16;77,25;3,333333;
1966-11-14;null;null;0;25,4;22,24;15,3;67;2,333333;
1966-11-15;null;null;0;31,2;22,52;19,4;83,25;3,333333;
1966-11-16;null;null;6,5;21,2;17,72;15,8;92;2,333333;
1966-11-17;null;null;2,9;24,1;19,02;14,6;62;,666667;
1966-11-18;null;null;0;23,2;18,8;15;78;5,666667;
1966-11-19;null;null;,4;20;16,26;14,1;65,5;2;
1966-11-20;null;null;0;21,2;17,92;14;75,75;2;
1966-11-21;null;null;0;24,1;20,62;17;79,25;8,666667;
1966-11-22;null;null;0;25,4;20,52;17,1;78;7;
1966-11-23;null;null;0;29;22,32;18,1;65,5;1,333333;
1966-11-24;null;null;0;29,4;22,36;17,7;68,25;1,666667;
1966-11-25;null;null;0;28,8;21,84;17,8;76,75;5,333333;
1966-11-26;null;null;0;30,2;24,06;17,3;78,5;3,666667;
1966-11-27;null;null;0;30;22,7;18,4;74;3,666667;
1966-11-28;null;null;0;32,3;24,34;19,4;70;2,333333;
1966-11-29;null;null;0;34;25,6;22,1;72,25;1,666667;
1966-11-30;null;null;19,5;31,2;25,54;21,4;70;3,666667;
1966-12-01;null;null;0;30;24,74;19,9;72,25;2,666667;
1966-12-02;null;null;0;31,2;26;22,4;76,25;1;
1966-12-03;null;null;13,2;27;24,26;21;83,25;1;
1966-12-04;null;null;0;33,3;23,44;19;86,75;3;
1966-12-05;null;null;29;25,4;20,6;18,6;68;3,333333;
1966-12-06;null;null;0;30,1;23,9;15,6;68;2;
1966-12-07;null;null;73,4;29,2;22,38;19,2;null;2,666667;
1966-12-08;null;null;,7;31,2;24,06;17,8;74,75;4,666667;
1966-12-09;null;null;0;31;22,92;19,2;81,25;3;
1966-12-10;null;null;7,9;27,5;23,86;21,2;78,5;2,333333;
1966-12-11;null;null;24,3;35,2;27,36;21,4;71,5;1,666667;
1966-12-12;null;null;8,1;26;22,78;21,1;86,25;2;
1966-12-13;null;null;1,7;27,4;23,04;21;87;4,666667;
1966-12-14;null;null;0;26,4;23,16;21;71;1,333333;
1966-12-15;null;null;17;26;21,12;15,4;81,25;1,666667;
1966-12-16;null;null;0;28,2;20,28;15,4;69,75;1,666667;
1966-12-17;null;null;0;25,2;20,96;17,4;73,75;1,666667;
1966-12-18;null;null;0;30,4;24,9;21,2;70,75;1,666667;
1966-12-19;null;null;18,2;26,4;23,32;21,2;80,75;1,666667;
1966-12-20;null;null;0;24,2;20,18;17,2;65,25;2,333333;
1966-12-21;null;null;1;25,4;21,44;17,4;75;1,666667;
1966-12-22;null;null;0;26;22,16;17,2;87;3;
1966-12-23;null;null;0;25;21,54;17,5;77,5;2,666667;
1966-12-24;null;null;46,6;26,2;21,24;17;83,5;1;
1966-12-25;null;null;0;25,2;21,52;15;51;1,333333;
1966-12-26;null;null;0;24;20,64;15,2;74,5;4,666667;
1966-12-27;null;null;,9;23,4;19,9;18,1;68;7,333333;
1966-12-28;null;null;0;26,6;21,52;17,4;78,25;5,666667;
1966-12-29;null;null;0;27,8;22,94;20,7;78;4,333333;
1966-12-30;null;null;0;28,5;22,96;19,5;79,25;3,333333;
1966-12-31;null;null;0;26,8;22,86;20,5;76,25;11,666667;
1967-01-01;null;null;null;28;22,64;20;80;5;
1967-01-02;null;null;null;28,5;23,3;19,8;74,5;2,333333;
1967-01-03;null;null;null;28,4;24,32;19,4;68,75;3;
1967-01-04;null;null;null;28,2;23,58;19,4;71,75;3,333333;
1967-01-05;null;null;null;27,4;23,94;18,9;70,25;,666667;
1967-01-06;null;null;null;29;23,16;18,1;73,25;2,666667;
1967-01-07;null;null;null;32,4;27,52;20,4;68,25;,666667;
1967-01-08;null;null;null;32,4;26,68;23,2;67,75;1,666667;
1967-01-09;null;null;null;24,2;20,62;18,1;81,5;1;
1967-01-10;null;null;null;31;24,72;19,2;56,75;,666667;
1967-01-11;null;null;null;30,4;24,72;19,9;57,25;2,666667;
1967-01-12;null;null;null;32,4;24,88;19,8;64,25;2,333333;
1967-01-13;null;null;null;28,4;24,32;18,4;56,5;2,333333;
1967-01-14;null;null;null;28,4;24,68;21,4;60,75;2,333333;
1967-01-15;null;null;null;32,9;25,34;21,6;74,75;3,333333;
1967-01-16;null;null;null;30,5;25,02;20,2;67,5;4;
1967-01-17;null;null;null;35;25,66;21;67,5;3,333333;
1967-01-18;null;null;null;33,2;23,74;17,4;74,5;6,666667;
1967-01-19;null;null;null;33,4;23,2;15,9;59;3;
1967-01-20;null;null;null;31,4;24;18,4;69,25;2,333333;
1967-01-21;null;null;null;28,2;22,92;18;75,25;1,666667;
1967-01-22;null;null;null;24,4;19,96;16;85,25;2,333333;
1967-01-23;null;null;null;23,4;20,12;17;76,5;4;
1967-01-24;null;null;null;26;22,42;18,8;72;2,666667;
1967-01-25;null;null;null;29,4;23,84;18;60,25;3;
1967-01-26;null;null;null;30;24,72;20;72;3,666667;
1967-01-27;null;null;null;26,4;23;19,4;77,75;4,333333;
1967-01-28;null;null;null;27,2;23,64;20,2;83,5;1;
1967-01-29;null;null;null;30;25,2;20,2;73,5;3;
1967-01-30;null;null;null;29,4;23,2;18,2;78;3,333333;
1967-01-31;null;null;null;26,7;23,88;19,5;74;2;
1967-02-01;null;null;null;28,4;25,12;20,2;63;1,666667;
1967-02-02;null;null;null;25,4;22,8;20;83;2,333333;
1967-02-03;null;null;null;29;24,64;20;76,5;2,333333;
1967-02-04;null;null;null;27;24,08;19,4;77;3,666667;
1967-02-05;null;null;null;29;24,88;19,4;75,5;2,333333;
1967-02-06;null;null;null;28;23,88;20;64;1;
1967-02-07;null;null;null;29;24,76;21;81,75;1,666667;
1967-02-08;null;null;null;32;25,56;21,2;66,5;4,333333;
1967-02-09;null;null;null;28;23,64;19,4;83,5;2,333333;
1967-02-10;null;null;null;30,2;25,04;20,4;75,25;6,666667;
1967-02-11;null;null;null;28,3;24,02;21,8;82;11;
1967-02-12;null;null;null;28,6;24,88;21,4;80;4,333333;
1967-02-13;null;null;null;30,2;24,88;19,2;76,5;2,333333;
1967-02-14;null;null;null;26;22,92;20,6;73,75;4,333333;
1967-02-15;null;null;null;27,4;23,08;18,5;73,75;2;
1967-02-16;null;null;null;27,6;23,32;18,4;66,5;1,666667;
1967-02-17;null;null;null;24,3;19,62;16;85,5;2,333333;
1967-02-18;null;null;null;25,6;20,36;14,6;63,5;3;
1967-02-19;null;null;null;28,6;23,72;18,4;62,5;2,333333;
1967-02-20;null;null;null;29,7;23,5;19,4;72,75;5,333333;
1967-02-21;null;null;null;27,3;22,06;19;85;4;
1967-02-22;null;null;null;27,6;23,98;20,5;72,25;1,333333;
1967-02-23;null;null;null;31,2;24,72;19,6;68;,666667;
1967-02-24;null;null;null;33,6;26,02;21,9;62,5;2,333333;
1967-02-25;null;null;null;24,2;21,44;19;74,75;1,666667;
1967-02-26;null;null;null;26,2;22,6;17,6;77,5;2,333333;
1967-02-27;null;null;null;26,3;23,02;20;85,25;1,333333;
1967-02-28;null;null;null;26,6;24,1;21,4;null;1,333333;
1967-03-01;null;null;null;28,4;25,12;20,2;63;1,666667;
1967-03-02;null;null;null;25,4;22,8;20;80,75;2,666667;
1967-03-03;null;null;null;28,8;24,52;20;77,75;1,666667;
1967-03-04;null;null;null;28;24,76;21;77,25;,666667;
1967-03-05;null;null;null;27;23,76;19,4;77,5;1,666667;
1967-03-06;null;null;null;28,2;25;21;75,75;1,666667;
1967-03-07;null;null;null;26,4;23,22;17;70;1,666667;
1967-03-08;null;null;null;29,4;24;17;77,5;,666667;
1967-03-09;null;null;null;29;24,98;20,8;68,75;1;
1967-03-10;null;null;null;25;20,04;16;77,5;3;
1967-03-11;null;null;null;25;21,2;15,2;75,5;1,333333;
1967-03-12;null;null;null;27,8;20,72;13;77;3;
1967-03-13;null;null;null;27,2;21,8;15,6;77;1,333333;
1967-03-14;null;null;null;27,2;22,16;16;75;,666667;
1967-03-15;null;null;null;27,8;23,2;17,4;71,5;3;
1967-03-16;null;null;null;24,3;18,12;10,8;74,75;,666667;
1967-03-17;null;null;null;29;23,96;19,2;69,25;,666667;
1967-03-18;null;null;null;29,4;22,96;16;77,5;,666667;
1967-03-19;null;null;null;29,9;24,74;18;71,75;1,333333;
1967-03-20;null;null;null;25,8;22,32;19;69;1,666667;
1967-03-21;null;null;null;25,4;21,48;16,4;76,75;2,333333;
1967-03-22;null;null;null;25,4;22,16;19;76,75;2,333333;
1967-03-23;null;null;null;24,8;19,88;12,4;80,25;2;
1967-03-24;null;null;null;24,5;null;null;88,25;3,333333;
1967-03-25;null;null;null;23,2;null;null;85,25;1,333333;
1967-03-26;null;null;null;27,4;null;null;83;2,333333;
1967-03-27;null;null;null;29;24,64;20;77,5;,666667;
1967-03-28;null;null;null;25;21,4;16,4;72,75;2;
1967-03-29;null;null;null;27,4;23,52;18,4;80,25;,666667;
1967-03-30;null;null;null;28,4;23,54;17,7;70,25;,666667;
1967-03-31;null;null;null;27,6;23,8;18,4;77,25;1,666667;
1967-04-01;null;null;null;24;20,24;18;83;1;
1967-04-02;null;null;null;26,4;23,24;19,6;82,5;1,666667;
1967-04-03;null;null;null;24,3;21,82;21,2;88,5;1,333333;
1967-04-04;null;null;null;25,8;22,54;19,5;80,75;3;
1967-04-05;null;null;null;26;22,46;19,7;82;1,666667;
1967-04-06;null;null;null;24,5;22,18;18,4;80;1,666667;
1967-04-07;null;null;null;24,8;22,32;18,2;75,25;1,333333;
1967-04-08;null;null;null;24,2;18,56;12,4;81,25;,666667;
1967-04-09;null;null;null;22,2;19,14;14;86,25;1,333333;
1967-04-10;null;null;null;24;19,64;15;80,5;,666667;
1967-04-11;null;null;null;24;21,04;18,8;77,75;1,333333;
1967-04-12;null;null;null;24,6;20,76;18;79,75;1,333333;
1967-04-13;null;null;null;25,5;21,28;17,5;85,25;1,333333;
1967-04-14;null;null;null;24,8;21,56;18;81,25;1;
1967-04-15;null;null;null;25;20,52;16,2;84,75;1,666667;
1967-04-16;null;null;null;26;21,72;18;82;2,333333;
1967-04-17;null;null;null;22,2;17,84;12,2;84,75;1,666667;
1967-04-18;null;null;null;25,4;20,06;16,1;84,25;3;
1967-04-19;null;null;null;21,8;19,02;16,2;82,25;1,666667;
1967-04-20;null;null;null;24,3;20,22;16,2;67,25;,666667;
1967-04-21;null;null;null;24,8;21,6;17,2;77,75;1,666667;
1967-04-22;null;null;null;22,5;14,66;10,6;84;1,666667;
1967-04-23;null;null;null;19,4;15,56;9,4;82,5;2,333333;
1967-04-24;null;null;null;19;13,3;7,5;87,5;1,666667;
1967-04-25;null;null;null;14,5;11,94;6,2;79,25;,666667;
1967-04-26;null;null;null;18,9;13,42;8,7;90,25;1,666667;
1967-04-27;null;null;null;24,2;20,36;15,9;81;1;
1967-04-28;null;null;null;24,8;20,2;16,2;82,75;1,666667;
1967-04-29;null;null;null;24;19,96;15,9;88,75;1,666667;
1967-04-30;null;null;null;22,5;20,3;17;83,75;1,666667;
1967-05-01;null;null;null;25,2;21,26;17,1;76;1,666667;
1967-05-02;null;null;null;22;18;13,4;88,25;3;
1967-05-03;null;null;null;22,8;18,22;13,5;96,25;,666667;
1967-05-04;null;null;null;21,6;17,02;12,7;92,25;1,666667;
1967-05-05;null;null;null;21,8;17,98;12,1;93,25;1,333333;
1967-05-06;null;null;null;25,3;20,4;14,5;81;1,666667;
1967-05-07;null;null;null;23,8;19,64;14,4;79,5;1;
1967-05-08;null;null;null;21,8;19,04;14,2;82;3;
1967-05-09;null;null;null;23,1;19,76;16,9;null;,666667;
1967-05-10;null;null;null;24,1;20,56;16,7;79,75;3;
1967-05-11;null;null;null;21,2;18,54;12,7;90,25;1,333333;
1967-05-12;null;null;null;23,5;19,52;17,3;88,5;1,666667;
1967-05-13;null;null;null;24,8;20,24;17,5;85,5;3;
1967-05-14;null;null;null;25,2;21,16;17,2;84;2;
1967-05-15;null;null;null;26,2;21,2;18,2;83;,666667;
1967-05-16;null;null;null;28,2;21,52;17,4;80,5;,666667;
1967-05-17;null;null;null;28,2;21,78;18,1;72,5;1;
1967-05-18;null;null;null;30,2;23,82;18,5;55;1;
1967-05-19;null;null;null;24,4;18,48;16,7;94,25;3,666667;
1967-05-20;null;null;null;22,4;18,02;15,5;73,5;3,333333;
1967-05-21;null;null;null;25,4;19,4;15,2;71,75;1,333333;
1967-05-22;null;null;null;20;16,9;12,2;96,5;1;
1967-05-23;null;null;null;22,2;18,98;16,1;86,5;,666667;
1967-05-24;null;null;null;21,7;19,8;17,3;91,5;3,666667;
1967-05-25;null;null;null;30,4;22,86;19,4;71;,666667;
1967-05-26;null;null;null;24,6;20,04;16,8;83,5;3;
1967-05-27;null;null;null;29,4;20,98;17,4;84,5;1,333333;
1967-05-28;null;null;null;24,6;20,6;18,2;85,5;,666667;
1967-05-29;null;null;null;21,9;18,8;17,5;89,25;1;
1967-05-30;null;null;null;18;16,6;16,1;85;1,333333;
1967-05-31;null;null;null;20;17,9;15,3;79;3;
1967-06-01;null;null;null;23,2;19,86;16,3;87;2,333333;
1967-06-02;null;null;2,6;28,9;19,94;16;92,25;1,666667;
1967-06-03;null;null;36,9;19;13,54;11,5;82,5;3,666667;
1967-06-04;null;null;13,8;13,6;10,72;7,4;68,5;0;
1967-06-05;null;null;,9;12,1;10,76;8,5;97,75;1,333333;
1967-06-06;null;null;8,3;13,1;9,38;7,3;83,75;1;
1967-06-07;null;null;0;15,8;11,08;6;87;2,666667;
1967-06-08;null;null;,3;12,6;7,92;5,7;72,5;2,333333;
1967-06-09;null;null;0;15,8;9,46;4,2;57;2,333333;
1967-06-10;null;null;0;13,8;8,08;5,6;69,25;1,666667;
1967-06-11;null;null;0;14,6;7,9;2,1;67,5;1,333333;
1967-06-12;null;null;0;11,9;7,56;4,5;62,25;1,666667;
1967-06-13;null;null;0;10,2;5,04;2,5;69,5;,666667;
1967-06-14;null;null;0;11,4;6,58;,8;81,5;1,666667;
1967-06-15;null;null;3,4;15,5;12,04;6,7;89,5;2,333333;
1967-06-16;null;null;0;16,3;14,68;13,5;85,5;,333333;
1967-06-17;null;null;0;17,8;13,86;10,9;90,5;,333333;
1967-06-18;null;null;6,2;26,6;16,1;11,2;88,25;,333333;
1967-06-19;null;null;0;26,3;18,9;11,5;64;,666667;
1967-06-20;null;null;0;28,2;18,68;15,2;72,75;1;
1967-06-21;null;null;0;18,2;13,4;10,4;83,75;1;
1967-06-22;null;null;0;26,5;18,9;11,2;77;,333333;
1967-06-23;null;null;0;28,2;21,84;19,4;62,5;1,666667;
1967-06-24;null;null;6;20,4;12,24;9,6;77,5;3;
1967-06-25;null;null;0;19,4;10,46;6,2;96,25;1,333333;
1967-06-26;null;null;0;15,5;11,72;6,5;87,25;,333333;
1967-06-27;null;null;0;17,4;13,5;11,2;93,5;,333333;
1967-06-28;null;null;0;14,9;13,54;12,2;96,5;,666667;
1967-06-29;null;null;0;17,6;15,14;13,3;91,25;,333333;
1967-06-30;null;null;3,5;15,2;12,48;11,4;83,5;1,666667;
1967-07-01;null;null;0;15;12,56;11,6;87,25;1,333333;
1967-07-02;null;null;0;16,2;11,68;10,4;81,75;1;
1967-07-03;null;null;0;20,4;11,9;6,5;91,25;0;
1967-07-04;null;null;0;18,8;13,48;7,8;81,75;0;
1967-07-05;null;null;,7;18;11,72;9,5;79,75;,666667;
1967-07-06;null;null;0;19,3;13,92;8;87,25;,333333;
1967-07-07;null;null;0;25,1;17,5;12;92;,666667;
1967-07-08;null;null;9,6;16,4;14,04;12,6;96;,666667;
1967-07-09;null;null;4,3;18,2;15,32;12,9;93,5;,333333;
1967-07-10;null;null;,2;16;11,64;9;93,25;1,333333;
1967-07-11;null;null;4,3;13,4;8,62;4,7;85;,666667;
1967-07-12;null;null;null;18,9;13,2;7,6;84;3,666667;
1967-07-13;null;null;null;22;17,96;13,5;70,75;,333333;
1967-07-14;null;null;null;20,5;15,3;12,2;95;,333333;
1967-07-15;null;null;null;20;17,4;13,4;88,5;,666667;
1967-07-16;null;null;null;21,9;17,28;12,3;88;3;
1967-07-17;null;null;null;25;19,24;16,2;84,75;3,666667;
1967-07-18;null;null;null;28,2;20,76;16,5;84;,666667;
1967-07-19;null;null;null;20,8;18,46;16,8;90,75;1;
1967-07-20;null;null;null;18,4;15,88;13,4;97,25;,333333;
1967-07-21;null;null;null;17,4;13,06;11,4;94,5;3;
1967-07-22;null;null;null;13,2;9,5;7,6;85;3;
1967-07-23;null;null;null;16,2;9,5;3,9;84,5;,666667;
1967-07-24;null;null;null;20,4;13,94;6,9;86,25;,333333;
1967-07-25;null;null;null;24,8;18,48;12,7;86,25;,666667;
1967-07-26;null;null;null;29,5;22,8;15,3;78,5;,333333;
1967-07-27;null;null;null;30,6;23,56;17,6;73,25;,333333;
1967-07-28;null;null;null;29,4;22,9;18,5;79,75;,333333;
1967-07-29;null;null;null;22,9;15,34;11,2;95;3;
1967-07-30;null;null;null;24,4;17,1;11,2;78,25;,666667;
1967-07-31;null;null;null;19,2;15,1;13,3;94,75;1,333333;
1967-08-01;null;null;null;22,1;16,72;13,6;92,5;0;
1967-08-02;null;null;0;28,4;19,66;12,4;81,75;0;
1967-08-03;null;null;2,5;22,2;14,46;11,6;92;3;
1967-08-04;null;null;2;13,8;9,6;7,7;90,5;,666667;
1967-08-05;null;null;0;16,6;11,8;6,2;88,25;,666667;
1967-08-06;null;null;0;22,1;16,9;12,2;87,25;1;
1967-08-07;null;null;0;24,2;19,64;15,9;84,5;1;
1967-08-08;null;null;10;27,7;21;15,9;84;0;
1967-08-09;null;null;0;21,5;16,56;14,3;97,25;2,666667;
1967-08-10;null;null;0;20,2;16,5;15,1;97;,666667;
1967-08-11;null;null;0;25,2;17,92;15,6;88,5;1,333333;
1967-08-12;null;null;0;21,2;15,84;9,4;78,25;4,333333;
1967-08-13;null;null;0;23,5;17,5;12,5;89,75;0;
1967-08-14;null;null;0;24,4;17,6;14,5;84,25;3;
1967-08-15;null;null;0;17,2;12,84;9,3;71,75;2,333333;
1967-08-16;null;null;0;17,7;14,16;7,6;68,25;1,666667;
1967-08-17;null;null;0;16,4;13,82;8,8;75,75;,666667;
1967-08-18;null;null;0;26,2;17,96;12,6;88,5;8;
1967-08-19;null;null;0;23,9;18,42;16;91,5;2;
1967-08-20;null;null;4,3;21,3;17,1;15,6;95,25;3,666667;
1967-08-21;null;null;0;20,2;16,42;13,9;98,25;2,333333;
1967-08-22;null;null;10;19,8;17,44;15,2;97,5;2,333333;
1967-08-23;null;null;6,6;17,8;11,94;10,3;89,25;4;
1967-08-24;null;null;2,6;22,9;14,24;10,1;92;2,333333;
1967-08-25;null;null;0;25,2;17,02;11,7;88;,666667;
1967-08-26;null;null;0;26,7;19,42;14,8;95;0;
1967-08-27;null;null;0;31;27,84;18,6;81,5;,333333;
1967-08-28;null;null;0;30,2;16,4;11,2;90,25;3,666667;
1967-08-29;null;null;0;22;16,88;12,4;94;,666667;
1967-08-30;null;null;0;19,8;15,68;9,3;94,75;4;
