Nome: PIRATINI
Codigo Estacao: 83983
Latitude: -31.43
Longitude: -53.1
Altitude: 345
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1972-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1961-01-01;null;null;null;32,2;25,44;19,8;61,75;3,333333;
1961-01-02;null;null;0;31,7;23,32;19;71,25;3,333333;
1961-01-03;null;null;1;28,2;20,68;15,5;68,25;4;
1961-01-04;null;null;1,7;29,9;21,68;15;56,25;1,666667;
1961-01-05;null;null;0;29,7;22,82;16,4;55,25;5;
1961-01-06;null;null;2,9;27,4;19,28;15,7;64;3,333333;
1961-01-07;null;null;0;27,4;18,72;9,5;57,25;3,333333;
1961-01-08;null;null;0;32,1;22,92;14,5;57,5;3;
1961-01-09;null;null;0;35,1;25,56;17,5;57;3,333333;
1961-01-10;null;null;28,3;27,9;20,36;17,8;72,75;2,333333;
1961-01-11;null;null;0;27;19,3;13,1;71;3,333333;
1961-01-12;null;null;0;30,3;22,56;14,4;74,5;3;
1961-01-13;null;null;0;34,9;26,38;20;60,75;2,666667;
1961-01-14;null;null;0;33;27,16;23,5;64,75;2,333333;
1961-01-15;null;null;0;31,7;26,98;23,7;65,25;2;
1961-01-16;null;null;0;34;27,06;21,9;70,75;,666667;
1961-01-17;null;null;14,3;25,6;20,6;18,6;92;2,333333;
1961-01-18;null;null;17,7;24,5;19,72;14,8;80,5;4,666667;
1961-01-19;null;null;0;30,2;23,78;17,6;82;3,666667;
1961-01-20;null;null;0;34,5;27,58;19,3;71,5;2;
1961-01-21;null;null;29,5;29;21,04;17,5;92,25;3,666667;
1961-01-22;null;null;0;25,1;18,76;14,9;79,5;3,333333;
1961-01-23;null;null;0;28,8;21,1;14,5;67,5;2,666667;
1961-01-24;null;null;0;27,3;20,22;16,5;83,75;3,333333;
1961-01-25;null;null;0;23,7;17,82;13,1;69,5;4,666667;
1961-01-26;null;null;0;24,5;17,84;12,1;75,75;4,666667;
1961-01-27;null;null;0;24,6;18,12;13;81,5;3;
1961-01-28;null;null;0;26,7;19,8;13,4;70,75;2;
1961-01-29;null;null;0;29,9;21,58;15,9;71;2,333333;
1961-01-30;null;null;0;32,2;23,74;18;64;1,666667;
1961-01-31;null;null;0;33,5;25,08;18,9;59,25;2,333333;
1961-02-01;null;null;23,4;28,3;21,22;16,6;85,25;,666667;
1961-02-02;null;null;1,8;27;21,54;18,6;86,5;3;
1961-02-03;null;null;0;28;21,44;18,1;78;2;
1961-02-04;null;null;0;29,2;20,92;15;73,25;2;
1961-02-05;null;null;0;29;21,92;16;77,75;2,666667;
1961-02-06;null;null;0;24,6;21,72;19,2;92,75;1,333333;
1961-02-07;null;null;null;null;null;null;null;null;
1961-02-08;null;null;null;null;null;null;null;null;
1961-02-09;null;null;null;null;null;null;null;null;
1961-02-10;null;null;null;null;null;null;null;null;
1961-02-11;null;null;null;null;null;null;null;null;
1961-02-12;null;null;null;null;null;null;null;null;
1961-02-13;null;null;null;null;null;null;null;null;
1961-02-14;null;null;null;null;null;null;null;null;
1961-02-15;null;null;null;null;null;null;null;null;
1961-02-16;null;null;null;null;null;null;null;null;
1961-02-17;null;null;null;null;null;null;null;null;
1961-02-18;null;null;null;null;null;null;null;null;
1961-02-19;null;null;null;null;null;null;null;null;
1961-02-20;null;null;null;null;null;null;null;null;
1961-02-21;null;null;null;null;null;null;null;null;
1961-02-22;null;null;null;null;null;null;null;null;
1961-02-23;null;null;null;null;null;null;null;null;
1961-02-24;null;null;null;null;null;null;null;null;
1961-02-25;null;null;null;null;null;null;null;null;
1961-02-26;null;null;null;null;null;null;null;null;
1961-02-27;null;null;null;null;null;null;null;null;
1961-02-28;null;null;null;null;null;null;null;null;
1961-03-01;null;null;null;null;null;null;null;null;
1961-03-02;null;null;null;null;null;null;null;null;
1961-03-03;null;null;null;null;null;null;null;null;
1961-03-04;null;null;null;null;null;null;null;null;
1961-03-05;null;null;null;null;null;null;null;null;
1961-03-06;null;null;null;null;null;null;null;null;
1961-03-07;null;null;null;null;null;null;null;null;
1961-03-08;null;null;null;null;null;null;null;null;
1961-03-09;null;null;null;28,5;23,04;17,4;86,75;,666667;
1961-03-10;null;null;2,5;31;23,12;19,4;89,75;1,666667;
1961-03-11;null;null;7,1;25,5;21,12;18,9;91,75;,666667;
1961-03-12;null;null;,8;23,5;20,8;17,5;92,75;,666667;
1961-03-13;null;null;10,2;22,8;17,94;15,6;92;2;
1961-03-14;null;null;6,3;27,6;20,7;14,2;61;2,666667;
1961-03-15;null;null;0;30;22,34;16,3;69,5;1;
1961-03-16;null;null;0;23,5;17,12;12,8;93;4,666667;
1961-03-17;null;null;30,3;19,5;13,36;10,4;78;2,666667;
1961-03-18;null;null;0;21,2;14,3;8,9;79,25;2;
1961-03-19;null;null;0;24,9;17;10,1;78,5;1,333333;
1961-03-20;null;null;0;23,1;18,6;15,5;89;1,666667;
1961-03-21;null;null;0;26,1;19,24;13,2;78,25;2;
1961-03-22;null;null;0;28,4;21,36;16,7;74;,666667;
1961-03-23;null;null;0;31,3;21,3;11,3;63,75;1,666667;
1961-03-24;null;null;0;32,5;25,06;19,4;63,5;2;
1961-03-25;null;null;23,6;26,5;19,52;16,8;92,25;5,333333;
1961-03-26;null;null;3,7;20,6;15,8;13,6;75,25;2,666667;
1961-03-27;null;null;1,6;20,6;15,08;10,8;73,25;5;
1961-03-28;null;null;0;23;17,42;12,5;72,25;4;
1961-03-29;null;null;0;24,8;18,08;13;76;2,333333;
1961-03-30;null;null;0;25,9;18,44;14,5;77;2,666667;
1961-03-31;null;null;0;24,9;19,6;14,9;77;2,333333;
1961-04-01;null;null;null;null;null;null;null;null;
1961-04-02;null;null;null;null;null;null;null;null;
1961-04-03;null;null;null;null;null;null;null;null;
1961-04-04;null;null;null;null;null;null;null;null;
1961-04-05;null;null;null;null;null;null;null;null;
1961-04-06;null;null;null;null;null;null;null;null;
1961-04-07;null;null;null;null;null;null;null;null;
1961-04-08;null;null;null;null;null;null;null;null;
1961-04-09;null;null;null;null;null;null;null;null;
1961-04-10;null;null;null;null;null;null;null;null;
1961-04-11;null;null;null;null;null;null;null;null;
1961-04-12;null;null;null;null;null;null;null;null;
1961-04-13;null;null;null;null;null;null;null;null;
1961-04-14;null;null;null;null;null;null;null;null;
1961-04-15;null;null;null;null;null;null;null;null;
1961-04-16;null;null;null;null;null;null;null;null;
1961-04-17;null;null;null;null;null;null;null;null;
1961-04-18;null;null;null;null;null;null;null;null;
1961-04-19;null;null;null;null;null;null;null;null;
1961-04-20;null;null;null;null;null;null;null;null;
1961-04-21;null;null;null;null;null;null;null;null;
1961-04-22;null;null;null;null;null;null;null;null;
1961-04-23;null;null;null;null;null;null;null;null;
1961-04-24;null;null;null;null;null;null;null;null;
1961-04-25;null;null;null;null;null;null;null;null;
1961-04-26;null;null;null;null;null;null;null;null;
1961-04-27;null;null;null;null;null;null;null;null;
1961-04-28;null;null;null;null;null;null;null;null;
1961-04-29;null;null;null;null;null;null;null;null;
1961-04-30;null;null;null;null;null;null;null;null;
1961-05-01;null;null;null;null;null;null;null;null;
1961-05-02;null;null;null;null;null;null;null;null;
1961-05-03;null;null;null;null;null;null;null;null;
1961-05-04;null;null;null;null;null;null;null;null;
1961-05-05;null;null;null;null;null;null;null;null;
1961-05-06;null;null;null;null;null;null;null;null;
1961-05-07;null;null;null;null;null;null;null;null;
1961-05-08;null;null;null;null;null;null;null;null;
1961-05-09;null;null;null;null;null;null;null;null;
1961-05-10;null;null;null;null;null;null;null;null;
1961-05-11;null;null;null;null;null;null;null;null;
1961-05-12;null;null;null;null;null;null;null;null;
1961-05-13;null;null;null;null;null;null;null;null;
1961-05-14;null;null;null;null;null;null;null;null;
1961-05-15;null;null;null;null;null;null;null;null;
1961-05-16;null;null;null;null;null;null;null;null;
1961-05-17;null;null;null;null;null;null;null;null;
1961-05-18;null;null;null;null;null;null;null;null;
1961-05-19;null;null;null;null;null;null;null;null;
1961-05-20;null;null;null;null;null;null;null;null;
1961-05-21;null;null;null;null;null;null;null;null;
1961-05-22;null;null;null;null;null;null;null;null;
1961-05-23;null;null;null;null;null;null;null;null;
1961-05-24;null;null;null;null;null;null;null;null;
1961-05-25;null;null;null;null;null;null;null;null;
1961-05-26;null;null;null;null;null;null;null;null;
1961-05-27;null;null;null;null;null;null;null;null;
1961-05-28;null;null;null;null;null;null;null;null;
1961-05-29;null;null;null;null;null;null;null;null;
1961-05-30;null;null;null;null;null;null;null;null;
1961-05-31;null;null;null;null;null;null;null;null;
1961-06-01;null;null;null;null;null;null;null;null;
1961-06-02;null;null;null;null;null;null;null;null;
1961-06-03;null;null;null;null;null;null;null;null;
1961-06-04;null;null;null;null;null;null;null;null;
1961-06-05;null;null;null;null;null;null;null;null;
1961-06-06;null;null;null;null;null;null;null;null;
1961-06-07;null;null;null;null;null;null;null;null;
1961-06-08;null;null;null;null;null;null;null;null;
1961-06-09;null;null;null;null;null;null;null;null;
1961-06-10;null;null;null;null;null;null;null;null;
1961-06-11;null;null;null;null;null;null;null;null;
1961-06-12;null;null;null;null;null;null;null;null;
1961-06-13;null;null;null;null;null;null;null;null;
1961-06-14;null;null;null;null;null;null;null;null;
1961-06-15;null;null;null;null;null;null;null;null;
1961-06-16;null;null;null;null;null;null;null;null;
1961-06-17;null;null;null;null;null;null;null;null;
1961-06-18;null;null;null;null;null;null;null;null;
1961-06-19;null;null;null;null;null;null;null;null;
1961-06-20;null;null;null;null;null;null;null;null;
1961-06-21;null;null;null;null;null;null;null;null;
1961-06-22;null;null;null;null;null;null;null;null;
1961-06-23;null;null;null;null;null;null;null;null;
1961-06-24;null;null;null;null;null;null;null;null;
1961-06-25;null;null;null;null;null;null;null;null;
1961-06-26;null;null;null;null;null;null;null;null;
1961-06-27;null;null;null;null;null;null;null;null;
1961-06-28;null;null;null;null;null;null;null;null;
1961-06-29;null;null;null;null;null;null;null;null;
1961-06-30;null;null;null;null;null;null;null;null;
1961-07-01;null;null;null;null;null;null;null;null;
1961-07-02;null;null;null;null;null;null;null;null;
1961-07-03;null;null;null;null;null;null;null;null;
1961-07-04;null;null;null;null;null;null;null;null;
1961-07-05;null;null;null;null;null;null;null;null;
1961-07-06;null;null;null;null;null;null;null;null;
1961-07-07;null;null;null;null;null;null;null;null;
1961-07-08;null;null;null;null;null;null;null;null;
1961-07-09;null;null;null;null;null;null;null;null;
1961-07-10;null;null;null;null;null;null;null;null;
1961-07-11;null;null;null;null;null;null;null;null;
1961-07-12;null;null;null;null;null;null;null;null;
1961-07-13;null;null;null;null;null;null;null;null;
1961-07-14;null;null;null;null;null;null;null;null;
1961-07-15;null;null;null;null;null;null;null;null;
1961-07-16;null;null;null;null;null;null;null;null;
1961-07-17;null;null;null;null;null;null;null;null;
1961-07-18;null;null;null;null;null;null;null;null;
1961-07-19;null;null;null;null;null;null;null;null;
1961-07-20;null;null;null;null;null;null;null;null;
1961-07-21;null;null;null;null;null;null;null;null;
1961-07-22;null;null;null;null;null;null;null;null;
1961-07-23;null;null;null;null;null;null;null;null;
1961-07-24;null;null;null;null;null;null;null;null;
1961-07-25;null;null;null;null;null;null;null;null;
1961-07-26;null;null;null;null;null;null;null;null;
1961-07-27;null;null;null;null;null;null;null;null;
1961-07-28;null;null;null;null;null;null;null;null;
1961-07-29;null;null;null;null;null;null;null;null;
1961-07-30;null;null;null;null;null;null;null;null;
1961-07-31;null;null;null;null;null;null;null;null;
1961-08-01;null;null;null;null;null;null;null;null;
1961-08-02;null;null;null;null;null;null;null;null;
1961-08-03;null;null;null;null;null;null;null;null;
1961-08-04;null;null;null;null;null;null;null;null;
1961-08-05;null;null;null;null;null;null;null;null;
1961-08-06;null;null;null;null;null;null;null;null;
1961-08-07;null;null;null;null;null;null;null;null;
1961-08-08;null;null;null;null;null;null;null;null;
1961-08-09;null;null;null;null;null;null;null;null;
1961-08-10;null;null;null;null;null;null;null;null;
1961-08-11;null;null;null;null;null;null;null;null;
1961-08-12;null;null;null;null;null;null;null;null;
1961-08-13;null;null;null;null;null;null;null;null;
1961-08-14;null;null;null;null;null;null;null;null;
1961-08-15;null;null;null;null;null;null;null;null;
1961-08-16;null;null;null;null;null;null;null;null;
1961-08-17;null;null;null;null;null;null;null;null;
1961-08-18;null;null;null;null;null;null;null;null;
1961-08-19;null;null;null;null;null;null;null;null;
