Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2000-05-06
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2000-05-06;null;null;null;null;null;null;null;null;null;null;
2000-05-07;null;null;null;null;null;null;49.153846;36;6.3;null;
2000-05-08;0;888.0875;13.516667;28.2;22.1375;16.5;60.333333;33;7.1;2.108333;
2000-05-09;0;888.108333;13.254167;28.7;22.058333;16.6;58.833333;37;7;1.158333;
2000-05-10;0;889;14.366667;28.9;22.391667;17.7;62.083333;35;6.3;2.054167;
2000-05-11;0;888.4625;13.458333;27.3;21.304167;16.6;62.375;35;7.3;2.704167;
2000-05-12;0;888.3375;13.15;26.5;20.116667;15.2;65.416667;42;7.3;3.004167;
2000-05-13;0;888.770833;12.254167;24.7;18.908333;13.7;67.041667;43;7.8;3.0875;
2000-05-14;0;888.654167;10.533333;25;18.6875;13.7;61.5;34;8.8;3.0875;
2000-05-15;0;887.341667;10.3375;26.3;19.033333;11.8;59.625;28;7.8;1.8875;
2000-05-16;0;886.3625;10.4875;26.7;19.770833;13.8;57.208333;29;6.4;1.7;
2000-05-17;0;886.983333;10.7625;27.1;20.0875;14;57.041667;32;8.7;1.579167;
2000-05-18;0;886.695833;13.633333;26;19.883333;15.8;68.333333;48;5.9;2.0625;
2000-05-19;0;887.583333;12.144444;26.4;null;13.8;68.555556;43;5.9;1.655556;
2000-05-20;null;null;null;null;null;null;null;null;null;null;
2000-05-21;null;null;null;null;null;null;null;null;null;null;
2000-05-22;null;null;null;null;null;null;null;45;7.6;null;
2000-05-23;null;891.508333;13.558333;25.8;20.033333;14.8;68.208333;40;8.4;3.058333;
2000-05-24;0;890.879167;11.575;24.5;19.0375;14.7;64.041667;36;8.6;3.495833;
2000-05-25;0;889.591667;9.779167;24.9;17.7875;11.8;62.041667;31;9.1;2.941667;
2000-05-26;0;888.983333;9.233333;26.4;19.270833;12.2;55.5;29;7.5;1.7125;
2000-05-27;0;887.608333;8.5;26.8;19.870833;12.2;50.5;26;5.3;1.3875;
2000-05-28;0;886.3625;9.3875;27.1;20.245833;13.7;51.375;30;6.5;.958333;
2000-05-29;0;885.7;12.558333;26.3;20.383333;14;62.833333;35;5;1.383333;
2000-05-30;0;886.958333;10.358333;28;21.029167;14.1;54.958333;20;7.3;1.129167;
2000-05-31;0;886.695833;11.154167;27.6;21.041667;14.6;55.791667;30;5.4;1.1;
2000-06-01;0;null;null;26.8;null;15.3;60;35;5.8;null;
2000-06-02;null;null;null;null;null;null;null;33;6.6;null;
2000-06-03;0;889.966667;11.841667;27;20.775;14.6;59.166667;30;9.4;2.595833;
2000-06-04;0;891.216667;12.3125;25.4;19.695833;15;64.291667;37;9.4;3.470833;
2000-06-05;0;891.016667;11.791667;24;18.591667;13.3;66.458333;42;8.8;3.3625;
2000-06-06;0;891.554167;11.6625;24.3;18;12.7;68.25;43;12.2;2.820833;
2000-06-07;0;890.879167;11.279167;23.8;17.9375;13.1;66.75;43;8.4;3.216667;
2000-06-08;0;890.7625;11.1125;24.8;18.520833;13.2;63.833333;40;7.4;2.716667;
2000-06-09;0;890.475;11.275;25;18.770833;13.2;63.791667;34;8.4;2.320833;
2000-06-10;0;890.075;9.7125;25.2;19.2125;13.7;56.666667;30;8.9;2.466667;
2000-06-11;0;889.545833;8.158333;null;18.520833;null;53.75;null;null;1.6;
