Nome: GOIANIA
Codigo Estacao: A002
Latitude: -16.642841
Longitude: -49.220222
Altitude: 727.3
Situacao: Operante
Data Inicial: 2001-05-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-05-28;null;null;null;27.8;null;null;null;null;null;null;
2001-05-29;null;933.794444;16.877778;null;null;null;82.277778;null;null;.433333;
2001-05-30;null;934.704167;17.233333;null;22.8625;null;73.958333;38;6.7;1.616667;
2001-05-31;0;934.195833;15.375;30.7;22.783333;16;68.125;32;7.2;1.679167;
2001-06-01;0;933.808333;13.533333;30.5;22.116667;14.9;64.458333;24;7.4;1.658333;
2001-06-02;0;934.4625;13.270833;30.1;21.254167;13.9;65.166667;27;7.4;1.516667;
2001-06-03;0;935.041667;15.345833;28.8;21.633333;14.8;69.458333;44;9.9;2.183333;
2001-06-04;0;936.257143;16.761905;29.5;null;17.7;71.904762;44;8.8;2.342857;
2001-06-05;null;935.229167;15.233333;28.9;22.529167;16.8;65.916667;39;8.1;2.445833;
2001-06-06;0;934.870833;13.495833;30.1;21.504167;13.9;65.333333;29;5.7;.595833;
2001-06-07;0;934.717391;13.565217;30;20.647826;13.2;68.652174;31;5.5;.869565;
2001-06-08;0;935.372727;13.3;29.4;20.840909;13.2;66.5;33;7.5;1.722727;
2001-06-09;0;935.7625;13.075;29.7;22.083333;15.9;59.375;31;6.3;1.366667;
2001-06-10;0;936.85;11.995833;28.5;20.8;13.1;61.833333;26;6.4;1.6625;
2001-06-11;0;935.729167;11.108333;28.3;19.779167;12.3;62.208333;28;9.5;2.166667;
2001-06-12;0;935.495833;12.7375;26.8;19.633333;13.2;66.208333;44;9;2.170833;
2001-06-13;0;935.429167;13.7875;28.4;21.5375;16;64.875;32;7.4;1.85;
2001-06-14;0;934.070833;12.433333;29.2;20.479167;12.9;65.375;28;5.6;.916667;
2001-06-15;0;933.208333;12.516667;29.3;20.5125;13.5;65.458333;27;10.1;.875;
2001-06-16;0;933.3;12.566667;29.5;20.395833;13.5;65.583333;29;6.4;.604167;
2001-06-17;0;933.2;12.141667;29.9;20.070833;11.7;66;28;4.6;.5375;
2001-06-18;0;934.45;14.7375;26.7;19.270833;14;76.75;49;5.6;1.5875;
2001-06-19;0;935.2625;14.704167;25.2;17.979167;14.1;82.583333;56;5.3;1.829167;
2001-06-20;0;936.954167;13.891667;18.9;15.833333;14.4;88.583333;75;5.5;1.9125;
2001-06-21;0;937.766667;11.945833;21.3;14.975;11.8;82.958333;59;6.6;1.933333;
2001-06-22;0;937.033333;11.9375;29.3;18.491667;10.2;71.125;30;6;1.141667;
2001-06-23;0;935.7875;13.366667;30.1;20.9875;12.7;66.583333;31;6.9;1.195833;
2001-06-24;0;935.829167;14.0125;29.9;21.520833;13.5;66.291667;34;10.8;2.033333;
2001-06-25;0;936.6125;13.045833;29.7;22.016667;14.6;60.666667;30;8;1.441667;
2001-06-26;0;937.470833;13.325;30.1;20.9375;13.1;65.958333;31;8.1;1.291667;
2001-06-27;0;938.045833;12.170833;25;17.929167;13.6;72;35;5.9;2.008333;
2001-06-28;0;936.741667;8.733333;27.6;17.104167;8.5;62.958333;30;5.5;1.4375;
2001-06-29;0;935.6625;9.679167;29.4;19.1125;9.7;61.208333;24;6.9;1.0125;
2001-06-30;0;934.579167;10.6125;29.9;19.641667;11.2;61.625;27;5.5;.866667;
2001-07-01;0;934.0125;10.625;29;19.620833;11.8;61.416667;28;6.3;.970833;
2001-07-02;0;934.604167;9.875;29.7;19.1875;11.1;61.25;21;6.6;1.025;
2001-07-03;0;935.029167;9.004167;29.5;19.3625;10.7;58.083333;21;6.9;1.225;
2001-07-04;0;934.754167;9.65;30.5;19.408333;10.3;59.791667;23;5.2;.708333;
2001-07-05;0;936.020833;9.6875;30.3;19.925;10.7;58.666667;19;7.7;1.3125;
2001-07-06;0;935.725;6.995833;28.7;18.608333;8.9;54.75;18;14.8;3.233333;
2001-07-07;0;936.479167;9.291667;28.6;19.329167;11.2;55.083333;29;13.6;3.254167;
2001-07-08;0;937.479167;12.05;29.5;21.091667;15.3;59.5;30;7.1;1.9125;
2001-07-09;0;936.158333;10.491667;28.3;20.179167;12.2;57.541667;27;7.2;1.7875;
2001-07-10;0;934.054167;10.141667;29.6;19.5125;10.7;60.75;26;9.6;1.191667;
2001-07-11;0;933.5375;10.470833;30.1;20.025;11.1;60.583333;25;8.4;.9625;
2001-07-12;0;934.529167;12.8625;29.1;20.325;12.4;65.333333;35;8.4;.970833;
2001-07-13;0;935.25;15.525;28.8;21.404167;15.9;71.958333;42;7.1;1.658333;
2001-07-14;0;934.6625;13.033333;30.1;21.2625;13.4;64.958333;26;7.7;1.495833;
2001-07-15;0;934.129167;9.904167;30.1;21.116667;13.4;55.25;20;7.7;1.729167;
