Nome: MORRINHOS
Codigo Estacao: A003
Latitude: -17.745066
Longitude: -49.101698
Altitude: 751.09
Situacao: Operante
Data Inicial: 2001-05-24
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-05-24;null;null;null;19.2;null;null;null;null;null;null;
2001-05-25;null;null;null;null;null;null;null;null;null;null;
2001-05-26;null;null;null;null;null;null;null;null;null;null;
2001-05-27;null;null;null;null;null;null;null;null;null;null;
2001-05-28;null;null;null;null;null;null;null;null;null;null;
2001-05-29;null;null;null;null;null;null;null;null;null;null;
2001-05-30;null;932.454167;16.558333;null;22.116667;null;74.25;39;6;null;
2001-05-31;0;931.9375;15.145833;29.6;21.866667;15.5;69.75;34;8.1;1.295833;
2001-06-01;0;931.533333;13.929167;29.9;20.916667;13.7;69.625;25;6.7;.9625;
2001-06-02;0;932.229167;14.566667;28;20.725;14.5;71.041667;36;7.1;1.15;
2001-06-03;0;932.841667;15.070833;27.6;20.170833;13.5;74.5;47;8.9;2.029167;
2001-06-04;0;934.21;16.675;27.9;null;17.4;75.7;50;8.1;2.095;
2001-06-05;null;932.870833;15.266667;27.6;22.029167;16.8;67.375;42;9.3;2.6625;
2001-06-06;0;932.416667;13.683333;29;20.508333;13;68.833333;34;6.8;1.216667;
2001-06-07;0;932.182609;13.765217;29.4;20.213043;13;70.608696;33;7.9;1.134783;
2001-06-08;0;933.095455;13.177273;28.3;19.972727;12.3;69.227273;34;8.8;1.381818;
2001-06-09;0;933.720833;13.516667;27.5;19.8;13.3;70.541667;39;8;1.416667;
2001-06-10;0;934.604167;12.370833;27.3;19.258333;12.2;69.25;31;7.1;1.133333;
2001-06-11;0;933.516667;11.454167;26.9;18.3125;11.2;68.708333;34;8.5;1.65;
2001-06-12;0;933.358333;12.625;26;18.425;12;70.916667;44;10.1;2.1;
2001-06-13;2;933.075;14.4375;26.3;20.191667;15.1;71.458333;42;10.1;2.320833;
2001-06-14;0;931.7375;12.8375;27.8;19.170833;12.2;70.833333;35;6.9;1.0875;
2001-06-15;0;930.691667;12.291667;28.5;19.533333;12.8;68.166667;29;9.6;1.370833;
2001-06-16;0;930.7;12.120833;28.4;19.808333;13.8;66.041667;24;7.3;1.045833;
2001-06-17;0;930.466667;11.4875;29.4;19.670833;11.7;64.5;27;8.5;1.325;
2001-06-18;0;932.354167;14.391667;22.2;17.554167;14.8;82.291667;64;9.6;2.579167;
2001-06-19;0;932.8625;13.695833;22.8;15.95;12.6;87.458333;61;4.4;1.516667;
