Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2005-03-03
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-03-03;null;null;null;28.7;null;null;null;42;3;null;
2005-03-04;null;979.379167;23.2125;28.7;24.870833;22.8;90.708333;72;10.3;1.695833;
2005-03-05;15.4;981.291667;23.029167;30.3;25.066667;22.9;89.208333;64;5.7;1.733333;
2005-03-06;1.4;979.429167;22.8625;31.6;26.308333;22.4;82.5;59;5.8;1.458333;
2005-03-07;.6;979.604167;22.520833;27.6;24.6375;23.6;88.208333;73;8.2;1.8;
2005-03-08;.2;979.9;22.441667;29.8;24.725;22.3;87.708333;64;9;1.529167;
2005-03-09;4.8;977.991667;22.429167;33.3;26.070833;22.4;82.458333;47;9.6;1.645833;
2005-03-10;46.6;978.8875;22.529167;30.8;24.8375;21.1;87.791667;63;7.9;1.4;
2005-03-11;0;979.8;22.995833;29.8;25.229167;22.5;88.125;67;11.8;1.466667;
2005-03-12;.4;978.4875;22.808333;33.6;27.133333;22.7;79.208333;51;8.1;1.5;
2005-03-13;6;978.265217;23.591304;27.3;25.156522;24.1;91.26087;80;5.8;1.665217;
2005-03-14;5.8;977.504167;22.95;29.6;25.120833;23.4;88.083333;67;7.2;2.2125;
2005-03-15;34.6;977.954167;22.545833;27.8;24.4125;22.2;89.791667;70;6.5;1.304167;
2005-03-16;0;979.2625;22.766667;32.7;26.033333;22.4;83.916667;51;5.6;1.2;
2005-03-17;0;979.1625;22.291667;30.9;25.308333;21.7;84.333333;56;5.8;1.2875;
2005-03-18;1.2;979.829167;22.4875;26.1;23.8125;23.3;92.333333;81;7.3;1.7125;
2005-03-19;4.2;979.116667;21.883333;32.5;25.466667;21.7;82.416667;43;5.3;.983333;
2005-03-20;0;979.213043;22.386957;33.1;25.995652;22.1;82.043478;47;8.1;1.226087;
2005-03-21;2.2;980.045833;22.5875;30.7;24.291667;22.6;90.708333;60;8.6;1.141667;
2005-03-22;8.8;980.291667;22.441667;32.6;26.045833;22.7;82.75;46;14;1.420833;
2005-03-23;30.2;981;22.908333;33.1;26.891667;22.4;80.708333;50;5.6;1.3625;
2005-03-24;41.4;980.645833;22.841667;33;26.5625;20.7;81.791667;52;14.3;1.733333;
2005-03-25;34.2;979.633333;22.620833;30.7;25.429167;21.7;85.458333;56;6.5;1.341667;
2005-03-26;10.6;978.558333;22.845833;30.3;25.208333;22.4;87.541667;54;7.6;1.316667;
2005-03-27;.4;978.608696;22.66087;31.1;24.63913;22.5;89.565217;60;13.3;1.121739;
2005-03-28;1.2;978.004167;22.7875;33.1;26.2375;21.8;83.375;47;10.8;1.208333;
