Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.968677
Longitude: -48.177259
Altitude: 189.71
Situacao: Operante
Data Inicial: 2007-01-22
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-22;null;null;null;null;null;null;null;null;null;null;
2007-01-23;null;null;null;null;null;null;null;36;8.3;null;
2007-01-24;2;988.591667;22.9125;35;27.433333;23.7;78.5;42;15.1;1.1;
2007-01-25;0;988.591304;22.856522;33.3;26.269565;23.1;82.869565;52;10;.995652;
2007-01-26;0;988.786957;23.165217;30.9;25;22.9;89.913043;65;8.5;.965217;
2007-01-27;7.4;989.817391;23.669565;32.1;26.465217;23.7;85.391304;59;7.5;.956522;
2007-01-28;2.6;990.613043;22.886957;30.8;25.756522;23.8;84.869565;62;11.6;1.091304;
2007-01-29;.4;990.590909;22.304545;33;25.677273;22.6;82.681818;54;9.6;.895455;
2007-01-30;1;991.078261;22.917391;32.1;25.313043;23.3;87.347826;55;9;1.186957;
2007-01-31;26.2;989.279167;22.133333;32.6;26.1375;22.1;80.875;42;4.2;.779167;
2007-02-01;0;989.929167;23.070833;31.2;25.2;24.5;88.541667;60;11.2;1.333333;
2007-02-02;12.2;991.175;22.845833;30.4;24.7;22.3;90.041667;63;7.8;.854167;
2007-02-03;16.6;990.558333;23.254167;26.9;24.7125;23.1;91.75;83;5.8;.6375;
2007-02-04;3.8;990.320833;23.154167;29.4;24.941667;23.2;90.208333;67;9.1;.979167;
2007-02-05;9.2;990.5125;23.6125;30.8;25.9;23.7;87.708333;63;5.1;.854167;
2007-02-06;1;989.720833;23.570833;28.2;25.491667;24.1;89.375;73;5.1;.704167;
2007-02-07;2;989.870833;22.475;31.1;25.3625;21.7;85.125;57;7.5;.854167;
2007-02-08;10.6;990.545833;22.941667;30.3;25.070833;23;88.541667;63;8.2;.9125;
2007-02-09;9.6;991.229167;22.866667;32.5;26.316667;22.9;82.791667;54;6.3;.566667;
2007-02-10;0;991.504167;23.120833;33.4;26.208333;22.5;84.041667;54;8.8;.616667;
2007-02-11;0;991.3125;22.9625;28.5;24.991667;23.6;88.958333;70;6.3;.65;
2007-02-12;.2;989.9125;22.183333;32.6;25.9875;21.8;81.208333;52;6.2;1.0875;
2007-02-13;0;989.370833;23.170833;31.1;25.379167;23.8;88.041667;60;11.5;1.029167;
2007-02-14;5.2;989.354167;22.75;29.2;24.466667;23.2;90.416667;67;9.4;1.095833;
2007-02-15;14.4;988.979167;22.520833;29.8;23.845833;22.3;92.583333;68;12.8;.85;
2007-02-16;35;989.191667;22.425;29.2;25.004167;22.5;86.333333;64;5.5;1.333333;
2007-02-17;.4;988.141667;22.833333;31.4;25.733333;22.5;84.958333;58;6.1;.816667;
2007-02-18;27.6;988.933333;22.275;26.9;24.054167;21.6;90;79;7.4;1.245833;
2007-02-19;1.6;987.679167;22.116667;30.6;24.570833;22;87.208333;58;11;1.075;
2007-02-20;47.6;988.041667;22.0875;27.7;24.0125;21.7;89.541667;70;9.5;1.791667;
2007-02-21;4;989.1375;22.05;29.5;24.583333;21.8;86.5;65;7.7;1.704167;
2007-02-22;5.8;991.904167;21.883333;30.6;24.408333;22.2;86.958333;58;8.5;1.183333;
2007-02-23;17.6;992.691667;21.3375;31.2;23.254167;21;89.875;60;15.6;.895833;
2007-02-24;13.6;991.604167;21.795833;32.8;25.5875;20.7;81.833333;49;5.7;.658333;
2007-02-25;0;990.204167;22.729167;33.5;26.975;22.8;79.083333;50;8.3;.525;
2007-02-26;1.6;989.55;23.304167;29.7;25.166667;23.1;89.791667;69;10.5;.7375;
2007-02-27;26;989.7625;22.541667;31.1;25.7375;21.9;83.833333;57;7.7;.941667;
2007-02-28;56;989.670833;22.55;29.8;24.658333;21;88.625;68;6.7;.75;
2007-03-01;.4;988.054167;22.745833;34.2;27.15;22.3;79.875;39;6.2;.625;
2007-03-02;0;988.058333;21.820833;34.1;27.870833;22.9;73.291667;38;7.1;.95;
2007-03-03;0;988.375;21.695833;33.9;26.779167;20.9;76.708333;43;6.5;.804167;
2007-03-04;0;988.816667;21.708333;32.9;27.104167;22.5;74.916667;43;7.8;.958333;
2007-03-05;0;989.129167;21.775;34.4;27.5125;23.1;74.291667;41;7.5;1.1125;
2007-03-06;0;990.35;22.05;33.4;27.5125;23.2;74.333333;45;5.8;.55;
2007-03-07;0;990.95;22.470833;34.9;27.979167;23.9;75.416667;36;6;.633333;
2007-03-08;0;989.8875;22.541667;32.1;26.629167;22.3;79.416667;53;7.2;.9125;
2007-03-09;0;988.8;22.0125;35.2;27.779167;22.3;74.875;38;6.1;.7;
2007-03-10;8.2;988.745833;23.229167;32.5;25.8375;22.3;86.25;56;10.1;.85;
2007-03-11;109;989.85;22.316667;27.3;24.208333;20.7;89.541667;73;8.7;.754167;
2007-03-12;15.6;990.475;22.083333;27.4;23.858333;21;90.166667;72;7.9;.904167;
2007-03-13;.8;990.426087;22.213043;32.5;25.317391;21.7;84.173913;48;6.8;.773913;
2007-03-14;3.8;989.454167;22.758333;33.3;25.4625;22.1;86.375;49;12.7;.629167;
2007-03-15;13.2;989.616667;22.420833;29.9;24.808333;22.6;87.25;64;8.4;.675;
2007-03-16;9.6;991.0875;21.833333;30.7;24.854167;20.4;84.375;58;11.1;.908333;
2007-03-17;0;989.9875;22.541667;32.7;25.908333;22.3;83.458333;53;11.9;.679167;
2007-03-18;9.4;989.583333;23.075;33.1;26.820833;22.8;81.666667;50;6.5;.7875;
2007-03-19;0;991.004167;22.495833;32.5;25.3375;22.9;85.333333;51;15.3;1.120833;
2007-03-20;6;990.529167;22.445833;32.2;26.141667;22.2;81.875;51;6.5;.7875;
2007-03-21;0;989.083333;23.05;31.5;25.5875;23.1;86.541667;57;6.8;.8125;
2007-03-22;.2;989.0125;22.633333;32.4;26.35;23.3;81.541667;55;4.9;.875;
2007-03-23;.4;989.733333;22.8375;30.5;25.954167;23.1;83.5;64;6.5;.883333;
2007-03-24;.6;989.291667;23.370833;33.1;26.4125;22.4;84.875;49;7.3;.633333;
2007-03-25;.2;988.516667;22.904167;34.6;27.508333;23;79.208333;43;5.8;.6625;
2007-03-26;0;987.666667;22.8375;34.8;28.041667;23;76.583333;42;7.2;.825;
2007-03-27;0;988.179167;22.604167;34.9;27.666667;22.5;77.208333;40;7.4;.720833;
2007-03-28;.2;988.925;22.075;33.6;27.0625;21.8;76.333333;43;7;.9375;
2007-03-29;0;988.104167;22.183333;34.8;27.6625;22.7;75.791667;37;6.8;.754167;
2007-03-30;0;987.4;21.2125;34.5;27.55;21.9;72;37;7.8;.891667;
2007-03-31;null;987.36;21.145;35.3;null;22.6;67.75;35;7.1;.765;
2007-04-01;null;987.633333;21.855556;36.3;null;23.4;66.888889;33;4.4;.65;
2007-04-02;null;987.785;22.87;34.7;null;24.3;72.9;41;6.6;1.02;
2007-04-03;0;988.53913;23.043478;31.8;26.773913;24.2;80.869565;55;7.3;1.047826;
2007-04-04;null;null;null;35.1;null;24.2;66.333333;37;6.1;null;
2007-04-05;null;null;null;34.8;null;25;64.933333;35;5.6;null;
2007-04-06;null;null;null;null;null;null;61.5;42;6.2;null;
2007-04-07;null;null;null;35.7;null;25.1;63.933333;42;6;null;
2007-04-08;null;null;null;33.3;null;26.2;67.571429;48;7.4;null;
2007-04-09;null;null;null;null;null;null;null;53;7;null;
2007-04-10;null;null;null;null;null;null;null;53;3.5;null;
2007-04-11;null;null;null;null;null;null;71.785714;46;6.2;null;
2007-04-12;null;null;null;null;null;null;80.461538;64;10.1;null;
2007-04-13;null;991.32;22.75;31.8;null;23.2;80.8;54;7.4;.54;
2007-04-14;.2;990.733333;22.945833;32.5;25.620833;23.9;86.25;54;13.8;.775;
2007-04-15;22.4;990.763636;23.036364;32.6;26.340909;22.2;83.409091;56;6.9;.386364;
2007-04-16;0;990.633333;22.529167;28.8;25.3375;23.1;85;65;5.5;.5375;
2007-04-17;0;989.754167;22.475;30.1;24.383333;22.7;89.625;65;11.5;1.1125;
2007-04-18;1.8;989.2375;21.979167;31.7;25.145833;21.4;83.875;59;6.5;.704167;
2007-04-19;5.4;989.345833;22.7625;31.5;25.8875;22.1;83.958333;57;9;1.166667;
2007-04-20;17.2;989.8625;23;31.1;24.995833;22.4;89.458333;65;13.6;1.0875;
2007-04-21;6.8;989.395833;23.133333;33.2;26.745833;22.6;82.166667;53;6.3;.995833;
2007-04-22;0;989.645833;22.15;31.3;26.125;22.3;81;50;6.1;.516667;
2007-04-23;0;990.491667;22.941667;32.2;26.333333;22.5;83.125;50;5.5;.7875;
2007-04-24;0;990.041667;22.945833;31.7;26.420833;22.3;82.291667;56;4.6;.525;
2007-04-25;0;989.283333;23.466667;33.6;26.354167;23.4;85.833333;49;10;.741667;
2007-04-26;5.6;988.658333;22.525;33.1;26.420833;21.9;81.291667;50;4.4;.466667;
2007-04-27;1;989.7125;23.120833;28.5;25.3;23.2;88;71;8.9;.679167;
2007-04-28;23.2;990.875;23.245833;31.6;25.225;23.2;89.625;62;10.8;.558333;
