Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.962536
Longitude: -50.42545
Altitude: 678.74
Situacao: Operante
Data Inicial: 2008-03-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-28;null;null;null;null;null;null;null;null;null;null;
2008-03-29;null;934.591667;19.279167;30.7;25.0625;null;72.75;41;7.8;1.375;
2008-03-30;0;934.6625;18.141667;31.6;25.020833;19.8;67.791667;36;9.3;1.375;
2008-03-31;0;934.179167;19.345833;30.2;24.770833;19.9;73.458333;48;7.6;1.516667;
2008-04-01;0;933.666667;19.65;30.6;24.725;20.5;74.958333;48;6.8;1.25;
2008-04-02;0;934.2;19.970833;28.7;23.491667;20.5;81.375;54;7.5;1.020833;
2008-04-03;1.4;933.904167;19.5625;29;23.320833;20.5;80.666667;51;5.8;1.208333;
2008-04-04;53.8;933.220833;19.920833;25.4;21.858333;19.3;89.125;73;8;1.704167;
2008-04-05;2.6;933.516667;20.554167;26.5;22.9625;21;86.916667;66;6.9;1.05;
2008-04-06;0;933.545833;20.520833;28.5;23.225;20.6;85.458333;60;10.4;1.629167;
2008-04-07;.4;934.754167;20.616667;27.4;22.8;21.3;88;66;8.4;1.4;
2008-04-08;32;936.145833;20.679167;29.2;23.629167;19.8;84.791667;59;9;1.141667;
2008-04-09;0;936.791667;20.883333;30.6;24.825;20.7;80.125;55;8.2;1.379167;
2008-04-10;0;935.283333;20.195833;30.9;25.3375;20.8;75.208333;47;6.4;1.2125;
2008-04-11;0;933.616667;19.566667;32.5;25.608333;20.6;71.458333;39;6.6;1.4875;
2008-04-12;0;933.6;19.841667;32.4;25.254167;21;73.208333;46;9.4;2.066667;
2008-04-13;3.4;934.25;19.970833;30.9;24.608333;20.1;76.75;50;7.2;1.5625;
2008-04-14;0;935.504167;19.6125;30.7;23.983333;20.7;77.833333;47;11.4;1.779167;
2008-04-15;0;936.333333;18.845833;29;23.133333;19.1;78.791667;50;7;1.1125;
2008-04-16;0;937.7125;19.954167;30.3;22.891667;20.2;85;52;17.3;1.85;
2008-04-17;23.4;939.095833;20.3125;30.1;23.141667;19.4;85.333333;56;7.1;1.845833;
2008-04-18;.2;937.8;19.8125;30.1;24.2375;20;77.958333;48;7.4;1.4125;
2008-04-19;11.2;936.541667;19.7875;29.8;23.070833;19.5;82.958333;53;15.8;1.35;
2008-04-20;.4;936.625;19.204167;28.1;22.425;18.2;83;58;8.9;1.716667;
2008-04-21;.2;937.116667;18.908333;27.9;22.520833;19.4;81;58;10.3;1.433333;
2008-04-22;0;937.1375;18.991667;27.9;22.104167;19.4;83.333333;61;12.2;1.033333;
2008-04-23;2.8;936.220833;18.645833;29.8;23.166667;18.9;78.458333;44;5.5;.891667;
2008-04-24;0;935.733333;17.629167;30.8;23.6;18.2;71.791667;33;4.9;.9125;
2008-04-25;0;935.266667;17.6375;29.7;23.883333;18.3;69.708333;44;7.1;1.125;
2008-04-26;0;934.908333;16.441667;30.9;24.266667;18.9;63.458333;41;7;1.175;
2008-04-27;0;935.333333;18.204167;31.1;24.345833;19.5;70.416667;45;6.4;1.366667;
2008-04-28;0;934.741667;18.65;31.1;25.170833;19.9;68.916667;45;8.2;1.804167;
2008-04-29;0;935.079167;19.254167;31.8;25.291667;20.1;70.833333;43;8.6;1.6125;
2008-04-30;0;935.641667;19.770833;30;24.608333;21;75.625;50;8.8;1.629167;
2008-05-01;0;936.004348;19.478261;29.1;22.921739;20.1;81.782609;59;7.2;1.252174;
2008-05-02;0;936.225;19.0875;30;23.029167;19.4;79.916667;50;8.2;1.7125;
2008-05-03;.2;938.754167;15.766667;21.5;18.108333;14.9;86.375;75;8;2.195833;
2008-05-04;0;939.354167;13.779167;24;17.85;14;77.875;59;7.9;2.025;
2008-05-05;0;939.008333;14.879167;28.4;20.716667;14.3;70.958333;46;5.1;1.1375;
2008-05-06;0;938.125;15.2;26.6;21.033333;16;70.333333;52;7.4;1.5125;
2008-05-07;0;938.125;14.645833;28.3;21.458333;15.7;67.208333;42;6.2;1.025;
2008-05-08;0;937.870833;14.095833;28.2;21.2875;15.3;66.375;38;6.2;1.075;
2008-05-09;0;937.329167;14.120833;28.5;21.883333;16.7;63.916667;33;5.2;.975;
2008-05-10;0;938.141667;15.4;29.9;23.525;19;62.625;34;5.4;.945833;
2008-05-11;0;939.408333;16.041667;28.9;23.175;18;66.166667;40;6.3;1.208333;
2008-05-12;0;940.3125;16.479167;28.2;22.070833;17.9;72;44;5.6;.995833;
2008-05-13;0;940.245833;16.2875;28.5;22.495833;17.4;70.625;40;6.4;.841667;
2008-05-14;0;940.083333;16.454167;28.5;22.004167;17.2;73.416667;42;5.6;.779167;
2008-05-15;0;939.941667;15.4875;28.9;21.941667;17.1;69.125;37;5.2;1.104167;
2008-05-16;0;939.958333;15.083333;29.2;22.029167;17.6;66.791667;37;6.7;1.441667;
2008-05-17;0;939.995833;15.6625;29.4;22.033333;16.3;69.75;35;9.1;1.65;
2008-05-18;0;939.329167;15.691667;30.2;23.008333;17.1;65.583333;36;7.1;1.229167;
2008-05-19;0;939.379167;15.945833;30.4;23.154167;17.2;66.583333;36;6.1;.958333;
2008-05-20;0;938.975;13.670833;30.1;22.404167;16.5;61.75;25;7.4;1.491667;
2008-05-21;0;937.570833;11.95;29.5;21.729167;15.6;57.041667;29;7.6;1.304167;
2008-05-22;0;938.529167;11.645833;29.5;21.845833;15.3;55.333333;27;5.4;1.3875;
2008-05-23;0;938.1625;11.425;28.9;21.604167;15.2;55.5;28;6.6;1.541667;
2008-05-24;0;938.495833;11.458333;29.6;21.25;15;56.708333;29;5.5;1.2125;
2008-05-25;0;936.8;11.316667;28.9;21.220833;14.9;56.25;29;6.9;1.625;
2008-05-26;0;937.554167;11.745833;30.2;21.625;15.1;56.625;29;17.3;1.35;
2008-05-27;0;937.4875;13.116667;30.3;22.566667;16.1;57.416667;33;7.3;1.5375;
2008-05-28;0;937.0125;15.495833;30.7;23.254167;17.3;63.541667;39;7.2;1.570833;
2008-05-29;0;937.191667;16.925;31.5;23.675;18.6;68.208333;40;12.5;1.704167;
2008-05-30;12;940.5125;18.204167;26.3;20.608333;18.2;86.833333;61;10.4;1.8;
2008-05-31;.4;941.975;16.529167;23.4;18.420833;15.4;89.375;70;7.6;1.970833;
2008-06-01;0;941.895833;16.958333;25.4;19.845833;16.4;84.666667;56;6.4;1.604167;
2008-06-02;0;941.2125;16.741667;27.7;20.75;16.2;79.791667;47;6.4;1.179167;
2008-06-03;0;940.116667;15.679167;28.8;21.658333;16.8;72.708333;35;8.2;1.233333;
2008-06-04;0;939.4875;13.333333;28.8;21.658333;15.6;62;32;7.3;1.320833;
2008-06-05;0;940.054167;12.604167;30.2;21.908333;15.1;59.791667;26;9.2;1.5875;
2008-06-06;0;940.666667;12.829167;30.1;22.1375;16;58.166667;30;6.6;1.2625;
2008-06-07;0;939.875;11.833333;29.5;22.758333;17;53.416667;28;10.2;1.6375;
2008-06-08;0;939.033333;14.0375;30.4;23.566667;18.3;57.041667;31;11.4;2.25;
2008-06-09;0;939.608333;13.004167;30.5;23.233333;17.1;55.666667;28;9.3;1.741667;
2008-06-10;0;938.833333;11.7875;31.6;22.9875;16.4;52.041667;24;8.1;1.45;
2008-06-11;0;938.895833;12.558333;30.2;21.866667;15.5;60.083333;26;7.9;1.429167;
2008-06-12;0;939.683333;11.9375;30.4;22.316667;16.1;55.375;27;7.7;1.475;
2008-06-13;0;939.166667;10.875;30.1;22.420833;16.2;51.291667;26;8;1.291667;
2008-06-14;0;937.425;11.575;30.4;22.354167;15.9;53.041667;28;8.6;1.458333;
2008-06-15;0;938.879167;12.304167;30.3;23.079167;16.6;53.75;28;5.8;1.254167;
2008-06-16;0;941.145833;15.404167;23.7;20.025;18.3;75.125;60;7.8;1.783333;
2008-06-17;0;939.916667;12.141667;27.5;19.304167;12.8;64.75;38;5.6;1.3125;
2008-06-18;0;938.383333;12.8125;30.1;21.545833;14.7;62.125;27;6.6;.933333;
2008-06-19;0;937.533333;11.654167;30.6;22.554167;16.1;52.75;27;8.4;1.8875;
2008-06-20;0;938.141667;12.091667;31.1;22.795833;15.1;53.791667;28;6.2;1.529167;
2008-06-21;0;937.6875;11.791667;31.1;22.945833;16;52.166667;28;5.7;1.25;
2008-06-22;0;938.566667;15.941667;27.1;21.7125;17.5;71.416667;48;7.7;1.766667;
2008-06-23;0;940.045833;15.166667;29.3;21.545833;16;70.041667;32;6.7;1.1375;
2008-06-24;0;940.920833;13.170833;29.6;21.991667;15.3;62;26;6.2;.783333;
2008-06-25;0;940.341667;13.116667;29.1;21.75;15.4;61.375;32;9.2;1.2125;
2008-06-26;0;939.7875;12.529167;29.2;21.55;14.9;59.541667;29;9.7;1.241667;
2008-06-27;0;941.333333;10.720833;29.2;21.916667;15.6;52.25;24;7.7;1.633333;
2008-06-28;0;942.345833;10.029167;29.3;21.170833;14.8;52.208333;24;7.5;1.283333;
2008-06-29;0;941.404167;9.5125;29.9;21.391667;14.6;50.041667;22;8.6;.983333;
2008-06-30;0;940.616667;10.8625;29.8;22.366667;16.2;49.833333;27;6.7;.725;
2008-07-01;0;941.129167;9.775;30;23.333333;18.9;44.5;23;8.2;1.4125;
2008-07-02;0;941.770833;9.5;28.9;21.425;15.7;48.625;26;8.1;1.395833;
2008-07-03;0;941.1875;9.9125;29;21.870833;16;48.708333;28;6.6;1.258333;
2008-07-04;0;940.225;7.3375;27.6;20.808333;13.7;44.541667;19;10;1.591667;
2008-07-05;0;939.545833;9.85;29.6;20.816667;13.8;52.166667;26;8.9;1.879167;
2008-07-06;0;940.025;10.15;30.4;22.9;17;46.291667;24;8.9;1.754167;
2008-07-07;0;941.2;10.391667;29.7;23.1;16.9;46.416667;25;9.8;1.004167;
2008-07-08;0;940.791667;8.1875;29.2;21.4875;15.1;45.333333;19;7.8;1.504167;
2008-07-09;0;940.908333;5.7375;26.9;19.4875;12.7;43.208333;20;8.4;1.741667;
2008-07-10;0;941.9625;5.7;27;18.683333;11.1;45.458333;24;8.2;1.295833;
2008-07-11;0;942.8625;8.5125;28.8;19.870833;12.8;50.916667;24;9.1;1.633333;
2008-07-12;0;942.091667;10.8125;29;21.041667;15.2;54.5;26;10.5;1.895833;
2008-07-13;0;940.8375;8.9125;28.2;21.279167;14.3;47.75;25;8.8;1.695833;
2008-07-14;0;941.991667;6.145833;26.4;19.05;12.3;46.208333;20;8.8;1.675;
2008-07-15;0;943.045833;7.983333;27.2;19.0375;12;51.208333;29;10.2;2.2;
2008-07-16;0;942.820833;8.1625;27;19.4125;13.6;50.916667;28;11.7;2.2;
2008-07-17;0;940.3125;8.658333;28.6;20.295833;13.2;50.125;25;9.7;1.958333;
