Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Pane
Data Inicial: 2013-06-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-06-23;null;null;null;null;null;null;null;null;null;null;
2013-06-24;null;null;null;null;null;null;null;null;null;null;
2013-06-25;null;null;null;null;null;null;null;null;null;null;
2013-06-26;null;null;null;null;null;null;null;null;null;null;
2013-06-27;null;null;null;null;null;null;null;null;null;null;
2013-06-28;null;31.8;23.483333;16.8;66.875;null;null;null;null;null;
2013-06-29;0;31.6;23.579167;16.1;61.125;null;null;null;null;null;
2013-06-30;0;31.9;23.3625;15.3;60.416667;null;null;null;null;null;
2013-07-01;0;31.6;22.954167;14.4;53.25;null;null;null;null;null;
2013-07-02;0;29.5;22.566667;17.7;61.125;null;null;null;null;null;
2013-07-03;0;31;22.9;15.5;58;null;null;null;null;null;
2013-07-04;0;30.1;22.941667;17.8;57;null;null;null;null;null;
2013-07-05;0;30.4;22.416667;15.1;58.958333;null;null;null;null;null;
2013-07-06;0;30.1;22.033333;15.1;61.208333;null;null;null;null;null;
2013-07-07;0;30.3;22.275;15.1;59.583333;null;null;null;null;null;
2013-07-08;0;29.8;21.816667;13.7;52.458333;null;null;null;null;null;
2013-07-09;0;30.6;21.516667;12.6;47.791667;null;null;null;null;null;
2013-07-10;0;30.1;22.229167;15.8;51.208333;null;null;null;null;null;
2013-07-11;0;28.8;21.395833;16.7;52.625;null;null;null;null;null;
2013-07-12;0;28.4;20.808333;13.9;53.375;null;null;null;null;null;
2013-07-13;0;30;21.404167;13.3;55.625;null;null;null;null;null;
2013-07-14;0;31;21.9125;13.6;55.833333;null;null;null;null;null;
2013-07-15;0;31.8;22.845833;13.8;51.333333;null;null;null;null;null;
2013-07-16;0;31.3;24.025;16.5;46.208333;null;null;null;null;null;
2013-07-17;0;32;22.9375;14.1;49.208333;null;null;null;null;null;
2013-07-18;0;32.2;23.208333;14.8;55;null;null;null;null;null;
2013-07-19;0;32.7;24.283333;16;57.291667;null;null;null;null;null;
2013-07-20;0;31.7;24.545833;17.1;57.25;null;null;null;null;null;
2013-07-21;0;33.2;25.770833;19.7;45.708333;null;null;null;null;null;
2013-07-22;0;32.9;25.0375;17;52.541667;null;null;null;null;null;
2013-07-23;0;26.1;18.670833;14.9;69.75;null;null;null;null;null;
2013-07-24;0;25.1;16.020833;9.7;56.041667;null;null;null;null;null;
2013-07-25;0;24.4;15.891667;9.2;51.583333;null;null;null;null;null;
2013-07-26;0;28.7;19.245833;12;50.875;null;null;null;null;null;
2013-07-27;0;31.3;21.683333;12.8;42.791667;null;null;null;null;null;
2013-07-28;0;31.4;22.1;12.6;41.666667;null;null;null;null;null;
2013-07-29;0;31.3;21.6875;13.7;42.333333;null;null;null;null;null;
2013-07-30;0;32.6;22.479167;13.7;39.083333;null;null;null;null;null;
2013-07-31;0;32.6;24.2875;16;36.958333;null;null;null;null;null;
2013-08-01;0;32.5;23.091667;14.4;45.083333;null;null;null;null;null;
2013-08-02;0;32.3;22.854167;12.6;42.583333;null;null;null;null;null;
2013-08-03;0;32;22.645833;13.3;39.791667;null;null;null;null;null;
2013-08-04;0;32.2;22.545833;12.2;41.875;null;null;null;null;null;
2013-08-05;0;32.7;23.183333;13.8;39.458333;null;null;null;null;null;
2013-08-06;0;32.6;23.316667;13.8;42.375;null;null;null;null;null;
2013-08-07;0;32.3;22.958333;14.6;41.416667;null;null;null;null;null;
2013-08-08;0;33.1;23.558333;12.8;41.458333;null;null;null;null;null;
2013-08-09;0;31.9;23.733333;13.6;41.541667;null;null;null;null;null;
2013-08-10;0;31.9;23.720833;15.7;45.791667;null;null;null;null;null;
2013-08-11;0;28.9;20.070833;12.9;52.75;null;null;null;null;null;
2013-08-12;0;32.4;22.870833;13.9;43.583333;null;null;null;null;null;
2013-08-13;0;34.1;24.795833;14.4;41.375;null;null;null;null;null;
2013-08-14;0;28.2;23.575;19.3;45.333333;null;null;null;null;null;
2013-08-15;0;26.2;18.754167;11.9;39.833333;null;null;null;null;null;
2013-08-16;0;32.4;21.925;12.6;34.083333;null;null;null;null;null;
2013-08-17;0;32.3;24.745833;17.7;35.166667;null;null;null;null;null;
2013-08-18;0;32;24.620833;16.7;33.791667;null;null;null;null;null;
2013-08-19;0;31.6;24.779167;18.6;42;null;null;null;null;null;
2013-08-20;0;31.2;24.316667;17.6;38.166667;null;null;null;null;null;
2013-08-21;0;32;23.929167;16.1;36.25;null;null;null;null;null;
2013-08-22;0;32.8;24.816667;15.2;37.166667;null;null;null;null;null;
2013-08-23;0;33.9;24.970833;16.5;40.958333;null;null;null;null;null;
2013-08-24;0;35.2;26.241667;18.1;40.291667;null;null;null;null;null;
2013-08-25;0;34.6;26.554167;18.3;39;null;null;null;null;null;
2013-08-26;0;33.7;25.975;21.5;42.625;null;null;null;null;null;
2013-08-27;0;27.9;20.695833;14.9;44.458333;null;null;null;null;null;
2013-08-28;0;28;18.616667;11.4;37.791667;null;null;null;null;null;
2013-08-29;0;33.6;23.0875;13.9;26.75;null;null;null;null;null;
2013-08-30;0;34.7;25.95;19.3;36.416667;null;null;null;null;null;
2013-08-31;0;32.8;26.3375;22;48.083333;null;null;null;null;null;
2013-09-01;0;34.2;25.8;19.1;40.25;null;null;null;null;null;
2013-09-02;0;35.2;25.704167;15.9;33.708333;null;null;null;null;null;
2013-09-03;0;30.8;24.45;19.2;46.916667;null;null;null;null;null;
2013-09-04;0;30.3;24.229167;19;56.041667;null;null;null;null;null;
2013-09-05;0;32.4;25.075;17.6;51.541667;null;null;null;null;null;
2013-09-06;0;34.1;26.775;20.4;47.666667;null;null;null;null;null;
2013-09-07;0;32.3;25.9625;20.8;48.25;null;null;null;null;null;
2013-09-08;0;33.5;26.554167;19.7;46.583333;null;null;null;null;null;
2013-09-09;0;34.1;26.758333;20.2;33.541667;null;null;null;null;null;
2013-09-10;0;33.9;26.541667;17.8;30.666667;null;null;null;null;null;
2013-09-11;0;34;25.9375;17.5;33.5;null;null;null;null;null;
2013-09-12;0;32.4;25.9625;18.9;31.5;null;null;null;null;null;
2013-09-13;0;33;25.470833;18.6;30.083333;null;null;null;null;null;
2013-09-14;0;34.4;26.570833;18;31.625;null;null;null;null;null;
2013-09-15;0;36.3;26.9375;17;36.083333;null;null;null;null;null;
2013-09-16;0;36.4;28.120833;19.1;37;null;null;null;null;null;
2013-09-17;0;36.3;27.204167;22.4;48.208333;null;null;null;null;null;
2013-09-18;7.2;29.1;23.229167;19.8;75.916667;null;null;null;null;null;
2013-09-19;0;34;26.604167;20;60.25;null;null;null;null;null;
2013-09-20;0;36.6;28.945833;20.5;45.166667;null;null;null;null;null;
2013-09-21;0;35.5;28.6875;22.8;45;null;null;null;null;null;
2013-09-22;2.6;36.3;28.966667;22.6;46.375;null;null;null;null;null;
2013-09-23;0;34.9;28.575;21.2;43.875;null;null;null;null;null;
2013-09-24;0;30.7;25.458333;21.9;61.041667;null;null;null;null;null;
2013-09-25;0;30.7;22.491667;15.8;48.458333;null;null;null;null;null;
2013-09-26;0;34.4;25.1625;16.6;30.833333;null;null;null;null;null;
2013-09-27;0;36.8;27.970833;20;30.791667;null;null;null;null;null;
2013-09-28;0;32.9;27.133333;23.6;49.416667;null;null;null;null;null;
2013-09-29;0;33.6;24.983333;20.8;66.083333;null;null;null;null;null;
2013-09-30;5.2;32;24.266667;19.4;71.916667;null;null;null;null;null;
2013-10-01;21.8;27.6;23.379167;19.3;75.416667;null;null;null;null;null;
2013-10-02;0;31.8;25.458333;20.6;65.208333;null;null;null;null;null;
2013-10-03;0;34.2;25.920833;21.1;62.666667;null;null;null;null;null;
2013-10-04;0;32.2;25.070833;22.5;69.5;null;null;null;null;null;
2013-10-05;1.6;27.5;22.8125;19.4;77.458333;null;null;null;null;null;
2013-10-06;0;31.8;25.845833;20.6;57.458333;null;null;null;null;null;
2013-10-07;0;32.5;27.116667;22.6;41.833333;null;null;null;null;null;
2013-10-08;0;32.5;25.858333;19.6;60.375;null;null;null;null;null;
2013-10-09;32.6;30.7;24.204167;19.9;72.958333;null;null;null;null;null;
2013-10-10;0;32.4;26.045833;20.3;57.875;null;null;null;null;null;
