Nome: CATALAO
Codigo Estacao: A034
Latitude: -18.154779
Longitude: -47.927614
Altitude: 900.72
Situacao: Operante
Data Inicial: 2008-01-30
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-01-30;null;null;null;null;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;null;67;5.9;null;
2008-02-01;null;907.425;19.729167;29.8;23.7625;19.8;80;51;7.2;1.483333;
2008-02-02;0;909.025;20.495833;29.1;23.15;21.1;85.666667;59;10.2;1.595833;
2008-02-03;34.6;911.7625;19.720833;23.1;20.670833;19.2;94.416667;81;9.5;1.866667;
2008-02-04;46.2;913.5625;19.075;27.1;20.4625;19.4;92.291667;62;10.5;1.566667;
2008-02-05;38.8;914.641667;18.670833;23.5;19.804167;17.9;93.416667;75;6.5;1.429167;
2008-02-06;11;914.9375;18.8375;23.9;19.945833;18.3;93.458333;76;7.1;1.779167;
2008-02-07;27.8;915.595833;18.966667;24.7;20.475;18.7;91.375;74;7.1;1.5875;
2008-02-08;32.2;915.295833;18.3;30.2;22.595833;18.3;79.125;43;6.4;1.429167;
2008-02-09;.2;912.841667;18.833333;31.6;24.070833;20.1;75.25;38;5.5;.9875;
2008-02-10;.8;912.725;19.466667;30.8;24.358333;19.7;75.291667;49;9.9;1.366667;
2008-02-11;0;913.258333;19.216667;29.1;24.525;20.7;73.125;52;8.8;.9;
2008-02-12;.4;912.870833;18.808333;31.5;25.004167;19.7;70.458333;43;7.4;1.591667;
2008-02-13;0;912.991667;18.270833;31.3;25.195833;21;66.666667;42;7.2;1.725;
2008-02-14;0;913.041667;17.995833;31.1;25;21.1;66.5;42;10.1;1.920833;
2008-02-15;.6;912.841667;18.4;27.6;22.45;18.8;78.833333;56;11.5;2.1875;
2008-02-16;.2;912.0375;17.2;29.2;23.741667;18.6;69.291667;40;10.1;2.5125;
2008-02-17;0;913.404167;17.404167;30.1;23.566667;19.7;69.583333;46;10.6;2.529167;
2008-02-18;0;915.066667;18.429167;28.5;22.616667;19.5;78;54;9.1;1.629167;
2008-02-19;1.2;915.558333;17.691667;30.1;21.841667;18.7;79.291667;46;15.3;1.583333;
2008-02-20;68.2;912.879167;18.8875;29.9;23.020833;16.2;79.083333;47;6.5;1.120833;
2008-02-21;77.2;913.32;18.435;25.3;null;18.1;90.45;70;12.4;2.17;
2008-02-22;null;914.379167;18.779167;28.9;23.025;18.1;78.083333;50;6.6;1.125;
2008-02-23;45.2;915.45;19.1125;28.4;22.370833;18.4;83.416667;54;8.3;1.041667;
2008-02-24;8.8;914.354167;18.883333;27.3;22.379167;18.9;81.416667;59;7.3;1.675;
2008-02-25;4.2;912.308333;19.466667;26.8;22.091667;19.2;85.75;62;5.9;1.045833;
2008-02-26;26.8;912.133333;19.370833;25.4;21.495833;18.6;88.125;69;9.5;1.916667;
2008-02-27;9.4;911.720833;19.329167;28.7;22.879167;19.1;81.666667;53;6;1.4625;
2008-02-28;1.6;911.05;19.179167;28.3;22.529167;20.2;82.125;56;9.5;1.904167;
2008-02-29;5.2;909.620833;19.545833;26.8;21.679167;19.6;87.916667;67;8.5;2.020833;
2008-03-01;4;908.079167;19.845833;27.4;21.066667;19.7;93.041667;66;9.8;2.270833;
2008-03-02;16.8;909.641667;18.795833;28.6;22.595833;19.7;81.375;42;6.7;1.720833;
2008-03-03;0;911.713043;18.13913;30.6;23.934783;19.2;71.826087;44;6.3;1.413043;
2008-03-04;0;913.179167;19.208333;29.2;23;19.2;80.416667;53;8.3;2.266667;
2008-03-05;1.8;912.220833;19.175;29.1;22.083333;19.2;84.208333;55;5.8;1.175;
2008-03-06;9.8;911.545833;19.429167;29.7;22.795833;19.8;82.75;50;8.5;1.558333;
2008-03-07;1.2;null;null;27.7;null;17.6;83.5625;58;10.5;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;79.833333;56;5;null;
2008-03-11;27.4;913.1375;19.520833;28.2;22.283333;18.4;85;54;7.5;1.15;
2008-03-12;.4;913.225;19.216667;28.9;22.258333;19.3;83.916667;53;10.7;1.041667;
2008-03-13;18.4;913.195833;19.295833;28.9;22.2;19.2;84.708333;54;7.7;1.404167;
2008-03-14;15.6;911.683333;19.4375;26.1;21.05;19.4;90.958333;67;8;1.479167;
2008-03-15;13.2;911.820833;19.4125;27.3;21.033333;19.2;91.041667;61;8.3;1.6375;
2008-03-16;37.2;914.845833;18.5375;24;20.108333;18.1;91.041667;72;7.9;1.604167;
2008-03-17;2.6;914.979167;18.604167;27;20.716667;18.3;88.541667;63;10.7;2.108333;
2008-03-18;32.8;915.1;17.595833;28.2;21.875;17.3;78.916667;51;10.2;3.008333;
2008-03-19;0;914.483333;16.825;28;22.533333;17.6;71.958333;47;11;2.570833;
2008-03-20;0;915.083333;17.025;28.4;23.120833;18.9;70;48;10;2.625;
2008-03-21;0;914.241667;17.245833;28.5;22.883333;18.2;72.25;48;8.7;2.304167;
2008-03-22;0;913.9625;17.616667;29.1;22.2125;19.5;76.5;43;10.9;2.170833;
2008-03-23;27;913.4625;18.591667;28.3;22.595833;18.9;79.166667;51;6.2;1.216667;
2008-03-24;0;913.8;17.941667;29.9;22.741667;18;75.791667;44;8.5;1.970833;
2008-03-25;0;914.0625;18.054167;30;23.441667;18.2;74.291667;42;6.1;1.816667;
2008-03-26;0;913.4125;17.8;28.4;22.470833;17.8;76.791667;49;9.2;2.066667;
2008-03-27;15.8;911.716667;18.320833;27.5;22.033333;18.8;80.541667;56;8.4;2.345833;
2008-03-28;.4;911.066667;18.2875;30.1;23.408333;18.6;75.291667;41;6.4;1.2125;
2008-03-29;0;911.65;18.204167;30.4;24.275;19.3;70.791667;40;5.7;1.3625;
2008-03-30;0;911.883333;17.525;29.9;24.204167;20.3;67.625;41;7.1;1.891667;
2008-03-31;0;911.991667;16.970833;28.9;23.379167;18.5;68.625;43;10;2.658333;
2008-04-01;0;911.6;16.258333;28.8;22.958333;18.7;67.416667;43;8.3;2.695833;
2008-04-02;0;911.316667;15.716667;29.9;23.729167;18.9;62.458333;37;7.4;2.4;
2008-04-03;0;910.883333;16.35;28.4;23.433333;20;65.291667;44;6.7;1.2375;
2008-04-04;6.2;910.379167;19.15;23.7;20.658333;19.3;91.25;67;5.8;1.929167;
2008-04-05;3.2;910.541667;19.554167;27.1;21.154167;19.4;91.208333;62;5.9;1.579167;
2008-04-06;39.2;910.766667;19.466667;26.9;21.645833;18.7;88.083333;65;10.3;2.583333;
2008-04-07;7.6;912.145833;19.658333;28.2;21.870833;19.9;88.041667;57;12.4;1.841667;
2008-04-08;4.6;913.45;19.466667;29.7;23.645833;19.6;79.041667;47;7.4;1.891667;
2008-04-09;0;914.225;18.9375;29.8;24.633333;20.3;72.166667;49;7.5;2.245833;
2008-04-10;0;912.7125;18.308333;31.2;25.129167;20.3;67.166667;40;6.6;1.545833;
2008-04-11;0;911.204167;18.654167;30.8;24.679167;20.7;70.166667;46;8.1;.875;
2008-04-12;1.8;910.904167;16.804167;31.6;24.379167;19.4;65.291667;36;6;1.216667;
2008-04-13;0;911.266667;17.670833;31.1;24.4375;19.8;67.208333;39;12.9;1.416667;
2008-04-14;3;912.404167;18.629167;29;22.104167;19.9;81.541667;55;12.1;2.095833;
2008-04-15;22;913.225;17.716667;28.2;22.108333;18.1;78.5;49;5.8;1.558333;
2008-04-16;0;914.675;18.3625;29.2;23.15;19.2;75.875;50;8.5;2.1625;
2008-04-17;0;916.05;18.791667;28.8;23.204167;20.4;77.208333;51;8.8;1.483333;
2008-04-18;7.4;915.0375;18.2625;28.6;23.129167;17.9;75.916667;48;9.8;1.9125;
2008-04-19;0;913.820833;18.2375;29.1;22.475;19.4;78.083333;46;8.5;1.954167;
2008-04-20;.4;913.679167;17.858333;26.2;20.320833;18.4;86.208333;62;10.6;2.404167;
2008-04-21;28.8;914.595833;17.7;24.2;20.016667;18.3;87.125;65;6.6;1.483333;
2008-04-22;5.2;914.395833;18.558333;25.1;21.0625;18.3;86.041667;69;6.5;1.466667;
2008-04-23;2.8;913.129167;17.8625;28.3;22.354167;18.5;77.5;46;5;1.079167;
2008-04-24;0;912.595833;16.716667;28.8;22.683333;18.4;71.083333;41;5.6;1.05;
2008-04-25;0;912.316667;14.741667;27.9;22.220833;17.5;64.5;34;6.9;1.241667;
2008-04-26;0;912.05;14.6125;28.4;22.441667;17.1;63;39;6.3;1.070833;
2008-04-27;0;912.658333;15.583333;30;23.6875;18.7;61.958333;42;5.4;.979167;
2008-04-28;0;912.133333;16.866667;30.1;23.991667;18.5;65.875;38;6.4;1.3875;
2008-04-29;0;912.3875;16.6625;30.7;25.020833;19.6;61.458333;36;7.3;1.691667;
2008-04-30;0;912.570833;18.358333;30.5;23.504167;19.9;74.125;44;11.8;1.695833;
2008-05-01;23.4;913.520833;18.8;26.4;21.35;17.7;86.083333;65;11.8;2.766667;
2008-05-02;5.6;913.816667;17.575;24;20.6375;18.9;83.416667;62;9;3.075;
2008-05-03;0;914.566667;17.066667;20.6;18.483333;17.9;91.291667;81;6.3;1.391667;
2008-05-04;.2;915.454167;15.220833;24.4;17.85;14.2;85.458333;61;5.6;1.4625;
2008-05-05;.2;915.25;15.495833;26.5;19.95;14.7;77.666667;47;6.4;1.125;
2008-05-06;0;914.4;14.325;25.2;19.6625;15.1;72.375;51;6.7;1.808333;
2008-05-07;0;914.929167;11.766667;25.3;19.266667;14.4;64.291667;37;9;1.508333;
