Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-07-29;null;null;null;null;null;null;null;null;null;null;
2016-07-30;null;null;null;null;null;null;35.461538;27;12.2;null;
2016-07-31;.4;989.720833;12.695455;34.8;25.620833;16.7;48.454545;23;13.6;3.4875;
2016-08-01;0;989.975;null;34.6;26.016667;17;46.3125;28;9.7;2.2375;
2016-08-02;0;990.541667;null;35.1;26.458333;18.2;null;24;10.4;3.0125;
2016-08-03;0;989.991667;14.045833;35.5;26.566667;17.6;50.083333;27;11.4;2.066667;
2016-08-04;0;989.791667;14.218182;36.2;27.020833;17.8;50.090909;25;11.1;2.475;
2016-08-05;0;990.2625;null;36.2;27.195833;18.1;null;59;12.8;2.833333;
2016-08-06;0;990.6875;null;35.6;26.6625;18.3;null;23;10;2.15;
2016-08-07;0;990.733333;13.377273;36.8;27.145833;16.7;47.227273;22;10.1;1.866667;
2016-08-08;0;989.825;null;36.5;26.895833;16.3;48.6875;24;9.4;1.791667;
2016-08-09;0;990.175;null;36.5;26.941667;17.3;76.25;49;7.8;1.629167;
2016-08-10;0;989.7375;null;36.2;27.679167;17.8;43.666667;30;10.1;1.6125;
2016-08-11;0;988.904167;null;37;27.4875;18.8;79.333333;51;9.9;2.045833;
2016-08-12;0;988.804167;null;35.9;26.716667;19.8;65.375;36;16.1;2.570833;
2016-08-13;11.2;988.354167;21.466667;35.2;26.704167;20.8;77.777778;42;12.5;1.65;
2016-08-14;0;988.758333;null;33.8;27.3;21.4;86;53;8.6;1.970833;
2016-08-15;0;988.1125;null;35.7;27.2125;19.6;null;33;8.3;1.841667;
