Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2016-08-02
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-08-02;null;null;null;null;null;null;null;null;null;null;
2016-08-03;null;null;null;null;null;null;null;null;null;null;
2016-08-04;null;null;12.0125;null;26.404167;null;null;null;null;null;
2016-08-05;null;null;11.090476;null;null;null;null;null;null;null;
2016-08-06;null;null;11.1875;null;24.1875;null;48.130435;null;null;null;
2016-08-07;null;null;11.275;null;25.033333;null;48.5;null;null;null;
2016-08-08;null;null;10.55;null;25.554167;null;null;null;null;null;
2016-08-09;null;null;9.925;null;25.7375;null;null;null;null;null;
2016-08-10;null;null;10.6125;null;25.95;null;null;null;null;null;
2016-08-11;null;null;10.579167;null;26.8;null;null;null;null;null;
2016-08-12;null;null;12.258333;null;27.55;null;null;null;null;null;
2016-08-13;null;null;14.320833;null;28.154167;null;null;null;null;null;
2016-08-14;null;null;13.095833;null;28.233333;null;null;null;null;null;
2016-08-15;null;null;null;null;27.879167;null;null;null;null;null;
2016-08-16;null;null;null;null;28.133333;null;null;null;null;null;
2016-08-17;null;null;null;null;27.920833;null;null;null;null;null;
2016-08-18;null;null;null;null;29.45;null;null;null;null;null;
2016-08-19;null;null;null;null;29.325;null;null;null;null;null;
2016-08-20;null;null;null;null;30.3875;null;null;null;null;null;
2016-08-21;null;null;null;null;27.770833;null;null;null;null;null;
2016-08-22;null;null;null;null;28.433333;null;null;null;null;null;
2016-08-23;null;null;null;null;29.7125;null;null;null;null;null;
2016-08-24;null;null;null;null;29.220833;null;null;null;null;null;
2016-08-25;null;null;null;null;28.925;null;null;null;null;null;
2016-08-26;null;null;null;null;29.508333;null;null;null;null;null;
2016-08-27;null;null;null;null;28.875;null;null;null;null;null;
2016-08-28;null;null;null;null;30.0875;null;null;null;null;null;
2016-08-29;null;null;null;null;29;null;null;null;null;null;
2016-08-30;null;null;null;null;27.529167;null;null;null;null;null;
2016-08-31;null;null;null;null;28.8375;null;null;null;null;null;
2016-09-01;null;976.079167;null;38.3;29.9375;null;null;null;10.4;2.425;
2016-09-02;0;976.504167;null;37.6;30.570833;25.9;null;null;13.5;3.625;
2016-09-03;0;976.920833;null;35.8;29.104167;24;null;null;14.1;3.641667;
2016-09-04;0;977.008333;null;36.6;27.579167;18.2;null;null;12.1;2.3625;
2016-09-05;0;977.033333;null;37.3;29.283333;20.9;null;null;12.1;2.941667;
2016-09-06;0;977.054167;null;37.5;29.758333;23.2;null;null;10.3;2.229167;
2016-09-07;0;976.895833;null;37.5;29.145833;21.3;null;null;10.8;2.195833;
2016-09-08;0;975.795833;null;37.7;29.116667;20.1;null;null;11.8;1.991667;
2016-09-09;0;976.034783;null;38.6;30.547826;24;null;null;9.7;2.413043;
2016-09-10;0;977.754167;null;38.2;29.3375;19.1;null;null;12.4;2.5875;
2016-09-11;0;977.3375;null;37.6;29.1125;20.6;null;null;13.6;3.333333;
2016-09-12;0;975.152174;null;37.3;28.913043;20;null;null;11.6;2.069565;
2016-09-13;0;975.125;null;38.1;28.8125;19.8;null;null;8.9;1.716667;
2016-09-14;0;975.775;null;38.4;30.133333;22.7;null;null;11.3;2.020833;
2016-09-15;0;974.866667;null;39.1;28.9125;18.6;null;31;10.9;1.795833;
