Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-04-05;null;null;null;null;null;null;null;null;null;null;
2016-04-06;null;null;null;null;null;null;null;null;null;null;
2016-04-07;null;null;null;null;null;null;65.25;45;6;null;
2016-04-08;0;988.629167;24.0125;34.7;27.4125;25;82.708333;55;9.9;2.029167;
2016-04-09;10.6;988.7375;24.508333;33.6;28.033333;24.5;82.666667;55;5.5;1.3125;
2016-04-10;0;988.575;24.008333;34.5;26.295833;24.2;88.25;56;14.1;1.291667;
2016-04-11;15.6;989.691667;23.5875;31.6;25.704167;23.1;88.875;64;8.8;1.120833;
2016-04-12;0;990.195833;23.779167;33.3;26.295833;23.4;87.125;55;10.9;1.620833;
2016-04-13;0;990.016667;23.216667;33.5;26.525;22.7;83.583333;54;4.6;1.220833;
2016-04-14;0;990.445833;22.433333;34.9;27.079167;21.2;78.791667;43;7.2;1.258333;
2016-04-15;0;990.454167;21.9125;35.5;27.45;21.3;76.041667;37;6.2;1.075;
2016-04-16;0;989.879167;21.895833;35.4;27.770833;21.1;74.125;41;7.2;1.333333;
2016-04-17;0;990.341667;21.858333;35.9;27.3;21.4;75.5;40;7.4;1.183333;
2016-04-18;0;990.204167;21.0625;36;27.425;20.9;72.625;36;7.5;1.3375;
2016-04-19;0;990.3;22.308333;34;27.2125;22.1;76.833333;46;6.3;1.254167;
2016-04-20;0;990.0375;21.895833;34.8;27.125;21.3;76.916667;42;8.1;1.1875;
2016-04-21;0;989.3375;20.5375;35.4;26.758333;20;73.791667;33;5.9;1.0875;
2016-04-22;0;990.458333;19.983333;36.9;27.083333;19.9;71.083333;33;4.6;.829167;
2016-04-23;0;988.933333;21.0625;36.7;27.4875;20.4;72.25;35;5.1;.866667;
2016-04-24;0;987.729167;21.6125;36.8;28.125;21;72.458333;36;5;.795833;
2016-04-25;4.6;987.458333;22.7375;34.9;27.516667;23.4;77;47;8;1.575;
2016-04-26;.2;987.5;23.104167;35;28.125;22.8;76.25;45;7.5;1.475;
2016-04-27;0;989.9875;23.529167;30.8;26.4375;23.5;84.583333;64;8.6;1.395833;
2016-04-28;0;989.754167;23.0125;32.9;25.970833;23;85.208333;57;9.6;1.854167;
2016-04-29;1.4;990.166667;22.654167;30.7;25.616667;22.8;84.708333;63;6.3;1.429167;
2016-04-30;.2;990.370833;22.7875;33.1;26.408333;21.6;82.375;55;7.4;1.358333;
2016-05-01;0;990.020833;23.3125;35;26.6875;22.4;83.708333;48;7.4;1.279167;
2016-05-02;.4;990.2125;23.295833;34.6;27.3625;22.2;80.791667;51;6.8;1.216667;
2016-05-03;13.8;991.879167;23.25;31.1;25.316667;22.2;88.833333;68;9.4;1.620833;
2016-05-04;2.4;991.591667;22.870833;33.7;26.4375;21.8;83.458333;49;7;1.3125;
2016-05-05;0;991.166667;22.525;34;26.595833;21.1;81.166667;50;6.8;.991667;
2016-05-06;0;991.316667;23.6;34.8;27.245833;22.7;82.291667;48;5.5;.941667;
2016-05-07;0;990.7375;21.945833;35.5;27.575;22.5;76.041667;35;7.1;1.220833;
2016-05-08;0;989.891667;21.004167;35.3;26.391667;20.5;76.208333;38;6.8;1.170833;
2016-05-09;0;989.9125;20.608696;35.5;26.179167;19.5;77.173913;35;5.9;.995833;
2016-05-10;0;990.35;20.4125;35.6;26.266667;19.6;74.791667;36;6.3;1.1375;
2016-05-11;0;990.683333;21.0125;35.8;26.866667;20;75.125;36;6.4;.866667;
2016-05-12;0;990.770833;20.995652;36.1;26.8625;19.9;75.869565;38;7.1;1.491667;
