Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.67972221
Longitude: -68.16527777
Altitude: 163
Situacao: Pane
Data Inicial: 2008-07-10
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-10;null;null;null;null;null;null;null;null;null;null;
2008-07-11;null;null;null;null;null;null;null;null;null;null;
2008-07-12;null;null;null;null;null;null;null;null;null;null;
2008-07-13;null;null;null;null;null;null;null;null;null;null;
2008-07-14;null;null;null;null;null;null;null;null;null;null;
2008-07-15;null;null;null;null;null;null;null;null;null;null;
2008-07-16;null;null;null;null;null;null;53.846154;36;6.6;null;
2008-07-17;null;null;null;32.5;null;18.8;47.466667;30;6.3;null;
2008-07-18;null;null;null;32.8;null;21;46.705882;29;6.3;null;
2008-07-19;null;null;null;33.3;null;19.9;49.941176;35;6.2;null;
2008-07-20;null;null;null;34.1;null;21.9;57.3125;40;6;null;
2008-07-21;null;null;null;33.9;null;21.3;59.666667;41;7.4;null;
2008-07-22;null;null;null;33.6;null;22.5;63.3125;43;9;null;
2008-07-23;null;null;null;null;null;null;63.071429;43;11.7;null;
2008-07-24;null;null;null;null;null;null;70;46;6.6;null;
2008-07-25;null;null;null;null;null;null;74.615385;58;9.7;null;
2008-07-26;null;null;null;null;null;null;64.230769;48;7.5;null;
2008-07-27;null;null;null;null;null;null;54.8;32;6.3;null;
2008-07-28;null;null;null;null;null;null;54.266667;33;6.8;null;
2008-07-29;null;null;null;null;null;null;54.571429;36;5.5;null;
2008-07-30;null;null;null;null;null;null;null;48;13.3;null;
2008-07-31;null;null;null;null;null;null;null;60;7;null;
2008-08-01;null;null;null;null;null;null;62.076923;44;7.4;null;
2008-08-02;null;null;null;null;null;null;61.2;44;8.7;null;
2008-08-03;null;null;null;34.1;null;21.8;66.4;46;9.6;null;
2008-08-04;null;null;null;null;null;null;null;75;6.1;null;
2008-08-05;null;null;null;null;null;null;null;54;6.3;null;
2008-08-06;null;null;null;null;null;null;64.769231;40;9.1;null;
2008-08-07;null;null;null;null;null;null;69.769231;52;7.8;null;
2008-08-08;null;null;null;null;null;null;65.785714;39;14.9;null;
2008-08-09;null;null;null;null;null;null;79.25;57;8.6;null;
2008-08-10;null;null;null;null;null;null;67.230769;52;7.7;null;
2008-08-11;null;null;null;null;null;null;63.4;42;6;null;
2008-08-12;null;null;null;null;null;null;56.428571;39;7.2;null;
2008-08-13;null;null;null;null;null;null;56.733333;34;6.7;null;
2008-08-14;null;null;null;35;null;22.6;59.666667;36;9.4;null;
2008-08-15;null;null;null;35.5;null;23.4;55.75;33;6.7;null;
2008-08-16;null;null;null;null;null;null;47.266667;27;7.7;null;
2008-08-17;null;null;null;35.6;null;25.1;45.9375;28;9.8;null;
2008-08-18;null;null;null;36.1;null;24.1;50.125;27;8.4;null;
2008-08-19;null;null;null;34.3;null;25.4;56.8125;41;7.9;null;
2008-08-20;null;null;null;null;null;null;56.571429;34;10.4;null;
2008-08-21;null;null;null;null;null;null;58.461538;37;6.4;null;
2008-08-22;null;null;null;null;null;null;43.769231;23;13.7;null;
2008-08-23;null;null;null;null;null;null;40.933333;24;9.6;null;
2008-08-24;null;null;null;33.7;null;20.1;49.625;32;7;null;
2008-08-25;null;null;null;34.9;null;21.6;47.5625;31;6.1;null;
2008-08-26;null;null;null;35;null;21.8;50.1875;35;10.3;null;
2008-08-27;null;null;null;null;null;null;49.785714;33;8;null;
2008-08-28;null;null;null;null;null;23.1;51.642857;31;8.1;null;
2008-08-29;null;983.910526;19.857895;35.9;null;23.4;65.315789;35;17.4;2.963158;
2008-08-30;null;null;null;30.4;null;18;52.647059;29;10.1;null;
2008-08-31;null;985.614286;12.533333;33.8;null;18.4;45.428571;28;8.7;2.347619;
2008-09-01;0;984.333333;15.445833;35.7;27.570833;19.3;50;29;6.5;1.6125;
2008-09-02;0;983.058333;18.9;36;28.579167;22;58.958333;32;6.5;1.508333;
2008-09-03;0;982.733333;20.254167;35.4;27.370833;22.1;66.583333;38;9.3;2.6875;
2008-09-04;1.8;983.45;20.083333;35.8;27.258333;21.6;67.916667;35;11.4;3.075;
2008-09-05;8.4;985.4125;21.745833;32.3;23.675;21.7;89.541667;54;10.5;2.120833;
2008-09-06;37.2;987.608333;20.525;22.4;21.45;21.5;94.416667;86;7.5;2.45;
2008-09-07;.2;989.8125;16.141667;26;21.204167;17.8;74.333333;52;9.8;3.504167;
2008-09-08;0;988.704167;15.2375;31.7;22.783333;15.8;65.333333;41;8.8;2.104167;
2008-09-09;0;987.1375;17.720833;34.5;27.529167;18.3;57.458333;36;4.8;1.279167;
2008-09-10;0;987.383333;19.9125;34.1;28.016667;22.1;63.208333;41;10;2.55;
2008-09-11;0;987.054167;20.6375;34.1;27.541667;21.8;67.958333;43;8.2;2.495833;
2008-09-12;.2;985.6625;20.225;34.1;26.2;21.4;72;41;13.8;1.858333;
2008-09-13;0;986.504167;20.325;29.3;24.745833;21.8;77.125;59;10.2;3.220833;
2008-09-14;0;987.7375;17.091667;31.2;23.758333;18.4;68.708333;41;8.4;2.891667;
2008-09-15;0;987.583333;17.016667;31.7;25.095833;19.7;63.25;38;11.1;2.6;
2008-09-16;0;988.2875;14.033333;32.2;25.6;20.6;52;28;10.1;3.454167;
2008-09-17;0;987.9125;12.645833;33.1;25.895833;20.1;46.208333;26;8.3;2.520833;
2008-09-18;0;985.325;14.654167;33.5;27.245833;20.9;47.75;31;4.8;1.204167;
2008-09-19;0;983.916667;18.933333;35.6;27.4125;22;61.333333;33;7.9;1.995833;
2008-09-20;0;984.195833;20.0375;36.7;28.220833;22.7;63.75;31;9.4;2.429167;
2008-09-21;80.6;990.7375;17.133333;28.2;18.579167;16.7;91.458333;64;15.1;4.520833;
2008-09-22;0;990.141667;16.266667;30.2;22.3375;16.6;71.791667;44;8.1;1.816667;
2008-09-23;0;986.216667;18.5;33.1;26.4375;19.4;63.666667;40;4.6;1.225;
2008-09-24;0;984.033333;19.491667;35.2;28.416667;21.9;60.583333;38;6.5;1.554167;
2008-09-25;0;984.7875;20.225;35.1;28.333333;22.8;64.041667;34;5.8;1.55;
2008-09-26;20.4;986.270833;21.2875;30.4;25.5875;21.8;78.083333;60;9.3;2.191667;
2008-09-27;0;984.741667;21.095833;34;26.916667;21.5;73.375;41;6.1;1.925;
2008-09-28;0;983.675;20.220833;35.6;28.3875;22.5;63.25;36;7;2.195833;
2008-09-29;0;983.533333;20.225;35.9;29.316667;23.8;60.041667;33;7.7;2.35;
2008-09-30;0;985.333333;21.725;35.1;28.55;24.4;68.208333;41;9.8;1.833333;
2008-10-01;4.8;984.525;22.158333;34.8;26.65;22.6;79.041667;41;23.2;2.183333;
2008-10-02;10.8;982.795833;20.9;35.1;27.879167;22.3;69;38;8.8;2.783333;
2008-10-03;0;981.525;20.395833;35.4;29.345833;23.9;60.5;35;9.6;3.2625;
2008-10-04;0;982.6;20.525;33.4;28.195833;24;64.208333;43;10;3.129167;
2008-10-05;0;984.55;21.158333;27.7;23.016667;21.7;89.5;59;10.6;2.204167;
2008-10-06;19;987.779167;18.958333;23;20.2125;19.1;92.416667;88;9.4;3.5375;
2008-10-07;2;990.395833;19.275;24.7;21.429167;19;88;74;8.5;2.991667;
2008-10-08;0;989.258333;19.1125;31.5;24.808333;19.6;73;47;10.4;3.2125;
2008-10-09;0;985.925;18.054167;33.5;27.045833;21.4;60.375;37;8;2.208333;
2008-10-10;0;983.379167;19.7625;33.6;27.05;21.9;65.583333;45;10.2;2.05;
2008-10-11;0;982.054167;20.5875;35;27.291667;21.1;70.041667;38;6.4;1.695833;
2008-10-12;0;982.166667;21.241667;34.5;28.416667;23.3;66.541667;43;6.9;2.425;
2008-10-13;2.8;983.6625;22.266667;31.4;25.6125;22.4;82.666667;57;9.6;2.204167;
2008-10-14;0;983.720833;21.304167;34.3;25.7625;21.3;79;43;15;1.754167;
2008-10-15;32;985.5;22.195833;31.3;25.941667;22.3;80.75;57;8;1.995833;
2008-10-16;0;986.604167;22;33.7;27.15;22.7;75.25;46;5.5;1.279167;
2008-10-17;.6;986.9;21.066667;32.4;25.8875;21.6;76.25;50;6.5;2.104167;
2008-10-18;0;986.345833;21.475;32.1;24.820833;22.2;82.583333;55;12.6;2.270833;
2008-10-19;9.8;986.608333;21.75;29.6;24.283333;22.1;86.5;62;7.5;2.325;
2008-10-20;0;986.3125;21.541667;32.3;25.479167;21.6;80.416667;52;6.6;2.0375;
2008-10-21;0;984.9625;21.4;33;25.375;20.4;80.208333;50;15.3;1.766667;
2008-10-22;29.2;984.779167;21.9125;32.5;27.229167;21.9;73.666667;52;11.9;2.883333;
2008-10-23;0;984.7875;21.954167;33.8;27.233333;23.4;74.333333;44;8.9;1.3875;
2008-10-24;0;985.075;21.816667;34.1;25.125;22.1;83.458333;47;12.8;1.6875;
2008-10-25;24.8;984.7375;21.579167;33;26.008333;21.5;78.416667;48;7.7;1.8625;
2008-10-26;0;984.666667;22.291667;32.6;25.704167;22.9;82.5;51;8.7;2.329167;
2008-10-27;.2;985.595833;22.1625;32.4;25.6625;22.6;82.458333;52;14;1.591667;
