Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 220
Situacao: Pane
Data Inicial: 2015-05-13
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-05-13;null;null;null;null;null;null;null;null;null;null;
2015-05-14;null;null;null;null;null;null;null;null;null;null;
2015-05-15;null;null;null;null;null;null;null;82;2.2;null;
2015-05-16;null;990.033333;22.116667;26;23.3625;22.6;92.875;80;8.8;1.520833;
2015-05-17;13.4;991.3375;20.9375;29.4;23.825;21.1;84.875;59;6;1.591667;
2015-05-18;0;990.4875;21.033333;29.8;24.266667;21.4;83.333333;56;4.3;.870833;
2015-05-19;0;989.2875;21.75;32.5;25.6625;21.2;80.958333;49;4;.483333;
2015-05-20;0;989.033333;22.529167;29.3;24.695833;22.9;88.208333;61;8.5;.733333;
2015-05-21;.6;988.829167;22.491667;29.8;24.654167;22.8;88.458333;64;8;.608333;
2015-05-22;.2;988.545833;22.475;31.8;25.479167;21.8;84.833333;56;5.4;.55;
2015-05-23;2;989.3875;22.4;28.9;24.629167;22.8;87.833333;67;8;1.0625;
2015-05-24;0;987.920833;22.145833;31.4;25.183333;22.3;84.541667;55;5.6;.816667;
2015-05-25;0;987.620833;22.645833;32.2;25.804167;22.8;84.083333;54;4.3;.508333;
2015-05-26;6.2;988.225;22.716667;30.9;25.558333;22.9;85.125;58;6.5;1.120833;
2015-05-27;0;987.720833;21.920833;31.6;25.55;23.1;81.75;51;5.2;.804167;
2015-05-28;0;987.091667;22.316667;32.6;26.05;22.6;81.333333;50;6.9;.758333;
2015-05-29;89.6;987.508333;22.7125;27.4;24.441667;22.7;90.416667;70;8.2;1.245833;
2015-05-30;14.6;987.033333;22.595833;27.4;24.420833;22.8;89.958333;73;3.5;.5625;
2015-05-31;0;987.891667;22.695833;28.2;24.870833;22.5;88.291667;70;6.4;.7125;
2015-06-01;0;988.691667;22.325;31.3;24.975;22.4;86.416667;56;8.2;.566667;
2015-06-02;0;988.266667;22.725;31.7;25.975;23.2;83.583333;54;5.6;.829167;
2015-06-03;7.8;987.695833;23.075;29.1;24.816667;23.1;90.541667;62;11.2;.858333;
2015-06-04;33.8;989.079167;22.658333;30.5;25.066667;22.8;87.291667;62;5.4;1.079167;
2015-06-05;2.4;989.5375;22.758333;31.3;25.633333;22.4;85.125;58;9;.875;
2015-06-06;10;988.0375;22.366667;32;25.741667;21.9;83.333333;49;5.4;.533333;
2015-06-07;0;987.825;22.229167;32.4;25.954167;22.4;81.708333;49;3.3;.558333;
2015-06-08;1.4;988.5875;22.525;28.3;24.8125;23;87.583333;69;9.8;.866667;
2015-06-09;0;987.8625;22.075;29.6;25.116667;22.5;84.333333;57;5.5;.795833;
2015-06-10;0;987.941667;22.429167;28.9;24.866667;22;87.041667;64;6.4;.683333;
2015-06-11;4.2;988.404167;22.158333;32.2;25.854167;22.7;81.625;51;6.3;.545833;
2015-06-12;0;988.875;22.7;30.7;25.208333;22.5;86.708333;54;6.5;.591667;
2015-06-13;1.2;987.7375;22.2875;31.4;25.354167;22.7;84.5;53;9.6;.795833;
2015-06-14;0;986.629167;22.245833;30.9;25.858333;22.8;81.958333;56;6.1;1.066667;
2015-06-15;0;987.4;22.745833;31.3;26.245833;22.1;82.208333;56;5.6;.725;
2015-06-16;0;988.329167;22.891667;31;25.775;23.4;85.25;55;4.9;.879167;
2015-06-17;.8;988.620833;23.120833;29.1;24.991667;23.3;89.875;64;5.3;.791667;
2015-06-18;1.8;988.795833;22.370833;31.4;26.054167;22.8;81.958333;50;4.7;.958333;
2015-06-19;0;990.816667;21.179167;28.4;24.508333;22.5;82.583333;63;10.7;2.283333;
2015-06-20;0;992.291667;17.666667;28.4;22.15;17.5;77.375;53;7.2;1.45;
2015-06-21;0;991.875;19.275;29.5;23.391667;18.2;79.833333;52;5.8;.816667;
2015-06-22;0;991.575;19.3125;31.6;24.075;18.6;77.458333;46;5.3;.729167;
2015-06-23;0;991.991667;20.041667;29.9;24.175;18.9;79.5;52;5.3;.816667;
2015-06-24;0;992.370833;21.908333;28.6;24.725;20.8;84.916667;63;9.1;.579167;
2015-06-25;4.8;991.804167;21.245833;29.4;24.295833;21.3;84.375;57;9.2;.916667;
2015-06-26;4.4;991.779167;21.8875;30.3;24.833333;21.4;84.875;55;7.7;.733333;
2015-06-27;0;992.1375;21.279167;32;25.970833;21.1;77.916667;48;5.1;.970833;
2015-06-28;0;990.275;20.966667;32.1;25.820833;20.8;77.291667;43;4.8;.5875;
2015-06-29;0;989.004167;21.629167;32.1;26.170833;21.7;77.708333;48;6.5;.891667;
2015-06-30;9.8;988.516667;21.958333;32.8;26.383333;22.3;78.333333;49;6.3;.875;
2015-07-01;17;989.575;22.9375;29.9;25.2375;23.3;87.541667;63;8.5;1.029167;
2015-07-02;.6;988.591667;22.354167;30.1;25.091667;22.1;85.958333;59;5.6;.804167;
2015-07-03;3.8;986.95;22.454167;32;26.1125;22.1;81.875;54;6.7;.758333;
2015-07-04;.4;987.354167;22.570833;30.7;25.7625;21.5;83.625;59;6.5;.5375;
2015-07-05;9;990.091667;21.5125;26.8;23.341667;22.2;89.583333;81;6.3;1.5625;
2015-07-06;1.6;990.158333;20.254167;27.8;22.770833;20.5;86.416667;63;5.6;.9375;
2015-07-07;.2;988.804167;20.779167;31.4;24.895833;20.1;79.958333;49;4.9;.616667;
2015-07-08;0;988.266667;21.983333;31.3;25.483333;21.1;82.166667;53;4.9;.4875;
2015-07-09;0;988.154167;22.5625;32.7;25.470833;22.3;85.291667;49;11.5;.745833;
2015-07-10;12.4;988.6875;22.433333;29.7;24.183333;22.2;90.541667;63;8.8;.708333;
2015-07-11;27;989.233333;22.116667;32.1;25.683333;22.1;82.375;50;5.5;.583333;
2015-07-12;0;989.5875;22.3125;31;25.5;22.3;83.666667;58;7.9;.816667;
2015-07-13;0;988.333333;21.433333;31.6;25.5625;21.8;79.958333;51;6.5;1.075;
2015-07-14;0;987.579167;21.358333;32.6;26.4875;21.6;75.583333;46;5.8;.9;
2015-07-15;0;988.5;22.55;31.1;26.158333;23.1;81.75;57;7.2;.783333;
2015-07-16;.2;989.55;21.729167;32.6;25.754167;21.9;80.583333;47;13.3;.425;
2015-07-17;0;990.0375;22.270833;29.2;25.658333;22.7;82.291667;66;9.5;1.333333;
