Nome: LABREA
Codigo Estacao: A111
Latitude: -7.26055555
Longitude: -64.7886111
Altitude: 61.91
Situacao: Operante
Data Inicial: 2008-07-26
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-26;null;null;null;34.6;null;null;null;37;5.6;null;
2008-07-27;null;1004.345833;19.129167;35.7;26.804167;19.9;68.583333;30;6.1;.720833;
2008-07-28;0;1004.908333;19.441667;36.1;26.9125;19.9;68.333333;32;8.3;.595833;
2008-07-29;0;1004.5375;22.1625;34.2;26.3875;22.7;79.333333;45;6.2;.7375;
2008-07-30;.2;1004.008333;21.7;33.3;26.345833;22.1;77.458333;50;5.9;.970833;
2008-07-31;0;1003.395833;21.554167;33.6;26.645833;20.5;76.083333;45;6.2;.941667;
2008-08-01;null;1002.765;21.06;34.7;null;21.7;70.05;41;6.2;.95;
2008-08-02;0;1002.495833;20.695833;35.6;27.408333;21;70.916667;33;7.7;.833333;
2008-08-03;0;1002.120833;20.520833;35.4;27.479167;20.4;69.875;38;7.6;.891667;
2008-08-04;0;1002.3;21.016667;34.9;27.058333;21.9;72.583333;35;7.5;.691667;
2008-08-05;.8;1002.9625;22.308333;34;28.091667;23.5;72.75;45;5.6;.920833;
2008-08-06;1;1002.7875;22.2125;34.8;27.841667;22.9;73.416667;44;6.5;1.025;
2008-08-07;0;1002.954167;21.545833;34.8;27.7;21.6;71.666667;41;5.2;.920833;
2008-08-08;1.6;1003.208333;22.4875;34;27.766667;23.6;74.875;47;5.6;1.154167;
2008-08-09;.6;1003.85;21.65;35.8;27.5375;21.8;73.583333;35;6.5;.629167;
2008-08-10;0;1003.725;21.108333;35.3;27.604167;21.7;71.833333;35;5.8;.6375;
2008-08-11;0;1002.725;22.133333;34.4;27.508333;22.7;74.958333;39;4.4;.508333;
2008-08-12;0;1003.179167;22.1;34.3;27.508333;22.2;74.416667;45;9.7;1.191667;
2008-08-13;0;1004.125;21.570833;35.1;27.2625;21.7;74.041667;43;6.7;.895833;
2008-08-14;0;1004.108333;21.1625;35.6;27.958333;21.9;70.541667;35;8.8;.820833;
2008-08-15;0;1004.191667;19.675;36.2;27.670833;20.5;67.166667;28;5.8;.7;
2008-08-16;0;1002.3625;19.708333;36.2;28.029167;20.9;65.791667;30;5.6;.545833;
2008-08-17;0;1001.7875;21.583333;34.9;27.658333;22.4;71.958333;42;5.6;.770833;
2008-08-18;0;1002.891667;21.8625;35.2;27.141667;22.3;74.791667;44;8.8;.733333;
2008-08-19;1;1002.883333;21.504167;35;26.975;21.6;74.833333;43;7.8;.575;
2008-08-20;0;1002.375;21.866667;35;27.683333;22.5;72.583333;44;6;.95;
2008-08-21;0;1002.308333;22.629167;34;27.25;23.5;77.208333;47;6.4;.716667;
2008-08-22;4.6;1002.625;19.758333;35.9;27.154167;21.6;69.958333;22;8.5;.929167;
2008-08-23;0;1002.741667;16.729167;37.1;26.125;18;63.166667;20;9.9;.575;
2008-08-24;0;1002.8;18.554167;34.1;25.941667;19.1;68.166667;33;4.6;.470833;
2008-08-25;0;1004.083333;21.279167;33.7;25.9125;22;77.458333;45;14;1.004167;
2008-08-26;2.4;1003.858333;20.558333;33.7;25.4125;19.5;77.416667;46;4.8;.641667;
2008-08-27;0;1002.133333;21.6625;35.3;27.733333;21.9;72.75;39;7;.991667;
2008-08-28;0;1001.2875;21.020833;35.7;27.9875;22.4;69.25;35;6.2;.954167;
2008-08-29;0;1001.341667;21.729167;35.5;27.945833;22.4;71.375;39;7.8;.841667;
2008-08-30;0;1002.045833;21.766667;31.9;27.116667;24.3;73.625;54;7.5;1.141667;
2008-08-31;4.6;1002.620833;21.5375;32.3;26.266667;22.4;77;47;6.6;1.2875;
2008-09-01;0;1002.925;21.975;26.3;23.95;21.9;88.875;77;7.4;.820833;
2008-09-02;.8;1001.604167;21.6625;35;27.225;22.6;75.125;39;6.1;.745833;
2008-09-03;.2;1001.608333;21.658333;35;26.929167;22.3;75.25;44;8.2;1.054167;
2008-09-04;.8;1002.416667;21.65;34.2;27.2;22.5;74.666667;41;9.6;.991667;
2008-09-05;0;1002.979167;22.395833;33.5;25.7875;23.6;82.833333;48;9;.733333;
2008-09-06;21;1004.125;22.325;33.8;25.316667;22.5;84.625;49;14.9;1.25;
2008-09-07;10.2;1005.458333;21.633333;31.5;25.866667;21.3;79.125;52;6.5;1.741667;
2008-09-08;0;1005.05;19.608333;34.7;26.966667;20.7;67.125;37;8.1;1.170833;
2008-09-09;0;1004.820833;21.679167;34.3;27.033333;22.9;75;43;20.1;.966667;
2008-09-10;27;1005.754167;20.758333;34.5;25.8875;19.6;77.083333;35;4.9;.7375;
2008-09-11;0;1005.483333;22.15;32.2;26.483333;21.9;78.291667;55;6.1;.541667;
2008-09-12;0;1003.904167;22.1;35;27.854167;22.6;74.208333;39;4.9;.3875;
